# 2Theta,Intensity
1.000000000000000000e+01,1.147944531845870586e-01
1.001999999999999957e+01,9.701891735148650275e-02
1.003999999999999915e+01,4.787406473344684322e-04
1.006000000000000050e+01,2.174107431271830593e-01
1.008000000000000007e+01,3.887215119073882397e-01
1.009999999999999964e+01,1.584395056859207451e-01
1.011999999999999922e+01,2.665438743259884169e-01
1.014000000000000057e+01,1.126698333675916763e-01
1.016000000000000014e+01,2.160678466968243561e-01
1.017999999999999972e+01,1.472612328065532605e-01
1.019999999999999929e+01,3.749382336228914564e-02
1.022000000000000064e+01,3.164463708678061926e-01
1.024000000000000021e+01,2.269160052433455976e-01
1.025999999999999979e+01,1.231682341960979449e-01
1.027999999999999936e+01,1.806764818338060796e-01
1.030000000000000071e+01,2.248531451970000594e-01
1.032000000000000028e+01,1.613720314568757030e-01
1.033999999999999986e+01,1.535400883870667067e-02
1.035999999999999943e+01,1.081072379432335973e-01
1.038000000000000078e+01,1.703251589589335757e-01
1.040000000000000036e+01,5.098582570797288716e-02
1.041999999999999993e+01,1.861287617300685371e-01
1.043999999999999950e+01,1.514686117752487293e-01
1.046000000000000085e+01,-2.800227832885001863e-02
1.048000000000000043e+01,-1.112028657835245973e-02
1.050000000000000000e+01,2.770868680668733819e-02
1.051999999999999957e+01,3.069559273004472955e-01
1.053999999999999915e+01,2.128017496648481610e-01
1.056000000000000050e+01,1.464688532544518307e-01
1.058000000000000007e+01,9.252904979378794026e-02
1.059999999999999964e+01,1.333653157489556595e-01
1.061999999999999922e+01,2.449003374431235058e-01
1.064000000000000057e+01,5.876688998157164612e-02
1.066000000000000014e+01,8.924750216038269263e-03
1.067999999999999972e+01,3.955895170145006801e-01
1.069999999999999929e+01,5.852522178405330511e-01
1.072000000000000064e+01,1.381714875560829670e-01
1.074000000000000021e+01,4.164091536714470410e-01
1.075999999999999979e+01,1.680955217965621196e-01
1.077999999999999936e+01,1.484838539863105322e-01
1.080000000000000071e+01,-1.016465871345382556e-02
1.082000000000000028e+01,6.780797080394623810e-02
1.083999999999999986e+01,1.681781957106976422e-01
1.085999999999999943e+01,2.745499361451457787e-01
1.088000000000000078e+01,5.522882394834873615e-02
1.090000000000000036e+01,2.622740870572949634e-02
1.091999999999999993e+01,1.026984298870343010e-01
1.093999999999999950e+01,-2.571217668697256889e-02
1.096000000000000085e+01,-1.115830854201532579e-01
1.098000000000000043e+01,6.303762411375618546e-02
1.100000000000000000e+01,1.673583441797787119e-01
1.101999999999999957e+01,1.690971022571594318e-01
1.103999999999999915e+01,1.357666129479349892e-01
1.106000000000000050e+01,2.016894949805067214e-02
1.108000000000000007e+01,2.340751110031439042e-01
1.109999999999999964e+01,1.775794673166420090e-01
1.112000000000000099e+01,2.397335082562511432e-01
1.114000000000000057e+01,3.527233707273861318e-01
1.116000000000000014e+01,6.764314456243561424e-02
1.117999999999999972e+01,2.021846506358713214e-01
1.119999999999999929e+01,3.737537802230477824e-01
1.122000000000000064e+01,4.212708174923585069e-02
1.124000000000000021e+01,6.445420116110205100e-02
1.125999999999999979e+01,1.374870927938438292e-01
1.127999999999999936e+01,2.040318538831585871e-01
1.130000000000000071e+01,1.251891025059616580e-01
1.132000000000000028e+01,1.728034874710768776e-01
1.133999999999999986e+01,2.170244765405023313e-01
1.135999999999999943e+01,4.890287716443689203e-02
1.138000000000000078e+01,7.927064181488166494e-02
1.140000000000000036e+01,-1.232122568634481524e-01
1.141999999999999993e+01,2.284263187215818669e-01
1.143999999999999950e+01,1.956241615982682036e-01
1.146000000000000085e+01,1.266868237745348291e-01
1.148000000000000043e+01,5.470839289850286391e-02
1.150000000000000000e+01,2.586132070080080503e-01
1.151999999999999957e+01,1.122628489555585335e-01
1.153999999999999915e+01,1.159924322935342034e-01
1.156000000000000050e+01,5.761601853594156171e-03
1.158000000000000007e+01,7.796776005584722669e-02
1.159999999999999964e+01,1.943907415260742733e-01
1.162000000000000099e+01,6.363383722861425248e-04
1.164000000000000057e+01,1.307645460794774027e-02
1.166000000000000014e+01,2.205916626070679731e-01
1.167999999999999972e+01,-4.990498052973663112e-02
1.169999999999999929e+01,-8.795902704260821769e-02
1.172000000000000064e+01,8.913120705449906200e-02
1.174000000000000021e+01,2.501318669652063398e-01
1.175999999999999979e+01,-2.461522643858361781e-02
1.177999999999999936e+01,1.263641275039681933e-01
1.180000000000000071e+01,8.547262855285667205e-02
1.182000000000000028e+01,-3.382218161405747825e-02
1.183999999999999986e+01,8.353780519701835272e-02
1.185999999999999943e+01,1.912769061580716495e-02
1.188000000000000078e+01,-1.052724266885164250e-03
1.190000000000000036e+01,1.654349207151556977e-01
1.191999999999999993e+01,1.994852094646903384e-01
1.193999999999999950e+01,6.847649492795799967e-04
1.196000000000000085e+01,1.066359695855612494e-01
1.198000000000000043e+01,4.391466623452355833e-01
1.200000000000000000e+01,-7.361181687458330514e-02
1.201999999999999957e+01,1.267696796500280554e-01
1.203999999999999915e+01,1.169133761353268602e-01
1.206000000000000050e+01,4.460440472619984220e-01
1.208000000000000007e+01,3.721605458188797511e-01
1.209999999999999964e+01,1.763446064717915374e-01
1.212000000000000099e+01,1.624707165183195412e-01
1.214000000000000057e+01,-2.841530020027234829e-02
1.216000000000000014e+01,-2.311269004857988488e-02
1.217999999999999972e+01,2.327468514806636246e-01
1.219999999999999929e+01,-3.532353673147214934e-02
1.222000000000000064e+01,1.900922008107475691e-01
1.224000000000000021e+01,1.993445450712802991e-01
1.225999999999999979e+01,6.742952641443356043e-02
1.228000000000000114e+01,2.305603916884017279e-01
1.230000000000000071e+01,2.033770274225756847e-01
1.232000000000000028e+01,2.233932324771119304e-01
1.233999999999999986e+01,4.143143310328747941e-02
1.235999999999999943e+01,1.488342465730889408e-01
1.237999999999999901e+01,5.512174607433886764e-02
1.240000000000000036e+01,5.334469977975846156e-02
1.241999999999999993e+01,2.529162741660852254e-02
1.243999999999999950e+01,2.149411845389402609e-01
1.246000000000000085e+01,2.897904551123748826e-02
1.248000000000000043e+01,1.435679748173475379e-01
1.250000000000000000e+01,1.889226333030306904e-01
1.251999999999999957e+01,-1.752736369954905823e-02
1.253999999999999915e+01,2.712957457085315993e-03
1.256000000000000050e+01,1.151944800798492402e-01
1.258000000000000007e+01,-4.121593061191586305e-02
1.259999999999999964e+01,-3.418521733174766791e-02
1.262000000000000099e+01,1.386507420885019770e-01
1.264000000000000057e+01,2.091876146676816539e-01
1.266000000000000014e+01,1.622461383842252469e-01
1.267999999999999972e+01,1.772946247873213033e-01
1.269999999999999929e+01,6.314308529533067815e-02
1.272000000000000064e+01,1.474944597473804297e-01
1.274000000000000021e+01,2.548881042950484899e-01
1.275999999999999979e+01,9.486847741174494683e-03
1.278000000000000114e+01,8.400176244460642871e-02
1.280000000000000071e+01,2.978063285660265125e-01
1.282000000000000028e+01,2.009228944380094580e-03
1.283999999999999986e+01,1.791508101409891307e-01
1.285999999999999943e+01,1.845043439283150788e-01
1.287999999999999901e+01,1.720160693398573460e-03
1.290000000000000036e+01,1.980799228733667594e-01
1.291999999999999993e+01,3.432852611483813154e-01
1.293999999999999950e+01,3.361637579474881510e-01
1.296000000000000085e+01,1.671197291837387897e-02
1.298000000000000043e+01,1.448587134278834510e-01
1.300000000000000000e+01,1.179262012341995569e-01
1.301999999999999957e+01,3.097169764759353239e-01
1.303999999999999915e+01,2.337035013721925070e-01
1.306000000000000050e+01,1.605453800022885458e-01
1.308000000000000007e+01,1.142400166828277108e-01
1.309999999999999964e+01,4.432865078730297698e-02
1.312000000000000099e+01,1.508095778303437662e-01
1.314000000000000057e+01,1.514680793954711613e-01
1.316000000000000014e+01,3.937813739182696726e-01
1.317999999999999972e+01,1.047930253430488651e-01
1.319999999999999929e+01,3.096686543470106301e-01
1.322000000000000064e+01,3.100949074758527213e-01
1.324000000000000021e+01,3.678259946711222583e-01
1.325999999999999979e+01,1.288960804995202825e-01
1.328000000000000114e+01,1.862707310873435440e-01
1.330000000000000071e+01,2.013227190606360906e-01
1.332000000000000028e+01,5.651819841156020818e-02
1.333999999999999986e+01,1.506653356834457835e-01
1.335999999999999943e+01,1.772613193696997713e-01
1.337999999999999901e+01,1.561475723587558706e-01
1.340000000000000036e+01,2.768596033052882210e-02
1.341999999999999993e+01,5.008743830454671919e-02
1.343999999999999950e+01,2.525780398224013457e-01
1.346000000000000085e+01,3.085368167926118010e-01
1.348000000000000043e+01,2.778724901920006096e-01
1.350000000000000000e+01,5.560695940032994028e-02
1.351999999999999957e+01,3.409838854847873496e-02
1.353999999999999915e+01,8.756239928125018890e-02
1.356000000000000050e+01,1.790668925093113692e-02
1.358000000000000007e+01,7.870315377601827533e-02
1.359999999999999964e+01,3.168612553074919291e-01
1.362000000000000099e+01,1.353118857179008705e-01
1.364000000000000057e+01,4.762065483424901546e-02
1.366000000000000014e+01,2.335020329313955145e-01
1.367999999999999972e+01,1.771329359668624148e-01
1.369999999999999929e+01,1.082239037162232992e-01
1.372000000000000064e+01,1.551290657536749384e-01
1.374000000000000021e+01,3.108219189185455478e-01
1.375999999999999979e+01,1.466745544894649256e-01
1.378000000000000114e+01,1.159224969784834886e-01
1.380000000000000071e+01,1.788701835103693738e-01
1.382000000000000028e+01,1.796877584991168064e-01
1.383999999999999986e+01,1.424369686080423081e-01
1.385999999999999943e+01,9.198428210932196869e-02
1.387999999999999901e+01,2.186482371814194026e-01
1.390000000000000036e+01,4.021464619647497907e-01
1.391999999999999993e+01,6.188394527620836444e-02
1.393999999999999950e+01,2.496157976233608078e-01
1.396000000000000085e+01,-1.308871062075300518e-01
1.398000000000000043e+01,2.619700332220270544e-01
1.400000000000000000e+01,1.659378775872084599e-01
1.401999999999999957e+01,4.267104838481085016e-01
1.403999999999999915e+01,1.170504297617993850e-01
1.406000000000000050e+01,1.402833137289506704e-01
1.408000000000000007e+01,1.299606654941547756e-01
1.409999999999999964e+01,8.976455696140967291e-03
1.412000000000000099e+01,1.171220397745943997e-01
1.414000000000000057e+01,2.745836362073473813e-01
1.416000000000000014e+01,9.306915199703061359e-02
1.417999999999999972e+01,8.538229810286462884e-02
1.419999999999999929e+01,1.656002394664956578e-01
1.421999999999999886e+01,8.808905357370507005e-02
1.424000000000000021e+01,2.269925527065452253e-01
1.425999999999999979e+01,1.314228515845044798e-01
1.428000000000000114e+01,2.575701302564128992e-01
1.430000000000000071e+01,2.590427441652406459e-01
1.432000000000000028e+01,1.353284346510008340e-01
1.433999999999999986e+01,7.468803108147696948e-03
1.435999999999999943e+01,1.969133069230555033e-01
1.437999999999999901e+01,1.993594558471602773e-01
1.440000000000000036e+01,1.195186560912276513e-01
1.441999999999999993e+01,1.154629487877694982e-01
1.444000000000000128e+01,1.699528615913580287e-01
1.446000000000000085e+01,1.742132457569714465e-01
1.448000000000000043e+01,1.771095151333686446e-01
1.450000000000000000e+01,1.652751769788690928e-01
1.451999999999999957e+01,7.018761544930923399e-03
1.453999999999999915e+01,6.592662916322437894e-02
1.456000000000000050e+01,3.708933888579090121e-01
1.458000000000000007e+01,2.321789562537871499e-01
1.460000000000000142e+01,1.126931237559639781e-01
