# 2Theta,Intensity
1.000000000000000000e+01,1.624200392094651280e-01
1.001999999999999957e+01,1.400297976876980488e-01
1.003999999999999915e+01,-1.132472414530047711e-01
1.006000000000000050e+01,1.875050064552749030e-01
1.008000000000000007e+01,1.674874622409341651e-01
1.009999999999999964e+01,2.053546464555476014e-01
1.011999999999999922e+01,2.197809956015818744e-01
1.014000000000000057e+01,5.576492826333340896e-02
1.016000000000000014e+01,2.406849587740133023e-01
1.017999999999999972e+01,9.958480538017119854e-02
1.019999999999999929e+01,1.911188647449080513e-01
1.022000000000000064e+01,3.365099003860849702e-01
1.024000000000000021e+01,1.206536405732718531e-01
1.025999999999999979e+01,7.400419982818719211e-02
1.027999999999999936e+01,2.669090614593078725e-01
1.030000000000000071e+01,1.173469066969900637e-01
1.032000000000000028e+01,2.508332151792480591e-01
1.033999999999999986e+01,2.252390817394835376e-01
1.035999999999999943e+01,2.028373183980156647e-01
1.038000000000000078e+01,2.285632270987780490e-01
1.040000000000000036e+01,2.813744040983872652e-01
1.041999999999999993e+01,2.605318074498536585e-01
1.043999999999999950e+01,1.196776426074839111e-01
1.046000000000000085e+01,1.322461982008540371e-01
1.048000000000000043e+01,6.805264995647690440e-02
1.050000000000000000e+01,3.723373683758897656e-01
1.051999999999999957e+01,1.712641595369274738e-01
1.053999999999999915e+01,1.207337066907113315e-01
1.056000000000000050e+01,2.689524777745803605e-02
1.058000000000000007e+01,6.317968212997211730e-02
1.059999999999999964e+01,1.032569598164585593e-02
1.061999999999999922e+01,3.180317850535194779e-01
1.064000000000000057e+01,2.474333236135669301e-01
1.066000000000000014e+01,4.117178235871563619e-01
1.067999999999999972e+01,3.430634911085884697e-01
1.069999999999999929e+01,1.296454016216940786e-01
1.072000000000000064e+01,1.245369484543674549e-01
1.074000000000000021e+01,1.094982739560391716e-01
1.075999999999999979e+01,1.040832169234074678e-01
1.077999999999999936e+01,1.470310592509058989e-01
1.080000000000000071e+01,2.232887487977392726e-01
1.082000000000000028e+01,-4.142784762828025796e-02
1.083999999999999986e+01,2.533168222855778362e-01
1.085999999999999943e+01,-1.974525596084465706e-02
1.088000000000000078e+01,2.770287752683653348e-01
1.090000000000000036e+01,1.940750367304789892e-01
1.091999999999999993e+01,1.951747978566513719e-01
1.093999999999999950e+01,6.602891459026975773e-02
1.096000000000000085e+01,1.018392939346630804e-01
1.098000000000000043e+01,1.632940949448043189e-01
1.100000000000000000e+01,5.439749146127105528e-02
1.101999999999999957e+01,-3.498050771082455296e-02
1.103999999999999915e+01,1.830387053820622112e-01
1.106000000000000050e+01,2.622348955407962090e-01
1.108000000000000007e+01,2.167705516465699422e-01
1.109999999999999964e+01,3.096586604923413644e-01
1.112000000000000099e+01,2.985372806012309699e-01
1.114000000000000057e+01,2.040965671455164110e-01
