# 2Theta,Intensity
1.000000000000000000e+01,2.566406265591099078e-01
1.001999999999999957e+01,-4.792011343490388577e-03
1.003999999999999915e+01,4.404557359473152411e-01
1.006000000000000050e+01,5.214723204267469187e-02
1.008000000000000007e+01,2.142405375618676444e-01
1.009999999999999964e+01,2.950167409739422042e-01
1.011999999999999922e+01,2.675162774845790681e-01
1.014000000000000057e+01,1.124822655561267953e-01
1.016000000000000014e+01,1.963425441485791845e-01
1.017999999999999972e+01,-5.714722100739810795e-03
1.019999999999999929e+01,1.968173486840971431e-01
1.022000000000000064e+01,2.175981434773157641e-01
1.024000000000000021e+01,2.799755761750986061e-01
1.025999999999999979e+01,1.370018156738996018e-01
1.027999999999999936e+01,3.069783514601678309e-01
1.030000000000000071e+01,6.848394434485551539e-03
1.032000000000000028e+01,-1.486715938481357122e-02
1.033999999999999986e+01,-6.154261368573450686e-02
1.035999999999999943e+01,2.745103503844583681e-01
1.038000000000000078e+01,-1.172867978869727990e-02
1.040000000000000036e+01,-5.334374903681914689e-04
1.041999999999999993e+01,2.516400048309593851e-01
1.043999999999999950e+01,3.079620993015104169e-01
1.046000000000000085e+01,5.361815845773611894e-02
1.048000000000000043e+01,4.375744732736517456e-02
1.050000000000000000e+01,5.109855608992495968e-02
1.051999999999999957e+01,2.183392610138212564e-01
1.053999999999999915e+01,4.307544466662064503e-02
1.056000000000000050e+01,1.275663997929813998e-01
1.058000000000000007e+01,-9.315522382057211948e-02
1.059999999999999964e+01,5.846069232193572968e-02
1.061999999999999922e+01,4.018951994602058542e-01
1.064000000000000057e+01,1.014776968901228288e-01
1.066000000000000014e+01,1.458297394259642221e-01
1.067999999999999972e+01,3.304656684878674033e-01
1.069999999999999929e+01,-1.007099815586465358e-01
1.072000000000000064e+01,2.011541190568210125e-01
1.074000000000000021e+01,2.331033752541080417e-01
1.075999999999999979e+01,1.213914572789395740e-01
1.077999999999999936e+01,1.259285646827553451e-01
1.080000000000000071e+01,1.438822979814043945e-01
1.082000000000000028e+01,1.610857596501266142e-01
1.083999999999999986e+01,9.737872995805235687e-02
1.085999999999999943e+01,2.565197853772034631e-02
1.088000000000000078e+01,1.279226792425885995e-01
1.090000000000000036e+01,-7.862243715947761502e-02
1.091999999999999993e+01,5.325441619788930103e-02
1.093999999999999950e+01,1.123711657605227024e-02
1.096000000000000085e+01,5.255731385982346376e-02
1.098000000000000043e+01,1.554712336361191265e-02
