# 2Theta,Intensity
1.000000000000000000e+01,1.384218256809614855e+00
1.001999999999999957e+01,1.264151386095220042e+00
1.003999999999999915e+01,1.034544878119791234e+00
1.006000000000000050e+01,1.354215003615298007e+00
1.008000000000000007e+01,1.092047428107273843e+00
1.009999999999999964e+01,1.217429523753980281e+00
1.011999999999999922e+01,1.255387662481192379e+00
1.014000000000000057e+01,1.446040044685415804e+00
1.016000000000000014e+01,1.472671898326208817e+00
1.017999999999999972e+01,1.162390148332133055e+00
1.019999999999999929e+01,1.164796338989191993e+00
1.022000000000000064e+01,1.362645882107788253e+00
1.024000000000000021e+01,1.099082088826672132e+00
1.025999999999999979e+01,1.177919063330797877e+00
1.027999999999999936e+01,1.133631210446518933e+00
1.030000000000000071e+01,1.128991187231619397e+00
1.032000000000000028e+01,1.029236600471580054e+00
1.033999999999999986e+01,1.044877769719179339e+00
1.035999999999999943e+01,1.243199139596929292e+00
1.038000000000000078e+01,1.288885139862437912e+00
1.040000000000000036e+01,1.454444504277274230e+00
1.041999999999999993e+01,1.138012286365098991e+00
1.043999999999999950e+01,1.080656189326325789e+00
1.046000000000000085e+01,1.679222213603271285e+00
1.048000000000000043e+01,1.190342445335313748e+00
1.050000000000000000e+01,9.326833445895206243e-01
1.051999999999999957e+01,1.282189508923234911e+00
1.053999999999999915e+01,1.065576227252923669e+00
1.056000000000000050e+01,1.047317283522890996e+00
1.058000000000000007e+01,1.164059304180903531e+00
1.059999999999999964e+01,1.201710705451115802e+00
1.061999999999999922e+01,1.212239293292641129e+00
1.064000000000000057e+01,8.287033997829038601e-01
1.066000000000000014e+01,1.028909573237666075e+00
1.067999999999999972e+01,1.029913453179738037e+00
1.069999999999999929e+01,1.288572255125947752e+00
1.072000000000000064e+01,1.138103332876558627e+00
1.074000000000000021e+01,1.170929690562350300e+00
1.075999999999999979e+01,1.310480198492841808e+00
1.077999999999999936e+01,1.338623341206546025e+00
1.080000000000000071e+01,1.097608836479115002e+00
1.082000000000000028e+01,1.151977366565656080e+00
1.083999999999999986e+01,1.319293389247481407e+00
1.085999999999999943e+01,8.273218610421697594e-01
1.088000000000000078e+01,1.213280083104794072e+00
1.090000000000000036e+01,1.135511525630008345e+00
1.091999999999999993e+01,1.317916003240697798e+00
1.093999999999999950e+01,1.233915272554044540e+00
1.096000000000000085e+01,1.272603943315575137e+00
1.098000000000000043e+01,1.302273219218723854e+00
1.100000000000000000e+01,1.417260768959653916e+00
1.101999999999999957e+01,1.269949891372660344e+00
1.103999999999999915e+01,9.462506217422096411e-01
1.106000000000000050e+01,1.135563216912064632e+00
1.108000000000000007e+01,1.162087354013175977e+00
1.109999999999999964e+01,1.431141312305939550e+00
1.112000000000000099e+01,9.230106546227554443e-01
1.114000000000000057e+01,1.115880117230202195e+00
1.116000000000000014e+01,1.313719620733360127e+00
1.117999999999999972e+01,1.265856681337348189e+00
1.119999999999999929e+01,1.086441639608454635e+00
1.122000000000000064e+01,1.280632739671437648e+00
1.124000000000000021e+01,1.540905495750009235e+00
1.125999999999999979e+01,1.002991528304386648e+00
1.127999999999999936e+01,1.511833296592373088e+00
1.130000000000000071e+01,1.324900480897603927e+00
1.132000000000000028e+01,1.090168041784215225e+00
1.133999999999999986e+01,1.179548036143668766e+00
1.135999999999999943e+01,1.302566924195057485e+00
1.138000000000000078e+01,1.433491750363501849e+00
1.140000000000000036e+01,1.207285413568121912e+00
1.141999999999999993e+01,1.162783652567506598e+00
1.143999999999999950e+01,1.090499011144032915e+00
1.146000000000000085e+01,1.452732250524184643e+00
1.148000000000000043e+01,1.201050450741055542e+00
1.150000000000000000e+01,1.676068762782113586e+00
1.151999999999999957e+01,1.300356045509626135e+00
1.153999999999999915e+01,1.068472980811587369e+00
1.156000000000000050e+01,1.448490490485080606e+00
1.158000000000000007e+01,1.448313073317966548e+00
1.159999999999999964e+01,9.801368443689260079e-01
1.162000000000000099e+01,1.090480549151860989e+00
1.164000000000000057e+01,1.481809742124019502e+00
1.166000000000000014e+01,8.974983443483961487e-01
1.167999999999999972e+01,1.080216240270424288e+00
1.169999999999999929e+01,1.524210442483278971e+00
1.172000000000000064e+01,1.498076583768049863e+00
1.174000000000000021e+01,1.250252295883566234e+00
1.175999999999999979e+01,8.465875916172599380e-01
1.177999999999999936e+01,1.233614513529355916e+00
1.180000000000000071e+01,1.267454788941809074e+00
1.182000000000000028e+01,1.036575209397162523e+00
1.183999999999999986e+01,1.122217758432427992e+00
1.185999999999999943e+01,1.298510895039389323e+00
1.188000000000000078e+01,9.827308771558920242e-01
1.190000000000000036e+01,1.399222972722191649e+00
1.191999999999999993e+01,1.227868897142551763e+00
1.193999999999999950e+01,1.022448651409103126e+00
1.196000000000000085e+01,1.274489070576831251e+00
1.198000000000000043e+01,1.265294101139818439e+00
1.200000000000000000e+01,1.346384391571164629e+00
1.201999999999999957e+01,1.176680807349306690e+00
1.203999999999999915e+01,1.351108285923693142e+00
1.206000000000000050e+01,1.384308158688773771e+00
1.208000000000000007e+01,1.241285762275264881e+00
1.209999999999999964e+01,1.094523957243595635e+00
1.212000000000000099e+01,9.382628272302520056e-01
1.214000000000000057e+01,1.272608356877217739e+00
1.216000000000000014e+01,1.241338211315693663e+00
1.217999999999999972e+01,1.569894311416163424e+00
1.219999999999999929e+01,1.365558287297690576e+00
1.222000000000000064e+01,1.047009984829895712e+00
1.224000000000000021e+01,1.467819102955461474e+00
1.225999999999999979e+01,1.026054859185564050e+00
