# 2Theta,Intensity
1.000000000000000000e+01,2.912479874921267489e-02
1.001999999999999957e+01,9.330022462804822558e-02
1.003999999999999915e+01,1.145228883646395024e-01
1.006000000000000050e+01,1.154896110619797744e-01
1.008000000000000007e+01,-9.834747441507121768e-02
1.009999999999999964e+01,3.559445816149620079e-02
1.011999999999999922e+01,8.982894372487966461e-02
1.014000000000000057e+01,2.414538560861528294e-01
1.016000000000000014e+01,7.398108334792088958e-02
1.017999999999999972e+01,2.518943104120527354e-01
1.019999999999999929e+01,-3.649059721776452478e-03
1.022000000000000064e+01,2.222767215003415286e-01
1.024000000000000021e+01,2.305371507512120680e-02
1.025999999999999979e+01,4.505416684018337392e-01
1.027999999999999936e+01,9.388896071606904481e-02
1.030000000000000071e+01,1.526291986403285894e-01
1.032000000000000028e+01,3.265717134382763176e-02
1.033999999999999986e+01,2.587637553768784571e-01
1.035999999999999943e+01,2.183042947184948568e-01
1.038000000000000078e+01,1.750966901722200153e-01
1.040000000000000036e+01,2.632454707593928078e-01
1.041999999999999993e+01,3.109413397121859046e-01
1.043999999999999950e+01,4.787554521841347333e-01
1.046000000000000085e+01,4.629387491053537640e-01
1.048000000000000043e+01,4.085775707573812698e-01
1.050000000000000000e+01,4.235495483541724671e-01
1.051999999999999957e+01,1.092515470112909615e+00
1.053999999999999915e+01,1.185782148618146126e+00
1.056000000000000050e+01,1.775347477483006919e+00
1.058000000000000007e+01,5.497004315229673921e+00
1.059999999999999964e+01,1.703562187886589641e+01
1.061999999999999922e+01,3.194428150165683888e+01
1.064000000000000057e+01,3.540685095786717795e+01
1.066000000000000014e+01,1.922576375437079221e+01
1.067999999999999972e+01,6.963520776618828734e+00
1.069999999999999929e+01,2.381916305041112292e+00
1.072000000000000064e+01,9.490621247733609378e-01
1.074000000000000021e+01,9.662035801485924225e-01
1.075999999999999979e+01,4.991224363114716844e-01
1.077999999999999936e+01,5.920836947781875637e-01
1.080000000000000071e+01,4.421696345591900057e-01
1.082000000000000028e+01,2.416678579122594206e-01
1.083999999999999986e+01,2.260978932383218565e-01
1.085999999999999943e+01,2.062327229390599481e-01
1.088000000000000078e+01,2.578798329648766541e-01
1.090000000000000036e+01,1.927169205797725493e-01
1.091999999999999993e+01,4.346579147618682692e-01
1.093999999999999950e+01,2.450310033683036348e-01
1.096000000000000085e+01,1.394768646585844152e-01
1.098000000000000043e+01,1.419417196914220802e-01
1.100000000000000000e+01,2.242531601383553896e-01
1.101999999999999957e+01,2.098379555764325749e-02
1.103999999999999915e+01,1.178263070413325952e-01
1.106000000000000050e+01,1.904642596257794529e-01
1.108000000000000007e+01,1.430992384247554983e-01
1.109999999999999964e+01,9.025438705749366797e-02
1.112000000000000099e+01,2.762839322490067140e-01
1.114000000000000057e+01,1.842829751703913277e-01
1.116000000000000014e+01,2.167232327790768742e-01
1.117999999999999972e+01,1.822217333144240392e-01
1.119999999999999929e+01,1.312048345219607448e-01
1.122000000000000064e+01,2.797080952721469130e-02
1.124000000000000021e+01,2.276711178649129252e-01
1.125999999999999979e+01,1.583967439024570600e-01
1.127999999999999936e+01,3.827606447758701291e-01
1.130000000000000071e+01,1.825494007530016616e-01
1.132000000000000028e+01,3.070296504711898522e-01
1.133999999999999986e+01,9.014993277238254887e-02
1.135999999999999943e+01,1.747918291088039200e-01
1.138000000000000078e+01,2.701687136391540678e-01
1.140000000000000036e+01,-6.254496119417224387e-02
1.141999999999999993e+01,2.451066985982817970e-02
1.143999999999999950e+01,6.339425361584589969e-02
1.146000000000000085e+01,1.664590510968880499e-01
1.148000000000000043e+01,4.243424011927322131e-02
1.150000000000000000e+01,2.859328865867286074e-01
1.151999999999999957e+01,-1.477694178906810152e-01
1.153999999999999915e+01,1.253047829487669018e-01
1.156000000000000050e+01,-3.445931332486337068e-02
1.158000000000000007e+01,1.348439621063702853e-01
1.159999999999999964e+01,2.903007676179041319e-01
1.162000000000000099e+01,9.069794214623129458e-02
1.164000000000000057e+01,1.414490528833566851e-01
1.166000000000000014e+01,1.734631868684655132e-01
1.167999999999999972e+01,-1.454568877394010473e-01
1.169999999999999929e+01,1.458872137746174968e-01
1.172000000000000064e+01,1.724090038608999953e-01
1.174000000000000021e+01,3.524044418375112953e-01
1.175999999999999979e+01,2.241858855759095437e-01
1.177999999999999936e+01,1.920299385045348972e-01
1.180000000000000071e+01,2.291214663588056755e-01
1.182000000000000028e+01,1.024611650024001286e-01
1.183999999999999986e+01,8.704335301867864583e-02
1.185999999999999943e+01,1.997894287860484119e-01
1.188000000000000078e+01,-1.006773171531733513e-01
1.190000000000000036e+01,8.710733907348103267e-02
1.191999999999999993e+01,3.499360689608355807e-02
1.193999999999999950e+01,4.300870060612247553e-02
1.196000000000000085e+01,9.838645880974236646e-02
1.198000000000000043e+01,9.420495633354321330e-02
1.200000000000000000e+01,7.205405457935590285e-02
1.201999999999999957e+01,2.384547502202466196e-01
1.203999999999999915e+01,-9.411208004278551198e-02
1.206000000000000050e+01,1.938886047788423439e-01
1.208000000000000007e+01,2.429621251691423678e-01
1.209999999999999964e+01,4.246833654002141190e-02
1.212000000000000099e+01,6.283776226629977923e-02
1.214000000000000057e+01,1.605219097340339698e-02
1.216000000000000014e+01,-1.382839621704263777e-01
1.217999999999999972e+01,-1.519131583319030879e-02
1.219999999999999929e+01,8.238322691364718953e-02
1.222000000000000064e+01,1.873174021060399486e-01
1.224000000000000021e+01,1.120222864015575220e-01
1.225999999999999979e+01,8.671459870505202061e-02
1.228000000000000114e+01,-4.750350268241059631e-02
1.230000000000000071e+01,1.802197687866500531e-01
1.232000000000000028e+01,-3.883031796380829667e-03
1.233999999999999986e+01,-8.287076461632411628e-02
1.235999999999999943e+01,1.528403967347063408e-01
1.237999999999999901e+01,9.230813784134565825e-02
1.240000000000000036e+01,1.296694679030865882e-01
1.241999999999999993e+01,2.279227069740983463e-02
1.243999999999999950e+01,2.285548820042837895e-02
1.246000000000000085e+01,4.568742680650041132e-02
1.248000000000000043e+01,1.317948978252205805e-01
1.250000000000000000e+01,8.851689320031407016e-02
1.251999999999999957e+01,2.151070920443056700e-01
1.253999999999999915e+01,2.566317178990659142e-01
1.256000000000000050e+01,7.304290450814551749e-02
1.258000000000000007e+01,3.813567471003893178e-02
1.259999999999999964e+01,-5.238410695505618143e-03
1.262000000000000099e+01,3.067227603304486516e-01
1.264000000000000057e+01,6.601975630312367782e-02
1.266000000000000014e+01,7.467945428818172082e-02
1.267999999999999972e+01,2.233478567344024737e-02
1.269999999999999929e+01,9.970623361714024691e-02
1.272000000000000064e+01,6.351771854935027439e-02
