# 2Theta,Intensity
1.000000000000000000e+01,2.511003865352949282e-01
1.001999999999999957e+01,6.135361472349622897e-02
1.003999999999999915e+01,4.129309400315852030e-01
1.006000000000000050e+01,4.829229982637733287e-01
1.008000000000000007e+01,3.406961201345397594e-01
1.009999999999999964e+01,3.888140938967455940e-01
1.011999999999999922e+01,3.525122207775554517e-01
1.014000000000000057e+01,4.011943799960442369e-01
1.016000000000000014e+01,2.052809350666604804e-01
1.017999999999999972e+01,3.931721380199393878e-01
1.019999999999999929e+01,2.873298859435317598e-01
1.022000000000000064e+01,3.819566283053633104e-01
1.024000000000000021e+01,5.689901809332361671e-01
1.025999999999999979e+01,4.163282438772237803e-01
1.027999999999999936e+01,4.342749980386391151e-01
1.030000000000000071e+01,1.138983040729498186e-01
1.032000000000000028e+01,3.307263748443969309e-01
1.033999999999999986e+01,1.387418668016452417e-01
1.035999999999999943e+01,4.516077415287627489e-02
1.038000000000000078e+01,3.822762715949457046e-01
1.040000000000000036e+01,2.442385746102916366e-01
1.041999999999999993e+01,3.087292026850138038e-01
1.043999999999999950e+01,4.331760340332503345e-01
1.046000000000000085e+01,5.100148069365373349e-01
1.048000000000000043e+01,7.481265568874382321e-01
1.050000000000000000e+01,3.545598670687689080e-01
1.051999999999999957e+01,2.581876407441980326e-01
1.053999999999999915e+01,1.839745406184935261e-01
1.056000000000000050e+01,4.338839300193764736e-01
1.058000000000000007e+01,3.978686349889472007e-01
1.059999999999999964e+01,4.666629177343939450e-01
1.061999999999999922e+01,2.990608804079673000e-01
1.064000000000000057e+01,3.906437932967984361e-01
1.066000000000000014e+01,1.359140712681138619e-01
1.067999999999999972e+01,2.397033647875007889e-01
1.069999999999999929e+01,2.303450715362422019e-01
1.072000000000000064e+01,4.064654316912936216e-01
1.074000000000000021e+01,2.205387147677110582e-01
1.075999999999999979e+01,2.520080547664201864e-01
1.077999999999999936e+01,2.770886432986743864e-01
1.080000000000000071e+01,4.529357248888928877e-01
1.082000000000000028e+01,4.069595656752180157e-01
1.083999999999999986e+01,3.139579067248889910e-01
1.085999999999999943e+01,1.046334868047252287e-01
1.088000000000000078e+01,4.473830199344397407e-01
1.090000000000000036e+01,2.679794325307299219e-01
1.091999999999999993e+01,3.103217779424055078e-01
1.093999999999999950e+01,3.330939758310561549e-01
1.096000000000000085e+01,3.685784687838092322e-02
1.098000000000000043e+01,7.311530193303446279e-02
1.100000000000000000e+01,3.082184345349752719e-01
1.101999999999999957e+01,4.490613513877523832e-01
1.103999999999999915e+01,3.753414669969689643e-01
1.106000000000000050e+01,2.680819573918755139e-01
1.108000000000000007e+01,2.366568139421498240e-01
1.109999999999999964e+01,2.327646867080175874e-01
1.112000000000000099e+01,3.937633981330898592e-01
1.114000000000000057e+01,4.808424060631507069e-01
1.116000000000000014e+01,3.070152682151263690e-01
1.117999999999999972e+01,1.973910152977803034e-01
1.119999999999999929e+01,2.557686697823677302e-01
1.122000000000000064e+01,4.956317068455288188e-01
1.124000000000000021e+01,4.918859645333651942e-01
1.125999999999999979e+01,5.302884971708362594e-01
1.127999999999999936e+01,5.021198009787000149e-01
1.130000000000000071e+01,4.100675792114713003e-01
1.132000000000000028e+01,4.375234409896771592e-01
1.133999999999999986e+01,1.841205719319923273e-01
1.135999999999999943e+01,3.912709905777254638e-01
1.138000000000000078e+01,2.989742784083316285e-01
1.140000000000000036e+01,1.735909363968277386e-01
1.141999999999999993e+01,2.600630557100270246e-01
1.143999999999999950e+01,3.406834938784869538e-01
1.146000000000000085e+01,2.821313628526226913e-01
1.148000000000000043e+01,4.696957756945711049e-01
1.150000000000000000e+01,2.409245958266636664e-02
1.151999999999999957e+01,8.067704532903539894e-02
1.153999999999999915e+01,1.384385065305620555e-01
1.156000000000000050e+01,2.622441000114433818e-01
1.158000000000000007e+01,3.657834460716377634e-01
1.159999999999999964e+01,2.959507873184999971e-01
1.162000000000000099e+01,4.668607284452551132e-01
1.164000000000000057e+01,4.756378137189897770e-01
1.166000000000000014e+01,1.294580431296343814e-01
1.167999999999999972e+01,3.177449941132923783e-01
1.169999999999999929e+01,3.831702917838234468e-01
1.172000000000000064e+01,5.020910263157324360e-01
1.174000000000000021e+01,3.182276555351269409e-01
1.175999999999999979e+01,3.994965834745843325e-01
1.177999999999999936e+01,2.380470568591591674e-01
1.180000000000000071e+01,3.752335490338141177e-01
1.182000000000000028e+01,5.657334732477755646e-01
1.183999999999999986e+01,1.605030796929686199e-01
1.185999999999999943e+01,3.334561079894811098e-01
1.188000000000000078e+01,2.451773156351192695e-01
1.190000000000000036e+01,4.695911235556021190e-01
1.191999999999999993e+01,1.187204510584473072e-01
1.193999999999999950e+01,4.608937958495719633e-01
1.196000000000000085e+01,2.468866989328303008e-01
1.198000000000000043e+01,4.467724791089579539e-01
1.200000000000000000e+01,2.779994252505444408e-01
1.201999999999999957e+01,6.096144541310209997e-01
1.203999999999999915e+01,2.167486055327437766e-01
1.206000000000000050e+01,1.988810230045783278e-01
1.208000000000000007e+01,3.416550715146185468e-01
1.209999999999999964e+01,4.100694648041948165e-01
1.212000000000000099e+01,4.356946958794555291e-01
1.214000000000000057e+01,2.575460709594913356e-01
1.216000000000000014e+01,2.754680045640207631e-01
1.217999999999999972e+01,1.825431117327210584e-01
1.219999999999999929e+01,3.807107208565710943e-01
1.222000000000000064e+01,4.161802968083381793e-01
1.224000000000000021e+01,6.005520961438086669e-01
1.225999999999999979e+01,2.837736255916760153e-01
1.228000000000000114e+01,2.917636691768452084e-01
1.230000000000000071e+01,2.479343631125901226e-01
1.232000000000000028e+01,3.873797561165563397e-01
1.233999999999999986e+01,1.977001157095433503e-01
1.235999999999999943e+01,2.977799225690996310e-01
