# 2Theta,Intensity
1.000000000000000000e+01,4.391556018816218376e-01
1.001999999999999957e+01,5.041426596368697721e-01
1.003999999999999915e+01,6.088741018637204849e-01
1.006000000000000050e+01,6.819093708455992164e-01
1.008000000000000007e+01,1.132113963922740663e+00
1.009999999999999964e+01,1.853366946020766237e+00
1.011999999999999922e+01,4.538789184967736645e+00
1.014000000000000057e+01,1.495173944480215944e+01
1.016000000000000014e+01,3.496568065682390625e+01
1.017999999999999972e+01,4.714989287915346239e+01
1.019999999999999929e+01,3.394877608612278408e+01
1.022000000000000064e+01,1.376327316957145541e+01
1.024000000000000021e+01,4.293877605987277413e+00
1.025999999999999979e+01,1.354888542544628871e+00
1.027999999999999936e+01,9.916076202027921394e-01
1.030000000000000071e+01,6.108315611534217426e-01
1.032000000000000028e+01,6.835785509438949692e-01
1.033999999999999986e+01,2.716722831692831575e-01
1.035999999999999943e+01,3.780270449585588777e-01
1.038000000000000078e+01,2.635467076621132443e-01
1.040000000000000036e+01,4.257477715636583948e-01
1.041999999999999993e+01,2.932186587232893937e-01
1.043999999999999950e+01,3.178813848462909708e-01
1.046000000000000085e+01,1.096832448115398345e-01
1.048000000000000043e+01,-1.220035705953557703e-01
1.050000000000000000e+01,1.406886040773485391e-01
1.051999999999999957e+01,2.224294688722948388e-01
1.053999999999999915e+01,1.879163867784665043e-01
1.056000000000000050e+01,5.825272176520389367e-02
1.058000000000000007e+01,-2.220149928324918406e-02
1.059999999999999964e+01,2.574863129744991985e-01
1.061999999999999922e+01,1.025138062153396618e-01
1.064000000000000057e+01,1.567669771861943673e-01
1.066000000000000014e+01,2.580119875173511046e-01
1.067999999999999972e+01,4.228152464365141361e-01
1.069999999999999929e+01,3.220565839577956002e-02
1.072000000000000064e+01,-1.177250716028045985e-01
1.074000000000000021e+01,3.401239345281631410e-01
1.075999999999999979e+01,2.391350444684654519e-01
1.077999999999999936e+01,2.420970832980108567e-01
1.080000000000000071e+01,7.973326370372083027e-02
1.082000000000000028e+01,1.890639496703005185e-01
1.083999999999999986e+01,1.502351655116105078e-01
1.085999999999999943e+01,1.222632906271707842e-01
1.088000000000000078e+01,2.489557294707862023e-01
1.090000000000000036e+01,2.243985145078230270e-01
1.091999999999999993e+01,2.199361721862292951e-01
1.093999999999999950e+01,3.525840881273827887e-01
1.096000000000000085e+01,1.176179659625160578e-01
1.098000000000000043e+01,5.300725808646454540e-02
1.100000000000000000e+01,8.320983335430057540e-03
1.101999999999999957e+01,3.137296216385606074e-01
1.103999999999999915e+01,2.717579522874498110e-01
1.106000000000000050e+01,-6.109966085367211919e-02
1.108000000000000007e+01,3.991641475351533908e-01
1.109999999999999964e+01,2.469522319463767629e-02
1.112000000000000099e+01,6.842751237682999366e-02
1.114000000000000057e+01,1.338471734266714896e-01
1.116000000000000014e+01,1.538424833866232078e-01
1.117999999999999972e+01,1.019100962137173688e-01
1.119999999999999929e+01,8.124931024988782044e-03
1.122000000000000064e+01,1.689149545309208134e-01
1.124000000000000021e+01,-6.190228919055670853e-02
1.125999999999999979e+01,7.584175395294119604e-02
1.127999999999999936e+01,3.204675247138928373e-01
1.130000000000000071e+01,5.615780464289665125e-02
1.132000000000000028e+01,3.411893127874978532e-02
1.133999999999999986e+01,2.888782989743197693e-01
1.135999999999999943e+01,2.776493895230162101e-01
1.138000000000000078e+01,-6.425642424852046064e-02
1.140000000000000036e+01,1.375845383832165203e-01
1.141999999999999993e+01,1.887669474041636375e-01
1.143999999999999950e+01,1.171978608101771346e-01
1.146000000000000085e+01,1.742054641087121269e-01
1.148000000000000043e+01,2.222661021226393363e-01
1.150000000000000000e+01,1.901055802871478850e-01
1.151999999999999957e+01,-8.933353819901580783e-02
1.153999999999999915e+01,1.500318667121183780e-01
1.156000000000000050e+01,2.699754493342060857e-01
1.158000000000000007e+01,1.995552916020220113e-01
1.159999999999999964e+01,1.475829902105806057e-01
1.162000000000000099e+01,-6.271689177185063580e-02
1.164000000000000057e+01,2.090823747945111666e-01
1.166000000000000014e+01,1.903994830461852028e-01
1.167999999999999972e+01,2.772183842970963319e-01
1.169999999999999929e+01,6.825177302565949011e-02
1.172000000000000064e+01,1.999876544541028534e-01
1.174000000000000021e+01,2.856222966875460734e-01
1.175999999999999979e+01,7.738439701955592345e-03
1.177999999999999936e+01,1.771691172253762325e-01
1.180000000000000071e+01,-1.696751765465821793e-02
1.182000000000000028e+01,3.178164766409104502e-01
