# 2Theta,Intensity
1.000000000000000000e+01,3.994908789308872221e-02
1.001999999999999957e+01,4.548583000097396190e-02
1.003999999999999915e+01,9.295870813138347455e-02
1.006000000000000050e+01,-3.893773957210271836e-02
1.008000000000000007e+01,-5.796613289631365185e-02
1.009999999999999964e+01,8.859494119924084254e-02
1.011999999999999922e+01,1.447061683934048326e-01
1.014000000000000057e+01,1.345733113929538927e-01
1.016000000000000014e+01,-1.850943708532147569e-02
1.017999999999999972e+01,1.953943873745026816e-01
1.019999999999999929e+01,2.332329879245151616e-01
1.022000000000000064e+01,-4.724492239616968903e-02
1.024000000000000021e+01,1.270620496043100567e-01
1.025999999999999979e+01,4.061913813911995075e-02
1.027999999999999936e+01,-5.348945976682729919e-02
1.030000000000000071e+01,-1.616330757703896281e-01
1.032000000000000028e+01,1.687874655183103645e-01
1.033999999999999986e+01,2.117827939904130471e-02
1.035999999999999943e+01,-1.077294070959551459e-01
1.038000000000000078e+01,4.667130408813596754e-02
1.040000000000000036e+01,3.775894594220482320e-02
1.041999999999999993e+01,1.456336718657779694e-01
1.043999999999999950e+01,1.866368940140632482e-01
1.046000000000000085e+01,1.389514067899088878e-01
1.048000000000000043e+01,-4.580168127735379478e-03
1.050000000000000000e+01,9.820928727125603774e-02
1.051999999999999957e+01,8.573542809041648227e-02
1.053999999999999915e+01,7.357138796526262181e-02
1.056000000000000050e+01,6.649966403357536471e-02
1.058000000000000007e+01,1.306477661474655105e-01
1.059999999999999964e+01,3.100434555459535835e-02
1.061999999999999922e+01,2.389586267505196815e-01
1.064000000000000057e+01,2.596519809191418296e-02
1.066000000000000014e+01,9.200498845016762822e-03
1.067999999999999972e+01,1.564738262557485160e-01
1.069999999999999929e+01,2.501830855442793711e-01
1.072000000000000064e+01,-1.083313132972352072e-01
1.074000000000000021e+01,9.701064964131278501e-02
1.075999999999999979e+01,1.078967557493766966e-01
1.077999999999999936e+01,8.429016709585421263e-02
1.080000000000000071e+01,2.963320919676182275e-01
1.082000000000000028e+01,1.388883878331929334e-01
1.083999999999999986e+01,1.343692188992280101e-01
1.085999999999999943e+01,1.251493919150516998e-01
1.088000000000000078e+01,1.372583634530831487e-01
1.090000000000000036e+01,1.919375250014841022e-02
1.091999999999999993e+01,2.372957269406310299e-01
1.093999999999999950e+01,-5.254677830875736921e-02
1.096000000000000085e+01,1.088724039359016960e-01
1.098000000000000043e+01,-4.288701845057716483e-02
1.100000000000000000e+01,3.019827100763460836e-01
1.101999999999999957e+01,1.005933714389009859e-01
1.103999999999999915e+01,-1.491842318439345265e-04
1.106000000000000050e+01,2.670942773416731253e-01
1.108000000000000007e+01,1.109346670175200417e-01
1.109999999999999964e+01,4.566729982607762445e-02
1.112000000000000099e+01,1.870783348477179919e-01
1.114000000000000057e+01,-1.090294285860946566e-01
1.116000000000000014e+01,1.428389670232347308e-01
1.117999999999999972e+01,-3.617394883601478262e-02
1.119999999999999929e+01,-2.685233733305816134e-02
1.122000000000000064e+01,2.592307930776720573e-02
1.124000000000000021e+01,6.737292268827645147e-02
1.125999999999999979e+01,3.351633724131337089e-01
1.127999999999999936e+01,-5.385148192349921425e-02
1.130000000000000071e+01,1.353676649254947732e-02
1.132000000000000028e+01,7.713594183162307549e-02
1.133999999999999986e+01,-7.740178065956536402e-02
1.135999999999999943e+01,9.591961881059725414e-02
1.138000000000000078e+01,-8.807961816400530775e-02
1.140000000000000036e+01,1.221924628894070219e-01
1.141999999999999993e+01,7.648223036838923405e-02
1.143999999999999950e+01,6.487211683903088000e-02
1.146000000000000085e+01,1.455714276799076057e-01
1.148000000000000043e+01,-5.802944678410830448e-02
1.150000000000000000e+01,3.344273271062594283e-02
1.151999999999999957e+01,-5.259080741713355843e-03
1.153999999999999915e+01,1.439691961569068424e-01
1.156000000000000050e+01,8.630670543906543424e-02
1.158000000000000007e+01,1.390204136094868870e-01
1.159999999999999964e+01,1.175216951619522249e-01
1.162000000000000099e+01,-4.130404438069287809e-02
1.164000000000000057e+01,1.499443874256130571e-01
1.166000000000000014e+01,2.426415317930881999e-01
1.167999999999999972e+01,-4.458886327858384291e-02
1.169999999999999929e+01,-1.042492084659630558e-01
1.172000000000000064e+01,8.669463288929184219e-02
1.174000000000000021e+01,1.743543588711954084e-01
1.175999999999999979e+01,5.469196042361181703e-02
1.177999999999999936e+01,1.789684160363073928e-01
1.180000000000000071e+01,1.523535061237495936e-01
1.182000000000000028e+01,1.916580745626265680e-01
1.183999999999999986e+01,-4.717033439575172432e-02
1.185999999999999943e+01,1.618623618725891222e-01
1.188000000000000078e+01,-3.544626312013385294e-02
1.190000000000000036e+01,-1.783440382967746429e-01
1.191999999999999993e+01,-4.488923507803931762e-02
1.193999999999999950e+01,1.361367796857751999e-01
1.196000000000000085e+01,1.612324156617278015e-01
1.198000000000000043e+01,-2.716452311009177611e-01
1.200000000000000000e+01,2.178658284718918148e-01
1.201999999999999957e+01,-2.644308738787713373e-02
1.203999999999999915e+01,1.962265337835902290e-01
1.206000000000000050e+01,-7.799342832466892028e-02
1.208000000000000007e+01,1.629666585600730022e-01
