2theta,intensity
1.001999999999999957e+01,3.063200712178570928e-01
1.003999999999999915e+01,3.538647197122485877e-01
1.006000000000000050e+01,1.951558806759143838e-01
1.008000000000000007e+01,2.716983589280220213e-01
1.009999999999999964e+01,3.875916816208120896e-01
1.011999999999999922e+01,4.139285043554461474e-01
1.014000000000000057e+01,3.053089839153059204e-01
1.016000000000000014e+01,3.378532458043848052e-01
1.017999999999999972e+01,5.066187376474426962e-01
1.019999999999999929e+01,3.459326124235179156e-01
1.022000000000000064e+01,2.893097187686622385e-01
1.024000000000000021e+01,3.622042314301437416e-01
1.025999999999999979e+01,2.565669553388716939e-01
1.027999999999999936e+01,1.276084803641079901e-01
1.030000000000000071e+01,2.678024527797991383e-01
1.032000000000000028e+01,3.855042338268240276e-01
1.033999999999999986e+01,1.997157026600593632e-01
1.035999999999999943e+01,2.238905178007295771e-01
1.038000000000000078e+01,3.070935266074864001e-01
1.040000000000000036e+01,3.505972244537520766e-01
1.041999999999999993e+01,4.379274126634112863e-01
1.043999999999999950e+01,4.364450376389381048e-01
1.046000000000000085e+01,3.199451164415041959e-01
1.048000000000000043e+01,3.008332281970841904e-01
1.050000000000000000e+01,3.614112017145037492e-01
1.051999999999999957e+01,3.416133833468115721e-01
1.053999999999999915e+01,3.276058712228724912e-01
1.056000000000000050e+01,3.667404363424519032e-01
1.058000000000000007e+01,3.342591903397799102e-01
1.059999999999999964e+01,4.045258107946027581e-01
1.061999999999999922e+01,4.090046278859654771e-01
1.064000000000000057e+01,2.576006906442481759e-01
1.066000000000000014e+01,3.385026986048775832e-01
1.067999999999999972e+01,4.975449036668268543e-01
1.069999999999999929e+01,3.265870293997846785e-01
1.072000000000000064e+01,2.339227157902446785e-01
1.074000000000000021e+01,3.794648813895349915e-01
1.075999999999999979e+01,3.462533586993761237e-01
1.077999999999999936e+01,4.614372571795513633e-01
1.080000000000000071e+01,4.939347219831122238e-01
1.082000000000000028e+01,3.901812679150239438e-01
1.083999999999999986e+01,3.915624875574935659e-01
1.085999999999999943e+01,4.008740461210262840e-01
1.088000000000000078e+01,3.282427412292960867e-01
1.090000000000000036e+01,4.018949320600878061e-01
1.091999999999999993e+01,3.588530058287434099e-01
1.093999999999999950e+01,2.824892187519145170e-01
1.096000000000000085e+01,2.845033359109133131e-01
1.098000000000000043e+01,3.956446871692008149e-01
1.100000000000000000e+01,4.921514184802885383e-01
1.101999999999999957e+01,2.839617645087072484e-01
1.103999999999999915e+01,3.999809204285956765e-01
1.106000000000000050e+01,4.728557735438265186e-01
1.108000000000000007e+01,3.227757423140758530e-01
1.109999999999999964e+01,3.938858025167205068e-01
1.111999999999999922e+01,2.952178546969100870e-01
1.114000000000000057e+01,2.726938475021989383e-01
1.116000000000000014e+01,3.316087059383888147e-01
1.117999999999999972e+01,2.171256259357751406e-01
1.119999999999999929e+01,2.606604170924635699e-01
1.122000000000000064e+01,2.963491501008245210e-01
1.124000000000000021e+01,4.913173186182950847e-01
1.125999999999999979e+01,4.163307632272753578e-01
1.127999999999999936e+01,2.147075163502304151e-01
1.130000000000000071e+01,3.223625697867739115e-01
1.132000000000000028e+01,2.561668999641776301e-01
1.133999999999999986e+01,2.742583658939438673e-01
1.135999999999999943e+01,2.647683599053243242e-01
1.138000000000000078e+01,2.715698464260447587e-01
1.140000000000000036e+01,3.763592183323997697e-01
1.141999999999999993e+01,3.259276008171367867e-01
1.143999999999999950e+01,3.803680524400711582e-01
1.146000000000000085e+01,3.062394259258124363e-01
1.148000000000000043e+01,2.405361251388218047e-01
1.150000000000000000e+01,2.736107320491038553e-01
1.151999999999999957e+01,3.336608091611209526e-01
1.153999999999999915e+01,3.842819291079707100e-01
1.156000000000000050e+01,3.735053151841599695e-01
1.158000000000000007e+01,4.045835033281038329e-01
1.159999999999999964e+01,2.878916757085343558e-01
1.161999999999999922e+01,3.016669272886046693e-01
1.164000000000000057e+01,4.892512894879240126e-01
1.166000000000000014e+01,3.715876294555467418e-01
1.167999999999999972e+01,1.587186603913722793e-01
1.169999999999999929e+01,2.450225160972013816e-01
1.172000000000000064e+01,4.129275081609115605e-01
1.174000000000000021e+01,3.752066452706698807e-01
1.175999999999999979e+01,3.739677586282175725e-01
1.177999999999999936e+01,4.339048512371206368e-01
1.180000000000000071e+01,4.481814948807983368e-01
1.182000000000000028e+01,3.245265447270557213e-01
1.183999999999999986e+01,3.176191430868917642e-01
1.185999999999999943e+01,3.480483676040979635e-01
1.188000000000000078e+01,1.352524646799532215e-01
1.190000000000000036e+01,1.309332432195635387e-01
1.191999999999999993e+01,3.151652486584677892e-01
1.193999999999999950e+01,4.492365672571841939e-01
1.196000000000000085e+01,1.835135598077817232e-01
1.198000000000000043e+01,2.290419891256942897e-01
1.200000000000000000e+01,3.744858682770682012e-01
1.201999999999999957e+01,3.493867312804842529e-01
1.203999999999999915e+01,3.205676930769235100e-01
1.206000000000000050e+01,2.905448080476171202e-01
1.208000000000000007e+01,4.274657790119714140e-01
1.209999999999999964e+01,3.146348013262779131e-01
1.211999999999999922e+01,2.533648483363241666e-01
1.214000000000000057e+01,3.841071946172968654e-01
1.216000000000000014e+01,4.576881747132785505e-01
1.217999999999999972e+01,3.786399927953368882e-01
1.219999999999999929e+01,3.883895873803728804e-01
1.222000000000000064e+01,3.687789873435344257e-01
1.224000000000000021e+01,3.493190016798187192e-01
1.225999999999999979e+01,2.352959364097808315e-01
1.227999999999999936e+01,2.892277505091456202e-01
1.230000000000000071e+01,2.544897010127594728e-01
1.232000000000000028e+01,2.523607950116156240e-01
1.233999999999999986e+01,3.693332752806537389e-01
1.235999999999999943e+01,3.445592038539669888e-01
1.238000000000000078e+01,3.946507528433622625e-01
1.240000000000000036e+01,4.070923331526883349e-01
1.241999999999999993e+01,2.922776996030475027e-01
1.243999999999999950e+01,1.536196156575616867e-01
1.246000000000000085e+01,1.987128332659157948e-01
1.248000000000000043e+01,2.809303199802115625e-01
1.250000000000000000e+01,3.937464692722255077e-01
1.251999999999999957e+01,3.639640786797306293e-01
1.253999999999999915e+01,2.514610522067063925e-01
1.256000000000000050e+01,2.631573090146467342e-01
1.258000000000000007e+01,4.193573090383340696e-01
1.259999999999999964e+01,4.134477066582929461e-01
1.261999999999999922e+01,3.096918940389816743e-01
1.264000000000000057e+01,3.611301594916961344e-01
1.266000000000000014e+01,3.486786365860570780e-01
1.267999999999999972e+01,2.979898721276554863e-01
1.269999999999999929e+01,3.947447111019243837e-01
1.272000000000000064e+01,3.739085248000141859e-01
1.274000000000000021e+01,3.128742942714264896e-01
1.275999999999999979e+01,3.663970831869622358e-01
1.277999999999999936e+01,3.147561664236331880e-01
1.280000000000000071e+01,2.764157721473421425e-01
1.282000000000000028e+01,4.315708159817402967e-01
1.283999999999999986e+01,4.482847075847008478e-01
1.285999999999999943e+01,2.294603615832940535e-01
1.288000000000000078e+01,3.157332916235040532e-01
1.290000000000000036e+01,3.838366495683305235e-01
1.291999999999999993e+01,3.846841882766135479e-01
1.293999999999999950e+01,4.033656900842537141e-01
1.296000000000000085e+01,3.128115862242377698e-01
1.298000000000000043e+01,3.463486737368823287e-01
1.300000000000000000e+01,3.888338302210390118e-01
1.301999999999999957e+01,3.216508386751624204e-01
1.303999999999999915e+01,2.917219057123779935e-01
1.306000000000000050e+01,3.379549189166541900e-01
1.308000000000000007e+01,2.683993646054319560e-01
1.309999999999999964e+01,3.415802180014815836e-01
1.311999999999999922e+01,5.290028784049055632e-01
1.314000000000000057e+01,4.021068954973618936e-01
1.316000000000000014e+01,2.823012074145102024e-01
1.317999999999999972e+01,3.012257853477162128e-01
1.319999999999999929e+01,3.144771629375057165e-01
1.322000000000000064e+01,3.894160155294352776e-01
1.324000000000000021e+01,3.440735385236943777e-01
1.325999999999999979e+01,3.391001872597512734e-01
1.327999999999999936e+01,3.476823633595719776e-01
1.330000000000000071e+01,2.148492319731912514e-01
1.332000000000000028e+01,2.783863343587322237e-01
1.333999999999999986e+01,3.842190372264689957e-01
1.335999999999999943e+01,2.539063921711180449e-01
1.338000000000000078e+01,3.177396800349921446e-01
1.340000000000000036e+01,3.282086246172118971e-01
1.341999999999999993e+01,2.737678920154969497e-01
1.343999999999999950e+01,3.380346917920512562e-01
1.346000000000000085e+01,4.570119928335502624e-01
1.348000000000000043e+01,4.716501120451848106e-01
1.350000000000000000e+01,3.506092286191484497e-01
1.351999999999999957e+01,3.573011483219095674e-01
1.353999999999999915e+01,3.256784819784504514e-01
1.356000000000000050e+01,1.929055753027637543e-01
1.358000000000000007e+01,2.502446777068776940e-01
1.359999999999999964e+01,2.408144347351080516e-01
1.361999999999999922e+01,2.346064506673854466e-01
1.364000000000000057e+01,4.548204473900334111e-01
1.366000000000000014e+01,3.658827557788965623e-01
1.367999999999999972e+01,2.873748781683279074e-01
1.369999999999999929e+01,4.860907677525210802e-01
1.372000000000000064e+01,4.533068301412349066e-01
1.374000000000000021e+01,3.078820724580479395e-01
1.375999999999999979e+01,3.447502696553234047e-01
1.377999999999999936e+01,3.872950005612941782e-01
1.380000000000000071e+01,3.074679902099481943e-01
1.382000000000000028e+01,2.720196492852521852e-01
1.383999999999999986e+01,4.106044145226609432e-01
1.385999999999999943e+01,3.338839239366431233e-01
1.388000000000000078e+01,2.984460484658525981e-01
1.390000000000000036e+01,3.540449730866345179e-01
1.391999999999999993e+01,1.349233259373470717e-01
1.393999999999999950e+01,2.951897939956025230e-01
1.396000000000000085e+01,4.529331011988668720e-01
1.398000000000000043e+01,2.893970454901556577e-01
1.400000000000000000e+01,3.387857762306290543e-01
1.401999999999999957e+01,3.181423211723008460e-01
1.403999999999999915e+01,3.740369130846299406e-01
1.406000000000000050e+01,4.516174262711247223e-01
1.408000000000000007e+01,3.261572797027819104e-01
1.409999999999999964e+01,2.238946544250481896e-01
1.411999999999999922e+01,2.545134279504790431e-01
1.414000000000000057e+01,3.778733945479682554e-01
1.416000000000000014e+01,4.303880987564441263e-01
1.417999999999999972e+01,3.565662233969564276e-01
1.419999999999999929e+01,4.019833236313168356e-01
1.421999999999999886e+01,3.486654796165168380e-01
1.424000000000000021e+01,3.260517282309375875e-01
1.425999999999999979e+01,4.126178840940411541e-01
1.427999999999999936e+01,2.873745482369718940e-01
1.430000000000000071e+01,2.473653637362162594e-01
1.432000000000000028e+01,3.816049469944352013e-01
1.433999999999999986e+01,4.228224418251383954e-01
1.435999999999999943e+01,4.485751466897706097e-01
1.438000000000000078e+01,4.720668554606955447e-01
1.440000000000000036e+01,3.549692535817610684e-01
1.441999999999999993e+01,2.298735014760260043e-01
1.443999999999999950e+01,2.975393110350025294e-01
1.446000000000000085e+01,3.314387039344398045e-01
1.448000000000000043e+01,2.419326831401573397e-01
1.450000000000000000e+01,2.249389447568133638e-01
1.451999999999999957e+01,3.071205859280134454e-01
1.453999999999999915e+01,3.311944328414755945e-01
1.456000000000000050e+01,2.095854602033238034e-01
1.458000000000000007e+01,3.435127786342337397e-01
1.459999999999999964e+01,5.146040028494986984e-01
1.461999999999999922e+01,2.948397742113903486e-01
1.464000000000000057e+01,2.045288939963310348e-01
1.466000000000000014e+01,2.969846753226362823e-01
1.467999999999999972e+01,2.222643263339906805e-01
1.469999999999999929e+01,3.399522322219297732e-01
1.471999999999999886e+01,4.806764845191504598e-01
1.474000000000000021e+01,3.714174490937342532e-01
1.475999999999999979e+01,2.730542302832792978e-01
1.477999999999999936e+01,2.712098159213168214e-01
1.480000000000000071e+01,2.844022473867974798e-01
1.482000000000000028e+01,3.909689304719607961e-01
1.483999999999999986e+01,3.390162773459174939e-01
1.485999999999999943e+01,5.094196934578520963e-01
1.488000000000000078e+01,1.122181055931456894e+00
1.490000000000000036e+01,1.528061120149092567e+00
1.491999999999999993e+01,1.329398807486305012e+00
1.493999999999999950e+01,9.145226731428245381e-01
1.496000000000000085e+01,6.112763184316656329e-01
1.498000000000000043e+01,4.567405364176459481e-01
1.500000000000000000e+01,3.571089760844355920e-01
1.501999999999999957e+01,2.733722711138631967e-01
1.503999999999999915e+01,3.241514885286742031e-01
1.506000000000000050e+01,2.693142295649780249e-01
1.508000000000000007e+01,2.370852218415997748e-01
1.509999999999999964e+01,2.105040303711675220e-01
1.511999999999999922e+01,3.472436045272192517e-01
1.514000000000000057e+01,4.893134663633004755e-01
1.516000000000000014e+01,3.757087539804398468e-01
1.517999999999999972e+01,2.916415527146142828e-01
1.519999999999999929e+01,2.702838710813437739e-01
1.521999999999999886e+01,3.528423766265023631e-01
1.524000000000000021e+01,4.756496212677925883e-01
1.525999999999999979e+01,4.344316942890887323e-01
1.527999999999999936e+01,3.975302012204208757e-01
1.530000000000000071e+01,1.772758056433413332e-01
1.532000000000000028e+01,2.272965214833948533e-01
1.533999999999999986e+01,5.184423868895161602e-01
1.535999999999999943e+01,3.409709970974112991e-01
1.538000000000000078e+01,2.357105793667359228e-01
1.540000000000000036e+01,3.041797260821451077e-01
1.541999999999999993e+01,3.082612173257276988e-01
1.543999999999999950e+01,3.615101389595916648e-01
1.546000000000000085e+01,4.273709943315885385e-01
1.548000000000000043e+01,4.421150024459458705e-01
1.550000000000000000e+01,3.939062996661683580e-01
1.551999999999999957e+01,4.073037168402716679e-01
1.553999999999999915e+01,4.329055499707504806e-01
1.556000000000000050e+01,2.710897844264048007e-01
1.558000000000000007e+01,2.915279608900917530e-01
1.559999999999999964e+01,2.384085663461009696e-01
1.561999999999999922e+01,2.947351500066121566e-01
1.564000000000000057e+01,3.637595804052599635e-01
1.566000000000000014e+01,2.747765510918059872e-01
1.567999999999999972e+01,4.266942498681979279e-01
1.569999999999999929e+01,2.362664003457085604e-01
1.571999999999999886e+01,1.726580452283650868e-01
1.574000000000000021e+01,3.167651839668325087e-01
1.575999999999999979e+01,3.147989629433857739e-01
1.577999999999999936e+01,3.607026147072570077e-01
1.580000000000000071e+01,3.705328271474428448e-01
1.582000000000000028e+01,3.528881711134119192e-01
1.583999999999999986e+01,3.941947182844445785e-01
1.585999999999999943e+01,3.160182856188843425e-01
1.588000000000000078e+01,1.651551857231151610e-01
1.590000000000000036e+01,1.187895903694187877e-01
1.591999999999999993e+01,2.872399841545830723e-01
1.593999999999999950e+01,5.142386817978259472e-01
1.596000000000000085e+01,3.232236568409398991e-01
1.598000000000000043e+01,1.588311084081418245e-01
