# 2Theta,Intensity
1.000000000000000000e+01,4.536416507387652786e-02
1.001999999999999957e+01,2.400014913180224252e-01
1.003999999999999915e+01,1.381139900585556801e-01
1.006000000000000050e+01,1.363232565738053126e-01
1.008000000000000007e+01,-8.501761608464650233e-02
1.009999999999999964e+01,8.747544882911531539e-02
1.011999999999999922e+01,2.632360168242883214e-01
1.014000000000000057e+01,8.818707374485440509e-02
1.016000000000000014e+01,3.132305232438983844e-01
1.017999999999999972e+01,1.411889104059698696e-01
1.019999999999999929e+01,2.101189713842125384e-01
1.022000000000000064e+01,3.671689909566643734e-02
1.024000000000000021e+01,2.301813492375973935e-01
1.025999999999999979e+01,4.954376999094491953e-03
1.027999999999999936e+01,9.351952211776017043e-02
1.030000000000000071e+01,1.370590325962232348e-01
1.032000000000000028e+01,1.825645023300645486e-01
1.033999999999999986e+01,1.511264911733668226e-01
1.035999999999999943e+01,1.039336034832444022e-01
1.038000000000000078e+01,7.557406965933489984e-02
1.040000000000000036e+01,1.395188338980109799e-01
1.041999999999999993e+01,1.863624616071048179e-01
1.043999999999999950e+01,-4.840187645731804100e-02
1.046000000000000085e+01,1.640758876503951511e-02
1.048000000000000043e+01,1.719024799177618079e-01
1.050000000000000000e+01,6.693821757612783419e-02
1.051999999999999957e+01,2.295533837206029538e-03
1.053999999999999915e+01,1.045590127641841394e-01
1.056000000000000050e+01,-9.366180040586095934e-02
1.058000000000000007e+01,1.316245156598525312e-01
1.059999999999999964e+01,1.007019957489848072e-01
1.061999999999999922e+01,7.169541966678331935e-02
1.064000000000000057e+01,-9.673863602658498706e-02
1.066000000000000014e+01,4.374791998592610087e-02
1.067999999999999972e+01,2.037100796257666491e-01
1.069999999999999929e+01,1.257568408686331185e-01
1.072000000000000064e+01,-6.308632581369453228e-03
1.074000000000000021e+01,1.622272820114417091e-01
1.075999999999999979e+01,9.184095572592369805e-02
1.077999999999999936e+01,8.773625799718356988e-02
1.080000000000000071e+01,1.221180666560064687e-01
1.082000000000000028e+01,2.506287306577503760e-01
1.083999999999999986e+01,9.452273488589255090e-02
1.085999999999999943e+01,2.060434924255075684e-01
1.088000000000000078e+01,1.984106229250030273e-01
1.090000000000000036e+01,4.824030064643249766e-02
1.091999999999999993e+01,-4.323222741574273692e-02
1.093999999999999950e+01,9.188227173419481753e-02
1.096000000000000085e+01,4.155153160404796014e-02
1.098000000000000043e+01,1.536607567898594651e-01
1.100000000000000000e+01,-9.635799002056150836e-03
1.101999999999999957e+01,1.823489764831051629e-01
1.103999999999999915e+01,5.946369880137170050e-02
1.106000000000000050e+01,-2.924019212933876358e-02
1.108000000000000007e+01,7.021757869665100349e-02
1.109999999999999964e+01,5.754733909389526947e-02
1.112000000000000099e+01,-1.420408267983936934e-01
1.114000000000000057e+01,3.512194866490058187e-01
1.116000000000000014e+01,1.932089066016820815e-03
1.117999999999999972e+01,1.768593945713352600e-01
1.119999999999999929e+01,7.163725143190104172e-02
1.122000000000000064e+01,-4.263611008496091814e-02
1.124000000000000021e+01,7.200492882911962989e-02
1.125999999999999979e+01,2.530997407895467510e-02
1.127999999999999936e+01,5.669166369508133602e-02
1.130000000000000071e+01,-1.508122218757625976e-01
1.132000000000000028e+01,-2.250319186972450300e-03
1.133999999999999986e+01,8.935040206180022704e-02
1.135999999999999943e+01,1.073590526642343584e-01
1.138000000000000078e+01,2.599445173202899473e-01
1.140000000000000036e+01,1.761715743314837823e-01
1.141999999999999993e+01,2.383932361892862895e-01
1.143999999999999950e+01,-5.118053477456775598e-05
1.146000000000000085e+01,-3.143142659200524273e-03
1.148000000000000043e+01,1.958688866633087888e-01
1.150000000000000000e+01,1.512050153124346874e-01
1.151999999999999957e+01,-2.185197186431493341e-02
1.153999999999999915e+01,1.185648771132950807e-01
1.156000000000000050e+01,-1.830780952473712309e-02
1.158000000000000007e+01,2.246021144354210311e-02
1.159999999999999964e+01,3.530007870963600136e-01
1.162000000000000099e+01,2.338647723617594265e-01
1.164000000000000057e+01,7.467516229148600526e-02
1.166000000000000014e+01,5.020193977947737946e-02
1.167999999999999972e+01,2.052737583790230913e-01
1.169999999999999929e+01,1.251194521703845493e-02
1.172000000000000064e+01,1.594116232952898227e-01
1.174000000000000021e+01,1.342547473200465802e-01
1.175999999999999979e+01,2.645837759945492140e-02
1.177999999999999936e+01,-8.470588745847230580e-03
1.180000000000000071e+01,-8.889641777730602351e-03
1.182000000000000028e+01,2.212436017109647712e-01
1.183999999999999986e+01,5.872459311233776263e-02
1.185999999999999943e+01,1.118274157091535791e-02
1.188000000000000078e+01,-4.692133531699821392e-02
1.190000000000000036e+01,1.073452468389797937e-01
1.191999999999999993e+01,1.875664596330757217e-01
1.193999999999999950e+01,9.809110591106268151e-02
1.196000000000000085e+01,2.820668276009794528e-01
1.198000000000000043e+01,-2.307783307492608169e-02
1.200000000000000000e+01,3.676888697628983849e-01
1.201999999999999957e+01,-3.177535682732534478e-02
1.203999999999999915e+01,-1.346840028783016230e-01
1.206000000000000050e+01,1.831232186760823610e-01
1.208000000000000007e+01,7.792723704707579802e-02
1.209999999999999964e+01,-4.260643130196936634e-02
1.212000000000000099e+01,8.381602554872283339e-02
1.214000000000000057e+01,2.747169834272177869e-01
1.216000000000000014e+01,3.795122202967016883e-02
1.217999999999999972e+01,1.074378343090038324e-01
1.219999999999999929e+01,2.201269120601690443e-01
1.222000000000000064e+01,-6.289454157358871644e-02
1.224000000000000021e+01,-1.529620342214192338e-02
1.225999999999999979e+01,-6.293586009293852812e-02
1.228000000000000114e+01,5.460495936250427118e-02
1.230000000000000071e+01,9.597153761452092979e-02
1.232000000000000028e+01,1.871060923574735246e-01
1.233999999999999986e+01,9.897665127681973263e-02
1.235999999999999943e+01,2.201789393020375449e-02
1.237999999999999901e+01,1.283337885971475578e-01
1.240000000000000036e+01,-1.137818659345570665e-01
1.241999999999999993e+01,2.371477603178291094e-01
1.243999999999999950e+01,3.910726543255484411e-01
1.246000000000000085e+01,1.367751992898252611e-01
1.248000000000000043e+01,-1.651584667671224943e-02
1.250000000000000000e+01,1.905021608577686099e-01
1.251999999999999957e+01,2.691573351051956275e-01
1.253999999999999915e+01,3.413895995979560061e-01
1.256000000000000050e+01,5.893305984977243589e-02
1.258000000000000007e+01,-1.395883676136962792e-01
1.259999999999999964e+01,6.171033138629164472e-02
1.262000000000000099e+01,7.190565124241349304e-02
1.264000000000000057e+01,1.635424459439815403e-01
1.266000000000000014e+01,2.500797591514900553e-01
1.267999999999999972e+01,3.558664221594126098e-01
1.269999999999999929e+01,1.880365283596422965e-01
1.272000000000000064e+01,-8.442337337417053778e-02
1.274000000000000021e+01,-2.811915893883031037e-02
1.275999999999999979e+01,7.711656844098255248e-02
1.278000000000000114e+01,2.836522660299321541e-01
1.280000000000000071e+01,2.093063597430570022e-01
1.282000000000000028e+01,-1.885439709264004338e-02
1.283999999999999986e+01,2.753143015840602836e-01
1.285999999999999943e+01,4.651957708670647479e-02
1.287999999999999901e+01,5.080441820979945955e-02
1.290000000000000036e+01,3.691655736435566632e-02
1.291999999999999993e+01,4.636458775969171109e-02
1.293999999999999950e+01,7.074819771597602724e-02
1.296000000000000085e+01,2.713457739907372546e-02
1.298000000000000043e+01,2.136107727513645582e-01
1.300000000000000000e+01,2.688564439970705586e-02
1.301999999999999957e+01,6.790991605280906340e-02
1.303999999999999915e+01,2.212960080216543057e-01
1.306000000000000050e+01,2.794121288915397960e-02
1.308000000000000007e+01,2.450605991115537563e-01
1.309999999999999964e+01,2.636139068305009547e-01
1.312000000000000099e+01,4.072682632055241170e-02
1.314000000000000057e+01,2.058965510806837207e-01
1.316000000000000014e+01,3.777096646573673000e-02
1.317999999999999972e+01,3.056034824519533386e-02
1.319999999999999929e+01,-5.087215920423487914e-02
1.322000000000000064e+01,2.353732250743096333e-01
1.324000000000000021e+01,2.071645608085176393e-01
1.325999999999999979e+01,1.418848670862557504e-01
1.328000000000000114e+01,6.309522257797474387e-02
1.330000000000000071e+01,3.983476564796489122e-02
1.332000000000000028e+01,2.128340891182153860e-02
1.333999999999999986e+01,-5.343509937457045084e-02
1.335999999999999943e+01,1.876456921522324239e-01
1.337999999999999901e+01,1.463839013221463203e-01
1.340000000000000036e+01,9.171307220140677285e-02
1.341999999999999993e+01,1.164284741857849748e-01
1.343999999999999950e+01,-4.969917768633017735e-02
1.346000000000000085e+01,2.109493664851000705e-01
1.348000000000000043e+01,-1.900675757047227618e-02
1.350000000000000000e+01,-1.871076166484334780e-01
1.351999999999999957e+01,2.092362737594897493e-01
1.353999999999999915e+01,1.187165597615217755e-01
1.356000000000000050e+01,2.414492432876307049e-01
1.358000000000000007e+01,2.120579872744073335e-01
1.359999999999999964e+01,1.113268809663000014e-01
1.362000000000000099e+01,1.850053123034344771e-01
1.364000000000000057e+01,-4.154267633179659081e-02
1.366000000000000014e+01,2.017322877966429007e-01
1.367999999999999972e+01,2.317991162806155025e-01
1.369999999999999929e+01,-6.540261937548982885e-02
1.372000000000000064e+01,2.479130309393749176e-01
1.374000000000000021e+01,2.915907926695457397e-01
1.375999999999999979e+01,1.226863871013777751e-01
1.378000000000000114e+01,1.480236351239505033e-01
1.380000000000000071e+01,1.325289737635244325e-01
1.382000000000000028e+01,4.422651434132112563e-02
1.383999999999999986e+01,5.351735231095137990e-02
1.385999999999999943e+01,3.207990414293306752e-02
