# 2Theta,Intensity
1.000000000000000000e+01,8.109375347618655305e-02
1.001999999999999957e+01,6.806956388498056065e-02
1.003999999999999915e+01,2.117583566454730309e-02
1.006000000000000050e+01,1.314593497619877260e-01
1.008000000000000007e+01,-3.051159350326086012e-02
1.009999999999999964e+01,3.967251653119086008e-02
1.011999999999999922e+01,-1.134354870913429625e-01
1.014000000000000057e+01,2.716730423320944388e-01
1.016000000000000014e+01,8.690163913292472952e-02
1.017999999999999972e+01,1.822450548803174197e-01
1.019999999999999929e+01,-2.743215711194890716e-02
1.022000000000000064e+01,5.180243764505931825e-02
1.024000000000000021e+01,2.490816210960870025e-01
1.025999999999999979e+01,1.959295727375992002e-01
1.027999999999999936e+01,-1.060806727938076177e-01
1.030000000000000071e+01,4.872966672583353698e-02
1.032000000000000028e+01,9.288442856690816429e-02
1.033999999999999986e+01,-1.349441079350425510e-01
1.035999999999999943e+01,3.541246776099341020e-02
1.038000000000000078e+01,-3.003794551350187289e-02
1.040000000000000036e+01,2.102908984591240205e-01
1.041999999999999993e+01,1.904773980625890928e-01
1.043999999999999950e+01,1.337961271832754928e-01
1.046000000000000085e+01,6.373272192439030648e-02
1.048000000000000043e+01,2.790138038011413801e-01
1.050000000000000000e+01,6.412064510171530674e-02
1.051999999999999957e+01,3.100058480085980395e-01
1.053999999999999915e+01,8.594238405398423042e-02
1.056000000000000050e+01,2.530157706733595496e-02
1.058000000000000007e+01,4.317983086784459024e-02
1.059999999999999964e+01,1.796509730860821330e-01
1.061999999999999922e+01,8.584899564842027320e-02
1.064000000000000057e+01,2.649701715150629133e-02
1.066000000000000014e+01,1.175681175621209607e-01
1.067999999999999972e+01,1.494278785319164415e-01
1.069999999999999929e+01,7.575957493820432986e-02
1.072000000000000064e+01,2.049067349958960116e-01
1.074000000000000021e+01,7.290936549595437854e-02
1.075999999999999979e+01,1.073473365183596345e-01
1.077999999999999936e+01,5.214135879884038149e-02
1.080000000000000071e+01,1.173495748410593731e-01
1.082000000000000028e+01,3.004292147621803188e-01
1.083999999999999986e+01,2.006083080624116444e-01
1.085999999999999943e+01,1.882538511159877193e-01
1.088000000000000078e+01,-2.112015150509924041e-02
1.090000000000000036e+01,1.162329352575815732e-02
1.091999999999999993e+01,1.240282452314930145e-01
1.093999999999999950e+01,3.908066362746391298e-01
1.096000000000000085e+01,1.160595019374268816e-01
1.098000000000000043e+01,2.842589048461698353e-01
1.100000000000000000e+01,2.660636008426593979e-01
1.101999999999999957e+01,1.817860233824299468e-02
1.103999999999999915e+01,-1.611219256943568490e-01
1.106000000000000050e+01,7.514031355131148282e-02
1.108000000000000007e+01,7.966278682830585378e-02
1.109999999999999964e+01,-2.194807431178859118e-03
1.112000000000000099e+01,3.134442446972282581e-01
1.114000000000000057e+01,1.857190823029965798e-01
1.116000000000000014e+01,-3.338086073675291393e-02
1.117999999999999972e+01,1.960211773086468767e-01
1.119999999999999929e+01,-3.365366317450858152e-02
1.122000000000000064e+01,1.431168523755579625e-01
1.124000000000000021e+01,2.256046950283752475e-02
1.125999999999999979e+01,8.920043578689200447e-02
1.127999999999999936e+01,8.176444278188219061e-02
1.130000000000000071e+01,1.555156544729805468e-01
1.132000000000000028e+01,1.304464022598770812e-01
1.133999999999999986e+01,1.222749730532174256e-01
1.135999999999999943e+01,1.753893581618675701e-01
1.138000000000000078e+01,5.843724360858424532e-02
1.140000000000000036e+01,-6.202336642854196225e-04
1.141999999999999993e+01,2.516581835533292510e-01
1.143999999999999950e+01,2.550503867934125757e-01
1.146000000000000085e+01,1.587938737357328101e-01
1.148000000000000043e+01,-2.346382749877664112e-02
1.150000000000000000e+01,1.880119796108340180e-01
1.151999999999999957e+01,1.857643893693129988e-01
1.153999999999999915e+01,1.624322549413604599e-01
1.156000000000000050e+01,1.991029506080856104e-01
1.158000000000000007e+01,8.517518541728683057e-02
1.159999999999999964e+01,1.235648048377513825e-01
1.162000000000000099e+01,1.079487015661293320e-01
1.164000000000000057e+01,2.361512949843330711e-01
1.166000000000000014e+01,3.534453100263015152e-02
1.167999999999999972e+01,1.329944033597355857e-01
1.169999999999999929e+01,1.603527533949954675e-01
1.172000000000000064e+01,4.817785629078009946e-02
1.174000000000000021e+01,1.713526394797703911e-01
1.175999999999999979e+01,4.086406919079511174e-02
1.177999999999999936e+01,1.257253246217387155e-01
1.180000000000000071e+01,3.679957348709851118e-03
1.182000000000000028e+01,2.889273265415721603e-01
1.183999999999999986e+01,2.292136296554709851e-01
1.185999999999999943e+01,1.071930809262355289e-01
1.188000000000000078e+01,-6.225774620684752791e-02
1.190000000000000036e+01,2.089121041926121081e-01
1.191999999999999993e+01,1.844123451850604445e-01
1.193999999999999950e+01,3.393550700282068483e-02
1.196000000000000085e+01,2.221263576049864810e-02
1.198000000000000043e+01,8.378905425856515710e-02
1.200000000000000000e+01,6.433739303966327927e-02
1.201999999999999957e+01,2.465834070698181071e-02
1.203999999999999915e+01,1.738724376213117151e-01
1.206000000000000050e+01,-1.791491764253787256e-02
1.208000000000000007e+01,2.072256651422681173e-01
1.209999999999999964e+01,-1.050482797271845015e-01
1.212000000000000099e+01,2.977154347091841291e-02
1.214000000000000057e+01,1.065114903934202967e-01
1.216000000000000014e+01,4.541197813131270938e-02
1.217999999999999972e+01,1.554429598486085640e-01
1.219999999999999929e+01,-1.435597916619402691e-02
1.222000000000000064e+01,2.031981999045741061e-01
1.224000000000000021e+01,1.319315955959315945e-01
1.225999999999999979e+01,6.071207937064510701e-02
1.228000000000000114e+01,-1.739148895851065028e-03
1.230000000000000071e+01,2.068890468826506956e-01
1.232000000000000028e+01,6.415816339815832992e-02
1.233999999999999986e+01,1.379685268329249592e-01
1.235999999999999943e+01,-6.912909052800532417e-02
