# 2Theta,Intensity
1.000000000000000000e+01,2.237753907846445067e-01
1.001999999999999957e+01,1.706863364418546858e-01
1.003999999999999915e+01,9.353018007221688968e-02
1.006000000000000050e+01,1.695921483818021713e-01
1.008000000000000007e+01,3.272118768783870424e-01
1.009999999999999964e+01,3.119034491382211005e-01
1.011999999999999922e+01,4.180819713569477458e-01
1.014000000000000057e+01,3.218310707351828420e-02
1.016000000000000014e+01,1.553139259822197971e-01
1.017999999999999972e+01,3.049811735643712107e-01
1.019999999999999929e+01,2.967214060091901695e-01
1.022000000000000064e+01,-2.291768481059597989e-02
1.024000000000000021e+01,1.267986599244775026e-01
1.025999999999999979e+01,1.118926886806610732e-01
1.027999999999999936e+01,5.225308697606152741e-02
1.030000000000000071e+01,2.023745880291060173e-01
1.032000000000000028e+01,1.034624209078449097e-01
1.033999999999999986e+01,2.353770864852891276e-01
1.035999999999999943e+01,1.815463978818194490e-01
1.038000000000000078e+01,2.862362178292038317e-01
1.040000000000000036e+01,1.063056349243684251e-01
1.041999999999999993e+01,1.084644803472726154e-01
1.043999999999999950e+01,2.218413399924934470e-01
1.046000000000000085e+01,2.601323872058138309e-01
1.048000000000000043e+01,8.063529471362508583e-02
1.050000000000000000e+01,7.051421195701172706e-02
1.051999999999999957e+01,9.173272295756196293e-02
1.053999999999999915e+01,1.192549057363753023e-01
1.056000000000000050e+01,1.295111712442879870e-01
1.058000000000000007e+01,2.402163578717999570e-01
1.059999999999999964e+01,-1.511047125592231422e-01
1.061999999999999922e+01,2.024533168572015818e-01
1.064000000000000057e+01,1.090530062716870419e-01
1.066000000000000014e+01,1.181691044482989922e-01
1.067999999999999972e+01,2.215815254477138951e-01
1.069999999999999929e+01,4.014871297051462173e-01
1.072000000000000064e+01,1.625969439121635329e-01
1.074000000000000021e+01,2.047665995894946411e-01
1.075999999999999979e+01,1.186242243483588699e-01
1.077999999999999936e+01,1.168634943057461351e-01
1.080000000000000071e+01,8.709339455320389001e-02
1.082000000000000028e+01,6.981411181369237551e-02
1.083999999999999986e+01,1.777124789777753677e-01
1.085999999999999943e+01,3.202255510358432145e-01
1.088000000000000078e+01,2.144880420353446060e-01
1.090000000000000036e+01,-1.249918698663155664e-02
1.091999999999999993e+01,1.197769254470752859e-01
1.093999999999999950e+01,1.269864041109639574e-01
1.096000000000000085e+01,4.768206720298562989e-02
1.098000000000000043e+01,-7.258157753277184009e-03
1.100000000000000000e+01,1.867067031590524395e-01
1.101999999999999957e+01,1.331989989839426902e-01
1.103999999999999915e+01,-8.580869012782997574e-02
1.106000000000000050e+01,4.137508495095917893e-01
1.108000000000000007e+01,1.181113368256513779e-01
1.109999999999999964e+01,3.902901635844285150e-02
1.112000000000000099e+01,-1.757685304030026999e-02
1.114000000000000057e+01,2.830089095974383517e-01
1.116000000000000014e+01,6.285827657506323773e-02
1.117999999999999972e+01,1.017829397199404434e-01
1.119999999999999929e+01,8.106214042864948177e-02
1.122000000000000064e+01,1.650534390548319408e-01
1.124000000000000021e+01,-1.823744904091668603e-02
1.125999999999999979e+01,9.917846760633355907e-02
1.127999999999999936e+01,3.675112733090949990e-01
1.130000000000000071e+01,5.728450199716050156e-02
1.132000000000000028e+01,3.228303669762167538e-01
1.133999999999999986e+01,2.264029271411594768e-01
1.135999999999999943e+01,6.285565317474856029e-02
1.138000000000000078e+01,1.211861595263152014e-01
