# 2Theta,Intensity
1.000000000000000000e+01,-1.086555918386671038e-02
1.001999999999999957e+01,1.933918349777930326e-02
1.003999999999999915e+01,4.163366295915587462e-02
1.006000000000000050e+01,-2.800297786209524770e-02
1.008000000000000007e+01,-5.854277907203805920e-02
1.009999999999999964e+01,8.609387868925218179e-02
1.011999999999999922e+01,-4.428306076830993560e-02
1.014000000000000057e+01,4.342184683742519868e-02
1.016000000000000014e+01,2.812855011037067310e-02
1.017999999999999972e+01,1.239011828299053236e-01
1.019999999999999929e+01,1.782622097696846264e-01
1.022000000000000064e+01,6.677653598434474258e-02
1.024000000000000021e+01,1.316500115137294591e-01
1.025999999999999979e+01,-8.344981046574762723e-03
1.027999999999999936e+01,-8.637636127204582903e-02
1.030000000000000071e+01,2.419198501624521547e-01
1.032000000000000028e+01,1.449042986706819934e-02
1.033999999999999986e+01,7.645936121014895726e-02
1.035999999999999943e+01,9.270044440401498109e-02
1.038000000000000078e+01,2.281327343756425069e-02
1.040000000000000036e+01,2.528368506236681329e-02
1.041999999999999993e+01,2.283723765137730954e-01
1.043999999999999950e+01,2.327049856210277462e-02
1.046000000000000085e+01,1.605961340542643931e-02
1.048000000000000043e+01,1.483698476287374779e-01
1.050000000000000000e+01,-1.245602307737972703e-01
1.051999999999999957e+01,-1.991441889954889410e-01
1.053999999999999915e+01,6.659175323292249038e-02
1.056000000000000050e+01,5.793405737143784290e-02
1.058000000000000007e+01,3.804222760946773807e-02
1.059999999999999964e+01,-3.360733346979358736e-03
1.061999999999999922e+01,5.430543430397923033e-02
1.064000000000000057e+01,1.491156279230576864e-01
1.066000000000000014e+01,2.683682965241570018e-01
1.067999999999999972e+01,1.387522187571991472e-01
1.069999999999999929e+01,-3.565540182959375803e-02
1.072000000000000064e+01,8.323098384927990478e-02
1.074000000000000021e+01,1.352199136534014967e-01
1.075999999999999979e+01,2.099062463265235767e-01
1.077999999999999936e+01,-9.746639152141037266e-02
1.080000000000000071e+01,2.173122832590985709e-01
1.082000000000000028e+01,8.514091707737880127e-03
1.083999999999999986e+01,-7.850773332719673814e-02
1.085999999999999943e+01,1.788733059068988995e-01
1.088000000000000078e+01,-2.547876196752595426e-02
1.090000000000000036e+01,7.557117487635776898e-02
1.091999999999999993e+01,1.799930106717942055e-02
1.093999999999999950e+01,2.924300471578979987e-01
1.096000000000000085e+01,1.659788184504383257e-01
1.098000000000000043e+01,5.177060504236073030e-02
1.100000000000000000e+01,1.682097967401650351e-01
1.101999999999999957e+01,2.296015844780683046e-01
1.103999999999999915e+01,5.304279576490407433e-02
1.106000000000000050e+01,2.477258039809342449e-01
1.108000000000000007e+01,-5.895891671590340610e-02
1.109999999999999964e+01,2.819216495484375695e-01
1.112000000000000099e+01,1.202424996421597864e-02
1.114000000000000057e+01,1.060510779456003416e-01
1.116000000000000014e+01,6.971567467612226066e-02
1.117999999999999972e+01,-2.136398679573605838e-02
1.119999999999999929e+01,4.753839125646331168e-03
1.122000000000000064e+01,2.542983206810224828e-01
1.124000000000000021e+01,5.314315116068256406e-02
1.125999999999999979e+01,6.025476551044905288e-02
1.127999999999999936e+01,1.156154807905428322e-01
1.130000000000000071e+01,2.594487609928195493e-01
1.132000000000000028e+01,-5.021688994105061310e-02
1.133999999999999986e+01,-3.560003907634296666e-02
1.135999999999999943e+01,1.139969545485353952e-01
1.138000000000000078e+01,2.169132211865295035e-01
1.140000000000000036e+01,2.477161219339187870e-01
1.141999999999999993e+01,1.524502529427162467e-01
1.143999999999999950e+01,5.329342859545493916e-02
1.146000000000000085e+01,-5.772752975759552069e-02
1.148000000000000043e+01,1.777864992083439954e-01
1.150000000000000000e+01,1.410502015455894209e-01
1.151999999999999957e+01,4.244528852041139916e-03
1.153999999999999915e+01,2.445628356177048934e-01
1.156000000000000050e+01,-1.532164605859765993e-01
1.158000000000000007e+01,-4.520316443205056600e-02
1.159999999999999964e+01,2.318063234863023108e-03
1.162000000000000099e+01,1.055506447379005452e-01
1.164000000000000057e+01,1.196861610009663235e-01
1.166000000000000014e+01,1.946283641316321200e-01
1.167999999999999972e+01,9.304060570325792257e-02
1.169999999999999929e+01,1.838397586034881959e-01
1.172000000000000064e+01,1.066178647605357521e-01
1.174000000000000021e+01,4.742059707220080966e-02
1.175999999999999979e+01,1.239989668187455596e-01
1.177999999999999936e+01,7.978923662902590030e-02
1.180000000000000071e+01,4.464616603833241465e-02
1.182000000000000028e+01,2.305209513487241901e-01
1.183999999999999986e+01,9.119146500214503348e-03
1.185999999999999943e+01,3.316751883428664671e-02
1.188000000000000078e+01,1.337306144709476396e-01
1.190000000000000036e+01,4.656970795390148049e-02
1.191999999999999993e+01,4.162806246301099800e-02
1.193999999999999950e+01,5.983767838669217659e-02
1.196000000000000085e+01,1.517206238531071394e-02
1.198000000000000043e+01,-1.435550749864993904e-02
1.200000000000000000e+01,9.478297496607166958e-03
1.201999999999999957e+01,1.522792804706701864e-01
1.203999999999999915e+01,-3.773977649654909616e-02
1.206000000000000050e+01,5.683556488488111791e-02
1.208000000000000007e+01,9.791415789186878882e-02
1.209999999999999964e+01,-6.398677761476120884e-02
1.212000000000000099e+01,9.008997221870325423e-04
1.214000000000000057e+01,1.224657862905280947e-01
1.216000000000000014e+01,1.277393093503247090e-01
1.217999999999999972e+01,5.033831374983396834e-02
1.219999999999999929e+01,3.385654439274839861e-02
1.222000000000000064e+01,1.784338057745300105e-02
1.224000000000000021e+01,2.946884200122521294e-02
1.225999999999999979e+01,8.929010614401869383e-02
1.228000000000000114e+01,2.229959964798115257e-01
1.230000000000000071e+01,2.424130467722112325e-01
1.232000000000000028e+01,1.715921458274730360e-01
1.233999999999999986e+01,1.862604707875938626e-01
1.235999999999999943e+01,1.034424219745834483e-01
1.237999999999999901e+01,1.963030551804977319e-01
1.240000000000000036e+01,-6.897148826685694373e-03
1.241999999999999993e+01,3.011099398261268822e-02
1.243999999999999950e+01,1.190964161112106345e-01
1.246000000000000085e+01,-1.400045399585804484e-02
1.248000000000000043e+01,1.901470873282199991e-01
1.250000000000000000e+01,4.954812491635423449e-02
1.251999999999999957e+01,4.665952884878177970e-02
1.253999999999999915e+01,1.595510090444098028e-01
1.256000000000000050e+01,-3.941172901374229154e-02
1.258000000000000007e+01,2.627387167599688489e-01
1.259999999999999964e+01,2.094495237130366561e-01
1.262000000000000099e+01,2.151245122331820747e-01
1.264000000000000057e+01,1.366047032274315433e-02
1.266000000000000014e+01,1.583964085657622867e-01
1.267999999999999972e+01,4.526629446457907519e-02
1.269999999999999929e+01,2.557367058826489070e-01
1.272000000000000064e+01,-2.148610937933338738e-01
1.274000000000000021e+01,-2.058024356317355794e-02
1.275999999999999979e+01,2.075916078688762323e-01
1.278000000000000114e+01,7.424542892953779616e-03
1.280000000000000071e+01,1.742612693524528966e-01
1.282000000000000028e+01,1.301998011627761298e-01
1.283999999999999986e+01,2.288942033949390581e-02
1.285999999999999943e+01,1.309875143212427540e-01
1.287999999999999901e+01,5.811291503537803493e-02
1.290000000000000036e+01,4.420261094989623440e-02
1.291999999999999993e+01,1.209789347210903365e-01
1.293999999999999950e+01,-5.857888770303691650e-02
1.296000000000000085e+01,-4.464743435391518162e-02
1.298000000000000043e+01,-1.011386387318843616e-01
1.300000000000000000e+01,7.874559248232296249e-02
1.301999999999999957e+01,1.367237899080183672e-01
1.303999999999999915e+01,4.597788339696091964e-02
1.306000000000000050e+01,1.650219160091804527e-01
1.308000000000000007e+01,1.471676210490575065e-01
1.309999999999999964e+01,-5.310313456832210094e-02
1.312000000000000099e+01,2.250652514133512361e-02
1.314000000000000057e+01,5.615159833687638491e-02
1.316000000000000014e+01,6.897693026387431703e-02
1.317999999999999972e+01,-1.106137966940871041e-02
1.319999999999999929e+01,-1.553848811116759730e-02
1.322000000000000064e+01,-1.769821946309356742e-01
1.324000000000000021e+01,1.620630171847682321e-01
1.325999999999999979e+01,-1.154793661978977502e-02
1.328000000000000114e+01,1.108998879794686199e-01
1.330000000000000071e+01,5.755225191587719745e-03
1.332000000000000028e+01,1.140959826006642253e-01
1.333999999999999986e+01,-3.360571538036737776e-02
1.335999999999999943e+01,2.889733943884427725e-01
1.337999999999999901e+01,3.348105203051091050e-02
1.340000000000000036e+01,7.389491022165535494e-02
1.341999999999999993e+01,6.804823611157320706e-02
1.343999999999999950e+01,1.340031043228972485e-01
1.346000000000000085e+01,9.557166970465018341e-02
1.348000000000000043e+01,9.084110376671755693e-02
1.350000000000000000e+01,5.498391513843212813e-02
1.351999999999999957e+01,1.125380661207141531e-01
1.353999999999999915e+01,-4.879143381512039690e-02
1.356000000000000050e+01,-1.057175469178963795e-01
1.358000000000000007e+01,-1.784238865595299053e-02
1.359999999999999964e+01,8.889974481205484280e-02
1.362000000000000099e+01,1.044149381451602160e-01
1.364000000000000057e+01,3.560063894805016137e-03
1.366000000000000014e+01,7.728456947943442013e-02
1.367999999999999972e+01,-1.171498902914352158e-01
1.369999999999999929e+01,1.882019671055531751e-01
1.372000000000000064e+01,7.012794097162994289e-02
1.374000000000000021e+01,9.574049356175722003e-02
1.375999999999999979e+01,8.445339394610482109e-02
1.378000000000000114e+01,2.592074184947191218e-01
1.380000000000000071e+01,4.146604016715765145e-02
1.382000000000000028e+01,-1.329678574971618066e-01
1.383999999999999986e+01,5.335337298951047663e-02
1.385999999999999943e+01,9.074087671930231025e-02
1.387999999999999901e+01,5.014871216033402190e-02
1.390000000000000036e+01,1.403271150308507687e-01
1.391999999999999993e+01,1.923999258481580432e-01
1.393999999999999950e+01,8.263413502530445043e-02
1.396000000000000085e+01,3.376666624067248823e-01
1.398000000000000043e+01,9.507103813534467651e-02
1.400000000000000000e+01,4.890041013641840267e-02
1.401999999999999957e+01,-2.018576545916747622e-02
1.403999999999999915e+01,3.329092675139473656e-02
1.406000000000000050e+01,-1.412885451642977540e-02
1.408000000000000007e+01,2.697191108953266858e-01
1.409999999999999964e+01,9.768999042326685645e-02
1.412000000000000099e+01,1.783770272588207362e-01
1.414000000000000057e+01,1.637934885702302668e-01
1.416000000000000014e+01,-1.310601147970719138e-01
1.417999999999999972e+01,1.145720843343281670e-01
1.419999999999999929e+01,2.171538579285904602e-02
1.421999999999999886e+01,-4.498912404636281476e-02
1.424000000000000021e+01,-1.268946273253552526e-01
1.425999999999999979e+01,7.137707700212592155e-02
1.428000000000000114e+01,6.036919227727740450e-02
