# 2Theta,Intensity
1.000000000000000000e+01,1.255210330739034152e-01
1.001999999999999957e+01,3.126812174674968858e-01
1.003999999999999915e+01,2.320725831898238778e-01
1.006000000000000050e+01,8.241878334353532065e-02
1.008000000000000007e+01,4.291598228427888628e-01
1.009999999999999964e+01,7.889957535567367064e-02
1.011999999999999922e+01,1.681435374923546250e-02
1.014000000000000057e+01,1.432695622907456112e-01
1.016000000000000014e+01,1.689637300798222178e-02
1.017999999999999972e+01,4.467860805217842013e-01
1.019999999999999929e+01,2.754594074205471976e-01
1.022000000000000064e+01,7.126944190933236223e-02
1.024000000000000021e+01,-1.422537943145566787e-02
1.025999999999999979e+01,1.837064530805803397e-01
1.027999999999999936e+01,2.281689157338780416e-01
1.030000000000000071e+01,2.001696417643692438e-01
1.032000000000000028e+01,8.316664262226380888e-02
1.033999999999999986e+01,8.656713032216448167e-02
1.035999999999999943e+01,2.793186314432390405e-01
1.038000000000000078e+01,-2.325382843273434905e-02
1.040000000000000036e+01,2.648167785200851720e-01
1.041999999999999993e+01,2.154182490396329697e-01
1.043999999999999950e+01,1.587045958743589225e-01
1.046000000000000085e+01,3.403163258228125154e-01
1.048000000000000043e+01,1.556557901292042467e-01
1.050000000000000000e+01,1.034920175472985732e-01
1.051999999999999957e+01,1.830136196443886976e-01
1.053999999999999915e+01,4.349573901720072411e-01
1.056000000000000050e+01,5.740411772963437131e-02
1.058000000000000007e+01,5.343201332603760706e-02
1.059999999999999964e+01,2.005447061604546111e-01
1.061999999999999922e+01,8.978429140589712365e-02
1.064000000000000057e+01,2.081475036143883572e-01
1.066000000000000014e+01,3.222401825194183278e-01
1.067999999999999972e+01,1.898069521504252288e-01
1.069999999999999929e+01,3.473511422861318976e-01
1.072000000000000064e+01,1.440463290205584029e-02
1.074000000000000021e+01,7.930927157806764993e-02
1.075999999999999979e+01,1.756023883190793167e-01
1.077999999999999936e+01,2.992199830232940005e-01
1.080000000000000071e+01,5.289343319411807243e-02
1.082000000000000028e+01,3.253860169587289852e-01
1.083999999999999986e+01,2.914150836101045972e-01
1.085999999999999943e+01,9.027860660099434886e-02
1.088000000000000078e+01,2.035227549978807504e-01
1.090000000000000036e+01,1.695305503642180744e-01
1.091999999999999993e+01,2.074016527230121976e-01
1.093999999999999950e+01,2.257729598765296775e-01
1.096000000000000085e+01,-1.267227484241686139e-03
1.098000000000000043e+01,1.076875228269145446e-01
1.100000000000000000e+01,6.596153551345404487e-02
1.101999999999999957e+01,2.476524793308799710e-01
1.103999999999999915e+01,1.889669220590118326e-01
1.106000000000000050e+01,2.105071233962936272e-01
1.108000000000000007e+01,2.294104833908658658e-01
1.109999999999999964e+01,1.860442027250329422e-01
1.112000000000000099e+01,8.350541919980961070e-02
1.114000000000000057e+01,3.408591729879494325e-01
1.116000000000000014e+01,8.045684291234216079e-02
1.117999999999999972e+01,1.306352440577391583e-01
1.119999999999999929e+01,1.291416669939413620e-01
1.122000000000000064e+01,3.005928109001422821e-01
1.124000000000000021e+01,1.339224443627064498e-01
1.125999999999999979e+01,1.693753811639952811e-01
1.127999999999999936e+01,7.488011160550653300e-02
1.130000000000000071e+01,2.556272769844461501e-01
1.132000000000000028e+01,3.310687347076910481e-01
1.133999999999999986e+01,1.698554388981405316e-01
1.135999999999999943e+01,1.257842027494886772e-01
1.138000000000000078e+01,3.026484888507056659e-01
1.140000000000000036e+01,3.512756659594380437e-01
1.141999999999999993e+01,1.765768138126649345e-01
1.143999999999999950e+01,3.691067794290769366e-01
1.146000000000000085e+01,1.452720221478553952e-01
1.148000000000000043e+01,4.638610967716835787e-01
1.150000000000000000e+01,2.335553816658559045e-01
1.151999999999999957e+01,1.888950413965637953e-01
1.153999999999999915e+01,1.272587038181884622e-01
1.156000000000000050e+01,-4.500861913412704252e-02
1.158000000000000007e+01,2.181867286775659651e-02
1.159999999999999964e+01,8.778925290566726158e-02
1.162000000000000099e+01,3.014534828872511563e-01
1.164000000000000057e+01,-3.157967452146785703e-02
1.166000000000000014e+01,1.197841067764615353e-01
1.167999999999999972e+01,3.219525183683340508e-01
1.169999999999999929e+01,1.903796763440634421e-01
1.172000000000000064e+01,2.669740044041011839e-01
1.174000000000000021e+01,2.469658506381300078e-01
1.175999999999999979e+01,2.693145635073958544e-01
1.177999999999999936e+01,3.590707040069295725e-02
1.180000000000000071e+01,9.947159584617849826e-02
1.182000000000000028e+01,1.717591367953948955e-01
1.183999999999999986e+01,5.886105322161504227e-02
1.185999999999999943e+01,2.727894351306349163e-01
1.188000000000000078e+01,2.684062217428102026e-01
1.190000000000000036e+01,3.856908037266950640e-01
1.191999999999999993e+01,1.265763758013672968e-01
1.193999999999999950e+01,2.571143908799203293e-01
1.196000000000000085e+01,2.414518700569348586e-01
1.198000000000000043e+01,4.648136121123204456e-02
1.200000000000000000e+01,8.706450024112523389e-02
1.201999999999999957e+01,2.129088436277483121e-01
1.203999999999999915e+01,1.256899002655715025e-01
1.206000000000000050e+01,2.379656555202184498e-01
1.208000000000000007e+01,1.807406956314183966e-01
1.209999999999999964e+01,1.906270268001439838e-01
1.212000000000000099e+01,1.155994017225069892e-01
1.214000000000000057e+01,2.524790861887378224e-01
1.216000000000000014e+01,2.656431059986260057e-01
1.217999999999999972e+01,1.506468716864332869e-01
1.219999999999999929e+01,2.017048677275856405e-01
1.222000000000000064e+01,1.417179769628863495e-01
1.224000000000000021e+01,2.976767894353827756e-02
1.225999999999999979e+01,8.198070795273511291e-02
1.228000000000000114e+01,7.682155954742744819e-02
1.230000000000000071e+01,2.896802497427425349e-01
1.232000000000000028e+01,3.580969325264373726e-01
1.233999999999999986e+01,1.463466056611506527e-01
1.235999999999999943e+01,2.002341970225093304e-01
1.237999999999999901e+01,4.164442243073946393e-01
1.240000000000000036e+01,4.124700144032948379e-01
1.241999999999999993e+01,2.016705693702855740e-01
1.243999999999999950e+01,1.608337218655326306e-01
1.246000000000000085e+01,-1.222655392712258468e-02
1.248000000000000043e+01,2.706919852454698905e-01
1.250000000000000000e+01,1.879785984157212875e-01
1.251999999999999957e+01,8.944753413967833355e-02
1.253999999999999915e+01,2.904494669012957497e-01
1.256000000000000050e+01,1.944403511118719952e-01
1.258000000000000007e+01,2.728802635521807018e-01
1.259999999999999964e+01,2.582060423567282825e-01
1.262000000000000099e+01,7.090447420102585774e-02
1.264000000000000057e+01,2.191224740921431657e-01
1.266000000000000014e+01,2.139203819716576360e-01
1.267999999999999972e+01,-1.323189830906922049e-01
1.269999999999999929e+01,1.796277479460882120e-01
1.272000000000000064e+01,2.095861177362216554e-01
1.274000000000000021e+01,1.508299195327459374e-01
1.275999999999999979e+01,-9.731965469196968144e-02
1.278000000000000114e+01,2.279148118213453200e-01
1.280000000000000071e+01,3.297282529406729834e-01
1.282000000000000028e+01,1.248430112995763536e-01
1.283999999999999986e+01,3.789620448867512814e-01
1.285999999999999943e+01,2.552034749990532148e-01
1.287999999999999901e+01,2.359878160019285298e-01
1.290000000000000036e+01,6.341927823840136647e-01
1.291999999999999993e+01,6.338732715716777211e-01
1.293999999999999950e+01,2.640285736842830078e-01
1.296000000000000085e+01,2.145621549711098919e-01
1.298000000000000043e+01,2.227185518304537759e-01
1.300000000000000000e+01,3.208627417373683399e-01
1.301999999999999957e+01,3.699924868810900436e-01
1.303999999999999915e+01,3.251512996561136126e-01
1.306000000000000050e+01,1.274471307997046277e-01
1.308000000000000007e+01,1.989699303989015955e-01
1.309999999999999964e+01,4.933434595051118532e-02
1.312000000000000099e+01,-1.452219678473440530e-02
1.314000000000000057e+01,4.163278790021295861e-01
1.316000000000000014e+01,1.555742608264483740e-01
1.317999999999999972e+01,2.920702530651704890e-02
1.319999999999999929e+01,1.121653051883846341e-01
1.322000000000000064e+01,2.091107129139859466e-01
1.324000000000000021e+01,2.327958782783691727e-01
1.325999999999999979e+01,2.396505311407243488e-01
1.328000000000000114e+01,2.238063166320603814e-01
1.330000000000000071e+01,2.089063981884900223e-01
1.332000000000000028e+01,7.974798814773940980e-02
1.333999999999999986e+01,1.716474859704379685e-01
1.335999999999999943e+01,4.563608047673030632e-01
1.337999999999999901e+01,1.061690500446289404e-01
1.340000000000000036e+01,5.638341292985691450e-02
1.341999999999999993e+01,3.232758502388147215e-01
1.343999999999999950e+01,4.276435930124947854e-02
1.346000000000000085e+01,2.325042512805686190e-01
1.348000000000000043e+01,1.705398557285971173e-01
1.350000000000000000e+01,2.751484855619402703e-01
1.351999999999999957e+01,2.793946682215502908e-01
1.353999999999999915e+01,1.254358039467230179e-01
1.356000000000000050e+01,4.259793224785817234e-01
1.358000000000000007e+01,1.725626335702699909e-01
1.359999999999999964e+01,1.323636639843660534e-01
1.362000000000000099e+01,2.440656122392566019e-01
1.364000000000000057e+01,1.063765165184775291e-01
1.366000000000000014e+01,5.697846116555259355e-02
1.367999999999999972e+01,1.429553036281115130e-01
1.369999999999999929e+01,9.383821358194065210e-02
1.372000000000000064e+01,1.569912945868955911e-01
1.374000000000000021e+01,3.126038470575755457e-01
1.375999999999999979e+01,1.328739857983440853e-01
1.378000000000000114e+01,1.822464434560850943e-01
1.380000000000000071e+01,1.128343087806244899e-01
1.382000000000000028e+01,9.225217039435819333e-02
1.383999999999999986e+01,1.210900278253880663e-01
1.385999999999999943e+01,3.488274772236933385e-01
1.387999999999999901e+01,2.561534853793523414e-01
1.390000000000000036e+01,2.363707099699214331e-01
1.391999999999999993e+01,2.032139483721928930e-01
1.393999999999999950e+01,3.959714724011425407e-02
1.396000000000000085e+01,9.499818036190839365e-02
1.398000000000000043e+01,2.509877765586880916e-01
1.400000000000000000e+01,1.888258018259163229e-01
1.401999999999999957e+01,1.000683114220420888e-01
1.403999999999999915e+01,1.377799136083069642e-01
1.406000000000000050e+01,2.552642964668434822e-02
1.408000000000000007e+01,3.078184104344109384e-01
1.409999999999999964e+01,1.567985473370057115e-01
1.412000000000000099e+01,1.677576563791804420e-01
1.414000000000000057e+01,2.830558027594201609e-01
1.416000000000000014e+01,1.132197083412911504e-01
1.417999999999999972e+01,3.626066715663793794e-01
1.419999999999999929e+01,1.569545983264710454e-01
1.421999999999999886e+01,7.895083331948825334e-02
