# 2Theta,Intensity
1.000000000000000000e+01,2.143437825797741558e-01
1.001999999999999957e+01,7.714778540201548684e-02
1.003999999999999915e+01,1.848969905023833404e-01
1.006000000000000050e+01,-1.334404744886568128e-01
1.008000000000000007e+01,1.757368351907076243e-01
1.009999999999999964e+01,1.249285660918768859e-01
1.011999999999999922e+01,1.727760551879548578e-01
1.014000000000000057e+01,4.488204025499520355e-02
1.016000000000000014e+01,1.099691968405155790e-01
1.017999999999999972e+01,2.491615864884274070e-02
1.019999999999999929e+01,-1.897076174423803843e-02
1.022000000000000064e+01,2.618764376335201427e-01
1.024000000000000021e+01,2.453245872971547559e-01
1.025999999999999979e+01,2.289029186815145223e-01
1.027999999999999936e+01,-6.616794644309909046e-02
1.030000000000000071e+01,1.903844864886624078e-01
1.032000000000000028e+01,-2.531768552239392622e-02
1.033999999999999986e+01,1.141873480372812555e-01
1.035999999999999943e+01,1.290624336535550754e-01
1.038000000000000078e+01,5.979819841172231976e-02
1.040000000000000036e+01,-1.293630326385034612e-01
1.041999999999999993e+01,1.483487410553926966e-01
1.043999999999999950e+01,1.728523595455491446e-01
1.046000000000000085e+01,1.546628357338322435e-01
1.048000000000000043e+01,-1.684463859223709475e-02
1.050000000000000000e+01,-3.372846021962505689e-03
1.051999999999999957e+01,1.201422111544896143e-01
1.053999999999999915e+01,6.095236109650388999e-03
1.056000000000000050e+01,-3.533912849924494837e-02
1.058000000000000007e+01,3.726825859317033779e-02
1.059999999999999964e+01,1.055557237248015007e-01
1.061999999999999922e+01,1.808748153231728162e-01
1.064000000000000057e+01,1.295816058767011898e-02
1.066000000000000014e+01,2.338064034796091262e-01
1.067999999999999972e+01,1.394318973570475573e-01
1.069999999999999929e+01,-1.209371330887546170e-01
1.072000000000000064e+01,8.836293888375751360e-02
1.074000000000000021e+01,1.871656770058765795e-01
1.075999999999999979e+01,1.220822768750255555e-01
1.077999999999999936e+01,1.294975236561853316e-01
1.080000000000000071e+01,4.462189024113126512e-03
1.082000000000000028e+01,1.547933213180430201e-01
1.083999999999999986e+01,6.336318575358755589e-02
1.085999999999999943e+01,2.120321734921312151e-01
1.088000000000000078e+01,1.528298287764413010e-01
1.090000000000000036e+01,-3.940075246276828619e-02
1.091999999999999993e+01,9.142186964583579045e-02
1.093999999999999950e+01,2.258845168405677062e-01
1.096000000000000085e+01,1.277758694590325483e-01
1.098000000000000043e+01,1.620060065514392911e-01
1.100000000000000000e+01,9.881262856151200313e-02
1.101999999999999957e+01,8.226061787632626965e-02
1.103999999999999915e+01,2.169551572552068375e-01
1.106000000000000050e+01,2.557528804837630454e-01
1.108000000000000007e+01,1.423062758971252728e-01
1.109999999999999964e+01,8.790527314108893819e-02
1.112000000000000099e+01,8.159572319795599382e-02
1.114000000000000057e+01,1.527011982030527792e-01
1.116000000000000014e+01,1.027295012915646275e-02
1.117999999999999972e+01,9.870324543580022425e-02
