# 2Theta,Intensity
1.000000000000000000e+01,2.545941396366917520e-01
1.001999999999999957e+01,-4.242230712206646742e-02
1.003999999999999915e+01,1.173960006466760880e-01
1.006000000000000050e+01,2.216328710575966032e-01
1.008000000000000007e+01,-9.876186181015185472e-02
1.009999999999999964e+01,1.888129135545303094e-01
1.011999999999999922e+01,-3.034585678916012358e-02
1.014000000000000057e+01,1.716376495790745693e-01
1.016000000000000014e+01,4.125157320755901830e-02
1.017999999999999972e+01,1.058165971610489503e-01
1.019999999999999929e+01,7.813872744942298998e-02
1.022000000000000064e+01,8.840366903699878320e-02
1.024000000000000021e+01,1.138205185988038354e-01
1.025999999999999979e+01,-3.770830245937222686e-02
1.027999999999999936e+01,-3.024226052735870529e-02
1.030000000000000071e+01,4.551106407786230205e-03
1.032000000000000028e+01,1.626524844104296208e-01
1.033999999999999986e+01,-3.836525714087616473e-02
1.035999999999999943e+01,9.252119615669737729e-02
1.038000000000000078e+01,1.559871546617799531e-01
1.040000000000000036e+01,3.945775012010724336e-02
1.041999999999999993e+01,1.875918210171692302e-01
1.043999999999999950e+01,2.655347330136082484e-01
1.046000000000000085e+01,2.623977661312817868e-03
1.048000000000000043e+01,3.095731177871134943e-01
1.050000000000000000e+01,1.882685099152514585e-01
1.051999999999999957e+01,3.544188234503699991e-02
1.053999999999999915e+01,-2.044552796870222761e-02
1.056000000000000050e+01,1.228671113592562647e-01
1.058000000000000007e+01,3.786853389748765647e-02
1.059999999999999964e+01,9.135536864632426424e-02
1.061999999999999922e+01,4.372823412334955057e-02
1.064000000000000057e+01,2.146462078438114429e-01
1.066000000000000014e+01,1.732438460610050690e-01
1.067999999999999972e+01,1.687296945776361468e-01
1.069999999999999929e+01,2.167491149818482066e-01
1.072000000000000064e+01,2.374569511326834192e-01
1.074000000000000021e+01,7.205997097041368094e-02
1.075999999999999979e+01,1.037846926063106662e-01
1.077999999999999936e+01,2.272046317736787224e-01
1.080000000000000071e+01,1.491754546883023447e-01
1.082000000000000028e+01,2.338306174219920500e-02
1.083999999999999986e+01,8.616795772118517049e-02
1.085999999999999943e+01,1.860757004616883370e-01
1.088000000000000078e+01,-2.749315141544598010e-02
1.090000000000000036e+01,8.032337421960189516e-02
1.091999999999999993e+01,1.386984195740297021e-01
1.093999999999999950e+01,1.921315614227098179e-01
1.096000000000000085e+01,1.016636731918835607e-01
1.098000000000000043e+01,2.574058430708211498e-01
1.100000000000000000e+01,1.702977381955467218e-01
1.101999999999999957e+01,-5.961726911296770341e-03
1.103999999999999915e+01,1.789647790036720532e-01
1.106000000000000050e+01,5.983386183363458705e-02
1.108000000000000007e+01,1.485704445317696798e-01
1.109999999999999964e+01,3.502705847068336969e-03
1.112000000000000099e+01,8.064060547414060587e-02
1.114000000000000057e+01,-6.610035376081220548e-02
1.116000000000000014e+01,1.393422329778108426e-01
1.117999999999999972e+01,1.374527159431768175e-01
1.119999999999999929e+01,8.644457827975511599e-02
1.122000000000000064e+01,1.062929011463467771e-01
1.124000000000000021e+01,-6.384066702881281696e-02
1.125999999999999979e+01,3.794377063649825681e-03
1.127999999999999936e+01,1.715640676876702408e-01
1.130000000000000071e+01,1.291140535891324714e-01
1.132000000000000028e+01,1.245420598832628345e-01
1.133999999999999986e+01,2.080129179874140866e-01
1.135999999999999943e+01,3.981306422500648090e-02
1.138000000000000078e+01,9.555718851127241453e-02
1.140000000000000036e+01,1.181953464013450195e-01
1.141999999999999993e+01,1.931109038391901067e-01
1.143999999999999950e+01,3.389845253700297240e-02
1.146000000000000085e+01,1.076047281820737833e-01
1.148000000000000043e+01,3.419367021884619495e-01
1.150000000000000000e+01,8.471145676611113728e-02
1.151999999999999957e+01,2.241434694616230572e-01
1.153999999999999915e+01,9.290331764091649958e-02
1.156000000000000050e+01,2.211662195062359948e-01
1.158000000000000007e+01,-3.720007870955352458e-02
1.159999999999999964e+01,-1.688425583840638955e-01
1.162000000000000099e+01,1.296510326566963078e-01
1.164000000000000057e+01,-1.485939899609569140e-02
1.166000000000000014e+01,8.353532722800940946e-02
1.167999999999999972e+01,1.131716905674393370e-01
1.169999999999999929e+01,5.261902297816517526e-02
1.172000000000000064e+01,7.023980056593352728e-02
1.174000000000000021e+01,3.076729190174882778e-01
1.175999999999999979e+01,6.810886034716911140e-03
1.177999999999999936e+01,1.576712088493463781e-01
1.180000000000000071e+01,1.595617199097357775e-01
1.182000000000000028e+01,-1.334339773517090877e-01
1.183999999999999986e+01,-1.665975191644947229e-01
1.185999999999999943e+01,3.305745862392246437e-01
1.188000000000000078e+01,1.775884769291802279e-01
1.190000000000000036e+01,2.697278550999854252e-02
1.191999999999999993e+01,1.302830548449227244e-01
1.193999999999999950e+01,5.785988543919413918e-02
1.196000000000000085e+01,2.693146557939338770e-01
1.198000000000000043e+01,2.778563766005560653e-01
1.200000000000000000e+01,2.352024887865620251e-01
1.201999999999999957e+01,9.988137589662016147e-02
1.203999999999999915e+01,1.105544783210940102e-01
1.206000000000000050e+01,1.860035738832900576e-01
1.208000000000000007e+01,1.783526925436986973e-02
1.209999999999999964e+01,2.509326950863501049e-02
1.212000000000000099e+01,-5.339637176904397931e-02
1.214000000000000057e+01,2.474715856107542744e-01
1.216000000000000014e+01,3.847701668879086045e-01
1.217999999999999972e+01,-9.867161961391139602e-02
1.219999999999999929e+01,5.786817505619194085e-02
1.222000000000000064e+01,6.128659042312971372e-02
1.224000000000000021e+01,1.144136073224427674e-01
1.225999999999999979e+01,2.326116692415840792e-01
1.228000000000000114e+01,1.759363440665849820e-01
1.230000000000000071e+01,-2.054050257416779532e-02
1.232000000000000028e+01,1.256032063901771183e-02
1.233999999999999986e+01,-2.881194994069354379e-02
1.235999999999999943e+01,1.926407153436000552e-01
1.237999999999999901e+01,-9.385554518699604915e-04
1.240000000000000036e+01,3.066245221246057806e-01
1.241999999999999993e+01,1.137775957833970508e-01
1.243999999999999950e+01,-5.747004162580474085e-02
1.246000000000000085e+01,2.834226096985563714e-01
1.248000000000000043e+01,3.534627365974171709e-02
1.250000000000000000e+01,1.702763509559512278e-01
1.251999999999999957e+01,3.802314719108580710e-02
1.253999999999999915e+01,2.022630387375812799e-01
1.256000000000000050e+01,1.330895498957844481e-01
1.258000000000000007e+01,1.603237302811562903e-01
1.259999999999999964e+01,1.083586254248619235e-01
1.262000000000000099e+01,1.968633596328268898e-01
1.264000000000000057e+01,1.763072534368122779e-01
1.266000000000000014e+01,1.644331591873633147e-01
1.267999999999999972e+01,1.697513547079382845e-01
1.269999999999999929e+01,-9.238782944726910140e-02
1.272000000000000064e+01,-4.597615067434186742e-02
1.274000000000000021e+01,2.328199129275841384e-01
1.275999999999999979e+01,7.529259614508196363e-02
1.278000000000000114e+01,2.045621647837023160e-01
1.280000000000000071e+01,1.045132454979823544e-01
1.282000000000000028e+01,-9.070348140073211662e-02
1.283999999999999986e+01,-4.413060278623448518e-02
1.285999999999999943e+01,9.687731018042917974e-02
1.287999999999999901e+01,1.905412832016656621e-01
1.290000000000000036e+01,8.261089708591934366e-02
1.291999999999999993e+01,2.006395127255157507e-01
1.293999999999999950e+01,1.171254398687583825e-01
1.296000000000000085e+01,9.805336842077994053e-02
1.298000000000000043e+01,9.590706035119507533e-02
1.300000000000000000e+01,3.204732612331704505e-02
1.301999999999999957e+01,2.432458466604001720e-03
1.303999999999999915e+01,2.289336873803516359e-01
1.306000000000000050e+01,1.387737500352543285e-01
1.308000000000000007e+01,1.348336813313874560e-01
1.309999999999999964e+01,9.830041902793376640e-02
1.312000000000000099e+01,3.734714492832643673e-01
1.314000000000000057e+01,1.496808315622955021e-01
1.316000000000000014e+01,1.106155992717100106e-01
1.317999999999999972e+01,-1.429125066658713632e-02
1.319999999999999929e+01,6.901945645100729387e-02
1.322000000000000064e+01,1.293293128380158807e-01
1.324000000000000021e+01,2.007540827959370180e-02
1.325999999999999979e+01,1.875286322655640714e-01
1.328000000000000114e+01,2.368149463336723104e-01
1.330000000000000071e+01,1.079252744560099952e-01
1.332000000000000028e+01,9.228241957692474851e-02
1.333999999999999986e+01,5.567985771830000208e-02
1.335999999999999943e+01,1.382351206105291719e-01
1.337999999999999901e+01,7.975188018785686617e-02
1.340000000000000036e+01,-9.207504727591495075e-02
1.341999999999999993e+01,1.233530820816457763e-01
1.343999999999999950e+01,-1.314407175129061849e-02
1.346000000000000085e+01,2.432737093606518741e-01
1.348000000000000043e+01,1.603317741588229650e-01
1.350000000000000000e+01,1.253185365005292651e-01
1.351999999999999957e+01,2.308694346236948025e-01
1.353999999999999915e+01,9.135309571430053066e-02
1.356000000000000050e+01,2.844974697085497772e-02
1.358000000000000007e+01,9.229972265857007419e-02
1.359999999999999964e+01,1.196100989003497095e-02
1.362000000000000099e+01,5.292977437297430310e-02
1.364000000000000057e+01,9.825090456394711125e-02
1.366000000000000014e+01,1.867708291081803321e-02
1.367999999999999972e+01,1.910557322310133532e-01
1.369999999999999929e+01,6.766223160564185379e-01
1.372000000000000064e+01,6.108315603011050809e-01
1.374000000000000021e+01,6.948943518702386246e-01
1.375999999999999979e+01,1.155061894645240228e+00
1.378000000000000114e+01,4.169763711111218463e+00
1.380000000000000071e+01,7.133136973340276299e+00
1.382000000000000028e+01,8.344954288571495127e+00
1.383999999999999986e+01,4.753270944598279257e+00
1.385999999999999943e+01,1.884560867773684922e+00
1.387999999999999901e+01,8.224319685124525936e-01
1.390000000000000036e+01,3.334176902093232697e-01
1.391999999999999993e+01,4.377347677865956466e-01
1.393999999999999950e+01,2.183473332033549538e-03
1.396000000000000085e+01,1.636777558235832097e-01
1.398000000000000043e+01,1.719141590306842993e-01
1.400000000000000000e+01,3.508350040410458948e-01
1.401999999999999957e+01,3.073333250483266110e-01
1.403999999999999915e+01,1.483233773673199585e-01
1.406000000000000050e+01,2.313518754064829708e-01
1.408000000000000007e+01,1.491814545570662454e-01
1.409999999999999964e+01,3.161059310753431273e-01
1.412000000000000099e+01,-8.152492692099003874e-03
1.414000000000000057e+01,7.548516984802763896e-02
1.416000000000000014e+01,3.144822533811788418e-02
1.417999999999999972e+01,-5.106411367946363244e-02
1.419999999999999929e+01,1.602430964000922109e-01
1.421999999999999886e+01,2.417677211682784932e-01
1.424000000000000021e+01,1.361173406211836287e-02
1.425999999999999979e+01,1.625674234944861352e-01
1.428000000000000114e+01,2.155861486123891446e-01
1.430000000000000071e+01,9.500187337202288529e-02
1.432000000000000028e+01,8.664163685784649627e-02
1.433999999999999986e+01,1.216001687096570361e-01
1.435999999999999943e+01,2.276309529193811521e-01
1.437999999999999901e+01,6.923153356359314226e-02
1.440000000000000036e+01,1.256316993375805324e-01
1.441999999999999993e+01,5.136372311604112118e-02
1.444000000000000128e+01,8.593482672487925966e-02
1.446000000000000085e+01,1.286012060830300230e-01
1.448000000000000043e+01,-2.482973613942246818e-02
1.450000000000000000e+01,3.938951455030549886e-01
1.451999999999999957e+01,3.463850768900102878e-02
1.453999999999999915e+01,6.315079115113718389e-03
1.456000000000000050e+01,5.137820187426905133e-02
1.458000000000000007e+01,1.092969972194107464e-01
1.460000000000000142e+01,-2.113993228666069188e-02
1.462000000000000099e+01,1.089692855370769792e-01
1.464000000000000057e+01,2.498028632647319447e-01
1.466000000000000014e+01,2.802952270270849811e-01
1.467999999999999972e+01,6.816954128477388519e-02
1.469999999999999929e+01,2.214247038953313096e-01
1.471999999999999886e+01,2.528260554243561553e-01
1.474000000000000021e+01,2.571047502131491580e-01
1.475999999999999979e+01,4.415219341077578769e-02
1.478000000000000114e+01,2.008121464083567967e-02
1.480000000000000071e+01,-1.582172426162566439e-02
1.482000000000000028e+01,1.661310850430445518e-01
1.483999999999999986e+01,-6.037204323849279519e-02
1.485999999999999943e+01,2.568586369102592304e-01
1.487999999999999901e+01,1.894826695130248928e-01
1.490000000000000036e+01,8.146363629432493147e-02
1.491999999999999993e+01,3.835410574467713885e-02
1.494000000000000128e+01,2.267720379455420709e-01
1.496000000000000085e+01,1.552748603945188766e-01
1.498000000000000043e+01,1.365561956678984779e-01
1.500000000000000000e+01,2.140019718690177319e-01
1.501999999999999957e+01,1.238514230636261482e-01
1.503999999999999915e+01,2.444974273080963156e-01
1.506000000000000050e+01,7.466781662109314710e-02
1.508000000000000007e+01,-1.522444025898908766e-02
1.510000000000000142e+01,1.792020387795868475e-01
1.512000000000000099e+01,4.963600026065891763e-02
1.514000000000000057e+01,1.559522274668578290e-01
1.516000000000000014e+01,1.133703537963152708e-01
1.517999999999999972e+01,4.198547361566128122e-02
1.519999999999999929e+01,8.382310666921864717e-02
1.521999999999999886e+01,2.714007894877759064e-01
1.524000000000000021e+01,4.346831284698846054e-02
1.525999999999999979e+01,1.696642868929649495e-01
1.528000000000000114e+01,1.394544882599801916e-01
1.530000000000000071e+01,1.046818208828012714e-01
1.532000000000000028e+01,1.690261523235422059e-01
1.533999999999999986e+01,3.623472443132653154e-01
1.535999999999999943e+01,1.374523923339446840e-01
1.537999999999999901e+01,6.674466058760354648e-02
1.540000000000000036e+01,2.810637517804784880e-01
1.541999999999999993e+01,1.874147261790487518e-01
1.544000000000000128e+01,7.670400681324933932e-03
1.546000000000000085e+01,4.010928966056817591e-02
1.548000000000000043e+01,4.040368334434458336e-02
1.550000000000000000e+01,2.161971303667920286e-01
1.551999999999999957e+01,2.999637814314692549e-02
1.553999999999999915e+01,1.349231309758718855e-01
1.556000000000000050e+01,1.037307671558683198e-01
1.558000000000000007e+01,1.199346792006335122e-01
1.560000000000000142e+01,6.587548597631983326e-03
1.562000000000000099e+01,-1.087564514340683408e-01
1.564000000000000057e+01,-6.985687498164250275e-02
1.566000000000000014e+01,-1.883338326316207068e-01
1.567999999999999972e+01,1.306299746747121605e-02
1.569999999999999929e+01,3.425135516399387403e-01
1.571999999999999886e+01,1.051987577861911854e-01
1.574000000000000021e+01,1.542537603443396854e-01
1.575999999999999979e+01,2.752491936013204965e-01
1.578000000000000114e+01,1.045791547122334048e-01
1.580000000000000071e+01,8.795879239347606515e-02
1.582000000000000028e+01,-2.051790321470945734e-03
1.583999999999999986e+01,7.446828601797697567e-02
1.585999999999999943e+01,2.701795133146159822e-01
1.587999999999999901e+01,-5.298730813863020139e-02
1.590000000000000036e+01,2.074167679494721694e-01
1.591999999999999993e+01,1.658776511854140046e-01
1.594000000000000128e+01,6.444412910284066931e-02
1.596000000000000085e+01,9.259760544805523130e-02
1.598000000000000043e+01,3.466128817661151551e-01
1.600000000000000000e+01,6.620526863387002914e-01
1.601999999999999957e+01,8.451291117171149114e-01
1.603999999999999915e+01,6.435483267674915187e-01
1.606000000000000227e+01,1.748484000259287741e-01
1.607999999999999829e+01,2.546338836463344912e-01
1.610000000000000142e+01,4.794002693409487037e-01
1.612000000000000099e+01,2.178751601680627703e-01
1.614000000000000057e+01,1.454115743905529001e+00
1.616000000000000014e+01,3.086453185032084434e+00
1.617999999999999972e+01,3.036394070423811264e+00
1.619999999999999929e+01,2.128062163452807187e+00
1.621999999999999886e+01,7.640137013731227444e-01
1.624000000000000199e+01,4.680425509270983442e-01
1.625999999999999801e+01,-3.858917923099586950e-02
1.628000000000000114e+01,1.393401839260517971e-01
1.630000000000000071e+01,1.525125107643862665e-01
1.632000000000000028e+01,1.541656437568214855e-01
1.633999999999999986e+01,3.501371926451014027e-01
1.635999999999999943e+01,1.301915564785802171e-01
1.637999999999999901e+01,2.966048737178381689e-01
1.639999999999999858e+01,1.113979420849045415e-01
1.642000000000000171e+01,1.433457394421514541e-01
1.644000000000000128e+01,1.563004521013207360e-01
1.646000000000000085e+01,-4.843198719635129906e-02
1.648000000000000043e+01,7.332300507886843621e-02
1.650000000000000000e+01,2.017485327097502112e-01
1.651999999999999957e+01,-7.593525557109136181e-02
1.653999999999999915e+01,-3.222873581571550263e-03
1.656000000000000227e+01,7.512894271864131723e-02
1.657999999999999829e+01,1.429646078253396513e-01
1.660000000000000142e+01,2.228884088098549016e-02
1.662000000000000099e+01,-1.204877449063723911e-02
1.664000000000000057e+01,1.239222398024159982e-01
1.666000000000000014e+01,2.030420154410954303e-01
1.667999999999999972e+01,2.748939368935491775e-02
1.669999999999999929e+01,-1.607831625048970481e-01
1.671999999999999886e+01,3.382528036944038030e-01
1.674000000000000199e+01,2.170651007570761626e-01
