# 2Theta,Intensity
1.000000000000000000e+01,4.320027488535361782e-01
1.001999999999999957e+01,2.765763535388718330e-01
1.003999999999999915e+01,5.053838368475693787e-01
1.006000000000000050e+01,5.003798486945414403e-01
1.008000000000000007e+01,4.880782270371202269e-01
1.009999999999999964e+01,3.588516917101775006e-01
1.011999999999999922e+01,7.220445335700774736e-01
1.014000000000000057e+01,3.034470572600623250e-01
1.016000000000000014e+01,4.056774787750937472e-01
1.017999999999999972e+01,2.672835475690737983e-01
1.019999999999999929e+01,1.517801497557599855e-01
1.022000000000000064e+01,1.180063137430722303e-01
1.024000000000000021e+01,5.290922317011914622e-01
1.025999999999999979e+01,6.057485595798017819e-01
1.027999999999999936e+01,5.147530939284701290e-01
1.030000000000000071e+01,3.178533834068961728e-01
1.032000000000000028e+01,3.054974070735255731e-01
1.033999999999999986e+01,3.347766301428362623e-01
1.035999999999999943e+01,3.293614777211096301e-01
1.038000000000000078e+01,3.529054553434105568e-01
1.040000000000000036e+01,8.444897816036517346e-01
1.041999999999999993e+01,5.067127843607551752e-01
1.043999999999999950e+01,4.908310746747483466e-01
1.046000000000000085e+01,6.779872580481859368e-01
1.048000000000000043e+01,4.468807110895315349e-01
1.050000000000000000e+01,7.073032610460914249e-01
1.051999999999999957e+01,2.910422002680680409e-01
1.053999999999999915e+01,3.701151783972976284e-01
1.056000000000000050e+01,1.316468102146854113e-01
1.058000000000000007e+01,6.078769182367662616e-01
1.059999999999999964e+01,3.651391335165987684e-01
1.061999999999999922e+01,6.057253076492098431e-01
1.064000000000000057e+01,4.230361050347729024e-01
1.066000000000000014e+01,4.644480054011571601e-01
1.067999999999999972e+01,2.780965542385038236e-01
1.069999999999999929e+01,2.398593002371056937e-01
1.072000000000000064e+01,5.388216998804127300e-01
1.074000000000000021e+01,2.388003608949856305e-01
1.075999999999999979e+01,6.226647753367090532e-01
1.077999999999999936e+01,4.192715611302717527e-01
1.080000000000000071e+01,2.037337322560204000e-01
1.082000000000000028e+01,6.020599361259948434e-01
1.083999999999999986e+01,7.597808875460891898e-01
1.085999999999999943e+01,3.347824293083613290e-01
1.088000000000000078e+01,4.009754818001007304e-01
1.090000000000000036e+01,5.310029422582166481e-01
1.091999999999999993e+01,3.930761895560093699e-01
1.093999999999999950e+01,4.357530855610352583e-01
1.096000000000000085e+01,3.112080548998398255e-01
1.098000000000000043e+01,4.888039201332016193e-01
1.100000000000000000e+01,5.519730518846942546e-01
1.101999999999999957e+01,4.717737118626226245e-01
1.103999999999999915e+01,6.449494109831511723e-01
1.106000000000000050e+01,2.089886368398309602e-01
1.108000000000000007e+01,3.926947055269284226e-01
1.109999999999999964e+01,3.836140325315921529e-01
1.112000000000000099e+01,2.270252573641044214e-01
1.114000000000000057e+01,3.106458138152577431e-01
1.116000000000000014e+01,6.535611162699315191e-01
1.117999999999999972e+01,4.157948888877159854e-01
1.119999999999999929e+01,4.999626035233387666e-01
1.122000000000000064e+01,3.774290673229171444e-01
1.124000000000000021e+01,6.833238859648919084e-01
1.125999999999999979e+01,3.741664273963263287e-01
1.127999999999999936e+01,4.017003372042056153e-01
1.130000000000000071e+01,6.715624976861568340e-01
1.132000000000000028e+01,2.938398817807889030e-01
1.133999999999999986e+01,2.545218220103193651e-01
1.135999999999999943e+01,6.772755378713911645e-01
1.138000000000000078e+01,2.851493284371636183e-01
1.140000000000000036e+01,4.761778137048907067e-01
1.141999999999999993e+01,6.352001061234583412e-01
1.143999999999999950e+01,4.034271436523427790e-01
1.146000000000000085e+01,5.392869053051262407e-01
1.148000000000000043e+01,7.129063414207575944e-01
1.150000000000000000e+01,3.440048714895715398e-01
1.151999999999999957e+01,3.601724044986456263e-01
1.153999999999999915e+01,4.645959009763493963e-01
1.156000000000000050e+01,5.057313141895852793e-01
1.158000000000000007e+01,1.805090784299863693e-01
1.159999999999999964e+01,4.674175801370075156e-01
1.162000000000000099e+01,5.460059049938036368e-01
1.164000000000000057e+01,2.543037888973612159e-01
1.166000000000000014e+01,3.093211851734647411e-01
1.167999999999999972e+01,4.887467583823059680e-01
1.169999999999999929e+01,4.232109822904078777e-01
1.172000000000000064e+01,6.885645503440791515e-01
1.174000000000000021e+01,4.193039105426027424e-01
1.175999999999999979e+01,3.190275767604631163e-01
1.177999999999999936e+01,3.503177945452156661e-01
1.180000000000000071e+01,4.720381245503882939e-01
1.182000000000000028e+01,5.767833487750287924e-01
1.183999999999999986e+01,5.850988886243281284e-01
1.185999999999999943e+01,5.030045619245265831e-01
1.188000000000000078e+01,3.368056227908591271e-01
1.190000000000000036e+01,3.831386239735771193e-01
1.191999999999999993e+01,4.832654904483839609e-01
1.193999999999999950e+01,3.912528100918217788e-01
1.196000000000000085e+01,6.255417734003294594e-01
1.198000000000000043e+01,4.627219914214378838e-01
1.200000000000000000e+01,4.446621821068404423e-01
1.201999999999999957e+01,6.998034734665016243e-01
1.203999999999999915e+01,5.468025174738372352e-01
1.206000000000000050e+01,5.013705908245842391e-01
1.208000000000000007e+01,3.423438137565527062e-01
1.209999999999999964e+01,5.968129478793517961e-01
1.212000000000000099e+01,4.895924712315352090e-01
1.214000000000000057e+01,4.017086223266639888e-01
1.216000000000000014e+01,5.163506965278579219e-01
1.217999999999999972e+01,5.362067359044114800e-01
1.219999999999999929e+01,5.774672813829125895e-01
1.222000000000000064e+01,4.331242485663687747e-01
1.224000000000000021e+01,3.424846888140225531e-01
1.225999999999999979e+01,5.048562362163412365e-01
1.228000000000000114e+01,4.605277990696686752e-01
1.230000000000000071e+01,5.485812447117129897e-01
1.232000000000000028e+01,3.802494702972230578e-01
1.233999999999999986e+01,5.645910091460741853e-01
1.235999999999999943e+01,5.485496325320320388e-01
1.237999999999999901e+01,5.513568351944519996e-01
1.240000000000000036e+01,6.556941331784772453e-01
1.241999999999999993e+01,2.885904917597373331e-01
1.243999999999999950e+01,5.315367249242689551e-01
1.246000000000000085e+01,4.653971161359230502e-01
1.248000000000000043e+01,4.650168727013075931e-01
1.250000000000000000e+01,3.071330351271177039e-01
1.251999999999999957e+01,5.197578659838669735e-01
1.253999999999999915e+01,5.025885768765652184e-01
1.256000000000000050e+01,5.942457333713551115e-01
1.258000000000000007e+01,5.385401976813810609e-01
1.259999999999999964e+01,4.612581923092028968e-01
1.262000000000000099e+01,4.050351428286642075e-01
1.264000000000000057e+01,5.024014092271071874e-01
1.266000000000000014e+01,4.562570813844611939e-01
1.267999999999999972e+01,6.313115293456570409e-01
1.269999999999999929e+01,4.447854759205102648e-01
1.272000000000000064e+01,1.852653052499970976e-01
1.274000000000000021e+01,5.746619809948729785e-01
1.275999999999999979e+01,6.932851999061389048e-01
1.278000000000000114e+01,4.418821340249161067e-01
1.280000000000000071e+01,4.588577738853095167e-01
1.282000000000000028e+01,1.978850133255256605e-01
1.283999999999999986e+01,5.132979825209996738e-01
1.285999999999999943e+01,4.731311704360308124e-01
1.287999999999999901e+01,4.924451575605472975e-01
1.290000000000000036e+01,2.474364861706204732e-01
1.291999999999999993e+01,3.068223269243529061e-01
1.293999999999999950e+01,6.289028916670695857e-01
1.296000000000000085e+01,3.570905048823573291e-01
1.298000000000000043e+01,4.444829269796732873e-01
1.300000000000000000e+01,2.477094030641610878e-01
1.301999999999999957e+01,6.132850506908359423e-01
1.303999999999999915e+01,5.113115284911724512e-01
1.306000000000000050e+01,5.519179092549368892e-01
1.308000000000000007e+01,2.499943155894106817e-01
1.309999999999999964e+01,3.668659652111637692e-01
