# 2Theta,Intensity
1.000000000000000000e+01,1.879045721031907257e-01
1.001999999999999957e+01,2.127870959930902584e-01
1.003999999999999915e+01,2.563787681323670409e-01
1.006000000000000050e+01,1.708331489233917977e-01
1.008000000000000007e+01,-4.945198157938940353e-02
1.009999999999999964e+01,2.426085537586620822e-01
1.011999999999999922e+01,1.670635506058150421e-01
1.014000000000000057e+01,3.429051648637022609e-01
1.016000000000000014e+01,2.501223493067271098e-01
1.017999999999999972e+01,3.261586426160469343e-01
1.019999999999999929e+01,-7.071616995252716364e-03
1.022000000000000064e+01,3.161284561490274037e-01
1.024000000000000021e+01,4.136006418323048273e-01
1.025999999999999979e+01,2.313863623064247865e-01
1.027999999999999936e+01,4.290142130384061447e-01
1.030000000000000071e+01,2.718568131852528436e-01
1.032000000000000028e+01,6.112114513124544679e-01
1.033999999999999986e+01,3.006673163976913976e-01
1.035999999999999943e+01,2.160214573042841257e-01
1.038000000000000078e+01,2.407045006966060663e-01
1.040000000000000036e+01,2.899570237141024243e-01
1.041999999999999993e+01,1.880010839445538928e-01
1.043999999999999950e+01,2.240451485459512837e-01
1.046000000000000085e+01,6.617576790240517481e-02
1.048000000000000043e+01,2.621696248072947766e-01
1.050000000000000000e+01,3.401359549895452417e-01
1.051999999999999957e+01,4.080211319776891887e-01
1.053999999999999915e+01,1.606924276794920725e-01
1.056000000000000050e+01,9.468504238062969147e-02
1.058000000000000007e+01,3.061477897402374859e-01
1.059999999999999964e+01,1.055976667356369053e-01
1.061999999999999922e+01,1.329376964600571531e-01
1.064000000000000057e+01,1.498217564719049599e-01
1.066000000000000014e+01,2.543682734612541241e-01
1.067999999999999972e+01,4.919752978386204845e-01
1.069999999999999929e+01,5.612270001284709320e-01
1.072000000000000064e+01,2.964869111462118401e-01
1.074000000000000021e+01,1.241301072689529883e-01
1.075999999999999979e+01,2.235752680852171326e-01
1.077999999999999936e+01,3.802152567598571786e-01
1.080000000000000071e+01,7.732917605636878411e-02
1.082000000000000028e+01,3.855038061803351956e-01
1.083999999999999986e+01,1.698610362757255465e-01
1.085999999999999943e+01,3.187027356634908326e-01
1.088000000000000078e+01,3.228400294788180691e-01
1.090000000000000036e+01,9.200066560106173741e-02
1.091999999999999993e+01,3.702283111986316710e-02
1.093999999999999950e+01,2.536261488223318095e-01
1.096000000000000085e+01,3.433765032806704309e-01
1.098000000000000043e+01,1.264509527103920561e-01
1.100000000000000000e+01,1.810171106811969133e-01
1.101999999999999957e+01,1.863657946727397541e-01
1.103999999999999915e+01,2.195485900446146610e-01
1.106000000000000050e+01,1.057836176112293969e-01
1.108000000000000007e+01,3.526169349237088246e-01
1.109999999999999964e+01,4.137338599112618809e-01
1.112000000000000099e+01,5.291739641142011175e-02
1.114000000000000057e+01,3.859208504932253314e-01
1.116000000000000014e+01,1.587263413629228237e-01
1.117999999999999972e+01,2.794301931970089581e-01
1.119999999999999929e+01,1.455024864199162271e-01
1.122000000000000064e+01,2.762878159938662592e-01
1.124000000000000021e+01,3.276200721743541266e-01
1.125999999999999979e+01,2.981194264431838992e-01
1.127999999999999936e+01,4.207268256017119429e-02
1.130000000000000071e+01,5.242847639675017879e-01
1.132000000000000028e+01,1.175856022823494329e-01
1.133999999999999986e+01,1.620270042727931514e-01
1.135999999999999943e+01,1.992086239692281713e-01
1.138000000000000078e+01,3.888982116189165783e-01
1.140000000000000036e+01,4.243785761022644265e-01
1.141999999999999993e+01,1.274680215904266112e-01
1.143999999999999950e+01,3.768652265494055742e-01
1.146000000000000085e+01,2.739506446582030130e-01
1.148000000000000043e+01,2.092979499546065297e-02
1.150000000000000000e+01,2.990254459073274362e-01
1.151999999999999957e+01,3.608635549878030924e-01
1.153999999999999915e+01,3.591387565830571060e-01
1.156000000000000050e+01,1.575921471581314126e-01
1.158000000000000007e+01,1.376800515476362952e-01
1.159999999999999964e+01,2.085315810092421840e-01
