# 2Theta,Intensity
1.000000000000000000e+01,2.905238445386564283e-01
1.001999999999999957e+01,3.597056073862593406e-01
1.003999999999999915e+01,4.552091859365436921e-01
1.006000000000000050e+01,9.343631195163698555e-02
1.008000000000000007e+01,3.327721901709052577e-01
1.009999999999999964e+01,3.509043219807513880e-01
1.011999999999999922e+01,3.539524464438510432e-01
1.014000000000000057e+01,2.991321655327506823e-01
1.016000000000000014e+01,3.586257799509855460e-01
1.017999999999999972e+01,3.829420443404550345e-01
1.019999999999999929e+01,2.698611440154806695e-01
1.022000000000000064e+01,2.520569984046001077e-01
1.024000000000000021e+01,3.476842337828355278e-01
1.025999999999999979e+01,1.475487689229906252e-01
1.027999999999999936e+01,3.864900636011061041e-01
1.030000000000000071e+01,1.991317752038964384e-01
1.032000000000000028e+01,2.213083552480888949e-01
1.033999999999999986e+01,2.614051827206895773e-01
1.035999999999999943e+01,1.858389820032571582e-01
1.038000000000000078e+01,1.303948652841281919e-01
1.040000000000000036e+01,3.021429482909796516e-01
1.041999999999999993e+01,1.143898767043211029e-01
1.043999999999999950e+01,1.377061999197611852e-01
1.046000000000000085e+01,4.432005860791216056e-01
1.048000000000000043e+01,1.986363979825845061e-01
1.050000000000000000e+01,3.652703375093569460e-01
1.051999999999999957e+01,2.403101934955775010e-01
1.053999999999999915e+01,2.606602186457975812e-01
1.056000000000000050e+01,5.491446507117557774e-01
1.058000000000000007e+01,4.158751588599985949e-01
1.059999999999999964e+01,5.956153874715858221e-01
1.061999999999999922e+01,3.623388213546321901e-01
1.064000000000000057e+01,2.647294714763187007e-01
1.066000000000000014e+01,3.496953197475345942e-01
1.067999999999999972e+01,2.734128082776002833e-01
1.069999999999999929e+01,2.545744853352043258e-01
1.072000000000000064e+01,2.579382618736918986e-01
1.074000000000000021e+01,3.452654926527340407e-02
1.075999999999999979e+01,2.438677295450268068e-01
1.077999999999999936e+01,3.860104152493169516e-01
1.080000000000000071e+01,3.231414326695243311e-01
1.082000000000000028e+01,3.654139045949408859e-01
1.083999999999999986e+01,2.740732177242024004e-01
1.085999999999999943e+01,4.608322045946141587e-01
1.088000000000000078e+01,1.302857323764771424e-01
1.090000000000000036e+01,2.472774521969908212e-01
1.091999999999999993e+01,1.522275033645024978e-01
