# 2Theta,Intensity
1.000000000000000000e+01,-1.554528788865580484e-02
1.001999999999999957e+01,-3.228576674023767717e-02
1.003999999999999915e+01,1.133766998637326419e-02
1.006000000000000050e+01,8.138224462476089868e-03
1.008000000000000007e+01,-2.665393550951309157e-02
1.009999999999999964e+01,1.893991768004779086e-01
1.011999999999999922e+01,-3.980618230021819998e-02
1.014000000000000057e+01,-3.366697646128882782e-02
1.016000000000000014e+01,-4.028652269752147630e-02
1.017999999999999972e+01,1.129351291675044847e-02
1.019999999999999929e+01,2.235323499337543984e-01
1.022000000000000064e+01,-1.413042707723422275e-01
1.024000000000000021e+01,-7.187927421216336321e-02
1.025999999999999979e+01,8.104046877014954575e-02
1.027999999999999936e+01,1.997525427912533180e-01
1.030000000000000071e+01,1.450807098490706493e-01
1.032000000000000028e+01,2.114478616449611825e-01
1.033999999999999986e+01,-4.312852206025775265e-02
1.035999999999999943e+01,-1.110144569490865117e-02
1.038000000000000078e+01,1.492655452888674850e-01
1.040000000000000036e+01,2.378715129443479542e-02
1.041999999999999993e+01,7.975455306796068455e-02
1.043999999999999950e+01,1.990772129642691575e-03
1.046000000000000085e+01,2.055579291670674713e-01
1.048000000000000043e+01,5.751869091952414165e-02
1.050000000000000000e+01,3.488876934599809826e-02
1.051999999999999957e+01,1.940666924397090598e-01
1.053999999999999915e+01,6.231740546786834756e-02
1.056000000000000050e+01,5.137766276525659870e-02
1.058000000000000007e+01,-1.019135369702868638e-01
1.059999999999999964e+01,6.842057775978266365e-02
1.061999999999999922e+01,-4.151375481727339126e-03
1.064000000000000057e+01,2.086686879944670558e-01
1.066000000000000014e+01,1.663288129457047848e-01
1.067999999999999972e+01,-5.957044195868307218e-02
1.069999999999999929e+01,1.505022403207598725e-01
1.072000000000000064e+01,6.502126454939928524e-02
1.074000000000000021e+01,-1.895188211060477856e-02
1.075999999999999979e+01,1.932614329035020062e-01
1.077999999999999936e+01,1.643604336086058604e-01
1.080000000000000071e+01,-8.816279825573669626e-02
1.082000000000000028e+01,-1.814980004557469745e-02
1.083999999999999986e+01,-2.236732394324500162e-01
1.085999999999999943e+01,-1.563304018872224005e-02
1.088000000000000078e+01,1.106639550070932371e-01
1.090000000000000036e+01,4.734368806409407909e-02
1.091999999999999993e+01,2.105408988306810003e-01
1.093999999999999950e+01,2.568848808089752023e-02
1.096000000000000085e+01,-4.120062866032132842e-02
1.098000000000000043e+01,8.022737378811328757e-02
1.100000000000000000e+01,2.388161084705814063e-01
1.101999999999999957e+01,-1.911017807084682274e-01
1.103999999999999915e+01,1.819063367549534627e-01
1.106000000000000050e+01,-6.075329331016265932e-02
1.108000000000000007e+01,1.988013338518363968e-02
1.109999999999999964e+01,-1.526304972880696276e-01
1.112000000000000099e+01,-5.396491413991944680e-02
1.114000000000000057e+01,6.156113660821033867e-02
1.116000000000000014e+01,1.189955184025159873e-01
1.117999999999999972e+01,6.362546321500689439e-02
1.119999999999999929e+01,6.533746706050752584e-02
1.122000000000000064e+01,-3.967612451606285229e-02
1.124000000000000021e+01,-1.695246779372897583e-01
1.125999999999999979e+01,4.329892164612721139e-02
1.127999999999999936e+01,1.318110995390476270e-01
1.130000000000000071e+01,1.561480264789385231e-01
1.132000000000000028e+01,1.535751934618145298e-01
1.133999999999999986e+01,8.162350686997367488e-02
1.135999999999999943e+01,-3.079667134268232118e-02
1.138000000000000078e+01,1.210800090213128150e-01
1.140000000000000036e+01,6.467670539097944427e-02
1.141999999999999993e+01,3.565060803371181142e-02
1.143999999999999950e+01,-7.286598366219808331e-02
1.146000000000000085e+01,1.974528465707475200e-01
1.148000000000000043e+01,1.241287743062534921e-01
1.150000000000000000e+01,-9.332344853821361932e-03
1.151999999999999957e+01,2.205882243300688050e-01
1.153999999999999915e+01,3.271648969293818043e-02
1.156000000000000050e+01,-1.146613730890141611e-02
1.158000000000000007e+01,1.720302892555510346e-02
1.159999999999999964e+01,-1.338311607097466237e-02
1.162000000000000099e+01,2.094308470978928638e-01
1.164000000000000057e+01,-1.468402166269194287e-01
1.166000000000000014e+01,-1.731097178610195228e-02
1.167999999999999972e+01,7.035074684401966538e-02
1.169999999999999929e+01,4.406844619084392296e-03
1.172000000000000064e+01,-1.580095588623474292e-04
