# 2Theta,Intensity
1.000000000000000000e+01,3.223264870636718404e-01
1.001999999999999957e+01,4.313348780388369108e-01
1.003999999999999915e+01,1.447094015506392162e-01
1.006000000000000050e+01,2.279530300652072294e-01
1.008000000000000007e+01,7.339264895228049534e-02
1.009999999999999964e+01,3.797708410615002195e-01
1.011999999999999922e+01,2.695004637240411838e-01
1.014000000000000057e+01,4.664142186115617372e-01
1.016000000000000014e+01,-1.969114327468643802e-02
1.017999999999999972e+01,1.211184806269494929e-01
1.019999999999999929e+01,1.235619426164693002e-01
1.022000000000000064e+01,1.157816566300359611e-02
1.024000000000000021e+01,1.535278810635797853e-01
1.025999999999999979e+01,7.092306296541001087e-02
1.027999999999999936e+01,3.042995049795038653e-01
1.030000000000000071e+01,2.763419375141353829e-01
1.032000000000000028e+01,2.248769048120710934e-01
1.033999999999999986e+01,3.030593113924965887e-01
1.035999999999999943e+01,3.865246528254691616e-01
1.038000000000000078e+01,2.850139275083670154e-01
1.040000000000000036e+01,1.460091482121840534e-01
1.041999999999999993e+01,2.009005542190595572e-01
1.043999999999999950e+01,2.108404442088903097e-01
1.046000000000000085e+01,4.342732109665560780e-01
1.048000000000000043e+01,2.081082934682775276e-01
1.050000000000000000e+01,4.534128621727827602e-01
1.051999999999999957e+01,3.500888035535393294e-02
1.053999999999999915e+01,8.655535207282695487e-02
1.056000000000000050e+01,3.620116015404834520e-01
1.058000000000000007e+01,4.379372896649074143e-01
1.059999999999999964e+01,1.538974253758650101e-01
1.061999999999999922e+01,1.583764358417699969e-01
1.064000000000000057e+01,3.665890936758761098e-01
1.066000000000000014e+01,3.042966941889969634e-01
1.067999999999999972e+01,2.350690486531818169e-01
1.069999999999999929e+01,1.838243487949638710e-01
1.072000000000000064e+01,1.481401179377145050e-01
1.074000000000000021e+01,3.256067555697433891e-01
1.075999999999999979e+01,5.502213157025732659e-01
1.077999999999999936e+01,9.712302548856409368e-02
1.080000000000000071e+01,3.908190150832122622e-01
1.082000000000000028e+01,2.887166101665996076e-01
1.083999999999999986e+01,2.934023022182724039e-01
1.085999999999999943e+01,4.303078106165968836e-02
1.088000000000000078e+01,9.525467781285759661e-02
1.090000000000000036e+01,3.769152801002616515e-01
1.091999999999999993e+01,1.431070604751982778e-01
1.093999999999999950e+01,1.745307787391133791e-01
1.096000000000000085e+01,3.087423820448729761e-01
1.098000000000000043e+01,1.156960509181090106e-02
1.100000000000000000e+01,1.306626538043931529e-01
1.101999999999999957e+01,9.993500414671710463e-02
1.103999999999999915e+01,2.187004382882102582e-01
1.106000000000000050e+01,1.876046074315801948e-01
1.108000000000000007e+01,1.007574758147831151e-01
1.109999999999999964e+01,2.518896849214633318e-02
1.112000000000000099e+01,3.579561711929570289e-01
1.114000000000000057e+01,2.977324531397914087e-01
1.116000000000000014e+01,3.102467003057081119e-01
1.117999999999999972e+01,2.159084205925439481e-01
1.119999999999999929e+01,2.903668443062458748e-01
1.122000000000000064e+01,2.259888423338495267e-01
1.124000000000000021e+01,3.048891525507157474e-01
1.125999999999999979e+01,2.253520311702100487e-01
1.127999999999999936e+01,8.946652671418954539e-02
1.130000000000000071e+01,2.833284363164538799e-01
1.132000000000000028e+01,4.256494907362475266e-01
1.133999999999999986e+01,2.861927703515791330e-02
1.135999999999999943e+01,2.592717500117865392e-01
1.138000000000000078e+01,3.644652152364030173e-01
1.140000000000000036e+01,1.264775631598298866e-01
1.141999999999999993e+01,2.826698612919339437e-01
1.143999999999999950e+01,2.382799071486130515e-01
1.146000000000000085e+01,2.376913418180620352e-01
1.148000000000000043e+01,2.239267394999230332e-01
1.150000000000000000e+01,4.040739590171903983e-01
1.151999999999999957e+01,3.647232311753526024e-01
1.153999999999999915e+01,2.698099072592169412e-01
1.156000000000000050e+01,2.903561241988482644e-01
1.158000000000000007e+01,3.172218730882482851e-01
1.159999999999999964e+01,1.901589440236813033e-01
1.162000000000000099e+01,4.229949294600823806e-01
1.164000000000000057e+01,2.566662893202407703e-01
1.166000000000000014e+01,2.814888213590996391e-01
1.167999999999999972e+01,3.247439086162943744e-01
1.169999999999999929e+01,2.241176603555427582e-01
1.172000000000000064e+01,1.563706986583427438e-01
1.174000000000000021e+01,4.206701106283168845e-01
1.175999999999999979e+01,1.009828589338004345e-01
1.177999999999999936e+01,4.606272411211392859e-01
1.180000000000000071e+01,1.875661315383004291e-01
1.182000000000000028e+01,2.018112439124978424e-02
1.183999999999999986e+01,4.266631633056965356e-01
1.185999999999999943e+01,2.717112162913004059e-01
1.188000000000000078e+01,1.716422133614258216e-01
1.190000000000000036e+01,1.586981804561575782e-01
1.191999999999999993e+01,1.058899014757378743e-01
1.193999999999999950e+01,3.366348763563379309e-01
1.196000000000000085e+01,3.079120731731472271e-01
1.198000000000000043e+01,2.191245470176426957e-01
1.200000000000000000e+01,1.199335998485620558e-01
1.201999999999999957e+01,3.151764574767221272e-01
1.203999999999999915e+01,7.627598028607981973e-02
1.206000000000000050e+01,2.171943996214834860e-01
1.208000000000000007e+01,3.125237521891950920e-01
1.209999999999999964e+01,1.585601229243479016e-01
1.212000000000000099e+01,4.640511648256638311e-01
1.214000000000000057e+01,1.852903799457857603e-01
1.216000000000000014e+01,1.974876965180160926e-01
1.217999999999999972e+01,2.805209277495229192e-01
1.219999999999999929e+01,3.546936342544820264e-01
1.222000000000000064e+01,1.977562682000514327e-01
1.224000000000000021e+01,2.077341681910506166e-01
1.225999999999999979e+01,1.660471386710913877e-01
1.228000000000000114e+01,3.131361917233959624e-01
1.230000000000000071e+01,1.372272241176806518e-01
1.232000000000000028e+01,3.709203556138668811e-01
1.233999999999999986e+01,2.567426976005525163e-01
1.235999999999999943e+01,2.445960172343978611e-01
1.237999999999999901e+01,2.436858386308792812e-01
1.240000000000000036e+01,3.103319714010329133e-01
1.241999999999999993e+01,3.888887570092864343e-01
1.243999999999999950e+01,1.570098311128190760e-01
1.246000000000000085e+01,1.365948348616697339e-01
1.248000000000000043e+01,2.154503049466726106e-01
1.250000000000000000e+01,1.429211270884237217e-01
1.251999999999999957e+01,1.815705827184702637e-01
1.253999999999999915e+01,3.486987045648083927e-01
1.256000000000000050e+01,2.671934537119826647e-01
1.258000000000000007e+01,7.039578351717146187e-02
1.259999999999999964e+01,2.320958696618273254e-01
1.262000000000000099e+01,8.228172592112147077e-02
1.264000000000000057e+01,3.178561640763709617e-01
1.266000000000000014e+01,-6.399370078892203939e-02
1.267999999999999972e+01,8.634091094466943284e-02
1.269999999999999929e+01,5.002812074271636433e-01
1.272000000000000064e+01,2.495885988247461551e-01
1.274000000000000021e+01,3.835826191101859295e-01
1.275999999999999979e+01,2.492389541624157323e-01
1.278000000000000114e+01,3.589111332956457234e-01
1.280000000000000071e+01,2.315717060545090800e-01
1.282000000000000028e+01,1.982397196792946292e-01
1.283999999999999986e+01,3.674588043151351124e-01
1.285999999999999943e+01,3.663262056972141356e-01
1.287999999999999901e+01,2.398569715370786615e-01
1.290000000000000036e+01,9.546489876781408257e-02
1.291999999999999993e+01,2.866052732464098862e-01
1.293999999999999950e+01,1.014467400122925911e-02
1.296000000000000085e+01,3.489205882612132492e-01
1.298000000000000043e+01,1.750499662282100355e-01
1.300000000000000000e+01,3.447085794125335778e-01
1.301999999999999957e+01,1.868556340619454692e-01
1.303999999999999915e+01,3.271476397772488665e-01
1.306000000000000050e+01,1.592114892044563246e-01
1.308000000000000007e+01,3.390962895025742552e-01
1.309999999999999964e+01,7.140425783787060499e-02
1.312000000000000099e+01,2.701775981599948140e-01
1.314000000000000057e+01,-4.395690657006009333e-02
1.316000000000000014e+01,2.132271921669951220e-01
1.317999999999999972e+01,2.915750634354249415e-01
1.319999999999999929e+01,3.246197547916487292e-01
1.322000000000000064e+01,1.987746208585005614e-01
1.324000000000000021e+01,1.782381925252321531e-01
1.325999999999999979e+01,3.066932338871846131e-01
1.328000000000000114e+01,1.407183983120400272e-01
1.330000000000000071e+01,2.967580444840683396e-01
1.332000000000000028e+01,2.371903342845709528e-01
1.333999999999999986e+01,1.707958957475298745e-01
1.335999999999999943e+01,4.118423851606372033e-01
1.337999999999999901e+01,4.503523684796008064e-01
1.340000000000000036e+01,2.930684039195787238e-01
1.341999999999999993e+01,1.963714235740049163e-01
1.343999999999999950e+01,8.419530995478631541e-02
1.346000000000000085e+01,9.727778394256179906e-02
1.348000000000000043e+01,9.985864465735633244e-02
1.350000000000000000e+01,2.613920785243194489e-01
1.351999999999999957e+01,1.900233404594049991e-01
1.353999999999999915e+01,4.141646258959871263e-01
1.356000000000000050e+01,2.002432865567382314e-01
1.358000000000000007e+01,5.314666950387949562e-01
1.359999999999999964e+01,5.450461103069155211e-01
1.362000000000000099e+01,3.965732598887715121e-01
1.364000000000000057e+01,4.656236618378894465e-01
1.366000000000000014e+01,8.213689354772790718e-02
1.367999999999999972e+01,2.023661222722548114e-01
1.369999999999999929e+01,5.187516836414378663e-01
1.372000000000000064e+01,2.184175720688995015e-01
1.374000000000000021e+01,2.434830190907890934e-01
1.375999999999999979e+01,3.390167071197525139e-01
1.378000000000000114e+01,2.008644715380504264e-01
1.380000000000000071e+01,3.097132389189455881e-01
1.382000000000000028e+01,5.508218612500211941e-01
1.383999999999999986e+01,3.685366337393112812e-01
1.385999999999999943e+01,4.837487838443171317e-01
1.387999999999999901e+01,5.673316916134049093e-01
1.390000000000000036e+01,1.295280108412811160e+00
1.391999999999999993e+01,2.870980674188115422e+00
1.393999999999999950e+01,4.407680902033275672e+00
1.396000000000000085e+01,3.680655668183665963e+00
1.398000000000000043e+01,2.217690776732808899e+00
1.400000000000000000e+01,8.205861435396472059e-01
1.401999999999999957e+01,5.577754625231962082e-01
1.403999999999999915e+01,4.618447140890224456e-01
1.406000000000000050e+01,3.796764144542270070e-01
1.408000000000000007e+01,4.651752027360158692e-01
1.409999999999999964e+01,2.176219855167554340e-01
1.412000000000000099e+01,2.209077446219726848e-01
1.414000000000000057e+01,1.128215025953615003e-01
1.416000000000000014e+01,8.485824226011132176e-02
1.417999999999999972e+01,1.290552968977842219e-01
1.419999999999999929e+01,3.312647172448531796e-01
1.421999999999999886e+01,4.417973298377482760e-01
1.424000000000000021e+01,1.590932941364575914e-01
1.425999999999999979e+01,2.792287525541826132e-01
1.428000000000000114e+01,2.208631826980891610e-01
1.430000000000000071e+01,2.295823516702928391e-01
1.432000000000000028e+01,4.530943716961224887e-01
1.433999999999999986e+01,2.096807324232826397e-01
1.435999999999999943e+01,3.861076600905054557e-01
1.437999999999999901e+01,2.034975503036182964e-01
1.440000000000000036e+01,2.506565596440222810e-01
1.441999999999999993e+01,1.265940432104854275e-02
1.444000000000000128e+01,1.925545882487443849e-01
1.446000000000000085e+01,1.771272626152480822e-01
1.448000000000000043e+01,7.697663242113889082e-02
1.450000000000000000e+01,2.319164709459100304e-01
1.451999999999999957e+01,1.591545070535081985e-01
1.453999999999999915e+01,4.166877215782724408e-01
1.456000000000000050e+01,2.605263259286646482e-01
1.458000000000000007e+01,2.564331046948465920e-01
1.460000000000000142e+01,6.737022817512611228e-02
1.462000000000000099e+01,2.463736925471058103e-01
1.464000000000000057e+01,3.490636439775334221e-01
1.466000000000000014e+01,6.293528626331698073e-01
1.467999999999999972e+01,7.814719627332975538e-01
1.469999999999999929e+01,9.211022089236197141e-01
1.471999999999999886e+01,1.057794934112453511e+00
1.474000000000000021e+01,1.016387417276301885e+00
1.475999999999999979e+01,1.086141990786764655e+00
1.478000000000000114e+01,1.055725185939386579e+00
1.480000000000000071e+01,6.375663084269688197e-01
1.482000000000000028e+01,6.243006877195861337e-01
1.483999999999999986e+01,3.716263077396413372e-01
1.485999999999999943e+01,4.017812562726180703e-01
1.487999999999999901e+01,3.414512038491728241e-01
1.490000000000000036e+01,2.589893810195548762e-01
1.491999999999999993e+01,2.174497929297316279e-01
1.494000000000000128e+01,3.595068577081315109e-01
1.496000000000000085e+01,3.107992142458924079e-01
1.498000000000000043e+01,3.133248150739189608e-01
1.500000000000000000e+01,1.031700340521232717e-01
1.501999999999999957e+01,3.852232337932493533e-01
1.503999999999999915e+01,6.704723584025370497e-01
1.506000000000000050e+01,6.014176916166773523e-01
1.508000000000000007e+01,1.433429056619969888e+00
1.510000000000000142e+01,1.830046429512673045e+00
1.512000000000000099e+01,1.025641104813918458e+00
1.514000000000000057e+01,8.873982621749413324e-01
1.516000000000000014e+01,3.771403287809569349e-01
1.517999999999999972e+01,2.991366884226727141e-01
1.519999999999999929e+01,3.207111496161074160e-01
1.521999999999999886e+01,3.705539137922902321e-02
1.524000000000000021e+01,-1.268502856272508451e-02
1.525999999999999979e+01,1.526680255634697003e-01
1.528000000000000114e+01,1.921437953274241772e-01
1.530000000000000071e+01,2.299820504275430222e-01
1.532000000000000028e+01,4.026655417523089531e-01
1.533999999999999986e+01,3.209229537242887509e-01
1.535999999999999943e+01,2.231282199876589434e-01
1.537999999999999901e+01,1.013761780358675008e-01
1.540000000000000036e+01,3.785473218706091325e-01
1.541999999999999993e+01,5.366480559475237389e-01
1.544000000000000128e+01,2.523657055909641622e-01
1.546000000000000085e+01,2.546782841255015861e-01
1.548000000000000043e+01,2.029721568679593857e-01
1.550000000000000000e+01,4.156866696843081743e-01
1.551999999999999957e+01,2.897971105475871112e-01
1.553999999999999915e+01,2.478057027022821657e-01
1.556000000000000050e+01,1.395930468345457087e-01
1.558000000000000007e+01,4.232890114840711093e-01
1.560000000000000142e+01,3.279192317464408313e-01
1.562000000000000099e+01,3.437898180963361305e-01
1.564000000000000057e+01,4.124934564063097442e-01
1.566000000000000014e+01,4.163821860274184994e-01
1.567999999999999972e+01,4.714904747183916167e-01
1.569999999999999929e+01,2.036556294388171540e-01
1.571999999999999886e+01,1.429744863452560577e-01
1.574000000000000021e+01,1.894514555029856162e-01
1.575999999999999979e+01,1.642220159680545521e-01
1.578000000000000114e+01,2.527972766701395146e-01
1.580000000000000071e+01,3.186628127992172654e-01
1.582000000000000028e+01,2.836872809461454259e-01
1.583999999999999986e+01,2.202727662180100632e-01
1.585999999999999943e+01,8.372883303651693088e-02
1.587999999999999901e+01,7.326417353875884497e-02
1.590000000000000036e+01,8.915144845288436315e-02
1.591999999999999993e+01,2.554689848792366935e-01
1.594000000000000128e+01,4.065221767877712500e-01
1.596000000000000085e+01,3.958297190727483872e-01
1.598000000000000043e+01,2.932425137061799303e-01
1.600000000000000000e+01,1.959398541517550218e-01
1.601999999999999957e+01,3.854607174799528635e-01
