# 2Theta,Intensity
1.000000000000000000e+01,-5.531597450554368717e-02
1.001999999999999957e+01,4.215470975034259909e-02
1.003999999999999915e+01,9.654158124812245445e-02
1.006000000000000050e+01,4.406646469470890115e-01
1.008000000000000007e+01,1.245456216897576018e+00
1.009999999999999964e+01,1.902494402946277363e+00
1.011999999999999922e+01,1.303320170588522453e+00
1.014000000000000057e+01,7.629203464663268930e-01
1.016000000000000014e+01,9.811120367016012978e-02
1.017999999999999972e+01,1.355224254181914278e-01
1.019999999999999929e+01,-3.984230023294819262e-02
1.022000000000000064e+01,-5.032388917350116841e-02
1.024000000000000021e+01,-1.399030078898812479e-01
1.025999999999999979e+01,1.847088020705342226e-01
1.027999999999999936e+01,1.104523632595654226e-01
1.030000000000000071e+01,1.817485947075226649e-01
1.032000000000000028e+01,4.981495082650425760e-02
1.033999999999999986e+01,1.135627007028452845e-01
1.035999999999999943e+01,7.664123074372743150e-02
1.038000000000000078e+01,3.496971474144225933e-01
1.040000000000000036e+01,8.153538822687779464e-02
1.041999999999999993e+01,1.120093573335613907e-01
1.043999999999999950e+01,1.136074487819817846e-01
1.046000000000000085e+01,-2.496163312143798163e-01
1.048000000000000043e+01,2.799170517380482684e-02
1.050000000000000000e+01,5.842291096620411128e-02
1.051999999999999957e+01,4.529260814398502338e-02
1.053999999999999915e+01,-1.477580887718294919e-02
1.056000000000000050e+01,-1.173798051388313946e-01
1.058000000000000007e+01,-1.770683656237868886e-01
1.059999999999999964e+01,-4.642856569435180325e-02
1.061999999999999922e+01,-4.485155096121561796e-02
1.064000000000000057e+01,1.152846459019453706e-01
1.066000000000000014e+01,1.214256559491170145e-01
1.067999999999999972e+01,3.101436308282309179e-02
1.069999999999999929e+01,-1.501168507227353954e-01
1.072000000000000064e+01,1.030564475005447608e-02
1.074000000000000021e+01,-1.193584738344051627e-01
1.075999999999999979e+01,-9.185497324584727952e-02
1.077999999999999936e+01,5.149910071230413139e-02
1.080000000000000071e+01,6.165394152957907187e-02
1.082000000000000028e+01,4.673884818295195170e-02
1.083999999999999986e+01,-1.531496700025541391e-01
1.085999999999999943e+01,-5.822722145766638657e-02
1.088000000000000078e+01,-8.255292479643683290e-03
1.090000000000000036e+01,1.419755604154509521e-01
1.091999999999999993e+01,8.746125620686148738e-02
1.093999999999999950e+01,-1.315951487923219072e-03
1.096000000000000085e+01,7.715125317866586285e-02
1.098000000000000043e+01,4.532878362329945121e-02
1.100000000000000000e+01,1.436677957370609271e-01
1.101999999999999957e+01,1.320825998133054735e-01
1.103999999999999915e+01,1.922077064484706554e-01
1.106000000000000050e+01,7.518079839788029128e-02
1.108000000000000007e+01,-8.534379086491458710e-02
1.109999999999999964e+01,-6.385687717152188636e-02
1.112000000000000099e+01,1.561847760337057960e-02
1.114000000000000057e+01,8.459003614171185792e-02
1.116000000000000014e+01,-3.362645220667601770e-02
1.117999999999999972e+01,5.909386761948514505e-02
1.119999999999999929e+01,-1.535622839568006603e-01
1.122000000000000064e+01,-1.234989004846767657e-01
1.124000000000000021e+01,3.365793735362442307e-01
1.125999999999999979e+01,7.411632811189086678e-02
1.127999999999999936e+01,-7.208629931058983809e-02
1.130000000000000071e+01,2.321368251434688737e-02
1.132000000000000028e+01,-7.858190213220511700e-02
1.133999999999999986e+01,1.942261599568477839e-02
1.135999999999999943e+01,-1.167767888578511160e-01
1.138000000000000078e+01,2.479215724949013905e-03
1.140000000000000036e+01,3.228156429337211003e-02
1.141999999999999993e+01,-1.738950617638850352e-02
1.143999999999999950e+01,-9.209802702704715169e-03
1.146000000000000085e+01,-2.230657164669321013e-02
1.148000000000000043e+01,1.219527208624841819e-01
1.150000000000000000e+01,-2.044933001525696681e-01
1.151999999999999957e+01,1.528845618207535229e-01
1.153999999999999915e+01,8.177612993494517979e-02
1.156000000000000050e+01,3.548496180658614052e-02
1.158000000000000007e+01,1.583492970047942483e-01
1.159999999999999964e+01,-3.686661728226740820e-02
1.162000000000000099e+01,-1.387329445664088612e-01
1.164000000000000057e+01,1.687559472635722854e-02
1.166000000000000014e+01,6.798320673620592003e-02
1.167999999999999972e+01,-5.621670519614578414e-03
1.169999999999999929e+01,-1.173378485971566521e-01
1.172000000000000064e+01,-1.307737042138041594e-01
1.174000000000000021e+01,8.475726516937401311e-02
1.175999999999999979e+01,1.475725658131589180e-01
1.177999999999999936e+01,1.592552072067290603e-01
1.180000000000000071e+01,-9.067831638470852385e-02
1.182000000000000028e+01,6.556935215435995279e-02
1.183999999999999986e+01,-4.626816573439498925e-02
1.185999999999999943e+01,-1.244293999869010986e-01
1.188000000000000078e+01,-2.920220307270427265e-02
1.190000000000000036e+01,1.121800519556572819e-02
1.191999999999999993e+01,1.403888406355946993e-03
1.193999999999999950e+01,7.711755003288246757e-02
1.196000000000000085e+01,-7.366892118135863823e-03
1.198000000000000043e+01,-2.679388132281897237e-03
1.200000000000000000e+01,-4.985330521961429950e-02
1.201999999999999957e+01,6.801573420714608631e-02
1.203999999999999915e+01,-4.953272789110867852e-02
1.206000000000000050e+01,-1.436736182905856418e-01
1.208000000000000007e+01,-2.613225056556032003e-02
1.209999999999999964e+01,-4.033421863584653322e-02
1.212000000000000099e+01,-1.499413354169382151e-01
1.214000000000000057e+01,-5.427970027946525666e-02
1.216000000000000014e+01,-8.140539337767159489e-02
1.217999999999999972e+01,5.113429699465454892e-02
1.219999999999999929e+01,1.564625206210522312e-01
1.222000000000000064e+01,1.059106100305689385e-02
1.224000000000000021e+01,1.140402992823361661e-01
1.225999999999999979e+01,2.343361954967888572e-01
1.228000000000000114e+01,-1.671133914511069851e-01
1.230000000000000071e+01,8.745487003593514774e-02
1.232000000000000028e+01,1.968996656430499481e-01
1.233999999999999986e+01,-7.714425596181775924e-02
1.235999999999999943e+01,1.128305757823801561e-02
1.237999999999999901e+01,-1.731193675399399917e-02
1.240000000000000036e+01,1.515865987941300286e-01
1.241999999999999993e+01,1.102983783194868422e-01
1.243999999999999950e+01,-1.011112954465843844e-01
1.246000000000000085e+01,6.716512991695036683e-02
1.248000000000000043e+01,-4.100763539479190117e-02
1.250000000000000000e+01,-1.252926123606584174e-01
1.251999999999999957e+01,3.351437566427708376e-02
1.253999999999999915e+01,8.600442655428340577e-02
1.256000000000000050e+01,3.437523814643213965e-02
1.258000000000000007e+01,3.788402526519740743e-01
1.259999999999999964e+01,-7.717346768938970758e-02
1.262000000000000099e+01,1.395570904519444766e-01
1.264000000000000057e+01,-1.632723395598688343e-01
1.266000000000000014e+01,-1.020753516352320041e-02
1.267999999999999972e+01,8.130030592706874448e-02
1.269999999999999929e+01,1.409417406260428107e-01
1.272000000000000064e+01,3.381255064205922894e-02
1.274000000000000021e+01,2.603126731817551054e-01
1.275999999999999979e+01,1.083180743034571104e-02
1.278000000000000114e+01,-1.383991314642873394e-01
1.280000000000000071e+01,1.133821514148085075e-01
1.282000000000000028e+01,9.652295749059966457e-02
1.283999999999999986e+01,1.569904430198665324e-01
1.285999999999999943e+01,2.322500617407982290e-02
1.287999999999999901e+01,-2.913838555870535557e-02
1.290000000000000036e+01,8.575976425570093487e-02
1.291999999999999993e+01,3.368709619909374814e-02
1.293999999999999950e+01,-5.369191427706218600e-02
1.296000000000000085e+01,1.438575238228201672e-02
1.298000000000000043e+01,9.896836243079071282e-02
1.300000000000000000e+01,-5.531893901588580409e-02
1.301999999999999957e+01,4.510419300390847153e-02
1.303999999999999915e+01,-1.734624532647840306e-02
1.306000000000000050e+01,2.486270827290465724e-01
1.308000000000000007e+01,1.580300964399967145e-01
1.309999999999999964e+01,4.416932585489017488e-02
1.312000000000000099e+01,1.465899548881388903e-01
1.314000000000000057e+01,1.641156560624774385e-01
1.316000000000000014e+01,-1.778536328021736446e-01
1.317999999999999972e+01,-1.590961051320454248e-02
1.319999999999999929e+01,1.227098315952597322e-02
1.322000000000000064e+01,-8.875127046574809997e-02
1.324000000000000021e+01,-7.430430988552368110e-02
1.325999999999999979e+01,-6.682493041530551854e-03
1.328000000000000114e+01,9.039533421133559565e-02
1.330000000000000071e+01,9.825946868035809190e-02
1.332000000000000028e+01,3.265945310727270956e-02
1.333999999999999986e+01,-1.153759786371656437e-01
1.335999999999999943e+01,9.674893174285548181e-02
1.337999999999999901e+01,2.118354977921126439e-02
1.340000000000000036e+01,2.594809933014436409e-01
1.341999999999999993e+01,1.321649475365094251e-01
1.343999999999999950e+01,9.249320919245556522e-03
1.346000000000000085e+01,1.415836976882229870e-01
1.348000000000000043e+01,9.276069543344520052e-02
