# 2Theta,Intensity
1.000000000000000000e+01,1.746526500668711401e-01
1.001999999999999957e+01,1.592012141504053901e-01
1.003999999999999915e+01,3.335386298034486718e-01
1.006000000000000050e+01,1.714226612632168967e-01
1.008000000000000007e+01,1.280057352126914849e-01
1.009999999999999964e+01,-1.064722292566354089e-01
1.011999999999999922e+01,1.709286053419005469e-01
1.014000000000000057e+01,-5.223190403083110243e-03
1.016000000000000014e+01,-4.577723832475269966e-05
1.017999999999999972e+01,1.393915835192376940e-01
1.019999999999999929e+01,1.605102050312589845e-01
1.022000000000000064e+01,-1.345012249174356309e-03
1.024000000000000021e+01,-3.882904114555200958e-02
1.025999999999999979e+01,8.041619464001026341e-02
1.027999999999999936e+01,4.706685725358841950e-03
1.030000000000000071e+01,6.867204281313460390e-02
1.032000000000000028e+01,2.173766942359527943e-01
1.033999999999999986e+01,7.740663192634136824e-02
1.035999999999999943e+01,4.863378686738596690e-02
1.038000000000000078e+01,2.416138975323720572e-01
1.040000000000000036e+01,9.962884097469114353e-02
1.041999999999999993e+01,2.239980406284561021e-01
1.043999999999999950e+01,1.189837294568523857e-01
1.046000000000000085e+01,1.304693805122137951e-01
1.048000000000000043e+01,9.028832056223901059e-02
1.050000000000000000e+01,6.284872549576370204e-02
1.051999999999999957e+01,2.019810177184079292e-01
1.053999999999999915e+01,7.736538969294218249e-02
1.056000000000000050e+01,1.100697454647726198e-01
1.058000000000000007e+01,6.331069428826366363e-02
1.059999999999999964e+01,1.737107224868169320e-01
1.061999999999999922e+01,3.197062368246933461e-02
1.064000000000000057e+01,6.900115265780794316e-02
1.066000000000000014e+01,1.607611043799166972e-01
1.067999999999999972e+01,1.189853732351383586e-01
1.069999999999999929e+01,5.942728383489495614e-02
1.072000000000000064e+01,1.006488356433616199e-01
1.074000000000000021e+01,2.482126236718060208e-02
1.075999999999999979e+01,-3.736515068870343431e-02
1.077999999999999936e+01,2.148711713959250078e-02
1.080000000000000071e+01,2.238483806745857618e-01
1.082000000000000028e+01,1.891412184645602790e-01
1.083999999999999986e+01,9.633329432383257174e-02
1.085999999999999943e+01,1.565450850312866127e-01
1.088000000000000078e+01,-4.822668528035736063e-02
1.090000000000000036e+01,8.749128306239013775e-02
1.091999999999999993e+01,2.395993189030238765e-02
1.093999999999999950e+01,9.049385737219037273e-02
1.096000000000000085e+01,1.306475485346180743e-01
1.098000000000000043e+01,7.683857982334228731e-02
1.100000000000000000e+01,2.912147233934127000e-01
1.101999999999999957e+01,1.053628609607187294e-01
1.103999999999999915e+01,2.971774829092708320e-02
1.106000000000000050e+01,8.757250237792971181e-02
1.108000000000000007e+01,6.276983675780146987e-02
1.109999999999999964e+01,1.252697669349635834e-01
1.112000000000000099e+01,-1.188455824802874122e-01
1.114000000000000057e+01,2.707010407161148172e-02
1.116000000000000014e+01,1.038920470413992950e-03
1.117999999999999972e+01,5.967824360891834518e-02
1.119999999999999929e+01,1.489305017999724701e-01
1.122000000000000064e+01,-3.759795760794092025e-03
1.124000000000000021e+01,8.502061050426672206e-02
1.125999999999999979e+01,1.831840838008114702e-01
1.127999999999999936e+01,2.694086222259309271e-01
1.130000000000000071e+01,-2.269529228020319978e-02
1.132000000000000028e+01,-4.131120148724600621e-02
1.133999999999999986e+01,7.500755759134124234e-02
1.135999999999999943e+01,1.981276492084402818e-01
1.138000000000000078e+01,1.638052812859888130e-01
1.140000000000000036e+01,1.920085182432613446e-01
1.141999999999999993e+01,1.580220944253195869e-01
1.143999999999999950e+01,-2.813196216578148917e-02
1.146000000000000085e+01,-3.339151076876464841e-02
1.148000000000000043e+01,7.563398225598833013e-02
1.150000000000000000e+01,4.421725998193031665e-02
1.151999999999999957e+01,1.410515229666099435e-01
1.153999999999999915e+01,-1.070762991229302491e-01
1.156000000000000050e+01,1.280568878425361878e-01
1.158000000000000007e+01,9.263094188552921382e-02
1.159999999999999964e+01,1.917347129580594944e-01
1.162000000000000099e+01,-1.369036840090076014e-02
1.164000000000000057e+01,8.713390491848514718e-02
1.166000000000000014e+01,1.245992474917798493e-01
1.167999999999999972e+01,2.615485845833817602e-01
1.169999999999999929e+01,1.712760179688139484e-01
1.172000000000000064e+01,3.869892487533684866e-01
1.174000000000000021e+01,-1.871192529793715142e-01
1.175999999999999979e+01,2.930938390996479237e-02
1.177999999999999936e+01,1.986959123214213641e-01
1.180000000000000071e+01,1.259231496125855047e-02
1.182000000000000028e+01,1.049983754124136359e-01
1.183999999999999986e+01,1.442290493957749942e-01
1.185999999999999943e+01,-6.995983797712873598e-02
1.188000000000000078e+01,4.290251295314046788e-03
1.190000000000000036e+01,2.116647252616503383e-01
1.191999999999999993e+01,3.527918426387145062e-02
1.193999999999999950e+01,1.544701788702358691e-01
1.196000000000000085e+01,2.731584024844045319e-02
1.198000000000000043e+01,1.353277927755698606e-01
1.200000000000000000e+01,1.707444936619320341e-01
1.201999999999999957e+01,9.744447402964658000e-02
1.203999999999999915e+01,1.558363643427093381e-01
1.206000000000000050e+01,4.183260612621218788e-02
1.208000000000000007e+01,2.005259564014551243e-01
1.209999999999999964e+01,-2.155898676131340341e-02
1.212000000000000099e+01,2.137464445064424234e-02
1.214000000000000057e+01,7.780564629998673598e-02
1.216000000000000014e+01,1.691661070543563905e-01
1.217999999999999972e+01,1.515378481130983390e-01
1.219999999999999929e+01,1.472435628981519917e-01
1.222000000000000064e+01,2.027250414208612295e-01
1.224000000000000021e+01,4.545688793995409510e-02
1.225999999999999979e+01,1.027293071870214319e-01
1.228000000000000114e+01,2.730590540607799044e-01
1.230000000000000071e+01,9.997147241889135783e-02
1.232000000000000028e+01,1.691889189936815474e-02
1.233999999999999986e+01,4.887546904176004459e-02
1.235999999999999943e+01,1.138579753117959920e-01
1.237999999999999901e+01,1.654997162737802119e-01
1.240000000000000036e+01,2.170693873162005405e-01
1.241999999999999993e+01,1.612488387326786454e-01
1.243999999999999950e+01,4.273693765104479847e-01
1.246000000000000085e+01,-2.225086915247401209e-02
1.248000000000000043e+01,1.098779353688852795e-01
1.250000000000000000e+01,2.026549418796317059e-01
1.251999999999999957e+01,1.460934498909688961e-01
1.253999999999999915e+01,5.756229499503388858e-02
1.256000000000000050e+01,1.462197317903078386e-01
1.258000000000000007e+01,7.262707667263823552e-02
1.259999999999999964e+01,8.590765892278882931e-02
1.262000000000000099e+01,-2.330614792619188289e-02
1.264000000000000057e+01,-1.233183993812080048e-01
1.266000000000000014e+01,2.817621060859396009e-01
1.267999999999999972e+01,7.651490774458852284e-02
1.269999999999999929e+01,8.578522321946695228e-02
1.272000000000000064e+01,2.079901758247609256e-01
1.274000000000000021e+01,2.710329021724603230e-02
1.275999999999999979e+01,6.080223875775842002e-02
1.278000000000000114e+01,1.146485616731650684e-02
1.280000000000000071e+01,4.319578072593201201e-02
1.282000000000000028e+01,7.811941551766787839e-02
1.283999999999999986e+01,3.673868325904931093e-02
1.285999999999999943e+01,-9.648150534120211686e-04
1.287999999999999901e+01,3.069564436701509025e-01
1.290000000000000036e+01,2.182255304680089103e-01
1.291999999999999993e+01,2.183730142084911174e-01
1.293999999999999950e+01,-5.924942229770117919e-02
1.296000000000000085e+01,-4.792212870543859776e-02
1.298000000000000043e+01,1.541362422390800957e-01
1.300000000000000000e+01,1.455800901612501197e-01
