# 2Theta,Intensity
1.000000000000000000e+01,-5.531505552957949323e-03
1.001999999999999957e+01,-3.254443554454226201e-02
1.003999999999999915e+01,7.153336862092579684e-02
1.006000000000000050e+01,1.395613505898515017e-01
1.008000000000000007e+01,9.207525889005340955e-03
1.009999999999999964e+01,-1.461080090023276611e-03
1.011999999999999922e+01,7.504824598331903684e-02
1.014000000000000057e+01,-5.248805615718225154e-02
1.016000000000000014e+01,1.191753821299787186e-01
1.017999999999999972e+01,1.204643507597494834e-01
1.019999999999999929e+01,8.508922704095317480e-02
1.022000000000000064e+01,5.885964514619911048e-02
1.024000000000000021e+01,1.423002617706674855e-01
1.025999999999999979e+01,1.688424837198864489e-03
1.027999999999999936e+01,7.326585264731890097e-03
1.030000000000000071e+01,-4.463825229531426242e-02
1.032000000000000028e+01,-1.634163743276276226e-01
1.033999999999999986e+01,6.036687555064949862e-02
1.035999999999999943e+01,-2.719557695133462127e-01
1.038000000000000078e+01,5.998034799441053638e-02
1.040000000000000036e+01,1.034629338656161968e-01
1.041999999999999993e+01,-1.708385799142742023e-02
1.043999999999999950e+01,-4.350687081699684128e-03
1.046000000000000085e+01,8.639904697314791659e-02
1.048000000000000043e+01,6.558142511483085191e-02
1.050000000000000000e+01,2.081984380412326141e-01
1.051999999999999957e+01,1.496765262954636577e-01
1.053999999999999915e+01,-2.394198428368979337e-02
1.056000000000000050e+01,-9.845573295218727761e-03
1.058000000000000007e+01,5.587231513206492722e-02
1.059999999999999964e+01,4.674548883407892569e-03
1.061999999999999922e+01,3.768336114298712070e-02
1.064000000000000057e+01,-7.526621089280652321e-02
1.066000000000000014e+01,1.497261269254047678e-01
1.067999999999999972e+01,-5.899899506339165156e-02
1.069999999999999929e+01,1.241434047063783436e-01
1.072000000000000064e+01,2.576980378256697388e-02
1.074000000000000021e+01,-1.390186663559334068e-01
1.075999999999999979e+01,9.164418460504786257e-02
1.077999999999999936e+01,1.478370471345327383e-02
1.080000000000000071e+01,1.742972236889135385e-01
1.082000000000000028e+01,5.444249625819529842e-02
1.083999999999999986e+01,6.468635939017761127e-02
1.085999999999999943e+01,-1.659221429690503624e-02
1.088000000000000078e+01,6.821036736139936274e-02
1.090000000000000036e+01,9.605014855429241938e-02
1.091999999999999993e+01,2.771797382071614635e-01
1.093999999999999950e+01,4.573280070283404497e-02
1.096000000000000085e+01,-1.981401165415008214e-01
1.098000000000000043e+01,8.112174448924217018e-02
1.100000000000000000e+01,1.440374288717449769e-01
1.101999999999999957e+01,-2.702283400288927120e-02
1.103999999999999915e+01,-1.131841036423466701e-01
1.106000000000000050e+01,2.426165448074683040e-01
1.108000000000000007e+01,2.879429173008919429e-01
1.109999999999999964e+01,3.041942262835366506e-01
1.112000000000000099e+01,-1.129018402049462438e-01
1.114000000000000057e+01,-3.935162829446181565e-02
1.116000000000000014e+01,-1.404461678726412754e-01
1.117999999999999972e+01,4.431225579330533987e-02
1.119999999999999929e+01,8.533077290714297103e-02
1.122000000000000064e+01,1.343917647925831627e-01
1.124000000000000021e+01,-3.339686645417787314e-02
1.125999999999999979e+01,9.891224005337720393e-02
1.127999999999999936e+01,1.144665046976406017e-02
1.130000000000000071e+01,6.651832421916853422e-02
