# 2Theta,Intensity
1.000000000000000000e+01,-3.956981521482109271e-02
1.001999999999999957e+01,8.518937305731862086e-02
1.003999999999999915e+01,3.492886361895445463e-02
1.006000000000000050e+01,5.930858121410977069e-02
1.008000000000000007e+01,1.439636629255509025e-02
1.009999999999999964e+01,1.278076474431719400e-01
1.011999999999999922e+01,-1.169302776269343959e-02
1.014000000000000057e+01,7.637501673450242112e-02
1.016000000000000014e+01,2.737556988814695072e-02
1.017999999999999972e+01,4.412082058210586855e-03
1.019999999999999929e+01,-2.047813012952421144e-02
1.022000000000000064e+01,7.765136691762440646e-02
1.024000000000000021e+01,1.244951203667269968e-01
1.025999999999999979e+01,-1.762583833688478180e-02
1.027999999999999936e+01,2.099482891556419747e-02
1.030000000000000071e+01,1.430830503378875684e-01
1.032000000000000028e+01,5.097124210444066439e-02
1.033999999999999986e+01,-1.673321978848209823e-01
1.035999999999999943e+01,1.330835725967015604e-01
1.038000000000000078e+01,7.187222926450780036e-02
1.040000000000000036e+01,5.320717144687415329e-02
1.041999999999999993e+01,-4.430147249271140092e-02
1.043999999999999950e+01,1.550097046572772308e-01
1.046000000000000085e+01,8.725404038567494136e-02
1.048000000000000043e+01,1.129212357371653652e-01
1.050000000000000000e+01,1.643478898971123259e-01
1.051999999999999957e+01,1.282247022129188452e-01
1.053999999999999915e+01,2.076888422385863783e-02
1.056000000000000050e+01,2.008364805049068971e-03
1.058000000000000007e+01,5.847104568587287166e-02
1.059999999999999964e+01,-1.043896356814010273e-01
1.061999999999999922e+01,4.394082168349670164e-02
1.064000000000000057e+01,3.882697454313174118e-02
1.066000000000000014e+01,6.465948858783905628e-02
1.067999999999999972e+01,6.655352663553946828e-03
1.069999999999999929e+01,1.323719818191303015e-02
1.072000000000000064e+01,-8.299690681040794438e-02
1.074000000000000021e+01,1.226098658919196893e-01
1.075999999999999979e+01,-3.597695535462978877e-02
1.077999999999999936e+01,1.352319607934138745e-01
1.080000000000000071e+01,5.015493250344463250e-02
1.082000000000000028e+01,1.294284577839880379e-01
1.083999999999999986e+01,3.959572896104307516e-02
1.085999999999999943e+01,-5.790431068729116892e-02
1.088000000000000078e+01,-9.887132398707315639e-02
1.090000000000000036e+01,4.260298116416860043e-02
1.091999999999999993e+01,-8.981938415657574060e-02
1.093999999999999950e+01,-3.291934360473674354e-02
1.096000000000000085e+01,5.182430327879396226e-02
1.098000000000000043e+01,-2.686067957214635996e-02
1.100000000000000000e+01,-1.081666510307064885e-02
1.101999999999999957e+01,-9.265779872563416342e-02
1.103999999999999915e+01,4.271999238393651283e-02
1.106000000000000050e+01,3.480607451255229856e-02
1.108000000000000007e+01,3.839729003364270726e-02
1.109999999999999964e+01,-1.614068115884499388e-01
1.112000000000000099e+01,-1.089820133087916337e-01
1.114000000000000057e+01,-2.053836620856239192e-01
1.116000000000000014e+01,-8.509305946362172648e-03
1.117999999999999972e+01,-8.773933154269127066e-02
1.119999999999999929e+01,-1.230682471774697945e-01
1.122000000000000064e+01,-5.608218386220821527e-02
1.124000000000000021e+01,-4.433291372733207808e-03
1.125999999999999979e+01,3.009124514956026952e-02
1.127999999999999936e+01,-1.508844951326881456e-01
1.130000000000000071e+01,-1.601867404123446803e-01
1.132000000000000028e+01,-6.463202777731151538e-02
1.133999999999999986e+01,-1.932222967788499723e-01
1.135999999999999943e+01,9.138029973627866120e-02
1.138000000000000078e+01,6.296852496040432345e-02
1.140000000000000036e+01,-3.294496552394287486e-02
1.141999999999999993e+01,-8.028605612457853646e-02
1.143999999999999950e+01,1.499831119502828547e-01
1.146000000000000085e+01,-5.148915339379171729e-02
1.148000000000000043e+01,-1.664680354213412539e-01
1.150000000000000000e+01,-1.206158799059775244e-01
1.151999999999999957e+01,-2.316912602574569199e-02
1.153999999999999915e+01,-2.874901303309438869e-02
1.156000000000000050e+01,2.829725771962991465e-01
1.158000000000000007e+01,1.439530268434550397e-01
1.159999999999999964e+01,4.052372261619162364e-02
1.162000000000000099e+01,-1.071279390842592300e-02
1.164000000000000057e+01,-8.004797772083763197e-02
1.166000000000000014e+01,3.636362952148858296e-02
1.167999999999999972e+01,1.003821862520390823e-01
1.169999999999999929e+01,3.649660327742199756e-02
1.172000000000000064e+01,-1.991630942726541065e-02
1.174000000000000021e+01,5.603703612086251978e-02
1.175999999999999979e+01,1.712775495436986983e-01
1.177999999999999936e+01,-1.820506905019249680e-02
1.180000000000000071e+01,3.582689220390861823e-02
1.182000000000000028e+01,4.093033440598801975e-02
1.183999999999999986e+01,-2.783845009533577608e-01
1.185999999999999943e+01,-9.831810361537793308e-02
1.188000000000000078e+01,1.967144795956250192e-01
1.190000000000000036e+01,1.371783102581210223e-01
1.191999999999999993e+01,-7.156401105435229726e-02
1.193999999999999950e+01,6.166667840359866398e-02
1.196000000000000085e+01,-4.775078371793108761e-02
1.198000000000000043e+01,1.565861835879798492e-01
1.200000000000000000e+01,-2.556233667633652992e-02
1.201999999999999957e+01,1.674072911028590960e-01
1.203999999999999915e+01,5.815891795333457542e-02
1.206000000000000050e+01,1.154392793497152070e-01
