# 2Theta,Intensity
1.000000000000000000e+01,3.927587716667755441e-02
1.001999999999999957e+01,1.967190282406167945e-01
1.003999999999999915e+01,8.060240169206824012e-02
1.006000000000000050e+01,-1.886013288314217565e-02
1.008000000000000007e+01,1.227135491951540924e-01
1.009999999999999964e+01,1.150429784112727144e-01
1.011999999999999922e+01,9.648065817053140536e-02
1.014000000000000057e+01,3.794218380242477678e-02
1.016000000000000014e+01,1.080741945379733726e-01
1.017999999999999972e+01,-3.624323731890125022e-02
1.019999999999999929e+01,2.889022122299927386e-01
1.022000000000000064e+01,4.590848597366734007e-01
1.024000000000000021e+01,5.932853581477759430e-01
1.025999999999999979e+01,6.846114824689729650e-01
1.027999999999999936e+01,3.127955743322481941e-01
1.030000000000000071e+01,7.623705954879869684e-02
1.032000000000000028e+01,4.505484849200715874e-02
1.033999999999999986e+01,7.182109858613491826e-02
1.035999999999999943e+01,-1.268406168370470599e-01
1.038000000000000078e+01,1.527738671089238220e-01
1.040000000000000036e+01,1.264169157483606420e-01
1.041999999999999993e+01,1.413477131469364489e-01
1.043999999999999950e+01,1.253319360175072783e-01
1.046000000000000085e+01,-1.203123464997370440e-01
1.048000000000000043e+01,4.522005177775234586e-02
1.050000000000000000e+01,1.862031119016092640e-01
1.051999999999999957e+01,-4.680371009474821112e-03
1.053999999999999915e+01,8.843396044438606163e-02
1.056000000000000050e+01,8.146684235497479720e-02
1.058000000000000007e+01,2.869880699776719002e-01
1.059999999999999964e+01,-6.128662815435050037e-02
1.061999999999999922e+01,2.798646148220444024e-02
1.064000000000000057e+01,1.845175749213575633e-01
1.066000000000000014e+01,7.560535741786142405e-02
1.067999999999999972e+01,3.194831187105567211e-02
1.069999999999999929e+01,-1.527385109856729539e-01
1.072000000000000064e+01,2.542805748401544275e-01
1.074000000000000021e+01,2.148602713187641178e-01
1.075999999999999979e+01,3.455980309259574362e-02
1.077999999999999936e+01,8.365258963364909095e-02
1.080000000000000071e+01,4.919723505005666603e-02
1.082000000000000028e+01,1.836435577755571313e-01
1.083999999999999986e+01,3.967114296331911150e-02
1.085999999999999943e+01,1.338044079559320143e-01
1.088000000000000078e+01,5.988824664302293960e-02
1.090000000000000036e+01,2.023382591472257241e-01
1.091999999999999993e+01,1.415056749386086332e-01
1.093999999999999950e+01,-5.102021059294882532e-02
1.096000000000000085e+01,1.192375323295074147e-01
1.098000000000000043e+01,1.581936090518399896e-01
1.100000000000000000e+01,-1.121863273858616228e-01
1.101999999999999957e+01,8.408329925524657758e-03
1.103999999999999915e+01,1.417769391958640934e-01
1.106000000000000050e+01,1.532421793576395908e-01
1.108000000000000007e+01,1.902945643760986863e-02
1.109999999999999964e+01,3.033314422566155133e-01
1.112000000000000099e+01,2.816234719268769782e-01
1.114000000000000057e+01,2.727010063829110043e-01
1.116000000000000014e+01,9.073036431827800063e-01
1.117999999999999972e+01,1.873100392438612927e+00
1.119999999999999929e+01,5.704779282595227485e+00
1.122000000000000064e+01,8.101309060339353607e+00
1.124000000000000021e+01,6.718218067790202142e+00
1.125999999999999979e+01,3.368211395915424955e+00
1.127999999999999936e+01,1.114196427938353384e+00
1.130000000000000071e+01,2.593863109601227679e-01
1.132000000000000028e+01,1.207433015150825018e-01
1.133999999999999986e+01,3.290764146832312886e-01
1.135999999999999943e+01,6.909721706636541561e-02
1.138000000000000078e+01,2.374276325059840320e-01
1.140000000000000036e+01,1.108111689236342817e-01
1.141999999999999993e+01,1.533871454248229849e-01
1.143999999999999950e+01,1.513671542920365098e-01
1.146000000000000085e+01,1.398905119616194459e-01
1.148000000000000043e+01,1.293036087560752723e-01
1.150000000000000000e+01,2.260049222628849885e-01
1.151999999999999957e+01,9.838914341850582557e-02
1.153999999999999915e+01,-3.786170019284516158e-02
1.156000000000000050e+01,1.367391747193019980e-01
1.158000000000000007e+01,5.454616970433796147e-02
1.159999999999999964e+01,1.198367113526918881e-01
1.162000000000000099e+01,-1.902531538323807558e-01
1.164000000000000057e+01,1.269128937562638004e-01
1.166000000000000014e+01,6.749678075633259999e-02
1.167999999999999972e+01,1.039922222725662981e-01
1.169999999999999929e+01,-1.200401024695376415e-03
1.172000000000000064e+01,2.065679675261898052e-01
1.174000000000000021e+01,3.472188242176398876e-01
1.175999999999999979e+01,7.209855130122201639e-02
1.177999999999999936e+01,1.307273421402903313e-01
1.180000000000000071e+01,2.143934080863876823e-01
