# 2Theta,Intensity
1.000000000000000000e+01,3.107812916771727774e-01
1.001999999999999957e+01,1.798629697599888888e-01
1.003999999999999915e+01,1.246489364902801239e-01
1.006000000000000050e+01,2.185271204289686298e-02
1.008000000000000007e+01,2.082950370792918948e-01
1.009999999999999964e+01,5.147941974165173157e-02
1.011999999999999922e+01,1.955671678802202440e-01
1.014000000000000057e+01,8.497486587188290974e-02
1.016000000000000014e+01,1.144481447204809543e-01
1.017999999999999972e+01,9.287988261430139836e-02
1.019999999999999929e+01,4.810674627228746503e-01
1.022000000000000064e+01,1.503143974354354262e-01
1.024000000000000021e+01,1.021458404846352225e-01
1.025999999999999979e+01,5.054914402953825797e-02
1.027999999999999936e+01,8.980271541892678733e-02
1.030000000000000071e+01,-3.833348781135725858e-02
1.032000000000000028e+01,-9.234434621960973741e-03
1.033999999999999986e+01,1.930297329621955826e-01
1.035999999999999943e+01,-2.475120985433275009e-02
1.038000000000000078e+01,2.863389129346907702e-01
1.040000000000000036e+01,6.368093754704626241e-02
1.041999999999999993e+01,1.570841222434929407e-01
1.043999999999999950e+01,7.652439151241315074e-02
1.046000000000000085e+01,2.332993358528825389e-01
1.048000000000000043e+01,-7.907705728056525774e-02
1.050000000000000000e+01,2.635311770555910926e-01
1.051999999999999957e+01,1.433772497294818205e-01
1.053999999999999915e+01,-1.476464343408196156e-01
1.056000000000000050e+01,8.681260241341488826e-02
1.058000000000000007e+01,2.108270626387969415e-01
1.059999999999999964e+01,8.505841355296787920e-02
1.061999999999999922e+01,8.305773289923271130e-02
1.064000000000000057e+01,1.803921457601493916e-01
1.066000000000000014e+01,1.238667110828681611e-01
1.067999999999999972e+01,2.442527646733079760e-01
1.069999999999999929e+01,9.727426096480723539e-02
1.072000000000000064e+01,1.280478029962751618e-01
1.074000000000000021e+01,2.633475675563936025e-01
1.075999999999999979e+01,1.359449008473729292e-01
1.077999999999999936e+01,1.147413830675310803e-01
1.080000000000000071e+01,1.815717830184831183e-01
1.082000000000000028e+01,5.625099311530863677e-02
1.083999999999999986e+01,8.102750966219914031e-02
1.085999999999999943e+01,2.367961768034023695e-01
1.088000000000000078e+01,1.217532798406799621e-01
1.090000000000000036e+01,-8.775714223749030152e-03
1.091999999999999993e+01,3.586503141868035982e-01
1.093999999999999950e+01,2.086168306941699746e-01
1.096000000000000085e+01,9.072260570647197597e-02
1.098000000000000043e+01,3.224696590268734675e-01
1.100000000000000000e+01,1.165616450734841547e-01
1.101999999999999957e+01,7.973631315836587907e-02
1.103999999999999915e+01,1.706388602894111650e-01
1.106000000000000050e+01,1.820263162489254294e-01
1.108000000000000007e+01,2.237874720643900361e-01
1.109999999999999964e+01,-2.579932867294106036e-02
1.112000000000000099e+01,1.551828258878041877e-01
1.114000000000000057e+01,2.633963746750588863e-01
1.116000000000000014e+01,2.915419147620625373e-01
1.117999999999999972e+01,1.651847728417039085e-01
1.119999999999999929e+01,1.299425447820236681e-02
1.122000000000000064e+01,3.504146778804426154e-02
1.124000000000000021e+01,-4.621556710118416081e-03
1.125999999999999979e+01,-4.263307215981194942e-02
1.127999999999999936e+01,4.071289244960033665e-02
1.130000000000000071e+01,2.808448598112504579e-01
1.132000000000000028e+01,1.179037080869717313e-01
1.133999999999999986e+01,1.336975147789586094e-01
1.135999999999999943e+01,1.736751723534017966e-01
1.138000000000000078e+01,7.972028711951999191e-02
1.140000000000000036e+01,1.445857642117539532e-01
1.141999999999999993e+01,8.311308181925336491e-02
1.143999999999999950e+01,-1.405839494731450472e-02
1.146000000000000085e+01,3.066446633524153378e-02
1.148000000000000043e+01,2.283185166058316062e-01
1.150000000000000000e+01,1.972887462589597296e-01
1.151999999999999957e+01,1.782351410980651529e-01
1.153999999999999915e+01,7.071717171195375518e-02
1.156000000000000050e+01,1.848926086352757348e-01
1.158000000000000007e+01,2.407838707924475907e-01
1.159999999999999964e+01,4.114909311964861094e-01
1.162000000000000099e+01,5.865145226981725024e-01
1.164000000000000057e+01,8.490206336206476134e-01
1.166000000000000014e+01,6.257632175637527494e-01
1.167999999999999972e+01,3.786820196580147901e-01
1.169999999999999929e+01,7.277769788527975459e-02
1.172000000000000064e+01,9.525541090958192236e-02
1.174000000000000021e+01,1.174418881954029763e-02
1.175999999999999979e+01,8.580594925526892347e-02
1.177999999999999936e+01,1.163562528335450874e-01
1.180000000000000071e+01,1.733732369530807671e-01
1.182000000000000028e+01,-5.107256004280474881e-02
1.183999999999999986e+01,1.857968726470182741e-01
1.185999999999999943e+01,-6.424615932943478214e-02
1.188000000000000078e+01,1.386098799437656404e-01
1.190000000000000036e+01,1.123879182732237109e-01
1.191999999999999993e+01,1.346967682040464687e-01
1.193999999999999950e+01,3.807904704350038583e-01
1.196000000000000085e+01,-7.041204480289608991e-02
1.198000000000000043e+01,1.717189912527340434e-01
1.200000000000000000e+01,-1.403378001805758168e-01
1.201999999999999957e+01,-3.440133981368083405e-02
1.203999999999999915e+01,1.797418851171807830e-01
1.206000000000000050e+01,3.313027069824306392e-01
1.208000000000000007e+01,1.634173094282203309e-01
1.209999999999999964e+01,6.847192807827696959e-02
1.212000000000000099e+01,1.281240976178890101e-01
1.214000000000000057e+01,1.255266511665959206e-01
1.216000000000000014e+01,1.703718468383533247e-02
1.217999999999999972e+01,1.033667807734013205e-01
1.219999999999999929e+01,9.146318526857621922e-02
1.222000000000000064e+01,1.617205631000128152e-01
1.224000000000000021e+01,1.819761972679143081e-01
1.225999999999999979e+01,1.278448287961437557e-01
1.228000000000000114e+01,8.945890370997913732e-02
1.230000000000000071e+01,7.405830380163018478e-02
1.232000000000000028e+01,-1.992420512666499485e-02
1.233999999999999986e+01,1.701189762398350180e-01
1.235999999999999943e+01,-7.114108931745324882e-02
1.237999999999999901e+01,-1.139229033805798201e-02
1.240000000000000036e+01,3.058551119258969830e-01
1.241999999999999993e+01,2.280904218329507516e-01
1.243999999999999950e+01,3.246370739501445168e-01
1.246000000000000085e+01,2.481356502617868692e-02
1.248000000000000043e+01,6.058306462276354110e-02
1.250000000000000000e+01,1.123202646869850690e-01
1.251999999999999957e+01,-2.211399877568113459e-01
1.253999999999999915e+01,4.569876247252627199e-02
1.256000000000000050e+01,2.752770519388331172e-02
1.258000000000000007e+01,1.725180306418783172e-01
1.259999999999999964e+01,6.800447240356463641e-02
1.262000000000000099e+01,1.517666299506223171e-01
1.264000000000000057e+01,2.573959128603550695e-01
1.266000000000000014e+01,1.093014087543639073e-01
1.267999999999999972e+01,2.497627658451199162e-01
1.269999999999999929e+01,3.161849199056581683e-01
1.272000000000000064e+01,6.776341923217082952e-01
1.274000000000000021e+01,5.090240869162783177e-01
1.275999999999999979e+01,1.822681179026513776e-01
1.278000000000000114e+01,4.863400655163544473e-01
1.280000000000000071e+01,1.502898614219428941e-01
1.282000000000000028e+01,2.010494581162773076e-01
1.283999999999999986e+01,1.396037755123266666e-01
1.285999999999999943e+01,2.644474398142301896e-01
1.287999999999999901e+01,8.910003979671198004e-02
1.290000000000000036e+01,1.969169495704820305e-01
1.291999999999999993e+01,3.071037404995866082e-01
1.293999999999999950e+01,5.973178803565695055e-02
1.296000000000000085e+01,2.923693211394787772e-01
1.298000000000000043e+01,1.751265897623347223e-01
1.300000000000000000e+01,1.598747541137631734e-01
1.301999999999999957e+01,1.471441018078604446e-01
1.303999999999999915e+01,2.486066000763147987e-01
1.306000000000000050e+01,-8.056741307155865228e-02
1.308000000000000007e+01,-1.997128732833023529e-02
1.309999999999999964e+01,-9.533858386073149060e-02
1.312000000000000099e+01,-1.118712320123091061e-02
1.314000000000000057e+01,8.088975046781454736e-02
1.316000000000000014e+01,4.176206436006547618e-01
1.317999999999999972e+01,2.121178408310998298e-01
1.319999999999999929e+01,3.235800294849094927e-02
1.322000000000000064e+01,5.414014757863915700e-02
1.324000000000000021e+01,1.059856736489678958e-01
1.325999999999999979e+01,2.463281642954801287e-01
1.328000000000000114e+01,7.324369424092670722e-02
1.330000000000000071e+01,5.850658145378327679e-02
1.332000000000000028e+01,4.805659368595956160e-02
