# 2Theta,Intensity
1.000000000000000000e+01,2.342141138238987980e-02
1.001999999999999957e+01,-4.093405624523476644e-02
1.003999999999999915e+01,-9.588574534140185956e-02
1.006000000000000050e+01,1.854342620707298273e-01
1.008000000000000007e+01,-2.516104194163992780e-02
1.009999999999999964e+01,-1.101005487005801142e-01
1.011999999999999922e+01,7.273308570907421888e-02
1.014000000000000057e+01,-1.595871695028074078e-02
1.016000000000000014e+01,1.268496710236882152e-01
1.017999999999999972e+01,6.023160835516932349e-02
1.019999999999999929e+01,-8.313682515786259553e-02
1.022000000000000064e+01,5.860137340554118397e-03
1.024000000000000021e+01,8.204910794464689849e-02
1.025999999999999979e+01,5.063137110288356418e-02
1.027999999999999936e+01,-6.415070206585544998e-02
1.030000000000000071e+01,1.015241335836898906e-01
1.032000000000000028e+01,3.083318094936069245e-02
1.033999999999999986e+01,1.394864827646612876e-02
1.035999999999999943e+01,-4.606874769388633745e-02
1.038000000000000078e+01,-1.172714083242261812e-01
1.040000000000000036e+01,3.387184692426659788e-02
1.041999999999999993e+01,1.326186311823056019e-01
1.043999999999999950e+01,-5.907333920405792582e-02
1.046000000000000085e+01,-1.993714353374251014e-01
1.048000000000000043e+01,-4.580739571273487881e-02
1.050000000000000000e+01,-3.874529516568974569e-02
1.051999999999999957e+01,8.880675012994104778e-02
1.053999999999999915e+01,1.375686125609887622e-01
1.056000000000000050e+01,2.284760970813107250e-01
1.058000000000000007e+01,1.051913990924603498e-01
1.059999999999999964e+01,-4.535418801565353764e-02
1.061999999999999922e+01,5.466870279515428227e-02
1.064000000000000057e+01,8.340712126470448129e-02
1.066000000000000014e+01,-9.694110748299901437e-02
1.067999999999999972e+01,2.444031146443694513e-01
1.069999999999999929e+01,-2.077410535285461879e-01
1.072000000000000064e+01,-1.801132514827459216e-02
1.074000000000000021e+01,-2.825396161529670352e-02
1.075999999999999979e+01,1.713327643711313186e-01
1.077999999999999936e+01,2.280779041742315993e-01
1.080000000000000071e+01,4.179303570945419599e-02
1.082000000000000028e+01,-1.523238804550044144e-02
1.083999999999999986e+01,-1.865721701275337707e-01
1.085999999999999943e+01,-6.607114933399202417e-02
1.088000000000000078e+01,1.501707214132049807e-02
1.090000000000000036e+01,1.007040499124848970e-01
1.091999999999999993e+01,-2.126394648109582175e-01
1.093999999999999950e+01,-1.503128339676995315e-02
1.096000000000000085e+01,-3.390040026313258931e-02
1.098000000000000043e+01,-1.086643483504342034e-01
1.100000000000000000e+01,-1.104199781784378498e-01
1.101999999999999957e+01,1.527803599270450285e-01
1.103999999999999915e+01,-2.613857026783146242e-01
1.106000000000000050e+01,1.267618434363947943e-01
1.108000000000000007e+01,-2.968420759055680983e-03
1.109999999999999964e+01,-1.081716024377549629e-01
1.112000000000000099e+01,-2.340943840093692371e-02
1.114000000000000057e+01,1.611849710725096405e-02
1.116000000000000014e+01,1.280638990135166411e-01
1.117999999999999972e+01,6.242162608843596083e-02
1.119999999999999929e+01,-5.033428714992695119e-02
1.122000000000000064e+01,1.226781647283279458e-01
1.124000000000000021e+01,8.836844259775596122e-02
1.125999999999999979e+01,5.881671212247025632e-02
1.127999999999999936e+01,1.719319678726970863e-02
1.130000000000000071e+01,-1.263251438955301786e-01
1.132000000000000028e+01,5.779858355742216458e-02
1.133999999999999986e+01,-2.026158144950326173e-02
1.135999999999999943e+01,-1.546049589937946167e-01
1.138000000000000078e+01,-8.771711526758659005e-03
1.140000000000000036e+01,1.152791113659327876e-01
1.141999999999999993e+01,-1.826246679575666831e-01
1.143999999999999950e+01,3.732393583099191670e-02
1.146000000000000085e+01,1.621792955472436265e-02
1.148000000000000043e+01,8.308320823702633473e-02
1.150000000000000000e+01,1.451793978557685549e-01
1.151999999999999957e+01,1.945085539011599529e-01
1.153999999999999915e+01,-4.108555797424368744e-02
1.156000000000000050e+01,-1.013184728546872720e-01
1.158000000000000007e+01,1.150281160273481790e-01
1.159999999999999964e+01,-1.376578661415135130e-01
1.162000000000000099e+01,1.853384500081289854e-01
1.164000000000000057e+01,-4.149701577352003443e-03
1.166000000000000014e+01,7.428288442576493067e-02
1.167999999999999972e+01,3.306206641517966255e-02
1.169999999999999929e+01,9.669426154791008199e-02
1.172000000000000064e+01,3.590872049458146420e-02
1.174000000000000021e+01,1.674945965416322624e-01
1.175999999999999979e+01,8.583597757400399098e-02
1.177999999999999936e+01,-6.345100185068419663e-02
1.180000000000000071e+01,4.092372549013130467e-02
1.182000000000000028e+01,1.375552007260477660e-01
1.183999999999999986e+01,8.775720698910788320e-02
1.185999999999999943e+01,2.225759369260124909e-01
1.188000000000000078e+01,1.908998027049298163e-02
1.190000000000000036e+01,-1.478187643272494724e-02
1.191999999999999993e+01,2.520828617587470705e-02
1.193999999999999950e+01,1.504071970792657809e-01
1.196000000000000085e+01,-1.017116518006876483e-02
1.198000000000000043e+01,-5.540097960907521685e-02
1.200000000000000000e+01,9.132645841676975684e-02
1.201999999999999957e+01,3.062286616554012464e-01
1.203999999999999915e+01,1.356569092377195584e-01
1.206000000000000050e+01,1.156331168910917639e-01
1.208000000000000007e+01,2.086717618445844136e-01
1.209999999999999964e+01,2.116133740944639852e-01
1.212000000000000099e+01,-2.445986756998392783e-02
1.214000000000000057e+01,4.872422521696774533e-02
1.216000000000000014e+01,1.590793092094982819e-01
1.217999999999999972e+01,2.189280855610624410e-02
1.219999999999999929e+01,-7.581138336829613966e-02
1.222000000000000064e+01,7.382763582148281489e-02
1.224000000000000021e+01,5.096871721084777346e-02
1.225999999999999979e+01,2.043552002159554903e-01
1.228000000000000114e+01,-1.550579006728411147e-01
