# 2Theta,Intensity
1.000000000000000000e+01,5.464939774739991929e-01
1.001999999999999957e+01,7.065675715545594038e-01
1.003999999999999915e+01,5.784315368317052286e-01
1.006000000000000050e+01,4.099506083713094773e-01
1.008000000000000007e+01,2.983592499767842576e-01
1.009999999999999964e+01,4.537903543197189804e-01
1.011999999999999922e+01,4.474124214891129769e-01
1.014000000000000057e+01,3.338083891985481055e-01
1.016000000000000014e+01,2.891886714485038534e-01
1.017999999999999972e+01,3.462514118063922397e-01
1.019999999999999929e+01,2.472282783338543843e-01
1.022000000000000064e+01,4.051841224120070195e-01
1.024000000000000021e+01,5.453697978397282764e-01
1.025999999999999979e+01,4.030132281516446979e-01
1.027999999999999936e+01,2.663299659483557846e-01
1.030000000000000071e+01,3.371275396776398092e-01
1.032000000000000028e+01,3.831920157655283043e-01
1.033999999999999986e+01,7.666747947492498216e-01
1.035999999999999943e+01,6.991114684863368733e-01
1.038000000000000078e+01,4.761526352252501981e-01
1.040000000000000036e+01,4.256287402397869180e-01
1.041999999999999993e+01,5.703664887692394547e-01
1.043999999999999950e+01,7.889097177235547542e-02
1.046000000000000085e+01,6.558416990205500063e-01
1.048000000000000043e+01,5.313956041756026094e-01
1.050000000000000000e+01,5.002747741368852585e-01
1.051999999999999957e+01,4.763136361001903962e-01
1.053999999999999915e+01,3.647296267907360057e-01
1.056000000000000050e+01,3.805073955944251463e-01
1.058000000000000007e+01,4.718639470920550361e-01
1.059999999999999964e+01,4.691120803119422367e-01
1.061999999999999922e+01,3.921899117475382002e-01
1.064000000000000057e+01,2.775754902972993321e-01
1.066000000000000014e+01,3.796069667962916339e-01
1.067999999999999972e+01,5.009317088911291460e-01
1.069999999999999929e+01,5.961554092516517800e-01
1.072000000000000064e+01,4.613042400857463865e-01
1.074000000000000021e+01,4.947153761469340605e-01
1.075999999999999979e+01,5.890412277141942043e-01
1.077999999999999936e+01,3.983252561453770046e-01
1.080000000000000071e+01,4.756295956615416709e-01
1.082000000000000028e+01,2.079102325958147313e-01
1.083999999999999986e+01,2.206717738242875704e-01
1.085999999999999943e+01,4.982314064472762039e-01
1.088000000000000078e+01,3.408536051750251650e-01
1.090000000000000036e+01,5.342374198320412049e-01
1.091999999999999993e+01,3.877570455775947722e-01
1.093999999999999950e+01,6.672071142034772251e-01
1.096000000000000085e+01,2.705472736230386532e-01
1.098000000000000043e+01,3.604342540048681154e-01
1.100000000000000000e+01,5.047830191367250752e-01
1.101999999999999957e+01,6.712047908673245411e-01
1.103999999999999915e+01,5.756679537928891532e-01
1.106000000000000050e+01,4.098663745003123249e-01
1.108000000000000007e+01,1.237383223096165524e-01
1.109999999999999964e+01,3.824103527673169967e-01
1.112000000000000099e+01,4.115135806673534402e-01
1.114000000000000057e+01,5.598604651694059076e-01
1.116000000000000014e+01,4.179015288622466295e-01
1.117999999999999972e+01,4.299150138789244457e-01
1.119999999999999929e+01,2.927955157109478068e-01
1.122000000000000064e+01,3.327461506540768110e-01
1.124000000000000021e+01,5.243290478532802723e-01
1.125999999999999979e+01,4.520095276057167766e-01
1.127999999999999936e+01,2.489453752029162914e-01
1.130000000000000071e+01,1.532278218943559644e-01
1.132000000000000028e+01,5.141853725466686287e-01
1.133999999999999986e+01,6.061768139719232451e-01
1.135999999999999943e+01,3.349596660571124151e-01
1.138000000000000078e+01,4.329330073167447779e-01
1.140000000000000036e+01,3.143176140047831413e-01
1.141999999999999993e+01,2.779316333759267454e-01
1.143999999999999950e+01,5.077660716756678960e-01
1.146000000000000085e+01,4.731335477489133634e-01
1.148000000000000043e+01,5.432359961932473613e-01
1.150000000000000000e+01,5.244250510238295249e-01
1.151999999999999957e+01,4.428790644363053697e-01
1.153999999999999915e+01,4.775151063970288212e-01
1.156000000000000050e+01,7.466307825200865222e-01
1.158000000000000007e+01,4.197359797151077321e-01
1.159999999999999964e+01,4.193235204920278680e-01
1.162000000000000099e+01,1.718721948318125414e-01
1.164000000000000057e+01,3.846940084844622243e-01
1.166000000000000014e+01,3.971696071190253807e-01
1.167999999999999972e+01,2.824121371733309127e-01
1.169999999999999929e+01,3.204763045074913719e-01
1.172000000000000064e+01,3.343493958201705363e-01
1.174000000000000021e+01,5.550429250908259782e-01
1.175999999999999979e+01,3.827248853866570544e-01
1.177999999999999936e+01,3.438621873031850740e-01
1.180000000000000071e+01,5.312015766268540773e-01
1.182000000000000028e+01,4.539170847383600105e-01
1.183999999999999986e+01,5.177127693505201300e-01
1.185999999999999943e+01,5.636130213426373547e-01
1.188000000000000078e+01,2.045586794573718281e-01
1.190000000000000036e+01,4.748898364356478052e-01
1.191999999999999993e+01,2.646756859469959755e-01
1.193999999999999950e+01,3.855695975985846680e-01
1.196000000000000085e+01,3.839133110745515109e-01
1.198000000000000043e+01,3.473687225062395134e-01
1.200000000000000000e+01,4.502704943716023256e-01
1.201999999999999957e+01,5.299225250017355338e-01
1.203999999999999915e+01,5.888293701094482469e-01
1.206000000000000050e+01,2.578564393577729708e-01
1.208000000000000007e+01,5.637552868696859010e-01
1.209999999999999964e+01,3.676717772998093769e-01
1.212000000000000099e+01,3.982088914833387117e-01
1.214000000000000057e+01,3.294633662392159046e-01
1.216000000000000014e+01,2.787054523429832176e-01
1.217999999999999972e+01,7.523904106506228429e-01
1.219999999999999929e+01,5.300111705768808523e-01
1.222000000000000064e+01,5.083182952263989307e-01
1.224000000000000021e+01,7.056944644725261506e-01
1.225999999999999979e+01,2.273863605400542609e-01
1.228000000000000114e+01,2.441712700022304339e-01
1.230000000000000071e+01,6.028990479413162129e-01
1.232000000000000028e+01,5.158507338787422514e-01
1.233999999999999986e+01,4.525905773485732198e-01
1.235999999999999943e+01,1.199149187830304136e-01
1.237999999999999901e+01,5.890575395259783908e-01
1.240000000000000036e+01,4.362084326115588939e-01
1.241999999999999993e+01,4.886623284078727147e-01
1.243999999999999950e+01,4.169891808833957603e-01
1.246000000000000085e+01,4.247923364671318813e-01
1.248000000000000043e+01,3.890165529923271248e-01
1.250000000000000000e+01,4.744777440610155606e-01
1.251999999999999957e+01,2.763720174026442766e-01
1.253999999999999915e+01,4.344882073532407296e-01
1.256000000000000050e+01,4.611336618668042675e-01
1.258000000000000007e+01,3.802214678823204741e-01
