# 2Theta,Intensity
1.000000000000000000e+01,3.019039353316125274e-01
1.001999999999999957e+01,2.100232962031555739e-01
1.003999999999999915e+01,2.768770582271634084e-01
1.006000000000000050e+01,2.140231432786339483e-01
1.008000000000000007e+01,3.501629194036648962e-01
1.009999999999999964e+01,5.177837793266786282e-01
1.011999999999999922e+01,1.922129534368584650e-02
1.014000000000000057e+01,-7.997646420113757593e-02
1.016000000000000014e+01,3.535653274955968262e-01
1.017999999999999972e+01,1.415566272987361096e-01
1.019999999999999929e+01,2.190026581864124577e-01
1.022000000000000064e+01,2.725364986788714194e-01
1.024000000000000021e+01,2.663931646601473413e-01
1.025999999999999979e+01,3.547771694955698107e-02
1.027999999999999936e+01,2.169147704133335963e-01
1.030000000000000071e+01,3.297857919095072976e-01
1.032000000000000028e+01,7.590994012154893278e-02
1.033999999999999986e+01,2.583947902274033592e-01
1.035999999999999943e+01,8.880661697218701633e-02
1.038000000000000078e+01,3.853726303413144705e-01
1.040000000000000036e+01,1.611498588056311798e-01
1.041999999999999993e+01,2.937232187617537238e-01
1.043999999999999950e+01,2.755379990582642602e-01
1.046000000000000085e+01,3.520128121154811884e-01
1.048000000000000043e+01,2.271194709452155625e-01
1.050000000000000000e+01,2.045706795193427963e-01
1.051999999999999957e+01,3.793788753190756591e-01
1.053999999999999915e+01,3.869919316335034276e-01
1.056000000000000050e+01,3.689723792884835873e-01
1.058000000000000007e+01,4.167271081109540365e-01
1.059999999999999964e+01,1.465270028406412683e-01
1.061999999999999922e+01,2.222293501137311555e-01
1.064000000000000057e+01,1.520738726822837283e-01
1.066000000000000014e+01,1.962472408139825930e-01
1.067999999999999972e+01,4.452518541159079801e-02
1.069999999999999929e+01,8.775586684329376996e-02
1.072000000000000064e+01,-6.357217372572572522e-02
1.074000000000000021e+01,1.471011734369228607e-01
1.075999999999999979e+01,8.220457225849950311e-02
1.077999999999999936e+01,2.001959863775278625e-01
1.080000000000000071e+01,1.711445962020274325e-01
1.082000000000000028e+01,2.783492930838288859e-01
1.083999999999999986e+01,3.697921894674838228e-01
1.085999999999999943e+01,2.118916392115337277e-01
1.088000000000000078e+01,4.037112644082958002e-01
1.090000000000000036e+01,1.631793314109732107e-01
1.091999999999999993e+01,1.166019871085854365e-01
1.093999999999999950e+01,1.284127451327680969e-01
1.096000000000000085e+01,-6.457528452461299036e-03
1.098000000000000043e+01,2.153366199228615718e-01
1.100000000000000000e+01,3.304494938806921134e-01
1.101999999999999957e+01,7.432643836482184796e-02
1.103999999999999915e+01,5.957753154311044019e-01
1.106000000000000050e+01,2.947686815551949224e-01
1.108000000000000007e+01,3.432998587036575344e-01
1.109999999999999964e+01,2.956458735174387620e-01
1.112000000000000099e+01,2.737032161935442631e-01
1.114000000000000057e+01,1.847645275755097904e-01
1.116000000000000014e+01,3.461617497153657852e-01
1.117999999999999972e+01,2.034562622024316259e-01
1.119999999999999929e+01,1.653670644180133265e-01
1.122000000000000064e+01,1.462068539129349753e-01
1.124000000000000021e+01,4.083409175049844131e-01
1.125999999999999979e+01,1.029094424149280262e-01
1.127999999999999936e+01,1.681172369935518274e-01
1.130000000000000071e+01,1.032187259972313330e-02
1.132000000000000028e+01,1.973508085751236596e-01
1.133999999999999986e+01,2.470609726319400457e-01
1.135999999999999943e+01,1.927988362184565874e-01
1.138000000000000078e+01,2.043307458443656965e-01
1.140000000000000036e+01,3.535378125710999520e-01
1.141999999999999993e+01,7.573491917334607137e-02
1.143999999999999950e+01,1.768021630367484220e-01
1.146000000000000085e+01,2.464689034130218559e-01
1.148000000000000043e+01,2.154495042671263905e-01
1.150000000000000000e+01,3.083448629546475250e-01
1.151999999999999957e+01,1.981262884701816829e-01
1.153999999999999915e+01,3.145579091686746820e-02
1.156000000000000050e+01,1.518542846757823805e-01
1.158000000000000007e+01,3.396197420945366030e-01
1.159999999999999964e+01,1.103101473787086173e-01
1.162000000000000099e+01,1.148958715280129217e-01
1.164000000000000057e+01,1.460234758702123048e-01
1.166000000000000014e+01,4.600134053621643404e-01
1.167999999999999972e+01,1.470903252408685968e-01
1.169999999999999929e+01,2.330983579524885940e-01
1.172000000000000064e+01,2.138206936477747566e-01
1.174000000000000021e+01,1.432632934913531664e-01
1.175999999999999979e+01,2.647384339101706563e-01
1.177999999999999936e+01,1.560808471882721704e-01
1.180000000000000071e+01,6.781306109887838551e-02
1.182000000000000028e+01,4.188852607439577658e-01
1.183999999999999986e+01,3.272203217363275352e-01
1.185999999999999943e+01,2.171030958874931582e-01
1.188000000000000078e+01,1.857368583058765787e-01
1.190000000000000036e+01,1.992934055502008361e-01
1.191999999999999993e+01,-2.892102050700717797e-02
1.193999999999999950e+01,2.875792887846729262e-01
1.196000000000000085e+01,2.799211808951920233e-01
1.198000000000000043e+01,9.177262969376710766e-02
1.200000000000000000e+01,1.814528294012421050e-01
1.201999999999999957e+01,2.521964240527947709e-02
1.203999999999999915e+01,2.661389342841392613e-01
1.206000000000000050e+01,1.724684812334750794e-01
1.208000000000000007e+01,1.164199817555181815e-01
1.209999999999999964e+01,2.061158053270414625e-01
1.212000000000000099e+01,-1.142114205806306904e-01
1.214000000000000057e+01,2.686525173976491154e-01
1.216000000000000014e+01,2.294907130021913155e-01
1.217999999999999972e+01,8.030798607966219138e-02
1.219999999999999929e+01,1.550300231621813130e-01
1.222000000000000064e+01,3.553187136448296424e-01
1.224000000000000021e+01,9.232089535381123035e-02
1.225999999999999979e+01,6.767186890417216383e-02
1.228000000000000114e+01,9.925144943673994136e-02
1.230000000000000071e+01,2.445935198614123118e-01
1.232000000000000028e+01,3.057078232799804729e-01
1.233999999999999986e+01,1.906766648882919080e-01
1.235999999999999943e+01,4.481918718894257192e-01
1.237999999999999901e+01,4.189022149561170694e-01
1.240000000000000036e+01,1.319805184802488318e-01
1.241999999999999993e+01,5.099126444056478746e-01
1.243999999999999950e+01,3.441922862935629102e-01
1.246000000000000085e+01,2.172958364378574925e-01
1.248000000000000043e+01,3.710166916227816691e-01
1.250000000000000000e+01,3.618443196735138256e-01
1.251999999999999957e+01,2.437750297603654692e-01
1.253999999999999915e+01,3.050675498251502749e-01
1.256000000000000050e+01,1.702475993281304945e-01
1.258000000000000007e+01,2.902741835488221733e-01
1.259999999999999964e+01,3.122079456837027478e-01
1.262000000000000099e+01,1.626063367916050773e-01
1.264000000000000057e+01,1.745527421936935997e-01
1.266000000000000014e+01,1.440424822951895389e-01
1.267999999999999972e+01,9.289495796836999553e-02
1.269999999999999929e+01,5.176434166027171768e-01
1.272000000000000064e+01,2.186436498409891349e-01
1.274000000000000021e+01,2.052412814368833327e-01
1.275999999999999979e+01,2.120937355163502180e-01
1.278000000000000114e+01,1.998488236427007347e-01
1.280000000000000071e+01,3.490951765032688781e-01
