# 2Theta,Intensity
1.000000000000000000e+01,2.045239052023375415e-01
1.001999999999999957e+01,2.667436168282787401e-01
1.003999999999999915e+01,2.594632187505144238e-01
1.006000000000000050e+01,1.693671370745571669e-01
1.008000000000000007e+01,3.685022694195523307e-01
1.009999999999999964e+01,8.046694562961695385e-02
1.011999999999999922e+01,-1.081344996553179442e-02
1.014000000000000057e+01,1.539366127004123952e-01
1.016000000000000014e+01,1.830113797223527072e-01
1.017999999999999972e+01,1.277921806981303920e-01
1.019999999999999929e+01,1.266586528743262052e-01
1.022000000000000064e+01,1.938990504672720439e-01
1.024000000000000021e+01,4.157444416084289385e-01
1.025999999999999979e+01,2.173934028705971355e-01
1.027999999999999936e+01,3.211194788477007012e-01
1.030000000000000071e+01,2.754227591153848853e-01
1.032000000000000028e+01,2.387729607081065797e-01
1.033999999999999986e+01,8.809446585973838839e-02
1.035999999999999943e+01,1.552953694138273777e-01
1.038000000000000078e+01,-5.048699286809958664e-02
1.040000000000000036e+01,3.355141204297482083e-01
1.041999999999999993e+01,4.927368929102102918e-02
1.043999999999999950e+01,2.870568420764067485e-01
1.046000000000000085e+01,1.362587675709070467e-01
1.048000000000000043e+01,-3.083819798752741176e-02
1.050000000000000000e+01,1.121995529408336828e-01
1.051999999999999957e+01,1.841772027979410309e-01
1.053999999999999915e+01,1.342804209754931422e-01
1.056000000000000050e+01,2.421333798411691718e-01
1.058000000000000007e+01,1.838573790467524782e-01
1.059999999999999964e+01,-2.302534920024826293e-02
1.061999999999999922e+01,8.740696978221461355e-02
1.064000000000000057e+01,-2.313033343216628138e-02
1.066000000000000014e+01,2.712288484725494664e-02
1.067999999999999972e+01,2.579925522583165209e-01
1.069999999999999929e+01,1.304916519607642322e-01
1.072000000000000064e+01,2.716906024171836243e-01
1.074000000000000021e+01,3.684341905540917950e-02
1.075999999999999979e+01,1.428605915048453689e-01
1.077999999999999936e+01,2.595869583706321704e-01
1.080000000000000071e+01,2.790684389337534932e-01
1.082000000000000028e+01,2.007415265017436223e-01
1.083999999999999986e+01,1.554633988096319475e-01
1.085999999999999943e+01,3.297010386983958430e-01
1.088000000000000078e+01,3.235956580643538083e-01
1.090000000000000036e+01,1.096012888807579161e-01
1.091999999999999993e+01,2.139561504987055607e-01
1.093999999999999950e+01,3.185570219456843044e-01
