# 2Theta,Intensity
1.000000000000000000e+01,-7.078320289103766372e-02
1.001999999999999957e+01,1.042315259310962056e-01
1.003999999999999915e+01,1.361996429546845078e-01
1.006000000000000050e+01,1.166809742927145399e-01
1.008000000000000007e+01,7.167186417905635487e-02
1.009999999999999964e+01,1.626644673438177591e-01
1.011999999999999922e+01,-1.270280660421713170e-01
1.014000000000000057e+01,2.112323390885927077e-01
1.016000000000000014e+01,1.148095486545499221e-02
1.017999999999999972e+01,2.617961626962998691e-03
1.019999999999999929e+01,-1.109052558507402433e-02
1.022000000000000064e+01,2.107551388714454244e-01
1.024000000000000021e+01,9.543131287888860156e-03
1.025999999999999979e+01,1.529507014980416024e-01
1.027999999999999936e+01,1.742372038918039434e-01
1.030000000000000071e+01,7.995406915930407254e-02
1.032000000000000028e+01,1.205902831400063185e-01
1.033999999999999986e+01,-6.333625945858850637e-02
1.035999999999999943e+01,-6.462334786266581144e-02
1.038000000000000078e+01,7.964853692188833545e-02
1.040000000000000036e+01,1.772806151280696130e-01
1.041999999999999993e+01,1.334726400053993234e-01
1.043999999999999950e+01,2.521211158459399360e-02
1.046000000000000085e+01,7.142103571851483867e-02
1.048000000000000043e+01,-8.952811191441378824e-02
1.050000000000000000e+01,-7.316077059821168849e-02
1.051999999999999957e+01,4.311859384951848007e-02
1.053999999999999915e+01,2.212085993010500518e-01
1.056000000000000050e+01,-7.499919509261081252e-02
1.058000000000000007e+01,-1.622153814342129283e-02
1.059999999999999964e+01,4.762669521794779537e-02
1.061999999999999922e+01,1.641450152768393900e-01
1.064000000000000057e+01,2.331515575800145179e-01
1.066000000000000014e+01,1.195300474922071504e-01
1.067999999999999972e+01,6.013045833153486674e-02
1.069999999999999929e+01,1.338515272171535717e-03
1.072000000000000064e+01,3.190108187833398667e-02
1.074000000000000021e+01,2.923379658871153031e-01
1.075999999999999979e+01,-3.356495335892718725e-03
1.077999999999999936e+01,2.562981796434458601e-02
1.080000000000000071e+01,1.039967119417106595e-01
1.082000000000000028e+01,-6.846120737652064414e-02
1.083999999999999986e+01,1.458278808291160189e-01
1.085999999999999943e+01,1.175436377685576544e-01
1.088000000000000078e+01,-7.977279664090042299e-02
1.090000000000000036e+01,1.267508248167854013e-01
1.091999999999999993e+01,1.316337147487585402e-01
1.093999999999999950e+01,-1.780455109165846594e-01
1.096000000000000085e+01,2.752637691839152634e-01
1.098000000000000043e+01,1.835308116192706507e-01
1.100000000000000000e+01,3.970618666512351624e-02
