# 2Theta,Intensity
1.000000000000000000e+01,2.176327177260957146e-01
1.001999999999999957e+01,2.011878702238019956e-01
1.003999999999999915e+01,9.446127429792282315e-02
1.006000000000000050e+01,3.819993615731875902e-01
1.008000000000000007e+01,2.612566693507261117e-01
1.009999999999999964e+01,1.952445582828560844e-01
1.011999999999999922e+01,3.139429615021870901e-01
1.014000000000000057e+01,-1.442372995266991698e-01
1.016000000000000014e+01,1.113605136627318359e-01
1.017999999999999972e+01,2.273029301605752617e-01
1.019999999999999929e+01,2.847961572804471042e-01
1.022000000000000064e+01,4.078591525220652270e-01
1.024000000000000021e+01,5.912480289329791194e-02
1.025999999999999979e+01,5.437454060411229390e-02
1.027999999999999936e+01,3.197015330388206511e-01
1.030000000000000071e+01,2.504040864771994723e-01
1.032000000000000028e+01,1.661091196441309426e-01
1.033999999999999986e+01,1.346106916830795419e-01
1.035999999999999943e+01,3.464627882771384448e-01
1.038000000000000078e+01,1.429158273811223512e-01
1.040000000000000036e+01,1.280503494267828252e-02
1.041999999999999993e+01,8.981070012212843956e-02
1.043999999999999950e+01,1.831127149062172776e-01
1.046000000000000085e+01,1.740848548043715249e-01
1.048000000000000043e+01,1.450990828421369894e-01
1.050000000000000000e+01,1.247096578238399006e-01
1.051999999999999957e+01,1.727904369943295548e-01
1.053999999999999915e+01,1.183025245989208912e-01
1.056000000000000050e+01,4.353129082140619333e-02
1.058000000000000007e+01,4.181795258803910897e-02
1.059999999999999964e+01,1.846907130578654410e-01
1.061999999999999922e+01,1.753185123376543170e-02
1.064000000000000057e+01,1.888849158910392845e-01
1.066000000000000014e+01,4.080640766241609013e-02
1.067999999999999972e+01,6.310929319772587420e-02
1.069999999999999929e+01,1.798007075922145315e-01
1.072000000000000064e+01,2.834347702362123855e-01
1.074000000000000021e+01,-1.525599428824084003e-01
1.075999999999999979e+01,1.007848526148061585e-01
1.077999999999999936e+01,2.782809564138961633e-01
1.080000000000000071e+01,1.848431249063309800e-01
1.082000000000000028e+01,1.863847393106519978e-01
1.083999999999999986e+01,1.103172873579074259e-01
1.085999999999999943e+01,1.900512361052060784e-01
1.088000000000000078e+01,1.488692644263364395e-01
1.090000000000000036e+01,8.105348864856763702e-02
1.091999999999999993e+01,2.178415875942666113e-01
1.093999999999999950e+01,2.129496490376926454e-01
1.096000000000000085e+01,-6.439935384696467147e-02
1.098000000000000043e+01,1.718472513322196749e-01
1.100000000000000000e+01,4.216491002403771615e-01
1.101999999999999957e+01,2.196807193487741727e-01
1.103999999999999915e+01,9.828303798295845439e-02
1.106000000000000050e+01,1.007212511165325453e-01
1.108000000000000007e+01,2.814611973799203692e-01
1.109999999999999964e+01,2.777182795007931970e-01
1.112000000000000099e+01,1.481457294020716020e-01
1.114000000000000057e+01,3.135895446670861064e-01
1.116000000000000014e+01,2.001583574744814076e-01
1.117999999999999972e+01,3.003787304891527427e-02
1.119999999999999929e+01,2.787847020194105241e-01
1.122000000000000064e+01,4.868300402823788620e-02
1.124000000000000021e+01,1.540049324655913821e-01
1.125999999999999979e+01,3.245120271575474558e-02
1.127999999999999936e+01,2.750110949871749644e-01
1.130000000000000071e+01,1.553539737939836352e-01
1.132000000000000028e+01,1.900433122828397436e-01
1.133999999999999986e+01,3.268812605261854354e-01
1.135999999999999943e+01,1.021326435594822474e-01
1.138000000000000078e+01,4.061196421491745645e-01
1.140000000000000036e+01,2.590665250446359535e-01
1.141999999999999993e+01,1.920640889754676173e-01
1.143999999999999950e+01,5.597468601259865395e-02
1.146000000000000085e+01,2.223945371481311217e-01
1.148000000000000043e+01,8.677491382680115051e-02
1.150000000000000000e+01,3.939794122254435677e-02
1.151999999999999957e+01,7.735209041718862921e-02
1.153999999999999915e+01,2.659979178161891444e-01
1.156000000000000050e+01,1.540659248706792994e-01
1.158000000000000007e+01,2.576642531797173064e-01
1.159999999999999964e+01,1.547111331555163505e-01
1.162000000000000099e+01,6.525257017587898778e-02
1.164000000000000057e+01,2.826980974662085533e-01
1.166000000000000014e+01,2.395483055660491689e-01
1.167999999999999972e+01,-2.103009874768139997e-02
