# 2Theta,Intensity
1.000000000000000000e+01,1.304514285744514390e-01
1.001999999999999957e+01,1.833768139377733516e-02
1.003999999999999915e+01,1.640937185018213618e-01
1.006000000000000050e+01,-7.567176391494796761e-02
1.008000000000000007e+01,3.034810203461644762e-01
1.009999999999999964e+01,-7.111253295880122505e-02
1.011999999999999922e+01,2.110864866757843072e-01
1.014000000000000057e+01,2.245888249222828814e-01
1.016000000000000014e+01,-4.904550841565053464e-03
1.017999999999999972e+01,1.131764927303503671e-01
1.019999999999999929e+01,2.545983163025759555e-01
1.022000000000000064e+01,1.042656329638654844e-01
1.024000000000000021e+01,6.399062431975367782e-02
1.025999999999999979e+01,-8.700738197795957959e-03
1.027999999999999936e+01,1.201463193306731569e-01
1.030000000000000071e+01,4.817762541336442078e-02
1.032000000000000028e+01,2.029814197558600097e-01
1.033999999999999986e+01,1.904133331341007485e-01
1.035999999999999943e+01,1.419057727169821537e-01
1.038000000000000078e+01,2.081429724289901029e-01
1.040000000000000036e+01,3.408266061257510526e-01
1.041999999999999993e+01,3.165192257263044207e-01
1.043999999999999950e+01,3.699660736886752344e-01
1.046000000000000085e+01,1.022873848968428451e-01
1.048000000000000043e+01,6.834404858219923773e-02
1.050000000000000000e+01,1.702838005271702371e-01
1.051999999999999957e+01,8.631368436311712133e-02
1.053999999999999915e+01,1.721301765015971208e-01
1.056000000000000050e+01,3.309801117696935524e-01
1.058000000000000007e+01,1.516371543958988655e-01
1.059999999999999964e+01,1.239912421620119609e-01
1.061999999999999922e+01,4.319689470871138082e-02
1.064000000000000057e+01,2.759489772803552787e-01
1.066000000000000014e+01,6.703977669411136098e-02
1.067999999999999972e+01,2.033171395237236001e-01
1.069999999999999929e+01,2.297085930800002174e-01
1.072000000000000064e+01,1.921634015054565769e-01
1.074000000000000021e+01,4.185687682252325348e-01
1.075999999999999979e+01,2.093719527862299978e-01
1.077999999999999936e+01,4.313708898684052717e-01
1.080000000000000071e+01,2.041276021584151057e-01
1.082000000000000028e+01,4.221218218494287577e-01
1.083999999999999986e+01,1.665975097690023943e-01
1.085999999999999943e+01,2.638445113241865148e-01
1.088000000000000078e+01,8.857044240760525433e-02
1.090000000000000036e+01,4.145024399256134195e-01
1.091999999999999993e+01,3.357730780865713083e-01
1.093999999999999950e+01,2.763366294477228591e-01
1.096000000000000085e+01,-2.959258199029435321e-02
1.098000000000000043e+01,7.939479197399576527e-02
1.100000000000000000e+01,6.407980837272879426e-02
1.101999999999999957e+01,2.229251544385632833e-01
1.103999999999999915e+01,1.814633237097534879e-01
1.106000000000000050e+01,-2.643241686489121792e-02
1.108000000000000007e+01,3.350337294682674272e-01
1.109999999999999964e+01,1.633884941862263351e-01
1.112000000000000099e+01,6.500758660692754209e-02
1.114000000000000057e+01,3.465370670072646653e-01
1.116000000000000014e+01,2.797674446760248235e-01
1.117999999999999972e+01,9.992674329439346637e-02
1.119999999999999929e+01,1.291075992294119512e-01
1.122000000000000064e+01,3.904310567612616634e-01
1.124000000000000021e+01,1.228410512241173008e-01
1.125999999999999979e+01,1.926377651909793876e-01
1.127999999999999936e+01,1.757913487871551605e-01
1.130000000000000071e+01,2.153011710599787576e-01
1.132000000000000028e+01,6.996351671832304331e-02
1.133999999999999986e+01,2.710754201386961909e-02
1.135999999999999943e+01,8.354379248354369680e-02
1.138000000000000078e+01,3.192194981405931387e-01
1.140000000000000036e+01,7.141326640712328255e-02
1.141999999999999993e+01,1.950081259918146348e-01
1.143999999999999950e+01,3.010659628666436105e-01
1.146000000000000085e+01,2.970776820809975516e-01
1.148000000000000043e+01,1.498766821337138289e-01
1.150000000000000000e+01,2.277082394214719197e-01
1.151999999999999957e+01,3.225221566740827384e-01
1.153999999999999915e+01,2.044114665134396935e-01
1.156000000000000050e+01,1.665438770700222726e-01
1.158000000000000007e+01,1.003856470409605767e-01
1.159999999999999964e+01,2.517050919402774034e-01
1.162000000000000099e+01,2.314003498164060035e-01
1.164000000000000057e+01,2.532585543589673804e-01
1.166000000000000014e+01,2.128998825117207061e-01
1.167999999999999972e+01,1.290611168956432298e-01
1.169999999999999929e+01,6.565144600156777588e-02
1.172000000000000064e+01,4.765650190915304840e-01
1.174000000000000021e+01,2.395725238202329743e-01
1.175999999999999979e+01,4.921711072248765445e-02
1.177999999999999936e+01,-6.891150608547207124e-02
1.180000000000000071e+01,2.924512491064816810e-01
1.182000000000000028e+01,2.336597006497794227e-01
1.183999999999999986e+01,3.967701393795087239e-01
1.185999999999999943e+01,3.220574303524819659e-01
1.188000000000000078e+01,3.718167375429229371e-02
1.190000000000000036e+01,2.449063845610143231e-01
1.191999999999999993e+01,1.652725622058195953e-01
1.193999999999999950e+01,-5.893323731077922817e-02
1.196000000000000085e+01,2.740448970923112237e-01
1.198000000000000043e+01,1.793145788238355021e-01
1.200000000000000000e+01,2.418433649599240065e-01
1.201999999999999957e+01,1.644857304917680951e-01
1.203999999999999915e+01,1.863852329338518687e-01
1.206000000000000050e+01,1.613796500187786309e-02
1.208000000000000007e+01,6.171530360070767024e-02
1.209999999999999964e+01,7.743581130442669935e-02
1.212000000000000099e+01,-2.067035833466640549e-02
1.214000000000000057e+01,1.305499007590908145e-01
1.216000000000000014e+01,1.772008707472056133e-01
1.217999999999999972e+01,1.801476880592030316e-01
1.219999999999999929e+01,2.715277450354589561e-01
1.222000000000000064e+01,1.859341735634240378e-01
1.224000000000000021e+01,1.033904640188988422e-01
1.225999999999999979e+01,3.796985658773380790e-01
1.228000000000000114e+01,1.740843333446030483e-01
1.230000000000000071e+01,1.718681776211948842e-01
1.232000000000000028e+01,2.261989584717964963e-01
1.233999999999999986e+01,2.610391103776091848e-01
1.235999999999999943e+01,6.159562474548487682e-02
1.237999999999999901e+01,1.049969657246653809e-01
1.240000000000000036e+01,1.889678704413134402e-01
1.241999999999999993e+01,6.326019054760383120e-02
1.243999999999999950e+01,2.254613214490385487e-01
1.246000000000000085e+01,4.380556074049313242e-01
1.248000000000000043e+01,4.020963303840512093e-02
1.250000000000000000e+01,1.700769920878293651e-01
1.251999999999999957e+01,1.786711659572196298e-01
1.253999999999999915e+01,2.216604221275947639e-01
1.256000000000000050e+01,3.562861575278422621e-01
1.258000000000000007e+01,1.359564502565591693e-01
1.259999999999999964e+01,1.789175005132182250e-01
1.262000000000000099e+01,2.472814964620323186e-01
1.264000000000000057e+01,6.347292241913787825e-02
1.266000000000000014e+01,2.763248763509706940e-01
1.267999999999999972e+01,2.348668312671590430e-01
1.269999999999999929e+01,5.719943766597539864e-02
1.272000000000000064e+01,1.532842821802889721e-01
1.274000000000000021e+01,1.953455185214911238e-01
1.275999999999999979e+01,3.259276624670762734e-01
1.278000000000000114e+01,5.218725466116187761e-02
1.280000000000000071e+01,1.211595352741956094e-01
1.282000000000000028e+01,2.298881138298724536e-01
1.283999999999999986e+01,2.804951458666952724e-01
1.285999999999999943e+01,1.908622038227519579e-01
1.287999999999999901e+01,2.496878454962727367e-01
1.290000000000000036e+01,4.017459825815342667e-01
1.291999999999999993e+01,2.935824602163339403e-01
1.293999999999999950e+01,2.586654809191752391e-01
1.296000000000000085e+01,1.409384489669389395e-01
1.298000000000000043e+01,3.264057552565792220e-01
1.300000000000000000e+01,2.662227523594548617e-01
1.301999999999999957e+01,1.445508199631682644e-01
1.303999999999999915e+01,1.103447953827327715e-01
1.306000000000000050e+01,9.041790620841631820e-02
1.308000000000000007e+01,3.265972578800120929e-01
1.309999999999999964e+01,2.694213051071476239e-01
1.312000000000000099e+01,1.424252169685133740e-01
1.314000000000000057e+01,3.001317388800817110e-01
1.316000000000000014e+01,3.864995289994638955e-02
1.317999999999999972e+01,2.796885947960007779e-01
1.319999999999999929e+01,3.047495786137266460e-01
1.322000000000000064e+01,1.528755060824713019e-01
1.324000000000000021e+01,3.204454056344575030e-01
1.325999999999999979e+01,5.489712615645028215e-01
1.328000000000000114e+01,1.925750289983683139e-01
1.330000000000000071e+01,4.718198741300712318e-02
1.332000000000000028e+01,5.555002800985171102e-02
1.333999999999999986e+01,1.483550252067151742e-01
1.335999999999999943e+01,1.982180178873315657e-01
1.337999999999999901e+01,1.313470533248444483e-01
1.340000000000000036e+01,4.018026210735385906e-01
1.341999999999999993e+01,2.363271174849150003e-01
1.343999999999999950e+01,3.413949088207038352e-02
1.346000000000000085e+01,3.704419970619601266e-01
1.348000000000000043e+01,5.861029653713950571e-01
1.350000000000000000e+01,2.274527804690971433e-01
1.351999999999999957e+01,2.668083137396946580e-01
1.353999999999999915e+01,3.059453802459833893e-01
1.356000000000000050e+01,4.633951843267817283e-01
1.358000000000000007e+01,5.359315226492215034e-01
1.359999999999999964e+01,5.080005998397267852e-01
1.362000000000000099e+01,5.442477091348913998e-01
1.364000000000000057e+01,4.837518327626877945e-01
1.366000000000000014e+01,6.634674934438128391e-01
1.367999999999999972e+01,7.618445193380104508e-01
1.369999999999999929e+01,1.073694613085870220e+00
1.372000000000000064e+01,1.609335385740757296e+00
1.374000000000000021e+01,1.302255923224239442e+00
1.375999999999999979e+01,3.457395760633653836e+00
1.378000000000000114e+01,1.023435879704650908e+01
1.380000000000000071e+01,2.945024198126462522e+01
1.382000000000000028e+01,6.093039138530865984e+01
1.383999999999999986e+01,7.338408223712305301e+01
1.385999999999999943e+01,4.298903442708625278e+01
1.387999999999999901e+01,1.786263803914120274e+01
1.390000000000000036e+01,5.382063795568270415e+00
1.391999999999999993e+01,2.578530149325076959e+00
1.393999999999999950e+01,1.355864944124791860e+00
1.396000000000000085e+01,1.499404205372708354e+00
1.398000000000000043e+01,7.231608045496649151e-01
1.400000000000000000e+01,8.451488295377916904e-01
1.401999999999999957e+01,6.704658472660403046e-01
1.403999999999999915e+01,4.773964219064451564e-01
1.406000000000000050e+01,3.918338085278891825e-01
1.408000000000000007e+01,4.504689456235138056e-01
1.409999999999999964e+01,4.263604258698272531e-01
1.412000000000000099e+01,3.296829873840102509e-01
1.414000000000000057e+01,5.034490402584546054e-01
1.416000000000000014e+01,1.917345701507107425e-01
1.417999999999999972e+01,2.826775790518638032e-01
1.419999999999999929e+01,6.220431221469804178e-02
1.421999999999999886e+01,3.731609562486747911e-01
1.424000000000000021e+01,3.326410635519064796e-01
1.425999999999999979e+01,3.145114549613874377e-01
1.428000000000000114e+01,2.982729543686930551e-01
1.430000000000000071e+01,3.241955793151453658e-01
