# 2Theta,Intensity
1.000000000000000000e+01,1.992137895607208620e+01
1.001999999999999957e+01,2.041802981705319198e+01
1.003999999999999915e+01,1.940871549220370085e+01
1.006000000000000050e+01,2.119566169964418734e+01
1.008000000000000007e+01,2.132275145306038056e+01
1.009999999999999964e+01,2.109909227481768923e+01
1.011999999999999922e+01,1.982253520579592276e+01
1.014000000000000057e+01,1.983165191517263182e+01
1.016000000000000014e+01,2.043750163979854761e+01
1.017999999999999972e+01,1.912474607454973707e+01
1.019999999999999929e+01,2.002391028351792457e+01
1.022000000000000064e+01,2.091430806075557314e+01
1.024000000000000021e+01,2.095282885045660137e+01
1.025999999999999979e+01,2.100666517840559067e+01
1.027999999999999936e+01,2.105279054403960259e+01
1.030000000000000071e+01,1.935678844169341417e+01
1.032000000000000028e+01,2.039979735441929520e+01
1.033999999999999986e+01,2.069375532598227707e+01
1.035999999999999943e+01,2.039102212581723350e+01
1.038000000000000078e+01,1.988391330646792809e+01
1.040000000000000036e+01,1.979085151537794118e+01
1.041999999999999993e+01,2.113602581126295377e+01
1.043999999999999950e+01,2.030648620135656301e+01
1.046000000000000085e+01,1.997202226939618797e+01
1.048000000000000043e+01,2.025985748123840935e+01
1.050000000000000000e+01,2.095910629707912420e+01
1.051999999999999957e+01,2.005618469178909535e+01
1.053999999999999915e+01,2.035726404074350171e+01
1.056000000000000050e+01,2.037584450040088058e+01
1.058000000000000007e+01,2.003621501850869180e+01
1.059999999999999964e+01,2.092558265740213486e+01
1.061999999999999922e+01,2.071688905144551640e+01
1.064000000000000057e+01,2.038285627224922081e+01
1.066000000000000014e+01,1.971230537861750420e+01
1.067999999999999972e+01,2.086596805512587594e+01
1.069999999999999929e+01,1.970285990997732029e+01
1.072000000000000064e+01,2.006794858186231423e+01
1.074000000000000021e+01,2.106254852178195591e+01
1.075999999999999979e+01,1.943832877317169050e+01
1.077999999999999936e+01,2.005442355632038698e+01
1.080000000000000071e+01,1.949190692613441200e+01
1.082000000000000028e+01,1.858182288748557909e+01
1.083999999999999986e+01,2.006722303084747949e+01
1.085999999999999943e+01,2.021459976812868931e+01
1.088000000000000078e+01,2.014522243786061750e+01
1.090000000000000036e+01,2.082595228139105714e+01
1.091999999999999993e+01,2.069203533441208975e+01
1.093999999999999950e+01,1.952736380267401373e+01
1.096000000000000085e+01,2.087819401201954506e+01
1.098000000000000043e+01,2.060157619195054579e+01
1.100000000000000000e+01,2.013365971890671702e+01
1.101999999999999957e+01,2.028831172675115724e+01
1.103999999999999915e+01,1.989066352947664740e+01
1.106000000000000050e+01,2.027297553086559034e+01
1.108000000000000007e+01,2.021477080029975681e+01
1.109999999999999964e+01,2.191265319265044553e+01
1.112000000000000099e+01,2.154657996809913811e+01
1.114000000000000057e+01,2.056318208517441803e+01
1.116000000000000014e+01,1.996477284687476583e+01
1.117999999999999972e+01,1.977086043504692014e+01
1.119999999999999929e+01,2.001314293473726735e+01
1.122000000000000064e+01,2.073636270218965194e+01
1.124000000000000021e+01,2.119352327348066467e+01
1.125999999999999979e+01,2.037412619394413227e+01
1.127999999999999936e+01,2.070130456815720876e+01
1.130000000000000071e+01,1.980762721681959349e+01
1.132000000000000028e+01,2.070838934648014273e+01
1.133999999999999986e+01,2.076435305927907748e+01
1.135999999999999943e+01,1.942552611004082053e+01
1.138000000000000078e+01,2.160128247669299029e+01
1.140000000000000036e+01,2.037498627911126903e+01
1.141999999999999993e+01,2.040282919608237222e+01
1.143999999999999950e+01,2.036363434142649709e+01
1.146000000000000085e+01,2.081246345998153657e+01
