# 2Theta,Intensity
1.000000000000000000e+01,7.832214007361591734e-02
1.001999999999999957e+01,1.394430321275773148e-02
1.003999999999999915e+01,1.498865951314012068e-01
1.006000000000000050e+01,2.500801459467081808e-02
1.008000000000000007e+01,-1.489516492611677456e-01
1.009999999999999964e+01,2.168291790245819028e-01
1.011999999999999922e+01,-3.339807178410343635e-02
1.014000000000000057e+01,-7.941272826732911905e-02
1.016000000000000014e+01,9.213062511610869976e-02
1.017999999999999972e+01,2.431902722013107310e-01
1.019999999999999929e+01,-8.603208734115054546e-02
1.022000000000000064e+01,2.321662963542206817e-02
1.024000000000000021e+01,9.656982825910692680e-02
1.025999999999999979e+01,-6.542024542953643607e-02
1.027999999999999936e+01,1.127607562921052048e-01
1.030000000000000071e+01,6.870860565131713116e-02
1.032000000000000028e+01,4.355587058536126294e-02
1.033999999999999986e+01,-8.357787976197218749e-02
1.035999999999999943e+01,1.057208730879522218e-01
1.038000000000000078e+01,-1.706416677945343102e-02
1.040000000000000036e+01,1.395986511753842807e-01
1.041999999999999993e+01,-5.538477051212161578e-02
1.043999999999999950e+01,-3.351955813775223808e-02
1.046000000000000085e+01,-1.040211915281957916e-01
1.048000000000000043e+01,1.448807751104980723e-01
1.050000000000000000e+01,-3.623003144279182686e-02
1.051999999999999957e+01,2.770688029834333238e-02
1.053999999999999915e+01,5.496929386719169586e-02
1.056000000000000050e+01,3.162767760676253592e-02
1.058000000000000007e+01,-1.016616606677033796e-01
1.059999999999999964e+01,-1.253655701327942573e-01
1.061999999999999922e+01,1.412164231460521363e-02
1.064000000000000057e+01,3.289901379493542777e-02
1.066000000000000014e+01,-1.101735054341651532e-01
1.067999999999999972e+01,3.880771486167602924e-02
1.069999999999999929e+01,1.011121918983310941e-01
1.072000000000000064e+01,1.167857868753316708e-01
1.074000000000000021e+01,-1.460706601413663819e-01
1.075999999999999979e+01,-1.363992363129584544e-02
1.077999999999999936e+01,-1.617578300220961357e-02
1.080000000000000071e+01,-6.579561401891434458e-02
1.082000000000000028e+01,1.264785308777459094e-01
1.083999999999999986e+01,3.560154322494229334e-02
1.085999999999999943e+01,-1.362634632920596556e-01
1.088000000000000078e+01,-7.858906809116997239e-02
1.090000000000000036e+01,-2.206002653738112565e-03
1.091999999999999993e+01,-2.676261850081207427e-01
1.093999999999999950e+01,9.923278548709646429e-02
1.096000000000000085e+01,4.382546108768561183e-03
1.098000000000000043e+01,1.057104115183398474e-01
1.100000000000000000e+01,-2.095953198460764888e-02
1.101999999999999957e+01,4.851358926740928501e-02
1.103999999999999915e+01,7.859254173210741823e-02
1.106000000000000050e+01,7.523482793305309724e-02
1.108000000000000007e+01,1.890757568978403969e-01
1.109999999999999964e+01,-1.884156179372993567e-01
1.112000000000000099e+01,5.053147475982379400e-02
1.114000000000000057e+01,5.639597998772999388e-02
1.116000000000000014e+01,2.398964473621496840e-02
1.117999999999999972e+01,-5.962797765739252104e-02
1.119999999999999929e+01,3.223767127773662089e-02
1.122000000000000064e+01,1.083320796215597598e-01
1.124000000000000021e+01,1.261690133249830370e-01
1.125999999999999979e+01,-6.532398858575262646e-02
1.127999999999999936e+01,-1.674298247360960223e-01
1.130000000000000071e+01,1.012833652932495776e-01
1.132000000000000028e+01,-9.460886995177618386e-02
1.133999999999999986e+01,9.471783461425592465e-02
1.135999999999999943e+01,2.236263683842530381e-01
1.138000000000000078e+01,-1.851973948072586570e-02
1.140000000000000036e+01,-1.106324948797186708e-01
1.141999999999999993e+01,-3.348704055673414753e-02
1.143999999999999950e+01,5.715592213654063433e-03
1.146000000000000085e+01,1.255661713949888791e-01
1.148000000000000043e+01,4.829466167176450775e-02
1.150000000000000000e+01,9.386837992386230789e-02
1.151999999999999957e+01,7.191001936112030590e-02
1.153999999999999915e+01,3.553243591775215315e-02
1.156000000000000050e+01,8.591660076263035739e-02
1.158000000000000007e+01,-9.920392814062538311e-02
1.159999999999999964e+01,6.863905439325726499e-02
1.162000000000000099e+01,-2.836209176137263754e-02
1.164000000000000057e+01,2.360280937204552870e-02
1.166000000000000014e+01,1.660217459818677868e-02
1.167999999999999972e+01,-1.956577485247966985e-01
1.169999999999999929e+01,-3.673383842565287882e-02
1.172000000000000064e+01,1.581320044587373325e-02
1.174000000000000021e+01,8.920413960683392512e-04
1.175999999999999979e+01,1.365841458022727661e-01
1.177999999999999936e+01,1.942145576936930296e-01
1.180000000000000071e+01,-7.804760403101171362e-02
1.182000000000000028e+01,-1.191353440150931808e-01
1.183999999999999986e+01,1.200003079708031883e-01
1.185999999999999943e+01,1.266158509183985814e-01
1.188000000000000078e+01,-6.590868211708482936e-03
1.190000000000000036e+01,1.364687507465190026e-02
1.191999999999999993e+01,-5.209625792837143873e-03
1.193999999999999950e+01,1.081275960641077810e-01
1.196000000000000085e+01,-1.204101576207954744e-01
1.198000000000000043e+01,7.681613423913596916e-02
1.200000000000000000e+01,9.211356250590298222e-02
1.201999999999999957e+01,2.920929869484543279e-02
1.203999999999999915e+01,-5.745054641721637073e-02
1.206000000000000050e+01,1.708893787205712778e-01
1.208000000000000007e+01,-1.849369623933801512e-02
1.209999999999999964e+01,1.737536625639136134e-01
1.212000000000000099e+01,-1.474847715498228407e-01
1.214000000000000057e+01,8.863609676239199431e-02
1.216000000000000014e+01,9.329017981750056809e-02
1.217999999999999972e+01,-2.970706513309274294e-02
1.219999999999999929e+01,1.729547488456033844e-01
1.222000000000000064e+01,-1.477063484752170752e-01
1.224000000000000021e+01,1.084405395812602230e-01
1.225999999999999979e+01,1.141314235104319563e-02
1.228000000000000114e+01,4.104321868852953310e-03
1.230000000000000071e+01,6.417359323607159383e-03
1.232000000000000028e+01,4.063722385211499671e-02
1.233999999999999986e+01,2.663559895637932981e-02
1.235999999999999943e+01,-2.215238610349406015e-02
1.237999999999999901e+01,1.113952549973571959e-01
1.240000000000000036e+01,1.453774909078651145e-01
1.241999999999999993e+01,1.766046498175431745e-01
1.243999999999999950e+01,-5.448212702948351804e-02
1.246000000000000085e+01,-7.374369700206873102e-02
1.248000000000000043e+01,-5.320228453451728012e-02
1.250000000000000000e+01,-1.622673707283752986e-01
1.251999999999999957e+01,2.344305954229875325e-02
1.253999999999999915e+01,4.105698253146437132e-02
1.256000000000000050e+01,1.003831955647614543e-01
1.258000000000000007e+01,3.807268143968096930e-02
1.259999999999999964e+01,7.571106876912947481e-02
1.262000000000000099e+01,-2.051331940434757417e-01
1.264000000000000057e+01,3.885693218601292409e-02
