# 2Theta,Intensity
1.000000000000000000e+01,1.260650947885637030e-01
1.001999999999999957e+01,3.389679917174637496e-03
1.003999999999999915e+01,-7.027511724293396267e-02
1.006000000000000050e+01,-9.335392016624648182e-02
1.008000000000000007e+01,-2.274839355738103586e-02
1.009999999999999964e+01,4.401071697108194930e-02
1.011999999999999922e+01,2.389560456105241457e-03
1.014000000000000057e+01,-1.709559151113271558e-01
1.016000000000000014e+01,2.439315273242451294e-03
1.017999999999999972e+01,1.229025882038697372e-02
1.019999999999999929e+01,-2.289752458122787729e-02
1.022000000000000064e+01,-6.666262198956865448e-02
1.024000000000000021e+01,7.186070270766677440e-03
1.025999999999999979e+01,-1.031857068257581167e-01
1.027999999999999936e+01,2.047794825032765442e-01
1.030000000000000071e+01,-6.339764722373101777e-03
1.032000000000000028e+01,-1.407116093594732720e-01
1.033999999999999986e+01,1.942290338905530017e-02
1.035999999999999943e+01,-1.267413504951481196e-01
1.038000000000000078e+01,1.151623095919095258e-01
1.040000000000000036e+01,-7.937823758270882990e-02
1.041999999999999993e+01,-6.528064088730169134e-02
1.043999999999999950e+01,-1.412665712360086125e-02
1.046000000000000085e+01,6.417238256558649434e-02
1.048000000000000043e+01,6.375966241956140812e-02
1.050000000000000000e+01,9.634795657237632538e-02
1.051999999999999957e+01,1.601661862252516666e-02
1.053999999999999915e+01,3.633605608923144714e-02
1.056000000000000050e+01,5.713597032582786589e-02
1.058000000000000007e+01,3.276067020503310723e-02
1.059999999999999964e+01,-1.860710025579127569e-01
1.061999999999999922e+01,9.267832728558397792e-02
1.064000000000000057e+01,1.148577011347600152e-01
1.066000000000000014e+01,-1.159383909271308015e-02
1.067999999999999972e+01,-5.902881434726543752e-02
1.069999999999999929e+01,7.333058732625111209e-02
1.072000000000000064e+01,7.192475810177452467e-02
1.074000000000000021e+01,7.357372170867650107e-02
1.075999999999999979e+01,8.414230351718395007e-02
1.077999999999999936e+01,5.270967159711657628e-03
1.080000000000000071e+01,-2.216465610972689071e-01
1.082000000000000028e+01,2.111186253685173181e-02
1.083999999999999986e+01,1.626644793047375345e-02
1.085999999999999943e+01,2.022968952018367461e-01
1.088000000000000078e+01,2.420356361196184247e-01
1.090000000000000036e+01,9.316900498936938127e-03
1.091999999999999993e+01,1.130320495100544699e-02
1.093999999999999950e+01,1.669981482021736519e-01
1.096000000000000085e+01,1.620128272420795143e-02
1.098000000000000043e+01,-1.298898624120501111e-01
1.100000000000000000e+01,4.324179525271635433e-02
1.101999999999999957e+01,9.476144184958755490e-02
1.103999999999999915e+01,1.094550708110275661e-01
1.106000000000000050e+01,-4.915126847778909097e-02
1.108000000000000007e+01,-1.605081527126575591e-01
1.109999999999999964e+01,-2.039208465829521824e-02
1.112000000000000099e+01,5.451374637432912507e-02
1.114000000000000057e+01,1.760591543102971723e-01
1.116000000000000014e+01,-7.359737764048554509e-02
1.117999999999999972e+01,-9.933546595355942366e-02
1.119999999999999929e+01,-5.172428580408157048e-03
1.122000000000000064e+01,-1.260006880306331345e-01
1.124000000000000021e+01,2.313990689149210498e-03
1.125999999999999979e+01,5.137349158815371353e-02
1.127999999999999936e+01,1.380599948833116097e-01
1.130000000000000071e+01,-1.363461792746332724e-01
1.132000000000000028e+01,4.918886334978700425e-02
1.133999999999999986e+01,-1.526037133259494118e-02
1.135999999999999943e+01,6.307420709582065022e-02
1.138000000000000078e+01,5.132052215241763443e-02
1.140000000000000036e+01,-3.362567459035419037e-02
1.141999999999999993e+01,1.552417757053155822e-01
1.143999999999999950e+01,-5.897170334242065465e-02
1.146000000000000085e+01,-8.414901609383254599e-02
1.148000000000000043e+01,-3.713126081962912078e-02
1.150000000000000000e+01,1.129663513337703235e-01
1.151999999999999957e+01,1.031759219689037943e-01
1.153999999999999915e+01,4.823369637630633283e-02
1.156000000000000050e+01,1.074705139704372620e-01
1.158000000000000007e+01,-1.403467181513294582e-01
1.159999999999999964e+01,2.014280907277403096e-02
1.162000000000000099e+01,1.730040851135647428e-02
1.164000000000000057e+01,4.138699814438930036e-02
1.166000000000000014e+01,-1.105411108842465628e-01
1.167999999999999972e+01,-4.396825906867588007e-02
1.169999999999999929e+01,6.795897686149213190e-02
1.172000000000000064e+01,1.104341476448783416e-01
1.174000000000000021e+01,1.481741104805498754e-01
1.175999999999999979e+01,7.025419428202664407e-02
1.177999999999999936e+01,-1.315988195562829421e-01
1.180000000000000071e+01,2.490888539112515732e-01
1.182000000000000028e+01,1.516142728758098912e-01
1.183999999999999986e+01,-2.043482271518415883e-01
1.185999999999999943e+01,-1.310698262591812324e-01
1.188000000000000078e+01,8.573601359004501266e-02
1.190000000000000036e+01,7.105178247999041630e-02
1.191999999999999993e+01,-3.614096101915896531e-02
1.193999999999999950e+01,6.840879213334517817e-02
1.196000000000000085e+01,7.571530823544411412e-03
1.198000000000000043e+01,1.997942553885749817e-01
