# 2Theta,Intensity
1.000000000000000000e+01,6.548355656469079245e-02
1.001999999999999957e+01,2.495952390853243552e-01
1.003999999999999915e+01,7.581197380987049483e-02
1.006000000000000050e+01,1.414817511296167230e-01
1.008000000000000007e+01,2.736502306172906018e-01
1.009999999999999964e+01,1.030796824395000845e-02
1.011999999999999922e+01,5.761937130166049775e-02
1.014000000000000057e+01,1.297666542351398056e-01
1.016000000000000014e+01,1.419545448093737228e-01
1.017999999999999972e+01,3.487706997990017849e-02
1.019999999999999929e+01,9.958603789267095330e-02
1.022000000000000064e+01,3.176804596345078613e-01
1.024000000000000021e+01,1.597882954626836660e-01
1.025999999999999979e+01,1.892603899930255240e-01
1.027999999999999936e+01,1.886044854568653950e-01
1.030000000000000071e+01,1.490642704714728872e-01
1.032000000000000028e+01,1.496365289629061207e-02
1.033999999999999986e+01,-3.928771508207883068e-02
1.035999999999999943e+01,-1.509068911073543906e-01
1.038000000000000078e+01,2.035908991345298288e-03
1.040000000000000036e+01,-5.160660710191114324e-03
1.041999999999999993e+01,1.464148896583968296e-01
1.043999999999999950e+01,-2.170643367224928295e-03
1.046000000000000085e+01,3.248803654715681083e-02
1.048000000000000043e+01,2.023713641482729753e-01
1.050000000000000000e+01,-5.223165870158581053e-02
1.051999999999999957e+01,2.182767332480719524e-01
1.053999999999999915e+01,4.807214033719569429e-02
1.056000000000000050e+01,2.927070816487678528e-02
1.058000000000000007e+01,7.795247115337375354e-02
1.059999999999999964e+01,1.213428927140884211e-01
1.061999999999999922e+01,4.768414101876055494e-02
1.064000000000000057e+01,1.409423374936508710e-01
1.066000000000000014e+01,5.762474225180207882e-02
1.067999999999999972e+01,2.622324036263292552e-02
1.069999999999999929e+01,1.210006579152435174e-01
1.072000000000000064e+01,1.507452534422000501e-01
1.074000000000000021e+01,2.628377133566854318e-01
1.075999999999999979e+01,-5.233677911996417742e-02
1.077999999999999936e+01,-9.531211985918806168e-03
1.080000000000000071e+01,2.355628368139795620e-02
1.082000000000000028e+01,-6.144936628172047166e-02
1.083999999999999986e+01,1.022866481267765211e-04
1.085999999999999943e+01,-1.177478481245163994e-01
1.088000000000000078e+01,5.819992928884086536e-02
1.090000000000000036e+01,2.395550073980663441e-01
1.091999999999999993e+01,1.319113666641464622e-01
1.093999999999999950e+01,2.408768498075971598e-01
1.096000000000000085e+01,-2.375421013512634197e-02
1.098000000000000043e+01,1.503211063180663332e-01
1.100000000000000000e+01,7.204044497419962584e-03
1.101999999999999957e+01,3.464330426355249348e-01
1.103999999999999915e+01,1.819352752119640093e-01
1.106000000000000050e+01,8.083412218408947414e-02
1.108000000000000007e+01,-6.842401473070320456e-04
1.109999999999999964e+01,1.153515910858961130e-01
1.112000000000000099e+01,1.199008568758909016e-01
1.114000000000000057e+01,2.451602758311773322e-01
1.116000000000000014e+01,-1.025478746501389121e-01
1.117999999999999972e+01,2.615978788526468653e-03
1.119999999999999929e+01,6.175613718021063375e-02
1.122000000000000064e+01,5.469243268734892693e-02
1.124000000000000021e+01,9.357440948117327906e-02
1.125999999999999979e+01,1.703882590036830402e-01
1.127999999999999936e+01,1.660542903626824607e-01
1.130000000000000071e+01,1.092685691345560151e-01
1.132000000000000028e+01,1.134242008509459866e-02
1.133999999999999986e+01,1.483848212544633394e-01
1.135999999999999943e+01,1.043250820880992358e-01
1.138000000000000078e+01,-4.301655676577586206e-04
1.140000000000000036e+01,2.199851136646157612e-01
1.141999999999999993e+01,-7.083538333899490336e-02
1.143999999999999950e+01,1.276805420795180945e-01
1.146000000000000085e+01,1.703680298612672561e-02
1.148000000000000043e+01,1.605468770850693727e-01
1.150000000000000000e+01,-4.665998295113483324e-03
1.151999999999999957e+01,4.092407247472910209e-02
1.153999999999999915e+01,1.639560998436354403e-02
1.156000000000000050e+01,1.431521081675578844e-01
1.158000000000000007e+01,4.913237034533265296e-02
1.159999999999999964e+01,1.739834319601988866e-01
1.162000000000000099e+01,1.311988806233591320e-01
1.164000000000000057e+01,1.089494548208496255e-01
1.166000000000000014e+01,-4.880797654221418619e-02
1.167999999999999972e+01,-3.813964650855226901e-03
1.169999999999999929e+01,-4.738618413248846251e-02
1.172000000000000064e+01,1.132392031755884293e-01
1.174000000000000021e+01,3.792916178514248865e-02
1.175999999999999979e+01,6.469472174893005356e-02
1.177999999999999936e+01,1.284012944001131362e-01
1.180000000000000071e+01,1.837368609468569836e-01
1.182000000000000028e+01,-3.373086065835436548e-02
1.183999999999999986e+01,6.653397995759843808e-02
1.185999999999999943e+01,9.600039583638171614e-02
1.188000000000000078e+01,4.954017049572800868e-02
1.190000000000000036e+01,1.837912559875689855e-01
1.191999999999999993e+01,1.786534668336619003e-01
1.193999999999999950e+01,8.314682573324680415e-02
1.196000000000000085e+01,3.015365524772503636e-01
1.198000000000000043e+01,-6.703190708929311625e-02
1.200000000000000000e+01,4.150476026634274118e-02
1.201999999999999957e+01,2.094692259561347636e-01
1.203999999999999915e+01,4.611539218997310480e-02
1.206000000000000050e+01,-7.171276070818889681e-02
1.208000000000000007e+01,8.232443819262989793e-02
1.209999999999999964e+01,4.498393822670931214e-02
1.212000000000000099e+01,-7.487766217492546061e-02
1.214000000000000057e+01,-7.065195524149904538e-02
1.216000000000000014e+01,1.164569264399345581e-03
1.217999999999999972e+01,-5.946681215072978366e-02
1.219999999999999929e+01,1.467216646580873363e-01
1.222000000000000064e+01,2.325787803684902233e-01
1.224000000000000021e+01,7.830224385675516041e-03
1.225999999999999979e+01,7.263678289965760926e-02
1.228000000000000114e+01,2.505319824430379816e-01
1.230000000000000071e+01,1.117582944987880744e-01
1.232000000000000028e+01,1.414915377305349942e-01
1.233999999999999986e+01,3.521612169356518052e-02
1.235999999999999943e+01,2.884798890902328106e-01
1.237999999999999901e+01,2.719447537680700910e-01
1.240000000000000036e+01,9.504890563264918601e-02
1.241999999999999993e+01,-2.977443573301802662e-02
1.243999999999999950e+01,3.138079782604739076e-01
1.246000000000000085e+01,-3.901107195404013989e-02
1.248000000000000043e+01,1.110347702190214447e-01
1.250000000000000000e+01,1.956524563066469602e-01
1.251999999999999957e+01,6.437960783725076019e-02
1.253999999999999915e+01,3.497921105468090180e-02
1.256000000000000050e+01,8.600573747927457713e-02
1.258000000000000007e+01,2.093137848414568236e-01
1.259999999999999964e+01,2.033157685700286710e-01
1.262000000000000099e+01,4.496524434409866072e-02
1.264000000000000057e+01,-8.276569422382269725e-02
1.266000000000000014e+01,2.611260860987192275e-02
1.267999999999999972e+01,8.046662492271641764e-02
1.269999999999999929e+01,-6.047839699858141224e-03
1.272000000000000064e+01,3.922258262000614948e-02
1.274000000000000021e+01,2.070781650905607896e-01
1.275999999999999979e+01,1.620036262232988911e-01
1.278000000000000114e+01,-6.455592516540616110e-02
1.280000000000000071e+01,1.102121793157750385e-01
1.282000000000000028e+01,1.429459065653524708e-01
1.283999999999999986e+01,6.802250265000084339e-02
1.285999999999999943e+01,1.018659757235708535e-01
1.287999999999999901e+01,2.027358825512371177e-01
1.290000000000000036e+01,9.179827145254906839e-02
1.291999999999999993e+01,2.661014203630693853e-01
1.293999999999999950e+01,-1.135977821207656974e-01
1.296000000000000085e+01,5.983078352691437174e-02
1.298000000000000043e+01,2.536283669323364034e-02
1.300000000000000000e+01,2.752082477550684136e-01
1.301999999999999957e+01,1.834135908201425802e-02
1.303999999999999915e+01,-5.368992070121351295e-02
1.306000000000000050e+01,8.555328872881640123e-02
1.308000000000000007e+01,-1.679082399018131180e-02
1.309999999999999964e+01,8.028542756113521417e-02
1.312000000000000099e+01,1.244468547504336831e-01
1.314000000000000057e+01,5.112414562227157039e-02
1.316000000000000014e+01,-2.021754249264961275e-03
1.317999999999999972e+01,4.325821329928501019e-02
1.319999999999999929e+01,2.314665421456738592e-01
1.322000000000000064e+01,-6.988130674896776695e-02
1.324000000000000021e+01,-4.554122173823561305e-03
1.325999999999999979e+01,5.061403041379376744e-02
1.328000000000000114e+01,2.193963082755276406e-01
1.330000000000000071e+01,1.813331747490802281e-01
1.332000000000000028e+01,2.026378781865885992e-01
1.333999999999999986e+01,1.442696146080406361e-01
1.335999999999999943e+01,2.027516119404602635e-01
1.337999999999999901e+01,-6.749074726405643841e-03
1.340000000000000036e+01,-3.126740539170762972e-02
1.341999999999999993e+01,1.286325809303052181e-01
1.343999999999999950e+01,2.228547995810714610e-01
1.346000000000000085e+01,5.253519241213044921e-02
1.348000000000000043e+01,7.264334813335243668e-02
1.350000000000000000e+01,-5.103117957994386666e-02
1.351999999999999957e+01,1.997662728646716623e-01
1.353999999999999915e+01,1.063255385302399048e-01
1.356000000000000050e+01,-6.786070277789715832e-02
1.358000000000000007e+01,1.807391346938093946e-01
1.359999999999999964e+01,8.156510944906038285e-02
1.362000000000000099e+01,1.254626664769221966e-01
1.364000000000000057e+01,1.252337366877006031e-01
1.366000000000000014e+01,1.664002159087404065e-01
1.367999999999999972e+01,2.006712412009308555e-01
1.369999999999999929e+01,7.110040927643140884e-02
1.372000000000000064e+01,1.273853014824824215e-01
1.374000000000000021e+01,1.848525154537904343e-03
1.375999999999999979e+01,1.180440157789372363e-01
1.378000000000000114e+01,4.550321879785081125e-02
1.380000000000000071e+01,2.763944743871930565e-01
1.382000000000000028e+01,1.686802680606744875e-01
1.383999999999999986e+01,-4.264511601119294658e-04
1.385999999999999943e+01,1.771510777052561283e-02
1.387999999999999901e+01,-3.216196681264171103e-02
1.390000000000000036e+01,8.790180247573746442e-02
1.391999999999999993e+01,1.296031273554773267e-01
1.393999999999999950e+01,8.637196342300039464e-02
1.396000000000000085e+01,-3.154468729121080034e-02
1.398000000000000043e+01,2.240981614957793522e-01
1.400000000000000000e+01,2.821279356259600024e-01
1.401999999999999957e+01,6.567075705026294286e-02
1.403999999999999915e+01,1.109703315504414339e-01
1.406000000000000050e+01,1.241978429854195820e-01
1.408000000000000007e+01,-2.857273067022986918e-02
1.409999999999999964e+01,4.983450743797009086e-02
1.412000000000000099e+01,2.278955146762086104e-01
1.414000000000000057e+01,-4.031116881631575249e-02
1.416000000000000014e+01,2.311030657995766235e-01
1.417999999999999972e+01,1.550318436798121813e-01
1.419999999999999929e+01,8.050218307229078940e-02
1.421999999999999886e+01,9.750593909964831718e-02
1.424000000000000021e+01,2.527615492205692038e-01
1.425999999999999979e+01,-3.865910137566985066e-02
1.428000000000000114e+01,5.474516414098887229e-02
1.430000000000000071e+01,1.022069822828719082e-01
1.432000000000000028e+01,1.597361412784998880e-01
1.433999999999999986e+01,-1.124554830139206929e-01
1.435999999999999943e+01,-7.755839655222550311e-02
1.437999999999999901e+01,3.559999568906939693e-01
1.440000000000000036e+01,2.341295955294903641e-01
1.441999999999999993e+01,1.878500906793392419e-02
1.444000000000000128e+01,1.886448156074511662e-01
1.446000000000000085e+01,4.190856587785851683e-02
1.448000000000000043e+01,-1.969148804634673205e-02
1.450000000000000000e+01,1.484330054015442490e-01
1.451999999999999957e+01,3.658532023550630646e-02
1.453999999999999915e+01,9.466961262827980339e-02
1.456000000000000050e+01,3.032842826009374826e-01
1.458000000000000007e+01,2.424219802399207313e-01
1.460000000000000142e+01,1.065107598024374602e-01
1.462000000000000099e+01,1.476896032730485864e-01
1.464000000000000057e+01,9.255004065462758833e-02
1.466000000000000014e+01,1.175782000812267553e-01
1.467999999999999972e+01,7.771798012926811605e-02
1.469999999999999929e+01,7.061277502189215738e-02
1.471999999999999886e+01,-7.422494633245425855e-02
1.474000000000000021e+01,-6.799260173633931564e-03
1.475999999999999979e+01,7.110862375887656850e-02
1.478000000000000114e+01,1.128303453520136390e-01
1.480000000000000071e+01,2.046637936110188571e-01
1.482000000000000028e+01,-5.877312874641515972e-02
1.483999999999999986e+01,1.775157548315747791e-01
1.485999999999999943e+01,9.422842690341552696e-02
1.487999999999999901e+01,-6.340538882034930934e-02
1.490000000000000036e+01,4.162174055386502758e-02
1.491999999999999993e+01,9.324205029230236974e-02
1.494000000000000128e+01,1.613888315052167399e-01
1.496000000000000085e+01,-1.472791605612543478e-02
1.498000000000000043e+01,2.836261418583625460e-01
1.500000000000000000e+01,-3.616784458129651547e-02
1.501999999999999957e+01,7.854371750213522130e-02
1.503999999999999915e+01,9.297969744121623373e-03
1.506000000000000050e+01,2.259605170919274861e-02
1.508000000000000007e+01,1.733793055599892885e-01
1.510000000000000142e+01,2.174311944845617461e-01
1.512000000000000099e+01,-9.858576766579247100e-03
1.514000000000000057e+01,-5.196326611715879756e-02
1.516000000000000014e+01,1.019815057214701615e-01
1.517999999999999972e+01,1.473828004394174551e-01
1.519999999999999929e+01,3.506985042651733497e-02
1.521999999999999886e+01,-1.037924724062964654e-01
1.524000000000000021e+01,4.573975916005760395e-02
1.525999999999999979e+01,8.595469324922178078e-02
1.528000000000000114e+01,9.455336903275375626e-02
1.530000000000000071e+01,1.161628531387824265e-01
1.532000000000000028e+01,1.721191100836993006e-03
1.533999999999999986e+01,1.611058426487751161e-01
1.535999999999999943e+01,-1.740164209520889127e-02
1.537999999999999901e+01,9.402448033558272189e-02
1.540000000000000036e+01,1.000315881045781286e-01
1.541999999999999993e+01,1.771316509253331728e-01
1.544000000000000128e+01,-5.161867660551532760e-02
1.546000000000000085e+01,8.627375395669881208e-02
1.548000000000000043e+01,4.671940111364653037e-03
1.550000000000000000e+01,1.846938261540359283e-01
1.551999999999999957e+01,-1.097124581535600107e-01
1.553999999999999915e+01,1.583685903616117718e-01
1.556000000000000050e+01,2.597150374814353666e-02
1.558000000000000007e+01,-1.188581207024438369e-01
1.560000000000000142e+01,1.748260407322844989e-01
1.562000000000000099e+01,3.031942069162017472e-01
1.564000000000000057e+01,8.304856046756568799e-02
1.566000000000000014e+01,7.513436717175118844e-03
1.567999999999999972e+01,1.909060275959389708e-01
1.569999999999999929e+01,5.998154489428336039e-02
1.571999999999999886e+01,8.979142798102932033e-02
1.574000000000000021e+01,1.241769010099028625e-01
1.575999999999999979e+01,6.078968840185468292e-02
1.578000000000000114e+01,1.573030521367286411e-02
1.580000000000000071e+01,6.597910600503223422e-02
1.582000000000000028e+01,-1.066496773804794379e-01
1.583999999999999986e+01,2.497658717737404749e-02
1.585999999999999943e+01,-1.358557147670465814e-01
1.587999999999999901e+01,-6.487179120741450034e-02
1.590000000000000036e+01,1.366624089354273319e-01
1.591999999999999993e+01,-2.596804853067066765e-02
1.594000000000000128e+01,7.725835195176432302e-02
1.596000000000000085e+01,1.317052896121229666e-01
1.598000000000000043e+01,1.968944691223920296e-01
1.600000000000000000e+01,1.358165997439698125e-01
1.601999999999999957e+01,3.854652560260956040e-01
1.603999999999999915e+01,8.784938179592181873e-02
1.606000000000000227e+01,1.036713551023301511e-01
1.607999999999999829e+01,1.005072986340230651e-01
1.610000000000000142e+01,-2.388699563165562131e-02
1.612000000000000099e+01,9.049411346454527827e-02
1.614000000000000057e+01,6.191414526602810608e-02
1.616000000000000014e+01,1.865274680793789497e-02
1.617999999999999972e+01,2.108670165113956871e-02
1.619999999999999929e+01,8.893385498453910964e-02
1.621999999999999886e+01,-7.350277256336840148e-02
1.624000000000000199e+01,-9.335227169669029455e-04
1.625999999999999801e+01,1.728602581517089953e-01
1.628000000000000114e+01,1.009550748145003063e-01
1.630000000000000071e+01,1.486448478826263020e-01
1.632000000000000028e+01,2.496375011477174888e-01
1.633999999999999986e+01,1.717808791421427950e-01
1.635999999999999943e+01,1.674456832589354613e-03
1.637999999999999901e+01,1.524264967938089022e-01
1.639999999999999858e+01,1.371548201948091924e-03
1.642000000000000171e+01,9.022480466280149991e-02
1.644000000000000128e+01,-4.216438498931311674e-02
1.646000000000000085e+01,-2.509036017657418141e-02
1.648000000000000043e+01,1.859268472633536229e-01
1.650000000000000000e+01,1.640841518474336347e-01
1.651999999999999957e+01,8.405865281068883310e-02
1.653999999999999915e+01,2.610806206932665408e-01
1.656000000000000227e+01,3.231676396812273588e-01
1.657999999999999829e+01,1.588841257443320831e-01
1.660000000000000142e+01,7.884304547603951385e-02
1.662000000000000099e+01,1.517260875211171034e-01
1.664000000000000057e+01,1.061907555738615394e-01
1.666000000000000014e+01,1.275435009062067526e-01
1.667999999999999972e+01,-1.022936376149808091e-01
1.669999999999999929e+01,-2.747111811568699741e-02
