# 2Theta,Intensity
1.000000000000000000e+01,-6.329575367677033049e-02
1.001999999999999957e+01,-1.323549659861837091e-01
1.003999999999999915e+01,4.147536223116775334e-02
1.006000000000000050e+01,1.673917031814036935e-02
1.008000000000000007e+01,-5.240113480133586771e-02
1.009999999999999964e+01,1.100472888054586790e-01
1.011999999999999922e+01,-5.543462701551226052e-04
1.014000000000000057e+01,-1.260191363808218779e-01
1.016000000000000014e+01,2.912211415087010563e-02
1.017999999999999972e+01,1.468937200826002550e-02
1.019999999999999929e+01,-6.526393029718123573e-02
1.022000000000000064e+01,1.238914343688618802e-01
1.024000000000000021e+01,1.344122618685048565e-01
1.025999999999999979e+01,2.005496968872557684e-01
1.027999999999999936e+01,-5.286860142481387970e-02
1.030000000000000071e+01,-3.986544405489209769e-02
1.032000000000000028e+01,-5.633748088203200527e-02
1.033999999999999986e+01,-5.312893171376995710e-02
1.035999999999999943e+01,-6.976782064396178096e-02
1.038000000000000078e+01,2.319413993135799879e-01
1.040000000000000036e+01,8.358538981948973601e-02
1.041999999999999993e+01,1.074588976842995036e-01
1.043999999999999950e+01,1.226235646113424532e-01
1.046000000000000085e+01,3.509951998740903356e-01
1.048000000000000043e+01,-2.016682982833271909e-01
1.050000000000000000e+01,1.507726580019340401e-01
1.051999999999999957e+01,2.326772445794504651e-02
1.053999999999999915e+01,1.770733721294215912e-01
1.056000000000000050e+01,1.366454940578910038e-01
1.058000000000000007e+01,-4.298491392562441005e-02
1.059999999999999964e+01,-7.092872834803476412e-03
1.061999999999999922e+01,8.476279554710934583e-02
1.064000000000000057e+01,1.052835705089949780e-01
1.066000000000000014e+01,-5.121343034254195736e-02
1.067999999999999972e+01,6.516249422829610560e-02
1.069999999999999929e+01,1.861792836373190596e-01
1.072000000000000064e+01,1.366436759118680455e-01
1.074000000000000021e+01,5.474205846188197853e-04
1.075999999999999979e+01,1.185731888537250450e-01
1.077999999999999936e+01,-1.534296333441724502e-02
1.080000000000000071e+01,8.190769108132640516e-03
1.082000000000000028e+01,1.238332260754849562e-01
1.083999999999999986e+01,1.857012169806827873e-01
1.085999999999999943e+01,4.503186215365136136e-02
1.088000000000000078e+01,2.091275426488548028e-01
1.090000000000000036e+01,6.583890739226094801e-02
1.091999999999999993e+01,-3.761967403501841056e-02
1.093999999999999950e+01,1.318164858675323070e-01
1.096000000000000085e+01,-3.665260829736044501e-02
1.098000000000000043e+01,-1.841092606157850586e-01
1.100000000000000000e+01,1.522980468906364737e-01
1.101999999999999957e+01,4.527772792433330980e-03
1.103999999999999915e+01,-3.550235149395705031e-02
1.106000000000000050e+01,-8.941547575933861403e-02
1.108000000000000007e+01,7.419700269918207136e-02
1.109999999999999964e+01,2.773473158049252207e-01
1.112000000000000099e+01,-1.756710725169418064e-01
1.114000000000000057e+01,-3.900219306404655029e-02
1.116000000000000014e+01,-9.222082330887917956e-02
1.117999999999999972e+01,-1.935304010377233153e-01
1.119999999999999929e+01,-3.382665609742784713e-02
1.122000000000000064e+01,-7.760901707659498272e-02
1.124000000000000021e+01,2.821409952121313458e-02
1.125999999999999979e+01,8.117060885187078745e-02
1.127999999999999936e+01,9.483249266083224049e-03
1.130000000000000071e+01,2.160374983750343314e-01
1.132000000000000028e+01,-1.709670444740759090e-02
1.133999999999999986e+01,1.181691638517362170e-01
1.135999999999999943e+01,6.781355807068045402e-03
1.138000000000000078e+01,4.649518424340649825e-02
1.140000000000000036e+01,5.427124360030812639e-02
1.141999999999999993e+01,1.622980228662636304e-01
1.143999999999999950e+01,-8.752703466619983497e-02
1.146000000000000085e+01,-7.945225001628790362e-02
1.148000000000000043e+01,1.323020700859680321e-01
1.150000000000000000e+01,1.954826959004141995e-01
1.151999999999999957e+01,-4.705182561785842960e-02
1.153999999999999915e+01,-2.802333764789786963e-02
1.156000000000000050e+01,3.352645976132561101e-01
1.158000000000000007e+01,3.614017014627719515e-01
1.159999999999999964e+01,-4.201386590973018448e-03
1.162000000000000099e+01,2.722864598936296510e-01
1.164000000000000057e+01,4.576057947773645718e-02
1.166000000000000014e+01,2.143272302220131098e-01
1.167999999999999972e+01,6.863439964785154890e-02
1.169999999999999929e+01,8.877055331536014282e-02
1.172000000000000064e+01,6.515883308529832850e-04
1.174000000000000021e+01,-1.276602334930114491e-01
1.175999999999999979e+01,1.337486298014993746e-01
1.177999999999999936e+01,-1.839553294763499602e-01
1.180000000000000071e+01,2.205378441698471401e-02
1.182000000000000028e+01,-3.994718320243825782e-03
1.183999999999999986e+01,2.208796042370706203e-01
1.185999999999999943e+01,1.093070774960659269e-01
1.188000000000000078e+01,4.035096705312871124e-02
1.190000000000000036e+01,1.354932141591600435e-02
1.191999999999999993e+01,1.369935295176555878e-01
1.193999999999999950e+01,3.715720820819072845e-01
1.196000000000000085e+01,-1.343657756239357570e-01
1.198000000000000043e+01,-6.826574806608963486e-02
1.200000000000000000e+01,1.247274073480914985e-01
1.201999999999999957e+01,1.671288160485405183e-01
1.203999999999999915e+01,1.111772950279479866e-01
1.206000000000000050e+01,6.490246934970393677e-02
1.208000000000000007e+01,7.799933870864179941e-02
1.209999999999999964e+01,-5.720506461823758604e-02
1.212000000000000099e+01,1.579349322607273565e-01
1.214000000000000057e+01,-1.079229780578378622e-02
1.216000000000000014e+01,9.672053426687875211e-02
1.217999999999999972e+01,1.426716112896641575e-01
1.219999999999999929e+01,5.548207474177118542e-02
1.222000000000000064e+01,-1.097218739262669635e-01
1.224000000000000021e+01,6.160821359284641974e-02
1.225999999999999979e+01,9.411892403685480357e-02
1.228000000000000114e+01,1.431893094398092314e-01
1.230000000000000071e+01,-6.517039776877553425e-02
1.232000000000000028e+01,7.041548860469543092e-02
1.233999999999999986e+01,8.933642616131724778e-02
1.235999999999999943e+01,3.049926945346557311e-02
1.237999999999999901e+01,1.647685662410705576e-01
1.240000000000000036e+01,8.385849040278557306e-03
1.241999999999999993e+01,-3.472536892364714439e-02
1.243999999999999950e+01,9.238581271382055593e-02
1.246000000000000085e+01,2.946672751300593585e-01
1.248000000000000043e+01,6.005348880598113809e-02
1.250000000000000000e+01,1.529249255887475505e-02
1.251999999999999957e+01,-1.231402878067097695e-01
1.253999999999999915e+01,2.743656092875735794e-02
1.256000000000000050e+01,7.306490446567379116e-03
1.258000000000000007e+01,1.979493145386290454e-01
1.259999999999999964e+01,6.298127033955291942e-02
1.262000000000000099e+01,2.505873688666049315e-01
1.264000000000000057e+01,3.866811287975543965e-02
1.266000000000000014e+01,1.240908670648154244e-01
1.267999999999999972e+01,8.419270755620744673e-02
1.269999999999999929e+01,9.221558726868109290e-02
1.272000000000000064e+01,1.931292645607768921e-01
1.274000000000000021e+01,2.231855529636402741e-02
1.275999999999999979e+01,1.153952468221522143e-01
1.278000000000000114e+01,-4.630403686733923496e-02
1.280000000000000071e+01,5.293888170784451230e-02
1.282000000000000028e+01,1.540832669031787505e-01
1.283999999999999986e+01,8.697064568103415882e-02
1.285999999999999943e+01,-2.294358228419515408e-02
1.287999999999999901e+01,1.846529959045482006e-01
1.290000000000000036e+01,1.330479312353287195e-02
1.291999999999999993e+01,-1.046301698384298658e-02
1.293999999999999950e+01,2.207076346609013751e-01
1.296000000000000085e+01,1.673231011802397972e-01
1.298000000000000043e+01,1.435468384378769391e-01
1.300000000000000000e+01,1.317367798438017490e-01
1.301999999999999957e+01,8.531146162253037957e-02
1.303999999999999915e+01,-1.405453815895459924e-01
1.306000000000000050e+01,5.694909510786526526e-03
1.308000000000000007e+01,-1.426953947414797141e-01
1.309999999999999964e+01,-5.957771366947210018e-02
1.312000000000000099e+01,1.529253771881848856e-01
1.314000000000000057e+01,1.253259477082314666e-01
1.316000000000000014e+01,1.106024290358757767e-01
1.317999999999999972e+01,-8.780068412213125340e-02
1.319999999999999929e+01,6.720989217195272314e-02
1.322000000000000064e+01,1.739861151799437788e-01
1.324000000000000021e+01,1.084822225279545443e-01
1.325999999999999979e+01,-2.065960121314064715e-02
1.328000000000000114e+01,1.264992195882226611e-02
1.330000000000000071e+01,4.698883302551592339e-02
1.332000000000000028e+01,2.659824732245991141e-02
1.333999999999999986e+01,1.047905023016208054e-01
1.335999999999999943e+01,2.264670845447246117e-02
1.337999999999999901e+01,4.300627159108628278e-02
1.340000000000000036e+01,4.713120121329617690e-03
1.341999999999999993e+01,1.685184903666635814e-01
1.343999999999999950e+01,1.753267852783442493e-01
1.346000000000000085e+01,1.340410848281871070e-01
1.348000000000000043e+01,3.582616464221563546e-01
1.350000000000000000e+01,3.378392347727084133e-02
1.351999999999999957e+01,3.650869228638316255e-02
1.353999999999999915e+01,1.100139188567416382e-01
1.356000000000000050e+01,1.284182108136242284e-01
1.358000000000000007e+01,8.441657043317398745e-01
1.359999999999999964e+01,2.005096333548896492e+00
1.362000000000000099e+01,4.324967043138170375e+00
1.364000000000000057e+01,4.001781885033907749e+00
1.366000000000000014e+01,1.752651985290985204e+00
1.367999999999999972e+01,8.760653173873020894e-01
1.369999999999999929e+01,3.577021643863451672e-01
1.372000000000000064e+01,6.004965229353660672e-02
1.374000000000000021e+01,3.578191147387002058e-01
1.375999999999999979e+01,-9.524312245840556301e-02
1.378000000000000114e+01,4.747213033818744460e-02
1.380000000000000071e+01,3.019264714353782006e-02
1.382000000000000028e+01,-1.105976479431888398e-01
1.383999999999999986e+01,1.739070982312679037e-01
1.385999999999999943e+01,1.702006067671144873e-01
1.387999999999999901e+01,1.671971232143312780e-02
1.390000000000000036e+01,2.837995290318603633e-02
1.391999999999999993e+01,-3.651876254068953109e-02
1.393999999999999950e+01,2.406946196890604600e-02
1.396000000000000085e+01,1.959592012122444160e-01
1.398000000000000043e+01,1.203809250729118152e-01
1.400000000000000000e+01,2.000851573241524128e-01
1.401999999999999957e+01,2.108979419159192903e-01
1.403999999999999915e+01,1.071619489324014962e-01
1.406000000000000050e+01,1.207871081060692409e-01
1.408000000000000007e+01,3.508005645891298929e-02
1.409999999999999964e+01,8.628078243977632678e-02
1.412000000000000099e+01,-8.053409776554589601e-04
1.414000000000000057e+01,1.077864002811060179e-01
1.416000000000000014e+01,7.666407245551042082e-02
1.417999999999999972e+01,7.938954183501426010e-02
1.419999999999999929e+01,-6.143657631784882334e-02
1.421999999999999886e+01,4.283292144966080461e-02
1.424000000000000021e+01,1.177539805181799515e-01
1.425999999999999979e+01,1.568330376864948139e-01
1.428000000000000114e+01,-5.475478567533431651e-02
1.430000000000000071e+01,2.384731137683898661e-02
1.432000000000000028e+01,1.737324744867404236e-01
1.433999999999999986e+01,-6.267707176153491933e-02
1.435999999999999943e+01,9.693100198130776002e-02
1.437999999999999901e+01,1.336471719707060524e-01
1.440000000000000036e+01,1.839368277759201031e-01
1.441999999999999993e+01,-3.979747985039619462e-02
1.444000000000000128e+01,5.904425906334549723e-02
1.446000000000000085e+01,-1.541708274292701852e-01
1.448000000000000043e+01,-1.079386822427871734e-01
1.450000000000000000e+01,-5.711290878360450463e-02
1.451999999999999957e+01,7.828780063877603668e-02
1.453999999999999915e+01,1.043071842181304554e-01
1.456000000000000050e+01,-5.708781920036250235e-02
1.458000000000000007e+01,-1.562873794745231470e-02
1.460000000000000142e+01,2.762687707714199803e-01
1.462000000000000099e+01,2.017109495917777662e-01
1.464000000000000057e+01,7.673288282337639710e-02
1.466000000000000014e+01,1.750745879530439253e-01
1.467999999999999972e+01,2.800061811732333997e-02
1.469999999999999929e+01,9.001242914336068934e-02
1.471999999999999886e+01,5.699428344659872303e-02
1.474000000000000021e+01,1.530341594092225754e-01
1.475999999999999979e+01,9.570525370534539722e-02
1.478000000000000114e+01,1.713898931866796871e-01
1.480000000000000071e+01,1.421415550511506420e-01
1.482000000000000028e+01,1.182894448224794566e-02
1.483999999999999986e+01,-2.091341794467309334e-02
1.485999999999999943e+01,-1.122884223002690307e-01
1.487999999999999901e+01,1.422761170952723253e-01
1.490000000000000036e+01,1.689419395420433678e-01
1.491999999999999993e+01,-4.942820834517182987e-02
1.494000000000000128e+01,5.279425960522087652e-02
1.496000000000000085e+01,2.534478161600587504e-02
1.498000000000000043e+01,1.216766696455185148e-01
1.500000000000000000e+01,4.051102509359755938e-02
1.501999999999999957e+01,1.005882871552925412e-01
1.503999999999999915e+01,1.277703347167184200e-01
1.506000000000000050e+01,-7.154641582576506953e-02
1.508000000000000007e+01,1.340766694317410135e-01
1.510000000000000142e+01,1.251678655708624854e-01
1.512000000000000099e+01,-7.810888434384561079e-04
1.514000000000000057e+01,1.769872791623585406e-01
1.516000000000000014e+01,1.290634532060455919e-01
1.517999999999999972e+01,9.637471436142930337e-02
1.519999999999999929e+01,-4.888108199288389299e-02
1.521999999999999886e+01,8.303911725266284460e-02
1.524000000000000021e+01,-1.527868214998747698e-01
1.525999999999999979e+01,-1.617827066208584602e-02
1.528000000000000114e+01,1.777027618468005332e-01
1.530000000000000071e+01,-2.756373847982760902e-02
1.532000000000000028e+01,-1.098980993523914207e-01
1.533999999999999986e+01,-3.884212389758015527e-02
1.535999999999999943e+01,1.398495031206046790e-01
1.537999999999999901e+01,2.012975451737396837e-01
1.540000000000000036e+01,1.150822784703672136e-02
1.541999999999999993e+01,8.356745942969118213e-02
1.544000000000000128e+01,7.176047390188834696e-02
1.546000000000000085e+01,1.184893972656058947e-01
1.548000000000000043e+01,-4.654435679723727820e-02
1.550000000000000000e+01,2.006166977026870371e-02
1.551999999999999957e+01,-1.427174640848959120e-02
1.553999999999999915e+01,2.894547283737292087e-01
1.556000000000000050e+01,-7.317556288737948889e-02
1.558000000000000007e+01,4.853364214628673456e-02
1.560000000000000142e+01,1.035844970454342928e-02
1.562000000000000099e+01,4.720683090468842658e-02
1.564000000000000057e+01,1.954921311153999253e-01
1.566000000000000014e+01,-1.316068596919271194e-01
1.567999999999999972e+01,7.823244470494002123e-02
1.569999999999999929e+01,1.331478878025509072e-01
1.571999999999999886e+01,6.450570220935483712e-02
1.574000000000000021e+01,9.764668190563365047e-02
1.575999999999999979e+01,1.910477633125613472e-01
1.578000000000000114e+01,8.113769151503316679e-02
1.580000000000000071e+01,-2.872369201924674167e-02
1.582000000000000028e+01,6.222726018427669065e-02
1.583999999999999986e+01,1.918925533846019549e-01
1.585999999999999943e+01,1.758964363833275257e-01
1.587999999999999901e+01,3.527400919140966790e-02
1.590000000000000036e+01,-3.574443610650510778e-02
1.591999999999999993e+01,3.375146654532658634e-04
1.594000000000000128e+01,3.274369558351922921e-02
1.596000000000000085e+01,-5.901498658107651174e-02
1.598000000000000043e+01,3.077566324171133669e-02
1.600000000000000000e+01,1.218652830144978522e-01
1.601999999999999957e+01,-1.254321257287811277e-02
1.603999999999999915e+01,1.026309070734571643e-01
1.606000000000000227e+01,-7.800279869288578860e-03
1.607999999999999829e+01,1.957917220854622220e-01
1.610000000000000142e+01,7.088414235657006408e-03
1.612000000000000099e+01,1.406476480490110037e-01
1.614000000000000057e+01,-2.671625104706779052e-02
1.616000000000000014e+01,3.507577385796979696e-02
1.617999999999999972e+01,2.533901723391659422e-01
1.619999999999999929e+01,6.087139205043665124e-02
