# 2Theta,Intensity
1.000000000000000000e+01,1.443547279632015901e-01
1.001999999999999957e+01,1.136634037611006787e-01
1.003999999999999915e+01,1.252536615992416447e-01
1.006000000000000050e+01,6.723986221840991262e-02
1.008000000000000007e+01,3.247085849111814304e-01
1.009999999999999964e+01,1.506027971691849543e-01
1.011999999999999922e+01,4.147139764989894728e-02
1.014000000000000057e+01,3.140346326685986705e-02
1.016000000000000014e+01,2.038513295142888593e-01
1.017999999999999972e+01,1.829945116811368677e-01
1.019999999999999929e+01,1.687587614119569479e-01
1.022000000000000064e+01,2.738014302667576144e-02
1.024000000000000021e+01,1.914994986838415847e-01
1.025999999999999979e+01,1.232262579796868374e-01
1.027999999999999936e+01,5.503516669951192142e-04
1.030000000000000071e+01,2.173215479675436046e-01
1.032000000000000028e+01,1.310191739190303961e-01
1.033999999999999986e+01,3.009150215430952263e-02
1.035999999999999943e+01,1.989910436711642971e-01
1.038000000000000078e+01,3.904784604716261820e-02
1.040000000000000036e+01,1.902365214852672626e-01
1.041999999999999993e+01,6.285370168951631697e-02
1.043999999999999950e+01,-2.720679019689231301e-02
1.046000000000000085e+01,1.529174368335826650e-01
1.048000000000000043e+01,7.609225772555755496e-02
1.050000000000000000e+01,5.882119405780008442e-02
1.051999999999999957e+01,5.212676834071567483e-02
1.053999999999999915e+01,1.636797461278128585e-01
1.056000000000000050e+01,-7.164460651700259308e-02
1.058000000000000007e+01,-3.191877286725049861e-02
1.059999999999999964e+01,1.183324713503466560e-02
1.061999999999999922e+01,3.389273337657053853e-01
1.064000000000000057e+01,1.119574750903526150e-01
1.066000000000000014e+01,-7.132018581144593250e-02
1.067999999999999972e+01,1.304718367264801615e-01
1.069999999999999929e+01,1.964861273057418312e-01
1.072000000000000064e+01,4.127716968698970090e-01
1.074000000000000021e+01,1.077639030582877994e-01
1.075999999999999979e+01,1.877894757582598828e-01
1.077999999999999936e+01,-7.320608962395611097e-02
1.080000000000000071e+01,2.432559208294053921e-01
1.082000000000000028e+01,2.031580220099531431e-01
1.083999999999999986e+01,1.510475628655691127e-01
1.085999999999999943e+01,1.857002482144701205e-01
1.088000000000000078e+01,-4.786895494090202818e-02
1.090000000000000036e+01,2.279593784460697825e-01
1.091999999999999993e+01,1.584763562883342858e-01
1.093999999999999950e+01,1.168275607574984359e-01
1.096000000000000085e+01,7.110739606212068686e-02
1.098000000000000043e+01,8.863825922762424980e-02
1.100000000000000000e+01,-4.345462241810069820e-02
1.101999999999999957e+01,9.829346908908663527e-02
1.103999999999999915e+01,1.258995435112663652e-01
1.106000000000000050e+01,-1.829205593848295605e-02
1.108000000000000007e+01,1.742627704092491736e-01
1.109999999999999964e+01,9.395208495324607056e-02
1.112000000000000099e+01,1.204890950989570692e-01
1.114000000000000057e+01,1.042746691235701267e-01
1.116000000000000014e+01,3.429194364510960158e-01
1.117999999999999972e+01,7.995097594708662492e-02
1.119999999999999929e+01,5.844150732537277404e-02
1.122000000000000064e+01,1.389012831254655411e-01
1.124000000000000021e+01,7.894453791415419197e-02
1.125999999999999979e+01,2.958512256429098319e-01
1.127999999999999936e+01,1.021861221327801938e-01
1.130000000000000071e+01,2.874103955495765916e-01
1.132000000000000028e+01,-5.419718197512266716e-02
1.133999999999999986e+01,2.840025430325694433e-01
1.135999999999999943e+01,1.694484419630408467e-01
1.138000000000000078e+01,2.562492955846974452e-01
1.140000000000000036e+01,2.197385644870394616e-01
1.141999999999999993e+01,3.452271101823010113e-01
1.143999999999999950e+01,1.572502840517661371e-01
1.146000000000000085e+01,2.326752484880066640e-01
1.148000000000000043e+01,2.260228913236670412e-01
1.150000000000000000e+01,1.285778478481257037e-01
1.151999999999999957e+01,9.723380597482485233e-02
1.153999999999999915e+01,3.109378305415375632e-01
1.156000000000000050e+01,4.188056208475604558e-01
1.158000000000000007e+01,3.922424158148694606e-01
1.159999999999999964e+01,7.872572688903536342e-01
1.162000000000000099e+01,2.345085833562616351e+00
1.164000000000000057e+01,6.579456789901529490e+00
1.166000000000000014e+01,1.374307702949338861e+01
1.167999999999999972e+01,1.229089332362413778e+01
1.169999999999999929e+01,7.228284110957011954e+00
1.172000000000000064e+01,2.369427227725944274e+00
1.174000000000000021e+01,7.171983488686853869e-01
1.175999999999999979e+01,3.143820684059694393e-01
1.177999999999999936e+01,2.735782166902263612e-01
1.180000000000000071e+01,3.834831109491999013e-01
1.182000000000000028e+01,-5.727050356954093042e-03
1.183999999999999986e+01,1.576675216663634971e-01
1.185999999999999943e+01,2.723742032000676661e-01
1.188000000000000078e+01,9.958812365636025843e-02
1.190000000000000036e+01,1.538359314433701830e-01
1.191999999999999993e+01,1.454078141640489930e-01
1.193999999999999950e+01,1.430086951370700410e-01
1.196000000000000085e+01,1.200365317636590962e-01
1.198000000000000043e+01,2.562875674379209157e-01
1.200000000000000000e+01,1.254131476903747877e-01
1.201999999999999957e+01,1.906526651843860887e-01
1.203999999999999915e+01,1.440275434823489742e-01
1.206000000000000050e+01,1.975342480906725207e-01
1.208000000000000007e+01,2.758598390443358084e-01
1.209999999999999964e+01,1.898680807216084898e-01
1.212000000000000099e+01,1.538875983517948819e-02
1.214000000000000057e+01,2.105536623893111137e-01
1.216000000000000014e+01,2.001112564898533397e-01
1.217999999999999972e+01,1.731756388476120012e-01
1.219999999999999929e+01,2.281336864893017680e-01
