# 2Theta,Intensity
1.000000000000000000e+01,1.382582241667370815e-01
1.001999999999999957e+01,1.147315862488393345e-01
1.003999999999999915e+01,2.554459947121880958e-01
1.006000000000000050e+01,1.901148633056219672e-01
1.008000000000000007e+01,2.059451620825552068e-02
1.009999999999999964e+01,1.362614817111029442e-01
1.011999999999999922e+01,1.510423789240778192e-01
1.014000000000000057e+01,1.702951594384949918e-01
1.016000000000000014e+01,-1.301177180271421152e-01
1.017999999999999972e+01,1.446272124587180685e-01
1.019999999999999929e+01,6.999138122737000312e-02
1.022000000000000064e+01,1.750572559282024265e-01
1.024000000000000021e+01,3.909553873996028661e-02
1.025999999999999979e+01,6.751500391258559094e-03
1.027999999999999936e+01,8.622336582085994572e-02
1.030000000000000071e+01,1.588450152245050595e-01
1.032000000000000028e+01,-9.602188865065119580e-04
1.033999999999999986e+01,-4.006027637475306075e-02
1.035999999999999943e+01,9.290508916486057978e-02
1.038000000000000078e+01,2.385650154519756636e-02
1.040000000000000036e+01,1.572128146493146847e-02
1.041999999999999993e+01,1.349761374349826570e-01
1.043999999999999950e+01,1.919133451601705009e-01
1.046000000000000085e+01,4.872067774483551661e-02
1.048000000000000043e+01,8.521616780106877620e-02
1.050000000000000000e+01,1.558752425015790810e-01
1.051999999999999957e+01,-9.754847737927637916e-03
1.053999999999999915e+01,-1.196293254445870979e-01
1.056000000000000050e+01,2.160756684262034322e-01
1.058000000000000007e+01,2.896322745420948364e-01
1.059999999999999964e+01,-2.652340154233729930e-01
1.061999999999999922e+01,1.011750987930536486e-02
1.064000000000000057e+01,5.557544145564832089e-03
1.066000000000000014e+01,4.633413427961992348e-02
1.067999999999999972e+01,3.450398102958993074e-01
1.069999999999999929e+01,5.377048031096065550e-02
1.072000000000000064e+01,2.458770636372156759e-01
1.074000000000000021e+01,-2.455774912679080380e-02
1.075999999999999979e+01,6.998699554699801262e-02
1.077999999999999936e+01,-2.912241334823811173e-02
1.080000000000000071e+01,3.977857564334362772e-01
1.082000000000000028e+01,1.138906618853170877e-01
1.083999999999999986e+01,3.028691481069584190e-01
1.085999999999999943e+01,8.366944446868707086e-02
1.088000000000000078e+01,1.732188415226542100e-01
1.090000000000000036e+01,1.858535662685130430e-02
1.091999999999999993e+01,3.303908467988586617e-01
1.093999999999999950e+01,7.495662329043865924e-02
1.096000000000000085e+01,1.842896220016328745e-01
1.098000000000000043e+01,-1.991203049793132535e-02
1.100000000000000000e+01,5.443606830295424914e-02
1.101999999999999957e+01,3.659381334860779128e-02
1.103999999999999915e+01,1.807212745233642559e-01
1.106000000000000050e+01,-4.312625730172678883e-03
1.108000000000000007e+01,2.580923104253193129e-02
1.109999999999999964e+01,-1.486241052782529513e-02
1.112000000000000099e+01,1.006792568782749753e-01
1.114000000000000057e+01,1.949459985937360418e-01
1.116000000000000014e+01,1.186666442190216636e-01
1.117999999999999972e+01,-7.807453995535744429e-02
1.119999999999999929e+01,1.393205220322833449e-01
1.122000000000000064e+01,-8.914689468368196257e-02
1.124000000000000021e+01,-1.086611396477073360e-01
1.125999999999999979e+01,-5.661094525645344461e-02
1.127999999999999936e+01,1.050837366261725553e-01
1.130000000000000071e+01,1.756596458937570993e-01
1.132000000000000028e+01,-2.915233989542176732e-02
1.133999999999999986e+01,9.400274126877257441e-02
1.135999999999999943e+01,-3.867163355418823389e-02
1.138000000000000078e+01,3.613772421583778538e-01
1.140000000000000036e+01,1.072913530410422173e-01
1.141999999999999993e+01,-1.527664551456090272e-02
1.143999999999999950e+01,5.971927746290588146e-02
1.146000000000000085e+01,3.653024848105373285e-02
1.148000000000000043e+01,3.694973155624060174e-02
1.150000000000000000e+01,4.239329586491973750e-02
1.151999999999999957e+01,7.570265134203063573e-02
1.153999999999999915e+01,1.924014156228096850e-01
1.156000000000000050e+01,8.814492367905392423e-02
1.158000000000000007e+01,9.168990996472770050e-02
1.159999999999999964e+01,7.645961534331019438e-02
1.162000000000000099e+01,8.385130615442035196e-02
1.164000000000000057e+01,1.713686913318758845e-02
1.166000000000000014e+01,1.417036605071503585e-01
1.167999999999999972e+01,1.840153476049769254e-01
1.169999999999999929e+01,-1.677301071231854929e-02
1.172000000000000064e+01,8.540520913343817300e-02
1.174000000000000021e+01,1.393927283611061385e-01
1.175999999999999979e+01,1.569554712390109352e-01
1.177999999999999936e+01,5.832221407301307892e-02
1.180000000000000071e+01,1.224818384457943693e-01
1.182000000000000028e+01,1.666096939760085271e-02
1.183999999999999986e+01,1.873450859379746369e-01
1.185999999999999943e+01,-1.284329802377453533e-01
1.188000000000000078e+01,1.295469892174341275e-01
1.190000000000000036e+01,1.027033718226818063e-02
1.191999999999999993e+01,9.515285496553106681e-02
1.193999999999999950e+01,2.487584605351527700e-01
1.196000000000000085e+01,2.019369561276336544e-01
1.198000000000000043e+01,2.329127202190710288e-01
1.200000000000000000e+01,8.698520012299511273e-02
1.201999999999999957e+01,9.015024528651194302e-02
1.203999999999999915e+01,1.419260117056073967e-01
1.206000000000000050e+01,1.409625754596646185e-01
1.208000000000000007e+01,-6.232290722422197116e-02
1.209999999999999964e+01,1.926317944227469714e-01
1.212000000000000099e+01,5.868275602474136432e-02
1.214000000000000057e+01,2.552812645904810052e-01
1.216000000000000014e+01,2.311608111538954735e-01
1.217999999999999972e+01,1.470933458163870278e-01
1.219999999999999929e+01,1.380131247438011188e-01
1.222000000000000064e+01,-1.257424175894513579e-02
1.224000000000000021e+01,1.899898368809040394e-01
1.225999999999999979e+01,9.942115361707512533e-02
1.228000000000000114e+01,-6.083449072709615907e-02
1.230000000000000071e+01,9.276420233477668253e-02
1.232000000000000028e+01,-2.063310056953240185e-02
1.233999999999999986e+01,5.395085215338957935e-02
1.235999999999999943e+01,-6.954303767873244724e-02
1.237999999999999901e+01,4.584414462542366758e-02
1.240000000000000036e+01,2.242174599098662457e-01
1.241999999999999993e+01,1.217660711777993066e-01
1.243999999999999950e+01,3.296334100226742669e-01
1.246000000000000085e+01,7.089874662621903356e-02
1.248000000000000043e+01,1.212062970953712848e-01
1.250000000000000000e+01,2.269190557323471635e-01
1.251999999999999957e+01,-8.902535593454180551e-02
1.253999999999999915e+01,2.580031534632780121e-01
1.256000000000000050e+01,-4.919814964960438075e-02
1.258000000000000007e+01,1.303292652893803527e-01
1.259999999999999964e+01,1.472687344399421783e-01
1.262000000000000099e+01,2.051508208349568652e-01
1.264000000000000057e+01,1.880335809077958720e-01
1.266000000000000014e+01,1.443145440525710477e-01
1.267999999999999972e+01,4.179910883330565166e-03
1.269999999999999929e+01,7.654822779988468273e-02
1.272000000000000064e+01,1.832336078827777326e-01
1.274000000000000021e+01,-7.787359827484272717e-03
1.275999999999999979e+01,2.654361921522559870e-02
1.278000000000000114e+01,1.694616816096238543e-01
1.280000000000000071e+01,2.353375107843298508e-01
1.282000000000000028e+01,-1.549920347887713545e-02
1.283999999999999986e+01,-9.888567918341166496e-02
1.285999999999999943e+01,1.636378336151264046e-01
1.287999999999999901e+01,1.175834025260020094e-01
