# 2Theta,Intensity
1.000000000000000000e+01,-1.533962504281984607e-01
1.001999999999999957e+01,-8.489749326502825377e-02
1.003999999999999915e+01,5.187986381091426978e-03
1.006000000000000050e+01,-1.187842185375549697e-01
1.008000000000000007e+01,1.609348298286012724e-01
1.009999999999999964e+01,1.915128337037765305e-01
1.011999999999999922e+01,1.353711789281709099e-01
1.014000000000000057e+01,-4.746437229776644118e-02
1.016000000000000014e+01,1.229639505598014437e-01
1.017999999999999972e+01,7.990671200544237351e-02
1.019999999999999929e+01,2.728001436730639329e-01
1.022000000000000064e+01,1.055020620855423308e-01
1.024000000000000021e+01,2.913576588658652877e-01
1.025999999999999979e+01,2.508483738889653591e-01
1.027999999999999936e+01,5.878307092069185585e-02
1.030000000000000071e+01,2.870023612041304739e-01
1.032000000000000028e+01,2.641878514120435048e-02
1.033999999999999986e+01,9.060420486362885661e-02
1.035999999999999943e+01,2.093004542816258307e-01
1.038000000000000078e+01,2.071530679358977653e-02
1.040000000000000036e+01,1.940349346339713399e-01
1.041999999999999993e+01,8.417863893748843418e-02
1.043999999999999950e+01,3.624583993068790366e-02
1.046000000000000085e+01,2.011063866029149938e-01
1.048000000000000043e+01,2.713820699096314848e-01
1.050000000000000000e+01,5.507379863553014954e-02
1.051999999999999957e+01,2.462997194383434452e-01
1.053999999999999915e+01,2.912998359929771519e-01
1.056000000000000050e+01,9.957707731540786644e-02
1.058000000000000007e+01,8.190227111725940576e-03
1.059999999999999964e+01,6.195119101231890552e-02
1.061999999999999922e+01,1.069076399332521410e-01
1.064000000000000057e+01,7.874912678293138901e-02
1.066000000000000014e+01,-4.772720453113176581e-02
1.067999999999999972e+01,-5.174113883382928936e-02
1.069999999999999929e+01,1.989479893901192342e-01
1.072000000000000064e+01,7.299627671991354427e-02
1.074000000000000021e+01,8.099778070584272294e-02
1.075999999999999979e+01,2.185239452845626207e-01
1.077999999999999936e+01,-1.978630039317747641e-02
1.080000000000000071e+01,1.602836612656299842e-01
1.082000000000000028e+01,-4.672485283304757264e-02
1.083999999999999986e+01,2.598920194537079897e-01
1.085999999999999943e+01,1.074398727934729875e-01
1.088000000000000078e+01,2.827945838650299248e-01
1.090000000000000036e+01,1.904527652787709469e-01
1.091999999999999993e+01,4.286649556867250244e-01
1.093999999999999950e+01,6.092920054877477148e-02
1.096000000000000085e+01,-1.996405102768938466e-03
1.098000000000000043e+01,2.515639961926378204e-02
1.100000000000000000e+01,2.959998756942542886e-01
1.101999999999999957e+01,1.782595191300229975e-01
1.103999999999999915e+01,4.075132458071810682e-01
1.106000000000000050e+01,-3.497714575213050486e-02
1.108000000000000007e+01,4.613158331531722056e-01
1.109999999999999964e+01,7.893199706205620281e-01
1.112000000000000099e+01,1.291706829622963015e+00
1.114000000000000057e+01,1.577479318920759654e+00
1.116000000000000014e+01,1.232566375702636829e+00
1.117999999999999972e+01,3.490159220187666889e-01
1.119999999999999929e+01,1.555960971845754270e-01
1.122000000000000064e+01,1.059253846216554329e-01
1.124000000000000021e+01,2.696435235609799808e-01
1.125999999999999979e+01,1.149762005873352227e-01
1.127999999999999936e+01,-3.252530722836555893e-02
1.130000000000000071e+01,6.019609152532714308e-02
1.132000000000000028e+01,2.150577011733247057e-01
1.133999999999999986e+01,6.175874083378037060e-02
1.135999999999999943e+01,2.766619105115985522e-01
1.138000000000000078e+01,8.273892397248584774e-02
1.140000000000000036e+01,3.215085212227637018e-02
1.141999999999999993e+01,4.233023574936732591e-03
1.143999999999999950e+01,1.432783789911625527e-01
1.146000000000000085e+01,3.687434708660061733e-01
1.148000000000000043e+01,1.085326718779914407e-01
1.150000000000000000e+01,-2.671443269303419923e-02
1.151999999999999957e+01,-6.694800555922805763e-02
1.153999999999999915e+01,4.449032466868819286e-02
1.156000000000000050e+01,-1.917185248710000928e-02
1.158000000000000007e+01,1.809425927823825608e-01
1.159999999999999964e+01,5.438572620001518726e-02
1.162000000000000099e+01,1.761084476865581727e-01
1.164000000000000057e+01,3.200125745102808117e-02
1.166000000000000014e+01,-2.957886147100009452e-02
1.167999999999999972e+01,8.413440640659419767e-02
1.169999999999999929e+01,2.334466208899317330e-01
1.172000000000000064e+01,3.606020598770546814e-01
1.174000000000000021e+01,9.020620503959130010e-02
1.175999999999999979e+01,1.679787885232304490e-01
1.177999999999999936e+01,1.296183954778126757e-01
1.180000000000000071e+01,1.093866580890976298e-01
1.182000000000000028e+01,3.124390769142580404e-01
1.183999999999999986e+01,-8.041784329545215160e-02
1.185999999999999943e+01,2.031032483078183681e-02
1.188000000000000078e+01,1.244598240927557442e-01
1.190000000000000036e+01,1.270321212764641550e-01
1.191999999999999993e+01,1.069995718909572680e-01
1.193999999999999950e+01,2.208964690438387224e-01
1.196000000000000085e+01,7.087057801203974772e-02
1.198000000000000043e+01,2.649122412703456067e-02
1.200000000000000000e+01,-4.330406113145917474e-02
1.201999999999999957e+01,2.087407959771343524e-01
1.203999999999999915e+01,1.532719742884867675e-01
1.206000000000000050e+01,1.666797358880186541e-01
1.208000000000000007e+01,2.652451724138444877e-01
1.209999999999999964e+01,1.637516373102840539e-01
1.212000000000000099e+01,-1.432936651968030051e-01
1.214000000000000057e+01,8.066087182917976162e-02
1.216000000000000014e+01,1.255803424639661235e-02
1.217999999999999972e+01,3.400320265335787240e-01
1.219999999999999929e+01,6.836901076390505816e-02
1.222000000000000064e+01,1.801970476074810923e-01
1.224000000000000021e+01,1.487891583423694986e-01
1.225999999999999979e+01,1.808968549258859193e-01
1.228000000000000114e+01,3.468708881998857074e-01
1.230000000000000071e+01,6.609230147035492775e-02
1.232000000000000028e+01,9.773287990892010058e-02
1.233999999999999986e+01,2.163662818209014516e-01
1.235999999999999943e+01,4.377937208262610430e-02
1.237999999999999901e+01,2.837166542598090757e-01
1.240000000000000036e+01,7.370649517007342444e-02
1.241999999999999993e+01,1.944640580889793469e-01
1.243999999999999950e+01,2.507952656427336335e-01
1.246000000000000085e+01,4.300972777397041313e-02
1.248000000000000043e+01,7.486090765635394773e-02
1.250000000000000000e+01,2.630760165634631661e-03
1.251999999999999957e+01,2.619777028923304663e-01
1.253999999999999915e+01,-3.681668123661634151e-02
1.256000000000000050e+01,-1.773281512916153116e-02
1.258000000000000007e+01,-6.134381068108649832e-02
1.259999999999999964e+01,6.036739833379184406e-02
1.262000000000000099e+01,8.056532828676687963e-02
1.264000000000000057e+01,1.197111091519340170e-01
1.266000000000000014e+01,-1.675060997692661216e-02
1.267999999999999972e+01,-6.299216158002761412e-02
1.269999999999999929e+01,3.713567034249137810e-01
1.272000000000000064e+01,1.955836835270521046e-01
1.274000000000000021e+01,2.511361357219369858e-02
1.275999999999999979e+01,3.227889965507437786e-01
1.278000000000000114e+01,1.461158065986095655e-01
1.280000000000000071e+01,1.541186087369297852e-01
1.282000000000000028e+01,2.112086281140471977e-01
1.283999999999999986e+01,1.896709191853557797e-01
1.285999999999999943e+01,5.564672807127545029e-03
1.287999999999999901e+01,-4.279938832723046566e-02
1.290000000000000036e+01,3.066564414257290094e-01
1.291999999999999993e+01,2.962338989182031757e-01
1.293999999999999950e+01,1.581167451245260591e-01
1.296000000000000085e+01,2.207896522621625723e-01
1.298000000000000043e+01,1.358836728154619589e-01
1.300000000000000000e+01,1.334572062398705072e-01
1.301999999999999957e+01,-1.590299568111672168e-02
1.303999999999999915e+01,1.766303395847254043e-01
1.306000000000000050e+01,5.008797853181533831e-03
1.308000000000000007e+01,6.040838897344034952e-02
1.309999999999999964e+01,-2.600229188364059849e-02
1.312000000000000099e+01,1.040202376155281438e-01
1.314000000000000057e+01,2.169669459709664683e-01
1.316000000000000014e+01,-6.559289131103430981e-02
1.317999999999999972e+01,4.055972024846715707e-01
1.319999999999999929e+01,-4.595650161218384731e-03
1.322000000000000064e+01,7.910488005734708783e-02
1.324000000000000021e+01,2.123278508541832366e-01
1.325999999999999979e+01,3.056766128890271994e-01
1.328000000000000114e+01,8.001013144893036333e-03
1.330000000000000071e+01,3.214965831892464543e-01
1.332000000000000028e+01,8.340989944013502133e-02
1.333999999999999986e+01,-8.298948472499182577e-03
1.335999999999999943e+01,-1.327119771409716320e-01
1.337999999999999901e+01,1.585800898348255434e-03
1.340000000000000036e+01,5.789764434922367586e-02
1.341999999999999993e+01,9.035491546529236806e-02
1.343999999999999950e+01,2.232054018580593435e-01
1.346000000000000085e+01,1.421412452682747074e-01
1.348000000000000043e+01,1.746323301235787329e-01
1.350000000000000000e+01,6.755383796047087497e-02
1.351999999999999957e+01,-1.083781463671129458e-01
1.353999999999999915e+01,8.190069940690189454e-02
1.356000000000000050e+01,1.697905970331228254e-01
