# 2Theta,Intensity
1.000000000000000000e+01,1.506249627499965382e-01
1.001999999999999957e+01,6.675700343646980006e-02
1.003999999999999915e+01,8.470732213023557042e-03
1.006000000000000050e+01,2.124827347410040632e-02
1.008000000000000007e+01,1.929329507283266965e-01
1.009999999999999964e+01,2.889058794418419493e-02
1.011999999999999922e+01,1.709477216640615527e-01
1.014000000000000057e+01,-3.997244715602746822e-03
1.016000000000000014e+01,3.227972803086830433e-01
1.017999999999999972e+01,2.120798999799754780e-01
1.019999999999999929e+01,3.046781211834615616e-02
1.022000000000000064e+01,6.587709722940900126e-02
1.024000000000000021e+01,4.136186742185295889e-02
1.025999999999999979e+01,1.061869965853207282e-01
1.027999999999999936e+01,1.673554052824291483e-01
1.030000000000000071e+01,1.783582057735658144e-01
1.032000000000000028e+01,-7.358554880267247772e-03
1.033999999999999986e+01,-2.977943011104086310e-02
1.035999999999999943e+01,-8.404359017838715362e-02
1.038000000000000078e+01,1.285437788075876886e-01
1.040000000000000036e+01,2.639431861898715592e-01
1.041999999999999993e+01,2.070198406699212956e-01
1.043999999999999950e+01,5.738918930127821089e-02
1.046000000000000085e+01,4.393877134633257520e-02
1.048000000000000043e+01,2.157136250942571498e-01
1.050000000000000000e+01,5.380333891373764721e-02
1.051999999999999957e+01,-1.037179832479168335e-03
1.053999999999999915e+01,3.705918141594180537e-01
1.056000000000000050e+01,-5.586632992611306747e-02
1.058000000000000007e+01,9.703156416731863187e-02
1.059999999999999964e+01,7.023025239664758279e-02
1.061999999999999922e+01,1.801961834555028119e-01
1.064000000000000057e+01,-2.160463488914536878e-01
1.066000000000000014e+01,-5.504953323640951468e-02
1.067999999999999972e+01,1.065051744698995162e-01
1.069999999999999929e+01,1.285402004134234000e-01
1.072000000000000064e+01,2.865408990410560075e-01
1.074000000000000021e+01,7.519244946709995048e-02
1.075999999999999979e+01,1.836560017438316345e-02
1.077999999999999936e+01,1.202031162233168637e-01
1.080000000000000071e+01,7.207670260854756594e-02
1.082000000000000028e+01,1.992931114541630216e-02
1.083999999999999986e+01,2.130403994892911546e-01
1.085999999999999943e+01,3.023017146481888143e-02
1.088000000000000078e+01,1.926755068321601982e-01
1.090000000000000036e+01,4.115625582804337962e-02
1.091999999999999993e+01,2.135254974845139098e-01
1.093999999999999950e+01,1.567846465274804202e-01
1.096000000000000085e+01,-1.112219558995291950e-02
1.098000000000000043e+01,-2.495179382415103064e-01
1.100000000000000000e+01,-3.081551134880270923e-02
1.101999999999999957e+01,3.521166842492633176e-02
1.103999999999999915e+01,9.452359992130476840e-02
1.106000000000000050e+01,5.615658372359245282e-02
1.108000000000000007e+01,1.486242526585641321e-01
1.109999999999999964e+01,7.138290790229639970e-02
1.112000000000000099e+01,2.047174054667666721e-01
1.114000000000000057e+01,1.696621315409295172e-01
1.116000000000000014e+01,-5.544881869413622461e-02
1.117999999999999972e+01,1.046045114714151542e-01
1.119999999999999929e+01,-7.288239077995031789e-02
1.122000000000000064e+01,1.190001399613498795e-01
1.124000000000000021e+01,1.120366626806427041e-01
1.125999999999999979e+01,1.977712079812804780e-01
1.127999999999999936e+01,4.825850204326130599e-02
1.130000000000000071e+01,1.877414825294684564e-01
1.132000000000000028e+01,-4.234223359524809382e-02
1.133999999999999986e+01,9.301937865455808807e-02
1.135999999999999943e+01,3.189861201771183596e-01
1.138000000000000078e+01,1.961629782171881720e-01
1.140000000000000036e+01,2.836496662702362240e-02
1.141999999999999993e+01,2.708067306203248981e-01
1.143999999999999950e+01,-4.689506427145372081e-02
