# 2Theta,Intensity
1.000000000000000000e+01,-8.288599950235991942e-02
1.001999999999999957e+01,9.902382955254603047e-02
1.003999999999999915e+01,1.278338528971450505e-01
1.006000000000000050e+01,1.313309270808493689e-01
1.008000000000000007e+01,1.738646402073405484e-01
1.009999999999999964e+01,1.641676768033850098e-01
1.011999999999999922e+01,2.273868194590547009e-01
1.014000000000000057e+01,-2.246102346117171203e-02
1.016000000000000014e+01,1.006575350588111706e-01
1.017999999999999972e+01,4.926555053073655710e-02
1.019999999999999929e+01,9.634533955370380709e-02
1.022000000000000064e+01,3.249237565004525763e-01
1.024000000000000021e+01,1.357749828089441502e-01
1.025999999999999979e+01,2.216148218181373530e-01
1.027999999999999936e+01,-9.240868269975478777e-02
1.030000000000000071e+01,1.059103120211400129e-01
1.032000000000000028e+01,2.618543997488167463e-01
1.033999999999999986e+01,-1.124849317131268595e-01
1.035999999999999943e+01,2.256672539968069269e-01
1.038000000000000078e+01,-6.390228554771028302e-02
1.040000000000000036e+01,1.443751148599536627e-01
1.041999999999999993e+01,1.130044338993004688e-01
1.043999999999999950e+01,2.155080435916850445e-01
1.046000000000000085e+01,2.166599255173561056e-01
1.048000000000000043e+01,9.551102304409193888e-02
1.050000000000000000e+01,-5.485610402684489018e-02
1.051999999999999957e+01,3.148348607703138624e-01
1.053999999999999915e+01,3.504581194243355791e-01
1.056000000000000050e+01,9.508470485251785398e-02
1.058000000000000007e+01,1.071800934317359705e-01
1.059999999999999964e+01,1.978588253253688312e-01
1.061999999999999922e+01,2.034296223470318243e-01
1.064000000000000057e+01,-1.125630851905975310e-01
1.066000000000000014e+01,2.361419677593722954e-01
1.067999999999999972e+01,2.859161480803293909e-01
1.069999999999999929e+01,4.255034432998441168e-02
1.072000000000000064e+01,1.407165431189336124e-01
1.074000000000000021e+01,7.273751314833606929e-02
1.075999999999999979e+01,6.467014272780961803e-02
1.077999999999999936e+01,2.047316549750256010e-01
1.080000000000000071e+01,2.267903723089143286e-01
1.082000000000000028e+01,3.361315372458972273e-01
1.083999999999999986e+01,1.588791466689678245e-01
1.085999999999999943e+01,2.960482892271495969e-01
1.088000000000000078e+01,2.716327984400608297e-01
1.090000000000000036e+01,3.055803582542822028e-01
1.091999999999999993e+01,1.123653860293736262e-01
1.093999999999999950e+01,1.823097707317731242e-01
1.096000000000000085e+01,4.395303740931545966e-01
1.098000000000000043e+01,1.410127803924940137e-01
1.100000000000000000e+01,2.536676169850964335e-01
1.101999999999999957e+01,6.494560632777535147e-02
1.103999999999999915e+01,2.100252408268444559e-01
1.106000000000000050e+01,2.156352619546271221e-01
1.108000000000000007e+01,1.165127006774287627e-01
1.109999999999999964e+01,2.748639202915448276e-01
1.112000000000000099e+01,1.198105524220736823e-01
1.114000000000000057e+01,2.313826104928254634e-01
1.116000000000000014e+01,7.024850220052399064e-02
1.117999999999999972e+01,-8.497434703212772278e-02
1.119999999999999929e+01,2.990392639100839661e-02
1.122000000000000064e+01,2.908800957704455459e-01
1.124000000000000021e+01,2.665325128485474537e-01
1.125999999999999979e+01,3.887379991187760453e-01
1.127999999999999936e+01,1.858432253832490721e-01
1.130000000000000071e+01,3.380422531075555903e-01
1.132000000000000028e+01,2.338827041587625555e-01
1.133999999999999986e+01,7.437499842284935048e-02
1.135999999999999943e+01,4.280354584910868732e-01
1.138000000000000078e+01,3.109877944432566377e-01
1.140000000000000036e+01,4.872069001502028068e-02
1.141999999999999993e+01,2.745005673985078110e-01
1.143999999999999950e+01,4.350873569299752441e-01
1.146000000000000085e+01,2.786503263922373019e-01
1.148000000000000043e+01,2.227254223422887036e-01
1.150000000000000000e+01,2.071500231275913706e-01
1.151999999999999957e+01,3.686336949500096938e-01
1.153999999999999915e+01,5.536966977758356334e-01
1.156000000000000050e+01,3.936116545524777077e-01
1.158000000000000007e+01,6.289399554692973737e-01
1.159999999999999964e+01,7.279975981658634021e-01
1.162000000000000099e+01,7.315732674195858376e-01
1.164000000000000057e+01,8.779516307287755783e-01
1.166000000000000014e+01,1.016142767439655037e+00
1.167999999999999972e+01,1.134375435796419307e+00
1.169999999999999929e+01,1.796648943389288267e+00
1.172000000000000064e+01,3.333297789275641687e+00
1.174000000000000021e+01,8.875607842244354728e+00
1.175999999999999979e+01,2.950551152951529943e+01
1.177999999999999936e+01,6.006948315397664118e+01
1.180000000000000071e+01,7.033142471073865920e+01
1.182000000000000028e+01,4.566550129339578490e+01
1.183999999999999986e+01,1.640119798631321402e+01
1.185999999999999943e+01,4.910688797974901654e+00
1.188000000000000078e+01,2.142621116675019977e+00
1.190000000000000036e+01,1.593647878602499235e+00
1.191999999999999993e+01,9.572442183370275526e-01
1.193999999999999950e+01,8.082652535176763076e-01
1.196000000000000085e+01,7.529117210485913869e-01
1.198000000000000043e+01,5.384416155725261222e-01
1.200000000000000000e+01,6.453348368923697009e-01
1.201999999999999957e+01,5.776977341562639090e-01
1.203999999999999915e+01,4.274127999227299024e-01
1.206000000000000050e+01,7.205852250383527613e-01
1.208000000000000007e+01,5.913134499101190267e-01
1.209999999999999964e+01,5.938835660150836304e-01
1.212000000000000099e+01,5.013785439163088720e-01
1.214000000000000057e+01,6.360296139511977254e-01
1.216000000000000014e+01,1.715273690690241049e-01
1.217999999999999972e+01,4.257192971581374996e-01
1.219999999999999929e+01,5.323825112585151009e-01
1.222000000000000064e+01,2.324903678677048835e-01
1.224000000000000021e+01,4.952456065319099099e-01
1.225999999999999979e+01,6.521060609556429410e-01
1.228000000000000114e+01,6.295628975639357972e-01
1.230000000000000071e+01,7.848319380317639871e-01
1.232000000000000028e+01,9.365152896916953962e-01
1.233999999999999986e+01,1.260309875065100282e+00
1.235999999999999943e+01,1.101999238377893153e+00
1.237999999999999901e+01,1.232046439953472294e+00
1.240000000000000036e+01,2.292672606430612881e+00
1.241999999999999993e+01,2.935455061910629215e+00
1.243999999999999950e+01,6.180408424587394478e+00
1.246000000000000085e+01,2.055541183848683318e+01
1.248000000000000043e+01,5.418340428233088346e+01
1.250000000000000000e+01,1.000000000000000000e+02
1.251999999999999957e+01,9.574843956257291211e+01
1.253999999999999915e+01,5.334950037576141568e+01
1.256000000000000050e+01,1.726347518402581471e+01
1.258000000000000007e+01,5.094587799348708756e+00
1.259999999999999964e+01,2.741889084548996269e+00
1.262000000000000099e+01,1.863558913580724230e+00
1.264000000000000057e+01,1.377406999898304729e+00
1.266000000000000014e+01,1.155169779270851738e+00
1.267999999999999972e+01,9.459719202516169156e-01
1.269999999999999929e+01,6.878376454118600991e-01
1.272000000000000064e+01,6.344692226040943295e-01
1.274000000000000021e+01,8.069753817793959838e-01
1.275999999999999979e+01,4.469639875013483588e-01
1.278000000000000114e+01,6.139213473995349668e-01
1.280000000000000071e+01,5.308853660766646998e-01
1.282000000000000028e+01,4.470312824076204672e-01
1.283999999999999986e+01,1.833020036500671301e-01
1.285999999999999943e+01,2.029400984179812462e-01
1.287999999999999901e+01,3.751525737961811657e-01
1.290000000000000036e+01,2.608534197967877777e-01
1.291999999999999993e+01,3.138131770044732538e-01
1.293999999999999950e+01,4.336925957547194677e-01
1.296000000000000085e+01,3.209071216358176382e-01
1.298000000000000043e+01,3.215151284544784938e-01
1.300000000000000000e+01,1.604733829926989763e-01
1.301999999999999957e+01,1.252356489199800971e-01
1.303999999999999915e+01,2.302577694664951491e-01
1.306000000000000050e+01,1.443221243929723174e-01
1.308000000000000007e+01,5.324476997569288494e-01
1.309999999999999964e+01,1.747788208431234613e-01
1.312000000000000099e+01,3.375197916212867577e-01
1.314000000000000057e+01,3.279322002315944173e-01
1.316000000000000014e+01,5.209236276182233061e-01
1.317999999999999972e+01,5.986123202963342660e-01
1.319999999999999929e+01,3.409374140643440243e-01
1.322000000000000064e+01,3.071025420403175610e-01
1.324000000000000021e+01,3.175847424279333864e-01
1.325999999999999979e+01,1.675564800136443433e-01
1.328000000000000114e+01,1.330997827923297294e-01
1.330000000000000071e+01,2.623243927127957842e-01
1.332000000000000028e+01,2.465423380588862845e-01
1.333999999999999986e+01,1.381611290373873369e-01
1.335999999999999943e+01,3.011849816844415773e-01
1.337999999999999901e+01,2.724326625356846554e-01
1.340000000000000036e+01,5.202410258707959034e-01
1.341999999999999993e+01,2.436551093649229893e-01
1.343999999999999950e+01,4.967805167824201340e-01
1.346000000000000085e+01,5.101360494537632295e-01
1.348000000000000043e+01,3.791625395144413990e-01
1.350000000000000000e+01,4.470097912173563448e-01
1.351999999999999957e+01,2.934577835511500421e-01
1.353999999999999915e+01,5.926244384898293749e-01
1.356000000000000050e+01,1.004170209062974051e+00
1.358000000000000007e+01,1.191664118379894610e+00
1.359999999999999964e+01,1.279307776834708976e+00
1.362000000000000099e+01,2.424386610391366048e+00
1.364000000000000057e+01,3.728859453246335054e+00
1.366000000000000014e+01,1.165607962657900387e+01
1.367999999999999972e+01,3.365503823834254860e+01
1.369999999999999929e+01,6.700606399727489304e+01
