# 2Theta,Intensity
1.000000000000000000e+01,6.407232829098324922e-01
1.001999999999999957e+01,1.202968454794221209e+00
1.003999999999999915e+01,3.867310693203945160e+00
1.006000000000000050e+01,1.099238827800737184e+01
1.008000000000000007e+01,1.847134240922582293e+01
1.009999999999999964e+01,1.601940594921113004e+01
1.011999999999999922e+01,7.803036978158639059e+00
1.014000000000000057e+01,2.365475510335167009e+00
1.016000000000000014e+01,7.874360241538387317e-01
1.017999999999999972e+01,5.578724161769286205e-01
1.019999999999999929e+01,5.639847125814854145e-01
1.022000000000000064e+01,2.683616264491242576e-01
1.024000000000000021e+01,1.229546054484118994e-01
1.025999999999999979e+01,5.821952073485806706e-02
1.027999999999999936e+01,2.379619372747970862e-01
1.030000000000000071e+01,1.725667794914671482e-01
1.032000000000000028e+01,6.148769447844433522e-02
1.033999999999999986e+01,1.929175380800897954e-01
1.035999999999999943e+01,2.407002140559279524e-01
1.038000000000000078e+01,2.721595009150514777e-01
1.040000000000000036e+01,2.696030491273124774e-01
1.041999999999999993e+01,7.783067364070238303e-02
1.043999999999999950e+01,1.676540268129119715e-01
1.046000000000000085e+01,6.668884467094235435e-02
1.048000000000000043e+01,1.002143908731190636e-01
1.050000000000000000e+01,4.029763089061486059e-02
1.051999999999999957e+01,3.177775150963932926e-01
1.053999999999999915e+01,1.135524374601351444e-01
1.056000000000000050e+01,1.294881604900992855e-01
1.058000000000000007e+01,-3.221495968087564887e-02
1.059999999999999964e+01,1.901264555762851305e-01
1.061999999999999922e+01,6.792460520479047525e-02
1.064000000000000057e+01,2.788847867637107569e-01
1.066000000000000014e+01,7.119698581284099326e-02
1.067999999999999972e+01,-6.977697633668235311e-02
1.069999999999999929e+01,2.246691323232680448e-01
1.072000000000000064e+01,2.173034307058831771e-01
1.074000000000000021e+01,2.201584520074160167e-01
1.075999999999999979e+01,1.699149106698745471e-01
1.077999999999999936e+01,1.943063465057812689e-01
1.080000000000000071e+01,7.740589871384923049e-02
1.082000000000000028e+01,-4.645439145115973223e-02
1.083999999999999986e+01,2.308746195823276337e-01
1.085999999999999943e+01,1.992947800609641551e-01
1.088000000000000078e+01,2.552000807199193977e-01
1.090000000000000036e+01,1.672816145927539244e-01
1.091999999999999993e+01,1.362914990229183998e-01
1.093999999999999950e+01,3.097290565984985727e-02
1.096000000000000085e+01,3.881671977234095738e-01
1.098000000000000043e+01,2.201584075658760131e-01
1.100000000000000000e+01,2.540708750789012413e-02
1.101999999999999957e+01,1.617419905051024620e-01
1.103999999999999915e+01,3.525816051867585732e-01
1.106000000000000050e+01,3.561009249114176906e-02
1.108000000000000007e+01,5.976473188547163501e-02
1.109999999999999964e+01,2.465700825868875068e-01
1.112000000000000099e+01,3.051244254105401899e-01
1.114000000000000057e+01,1.191707207990973794e-01
1.116000000000000014e+01,1.561954133252438093e-01
1.117999999999999972e+01,-2.244914465306852708e-02
1.119999999999999929e+01,1.364942854393562943e-01
1.122000000000000064e+01,2.134192643797533651e-01
1.124000000000000021e+01,6.228421363528591909e-02
1.125999999999999979e+01,1.733043743134217995e-01
1.127999999999999936e+01,1.189849163623860479e-01
1.130000000000000071e+01,7.977554817758447658e-02
1.132000000000000028e+01,2.269452546589607704e-03
1.133999999999999986e+01,1.727512613639308955e-02
1.135999999999999943e+01,2.198819394491726975e-01
1.138000000000000078e+01,2.410509081929077257e-01
1.140000000000000036e+01,1.895580177228511076e-01
1.141999999999999993e+01,2.755457467527819282e-01
1.143999999999999950e+01,1.205189034438175349e-01
1.146000000000000085e+01,3.857709690423476445e-01
1.148000000000000043e+01,1.935282682143316946e-01
1.150000000000000000e+01,-2.521760257364577540e-01
1.151999999999999957e+01,8.244411754027493322e-02
1.153999999999999915e+01,1.190319819082344549e-01
1.156000000000000050e+01,-1.493237278666456787e-02
1.158000000000000007e+01,1.184600578859966447e-02
1.159999999999999964e+01,1.160661570770350343e-01
1.162000000000000099e+01,3.731848103384819565e-02
1.164000000000000057e+01,5.858778046512257837e-02
1.166000000000000014e+01,1.938767839454433872e-01
1.167999999999999972e+01,2.760415100026955559e-01
1.169999999999999929e+01,2.458817025888787033e-01
1.172000000000000064e+01,3.704522989986645531e-01
1.174000000000000021e+01,2.010143226217798174e-01
1.175999999999999979e+01,1.624112793988194692e-01
1.177999999999999936e+01,2.698534996601837932e-01
1.180000000000000071e+01,2.906421693584224641e-01
1.182000000000000028e+01,4.571167478309081690e-03
1.183999999999999986e+01,-6.610015253957329806e-02
1.185999999999999943e+01,1.214496150828579674e-01
1.188000000000000078e+01,2.199018548643290605e-01
1.190000000000000036e+01,2.886825504823659766e-02
1.191999999999999993e+01,1.285497797002057574e-01
1.193999999999999950e+01,2.847487131459828791e-01
1.196000000000000085e+01,2.291939097835620498e-01
1.198000000000000043e+01,4.056468058770407725e-01
1.200000000000000000e+01,1.836274291059714348e-01
1.201999999999999957e+01,-1.662724396839738343e-03
1.203999999999999915e+01,2.287331148244077794e-01
1.206000000000000050e+01,2.466008769245673360e-01
1.208000000000000007e+01,3.211324219467858176e-01
1.209999999999999964e+01,3.152842039722753009e-01
1.212000000000000099e+01,1.381978951797072086e-01
1.214000000000000057e+01,-9.520261983888811397e-02
1.216000000000000014e+01,4.145521887817599782e-01
1.217999999999999972e+01,3.226646059759094021e-01
1.219999999999999929e+01,6.758928720151983205e-01
1.222000000000000064e+01,6.113641573371377813e-01
1.224000000000000021e+01,4.857572594772997521e-01
1.225999999999999979e+01,3.348356502596135376e-01
1.228000000000000114e+01,7.042480429039135181e-01
1.230000000000000071e+01,8.193254035330045371e-01
1.232000000000000028e+01,7.796448541625672357e-01
1.233999999999999986e+01,1.270358228123457778e+00
1.235999999999999943e+01,1.540064060064803675e+00
1.237999999999999901e+01,2.966415316798309831e+00
1.240000000000000036e+01,7.559117497094774762e+00
1.241999999999999993e+01,2.585537429069351845e+01
1.243999999999999950e+01,6.135851679382844281e+01
1.246000000000000085e+01,9.225608413265759111e+01
1.248000000000000043e+01,7.075736096975293776e+01
1.250000000000000000e+01,3.189455170601483047e+01
1.251999999999999957e+01,9.332530653088163319e+00
1.253999999999999915e+01,3.397677576073165895e+00
1.256000000000000050e+01,2.302152128356751870e+00
1.258000000000000007e+01,1.764953230934535489e+00
1.259999999999999964e+01,1.410655971166446365e+00
1.262000000000000099e+01,6.560580413263824573e-01
1.264000000000000057e+01,5.051952848325957923e-01
1.266000000000000014e+01,5.081382243075305283e-01
1.267999999999999972e+01,5.586991861335740550e-01
1.269999999999999929e+01,3.608876225003609939e-01
1.272000000000000064e+01,4.868752989082965055e-01
1.274000000000000021e+01,2.827086628112372990e-01
1.275999999999999979e+01,1.376008882894191043e-01
1.278000000000000114e+01,2.539383137930055212e-01
1.280000000000000071e+01,2.932557100350231538e-01
1.282000000000000028e+01,-8.736754669997478726e-03
1.283999999999999986e+01,2.468603534692613843e-01
1.285999999999999943e+01,1.775629312812249394e-01
1.287999999999999901e+01,5.368754216583163652e-01
1.290000000000000036e+01,2.979352860089028998e-01
1.291999999999999993e+01,1.219584039305913747e-01
1.293999999999999950e+01,2.006175893749876163e-02
1.296000000000000085e+01,4.837987145414081036e-01
1.298000000000000043e+01,2.528340902315041050e-01
1.300000000000000000e+01,-4.713611541126075388e-02
1.301999999999999957e+01,1.926298004859076374e-01
1.303999999999999915e+01,1.860140176140284429e-01
1.306000000000000050e+01,1.582946594543343244e-01
1.308000000000000007e+01,9.022822718350416438e-02
1.309999999999999964e+01,1.787077511073049685e-01
1.312000000000000099e+01,6.779672068264777640e-02
1.314000000000000057e+01,1.630802726143071313e-01
1.316000000000000014e+01,1.746044455314130495e-01
1.317999999999999972e+01,1.504680726630698573e-01
1.319999999999999929e+01,1.230005564275019891e-01
1.322000000000000064e+01,6.504912879937665982e-02
1.324000000000000021e+01,3.412093710313276324e-02
1.325999999999999979e+01,1.229722499708869737e-01
1.328000000000000114e+01,4.281141012894047054e-02
1.330000000000000071e+01,1.362430637437914149e-01
1.332000000000000028e+01,1.275992858045593981e-01
1.333999999999999986e+01,-1.271947336410015825e-02
