# 2Theta,Intensity
1.000000000000000000e+01,8.388162142416712985e-01
1.001999999999999957e+01,6.439155477480679179e-01
1.003999999999999915e+01,5.777827820281952187e-01
1.006000000000000050e+01,5.088113577295197976e-01
1.008000000000000007e+01,5.857588071631262272e-01
1.009999999999999964e+01,4.812258584998261313e-01
1.011999999999999922e+01,5.414621950440466902e-01
1.014000000000000057e+01,3.303367815202903901e-01
1.016000000000000014e+01,4.608080199144996003e-01
1.017999999999999972e+01,6.439725474124284865e-01
1.019999999999999929e+01,7.549376623671830711e-01
1.022000000000000064e+01,5.785725624166874193e-01
1.024000000000000021e+01,5.690741596763285726e-01
1.025999999999999979e+01,3.761318102752197468e-01
1.027999999999999936e+01,2.584360985304029468e-01
1.030000000000000071e+01,4.325808422092119465e-01
1.032000000000000028e+01,4.559430993658890041e-01
1.033999999999999986e+01,5.181137575425104336e-01
1.035999999999999943e+01,5.694344726733298057e-01
1.038000000000000078e+01,7.760118016465622492e-01
1.040000000000000036e+01,6.499443954463558493e-01
1.041999999999999993e+01,6.257153547024636442e-01
1.043999999999999950e+01,5.176067838296960488e-01
1.046000000000000085e+01,6.249781291815394990e-01
1.048000000000000043e+01,4.884393396290348521e-01
1.050000000000000000e+01,4.094561409757587200e-01
1.051999999999999957e+01,4.865112236422770020e-01
1.053999999999999915e+01,6.091863182167277513e-01
1.056000000000000050e+01,6.831811154062473745e-01
1.058000000000000007e+01,7.687897324830114121e-01
1.059999999999999964e+01,7.757571229157469439e-01
1.061999999999999922e+01,5.411656653270136008e-01
1.064000000000000057e+01,5.941556129870265712e-01
1.066000000000000014e+01,5.142985347211888048e-01
1.067999999999999972e+01,3.915567619170999270e-01
1.069999999999999929e+01,9.277040995035009674e-01
1.072000000000000064e+01,7.816388477997133766e-01
1.074000000000000021e+01,6.226072107433763270e-01
1.075999999999999979e+01,3.774222504543676138e-01
1.077999999999999936e+01,2.598185022805364341e-01
1.080000000000000071e+01,9.555561231914977416e-01
1.082000000000000028e+01,4.951379309549833185e-01
1.083999999999999986e+01,5.419240240213081261e-01
1.085999999999999943e+01,4.986454763701024806e-01
1.088000000000000078e+01,4.640495760280056725e-01
1.090000000000000036e+01,4.912115347956302336e-01
1.091999999999999993e+01,3.020069519108125045e-01
1.093999999999999950e+01,5.547848257443197539e-01
1.096000000000000085e+01,2.921759101094125732e-01
1.098000000000000043e+01,3.804180171636525887e-01
1.100000000000000000e+01,5.115284557528330112e-01
1.101999999999999957e+01,4.479270598537475334e-01
1.103999999999999915e+01,6.654111818850728666e-01
1.106000000000000050e+01,4.618030269314771230e-01
1.108000000000000007e+01,5.436124909307959996e-01
1.109999999999999964e+01,8.124983324670866924e-01
1.112000000000000099e+01,4.167212586642533023e-01
1.114000000000000057e+01,8.722439817227277681e-01
1.116000000000000014e+01,3.690458155042065092e-01
1.117999999999999972e+01,6.978775389129564521e-01
1.119999999999999929e+01,4.819959290725702727e-01
1.122000000000000064e+01,5.772300370464915620e-01
1.124000000000000021e+01,6.961178552866932323e-01
1.125999999999999979e+01,6.625800658000329246e-01
1.127999999999999936e+01,5.542667850671066931e-01
1.130000000000000071e+01,6.708618130087733444e-01
1.132000000000000028e+01,5.342145236949888965e-01
1.133999999999999986e+01,6.573321866875269093e-01
1.135999999999999943e+01,8.297296360262961246e-01
1.138000000000000078e+01,4.144373226928308451e-01
1.140000000000000036e+01,7.149970114516729369e-01
1.141999999999999993e+01,4.315971976668681598e-01
1.143999999999999950e+01,6.847759443526532097e-01
1.146000000000000085e+01,3.653630317414334194e-01
1.148000000000000043e+01,5.044655843656190575e-01
1.150000000000000000e+01,6.142280131966959544e-01
1.151999999999999957e+01,5.862170560012185394e-01
1.153999999999999915e+01,5.122762628315195022e-01
1.156000000000000050e+01,9.129730268679966398e-01
1.158000000000000007e+01,4.597615630791902497e-01
1.159999999999999964e+01,4.411647128084889569e-01
1.162000000000000099e+01,7.002463711904000077e-01
1.164000000000000057e+01,6.746888335799972047e-01
1.166000000000000014e+01,5.509120228859767376e-01
1.167999999999999972e+01,6.105511602748951994e-01
1.169999999999999929e+01,4.012453253458734825e-01
1.172000000000000064e+01,7.065353852207850727e-01
1.174000000000000021e+01,6.610087972738847295e-01
1.175999999999999979e+01,3.941510729705243743e-01
1.177999999999999936e+01,5.286425680406950933e-01
1.180000000000000071e+01,6.244207796688161505e-01
1.182000000000000028e+01,6.939377270375778339e-01
1.183999999999999986e+01,5.119077112491892123e-01
1.185999999999999943e+01,4.054544036778402472e-01
1.188000000000000078e+01,4.777573653316898872e-01
1.190000000000000036e+01,5.052793466157595725e-01
1.191999999999999993e+01,3.860920257020430957e-01
1.193999999999999950e+01,5.741195022939672432e-01
1.196000000000000085e+01,8.025596955057670012e-01
1.198000000000000043e+01,3.146806019014937172e-01
1.200000000000000000e+01,8.255126064960195409e-01
1.201999999999999957e+01,6.217666480014893970e-01
1.203999999999999915e+01,7.458174335168898939e-01
1.206000000000000050e+01,4.751123807688918399e-01
1.208000000000000007e+01,7.866547140229794843e-01
1.209999999999999964e+01,7.440367473888260808e-01
1.212000000000000099e+01,5.758776596559084249e-01
1.214000000000000057e+01,4.765523604331881047e-01
1.216000000000000014e+01,5.190400540191700829e-01
1.217999999999999972e+01,5.872178994240181416e-01
1.219999999999999929e+01,6.141572739652765289e-01
1.222000000000000064e+01,6.402499010392340706e-01
1.224000000000000021e+01,6.679139262565146895e-01
1.225999999999999979e+01,4.092823341126790027e-01
1.228000000000000114e+01,5.822255773341200591e-01
1.230000000000000071e+01,6.314449691630754646e-01
1.232000000000000028e+01,3.183812509309331684e-01
1.233999999999999986e+01,7.135591255034821057e-01
1.235999999999999943e+01,5.034103855901905789e-01
1.237999999999999901e+01,4.605637903977541359e-01
1.240000000000000036e+01,4.513608351148830078e-01
1.241999999999999993e+01,3.366305900156129072e-01
1.243999999999999950e+01,5.330704385492195385e-01
1.246000000000000085e+01,3.819260832914128656e-01
1.248000000000000043e+01,6.395276580095153873e-01
1.250000000000000000e+01,5.962379789043068534e-01
1.251999999999999957e+01,7.065535305101360297e-01
1.253999999999999915e+01,7.741122533349708013e-01
1.256000000000000050e+01,9.697208365479190739e-01
1.258000000000000007e+01,6.382984906324298269e-01
1.259999999999999964e+01,6.633711290174290065e-01
1.262000000000000099e+01,5.273577343360457137e-01
1.264000000000000057e+01,4.136779583936985860e-01
1.266000000000000014e+01,5.480693482412216655e-01
1.267999999999999972e+01,5.479939348427242951e-01
1.269999999999999929e+01,4.977623215872611917e-01
1.272000000000000064e+01,3.854373534965461756e-01
1.274000000000000021e+01,5.991245889651659606e-01
1.275999999999999979e+01,5.218693285126433379e-01
1.278000000000000114e+01,6.232091366597827253e-01
1.280000000000000071e+01,4.270081142064386381e-01
1.282000000000000028e+01,7.013548224308232548e-01
1.283999999999999986e+01,4.749159102972043689e-01
1.285999999999999943e+01,3.641137129303939624e-01
1.287999999999999901e+01,4.919679488868976547e-01
1.290000000000000036e+01,5.824801796787755226e-01
1.291999999999999993e+01,7.013850966897139383e-01
1.293999999999999950e+01,5.965177241167803901e-01
1.296000000000000085e+01,3.801903195364230159e-01
1.298000000000000043e+01,8.102492546956000519e-01
1.300000000000000000e+01,6.981511017434763877e-01
1.301999999999999957e+01,5.798470425658993621e-01
1.303999999999999915e+01,7.181889664482267177e-01
1.306000000000000050e+01,3.780114034805491796e-01
1.308000000000000007e+01,7.334806767309652864e-01
1.309999999999999964e+01,8.021279902167370857e-01
1.312000000000000099e+01,3.884353283165989934e-01
1.314000000000000057e+01,5.365483267129150802e-01
1.316000000000000014e+01,7.314872848215654422e-01
1.317999999999999972e+01,4.263835324691853668e-01
1.319999999999999929e+01,5.264968412097063011e-01
1.322000000000000064e+01,5.750067086931028859e-01
1.324000000000000021e+01,5.696111022908342258e-01
1.325999999999999979e+01,6.359473257869190377e-01
1.328000000000000114e+01,6.608539111642096620e-01
1.330000000000000071e+01,7.307461361080727080e-01
1.332000000000000028e+01,4.065504312338373838e-01
1.333999999999999986e+01,5.463589244200564021e-01
1.335999999999999943e+01,5.561456419763024517e-01
1.337999999999999901e+01,5.652585499612313713e-01
1.340000000000000036e+01,5.931447755923191512e-01
1.341999999999999993e+01,5.916080168232943359e-01
1.343999999999999950e+01,7.189703668729102715e-01
1.346000000000000085e+01,9.634213982789747721e-01
1.348000000000000043e+01,5.367494924934083089e-01
1.350000000000000000e+01,5.789457579614719629e-01
1.351999999999999957e+01,8.242169034847112163e-01
1.353999999999999915e+01,6.272685699777716950e-01
1.356000000000000050e+01,5.419802431012119559e-01
1.358000000000000007e+01,6.071487615785780001e-01
1.359999999999999964e+01,1.414470141533705982e+00
1.362000000000000099e+01,1.003930213635183311e+00
1.364000000000000057e+01,1.010087145204532799e+00
1.366000000000000014e+01,1.462181746386066239e+00
1.367999999999999972e+01,2.126890083534302534e+00
1.369999999999999929e+01,5.218135620182509982e+00
1.372000000000000064e+01,1.408223046219516661e+01
1.374000000000000021e+01,3.140297337635740860e+01
1.375999999999999979e+01,4.115380888692220651e+01
1.378000000000000114e+01,2.900353122659067751e+01
1.380000000000000071e+01,1.225909949507479446e+01
1.382000000000000028e+01,4.591054482156371463e+00
1.383999999999999986e+01,2.064529510640868093e+00
1.385999999999999943e+01,1.309981506077194879e+00
1.387999999999999901e+01,1.166501114604240552e+00
1.390000000000000036e+01,1.109096660112768973e+00
1.391999999999999993e+01,8.203857389577436932e-01
1.393999999999999950e+01,9.283243751830358992e-01
1.396000000000000085e+01,5.186799970754767397e-01
1.398000000000000043e+01,3.234015026386549696e-01
1.400000000000000000e+01,1.049910256091172389e+00
1.401999999999999957e+01,5.582623035178402304e-01
1.403999999999999915e+01,7.341327392816975328e-01
1.406000000000000050e+01,7.192885599717065981e-01
1.408000000000000007e+01,5.480237586746554701e-01
1.409999999999999964e+01,6.202441213814395837e-01
1.412000000000000099e+01,6.732393348676856126e-01
1.414000000000000057e+01,5.919850375250476082e-01
1.416000000000000014e+01,5.529761269009314528e-01
1.417999999999999972e+01,4.485826916368513828e-01
1.419999999999999929e+01,9.180147070444683033e-01
1.421999999999999886e+01,5.045694899963917290e-01
1.424000000000000021e+01,3.926530609438831365e-01
1.425999999999999979e+01,7.043636318533427199e-01
1.428000000000000114e+01,5.575781623044639979e-01
1.430000000000000071e+01,6.653411152639241433e-01
1.432000000000000028e+01,3.286222615349312925e-01
1.433999999999999986e+01,9.281766004846178086e-01
1.435999999999999943e+01,6.772575055889703544e-01
1.437999999999999901e+01,7.626496943246362514e-01
1.440000000000000036e+01,5.533738363551301553e-01
1.441999999999999993e+01,6.594618979040268725e-01
1.444000000000000128e+01,6.581182989072200673e-01
1.446000000000000085e+01,5.448779429652230721e-01
1.448000000000000043e+01,5.046157447627259707e-01
1.450000000000000000e+01,8.269183337001498879e-01
1.451999999999999957e+01,5.264813148466879200e-01
1.453999999999999915e+01,5.163433555353476034e-01
1.456000000000000050e+01,5.441685363646399098e-01
1.458000000000000007e+01,7.269102668506307596e-01
1.460000000000000142e+01,3.724955062787869697e-01
1.462000000000000099e+01,6.038845825589809202e-01
1.464000000000000057e+01,7.115589955935830435e-01
1.466000000000000014e+01,4.769870664662558268e-01
1.467999999999999972e+01,6.400855126191971056e-01
1.469999999999999929e+01,4.856831142203482110e-01
1.471999999999999886e+01,4.694232505640344999e-01
1.474000000000000021e+01,5.899214798671176263e-01
1.475999999999999979e+01,4.625912803991401590e-01
1.478000000000000114e+01,6.134874036505745254e-01
1.480000000000000071e+01,5.734501192200387454e-01
1.482000000000000028e+01,7.370740895215668331e-01
1.483999999999999986e+01,4.857714164299813397e-01
1.485999999999999943e+01,6.247536172444336788e-01
1.487999999999999901e+01,2.260501181064762943e-01
