# 2Theta,Intensity
1.000000000000000000e+01,6.076897259900667647e-01
1.001999999999999957e+01,7.382741924294158320e-01
1.003999999999999915e+01,4.715685899255137037e-01
1.006000000000000050e+01,6.569730278733872941e-01
1.008000000000000007e+01,4.649819472494183814e-01
1.009999999999999964e+01,4.953481326629495807e-01
1.011999999999999922e+01,4.004472779576597752e-01
1.014000000000000057e+01,4.957890773826219566e-01
1.016000000000000014e+01,7.404056414292738975e-01
1.017999999999999972e+01,4.954496192763190865e-01
1.019999999999999929e+01,6.153759961019520386e-01
1.022000000000000064e+01,4.937786192679642916e-01
1.024000000000000021e+01,5.483245538396690488e-01
1.025999999999999979e+01,5.675647869564400816e-01
1.027999999999999936e+01,3.122306926719845555e-01
1.030000000000000071e+01,7.088426868172124085e-01
1.032000000000000028e+01,5.853032932444327541e-01
1.033999999999999986e+01,6.658082830119677054e-01
1.035999999999999943e+01,5.151803884466682470e-01
1.038000000000000078e+01,3.968369711966602820e-01
1.040000000000000036e+01,5.638905545940887665e-01
1.041999999999999993e+01,6.048930329286944518e-01
1.043999999999999950e+01,8.342051353342758713e-01
1.046000000000000085e+01,4.175276196799370676e-01
1.048000000000000043e+01,5.467445926079184115e-01
1.050000000000000000e+01,4.751683167019782883e-01
1.051999999999999957e+01,4.542433522215572061e-01
1.053999999999999915e+01,5.646113824871598075e-01
1.056000000000000050e+01,5.843433477475679094e-01
1.058000000000000007e+01,4.042858144639737694e-01
1.059999999999999964e+01,7.447670801607033653e-01
1.061999999999999922e+01,4.357550280265128917e-01
1.064000000000000057e+01,5.993488476527972786e-01
1.066000000000000014e+01,7.208914438864162388e-01
1.067999999999999972e+01,5.152957176836718833e-01
1.069999999999999929e+01,6.072799742254498812e-01
1.072000000000000064e+01,6.658290317144648363e-01
1.074000000000000021e+01,4.340637755680896714e-01
1.075999999999999979e+01,5.182065661694369441e-01
1.077999999999999936e+01,6.101376144397662182e-01
1.080000000000000071e+01,7.983080067164940452e-01
1.082000000000000028e+01,7.939006459437994989e-01
1.083999999999999986e+01,3.590474374499103005e-01
1.085999999999999943e+01,4.188407081641582486e-01
1.088000000000000078e+01,7.634126226521287251e-01
1.090000000000000036e+01,8.133496183797682688e-01
1.091999999999999993e+01,7.035450865337441462e-01
1.093999999999999950e+01,7.702347990401260391e-01
1.096000000000000085e+01,5.251128244160211400e-01
1.098000000000000043e+01,5.989877478290828172e-01
1.100000000000000000e+01,4.003552894739931811e-01
1.101999999999999957e+01,4.871209355750332204e-01
1.103999999999999915e+01,4.176557802068768810e-01
1.106000000000000050e+01,6.567713278128025634e-01
1.108000000000000007e+01,4.903215930860594929e-01
1.109999999999999964e+01,5.288813605105086024e-01
1.112000000000000099e+01,4.253423879971450217e-01
1.114000000000000057e+01,5.371690623128049236e-01
1.116000000000000014e+01,5.357782238325620172e-01
1.117999999999999972e+01,5.262223829828824861e-01
1.119999999999999929e+01,6.555585548319342593e-01
1.122000000000000064e+01,6.850167586077063886e-01
1.124000000000000021e+01,8.232993902428481503e-01
1.125999999999999979e+01,7.015876561830192149e-01
1.127999999999999936e+01,4.271793359281434999e-01
1.130000000000000071e+01,6.666457336805999834e-01
1.132000000000000028e+01,4.284786733104212209e-01
1.133999999999999986e+01,5.185384757250520726e-01
1.135999999999999943e+01,4.032803596007027425e-01
1.138000000000000078e+01,3.829488709239616262e-01
1.140000000000000036e+01,7.296295270821905321e-01
1.141999999999999993e+01,6.083577184784946246e-01
1.143999999999999950e+01,3.660772123645165688e-01
1.146000000000000085e+01,5.220906587140019539e-01
1.148000000000000043e+01,4.225039087657814774e-01
1.150000000000000000e+01,3.377510118752724000e-01
1.151999999999999957e+01,5.266765041210269560e-01
1.153999999999999915e+01,4.743165514959733486e-01
1.156000000000000050e+01,4.990782973835371505e-01
1.158000000000000007e+01,7.002396611618315614e-01
1.159999999999999964e+01,5.686145184604213254e-01
1.162000000000000099e+01,8.088226029593201805e-01
1.164000000000000057e+01,4.599864983317659695e-01
1.166000000000000014e+01,5.286902875204396723e-01
1.167999999999999972e+01,6.454229732601788339e-01
1.169999999999999929e+01,5.293421951428595174e-01
1.172000000000000064e+01,5.681042843250068142e-01
1.174000000000000021e+01,5.258026570626268548e-01
1.175999999999999979e+01,4.963435612865129132e-01
1.177999999999999936e+01,2.498428216292166992e-01
1.180000000000000071e+01,5.845254351276323312e-01
1.182000000000000028e+01,5.488162195367809471e-01
1.183999999999999986e+01,8.372256191208720111e-01
1.185999999999999943e+01,7.621319914224788938e-01
1.188000000000000078e+01,5.801025527995493647e-01
1.190000000000000036e+01,5.522288090842987218e-01
1.191999999999999993e+01,5.303787551709241432e-01
1.193999999999999950e+01,6.861246856160417851e-01
1.196000000000000085e+01,4.759516779590756697e-01
1.198000000000000043e+01,6.275993948030301750e-01
1.200000000000000000e+01,8.636600868623507399e-01
1.201999999999999957e+01,6.570206266141603857e-01
1.203999999999999915e+01,7.764577432126196221e-01
1.206000000000000050e+01,5.622314471499700872e-01
1.208000000000000007e+01,4.349636187508809093e-01
1.209999999999999964e+01,9.326152861013273787e-01
1.212000000000000099e+01,6.971299760602733819e-01
1.214000000000000057e+01,6.443548210081752048e-01
1.216000000000000014e+01,4.464585185682149460e-01
1.217999999999999972e+01,6.137532644260706993e-01
1.219999999999999929e+01,5.893928662201748381e-01
1.222000000000000064e+01,7.618829124537432884e-01
1.224000000000000021e+01,5.705035045170543384e-01
1.225999999999999979e+01,4.636463910957269174e-01
1.228000000000000114e+01,4.664107924693174922e-01
1.230000000000000071e+01,5.883851837862076328e-01
1.232000000000000028e+01,3.408337320914101021e-01
1.233999999999999986e+01,5.761466372393051483e-01
1.235999999999999943e+01,7.305135037182483027e-01
1.237999999999999901e+01,5.366203123155882659e-01
1.240000000000000036e+01,7.303161835445438621e-01
1.241999999999999993e+01,6.006437366048162918e-01
1.243999999999999950e+01,4.994256818205667914e-01
1.246000000000000085e+01,6.653582645998799006e-01
