# 2Theta,Intensity
1.000000000000000000e+01,6.739223515039888257e-01
1.001999999999999957e+01,8.665303538139575990e-01
1.003999999999999915e+01,1.254470896043793804e+00
1.006000000000000050e+01,6.544041375199127764e-01
1.008000000000000007e+01,8.430511704028957887e-01
1.009999999999999964e+01,7.661170633629199589e-01
1.011999999999999922e+01,8.848092592368038689e-01
1.014000000000000057e+01,1.085466870864768119e+00
1.016000000000000014e+01,9.307618437759689334e-01
1.017999999999999972e+01,1.114224447601574797e+00
1.019999999999999929e+01,8.967636615258490762e-01
1.022000000000000064e+01,7.962320255842489924e-01
1.024000000000000021e+01,8.067821375505225268e-01
1.025999999999999979e+01,1.160754649094060564e+00
1.027999999999999936e+01,1.113035432603256325e+00
1.030000000000000071e+01,1.211420051518649066e+00
1.032000000000000028e+01,1.137046472632300187e+00
1.033999999999999986e+01,8.642463341916633013e-01
1.035999999999999943e+01,9.239760599654915918e-01
1.038000000000000078e+01,7.108715658774477086e-01
1.040000000000000036e+01,9.079673840239927962e-01
1.041999999999999993e+01,7.061472052495186835e-01
1.043999999999999950e+01,1.042771975490198733e+00
1.046000000000000085e+01,1.137352751872261925e+00
1.048000000000000043e+01,9.314619161774870815e-01
1.050000000000000000e+01,1.151236708418972299e+00
1.051999999999999957e+01,8.623730783169447633e-01
1.053999999999999915e+01,9.444419171816123004e-01
1.056000000000000050e+01,1.030307500855953684e+00
1.058000000000000007e+01,9.994964869035023458e-01
1.059999999999999964e+01,1.052328757427567929e+00
1.061999999999999922e+01,9.874658798357540679e-01
1.064000000000000057e+01,7.127477228973422285e-01
1.066000000000000014e+01,1.049147958151997573e+00
1.067999999999999972e+01,1.208587128657198750e+00
1.069999999999999929e+01,7.856540560933562567e-01
1.072000000000000064e+01,8.354552183304494450e-01
1.074000000000000021e+01,7.432032075987976549e-01
1.075999999999999979e+01,1.208077848608025695e+00
1.077999999999999936e+01,8.575622705197236684e-01
1.080000000000000071e+01,9.039469931893708843e-01
1.082000000000000028e+01,9.418245471471784480e-01
1.083999999999999986e+01,9.391146301162386356e-01
