# 2Theta,Intensity
1.000000000000000000e+01,4.504122363247928251e-02
1.001999999999999957e+01,1.216600711167629550e-01
1.003999999999999915e+01,-3.835299750826446502e-02
1.006000000000000050e+01,1.887986249518873449e-01
1.008000000000000007e+01,-1.416803599626265675e-01
1.009999999999999964e+01,1.412093495622297468e-01
1.011999999999999922e+01,7.124566401214270372e-02
1.014000000000000057e+01,-3.506453051586055220e-02
1.016000000000000014e+01,-4.650504336513664599e-02
1.017999999999999972e+01,-4.465373410008958294e-02
1.019999999999999929e+01,-4.347136391055424903e-02
1.022000000000000064e+01,-1.577039644291725745e-02
1.024000000000000021e+01,-4.523362728670781568e-02
1.025999999999999979e+01,9.992330975446951646e-02
1.027999999999999936e+01,-1.489198876367310055e-02
1.030000000000000071e+01,1.348018973307197610e-01
1.032000000000000028e+01,5.100564859065567086e-02
1.033999999999999986e+01,2.804063912467493203e-01
1.035999999999999943e+01,4.539663504323288024e-02
1.038000000000000078e+01,3.800453468828657311e-02
1.040000000000000036e+01,7.782780488977286693e-02
1.041999999999999993e+01,5.315867170237077027e-02
1.043999999999999950e+01,6.450717694971398741e-02
1.046000000000000085e+01,-3.028976128953641406e-02
1.048000000000000043e+01,-2.620892950304202218e-01
1.050000000000000000e+01,7.845562315096710204e-02
1.051999999999999957e+01,2.437100827619958707e-02
1.053999999999999915e+01,-1.033240235573276988e-01
1.056000000000000050e+01,2.233182143113958962e-01
1.058000000000000007e+01,-4.123175614947707790e-02
1.059999999999999964e+01,-7.588346664203129976e-02
1.061999999999999922e+01,1.129579161483007521e-02
1.064000000000000057e+01,7.061986375240060509e-02
1.066000000000000014e+01,1.115186725651544086e-01
1.067999999999999972e+01,-1.513960284229383391e-01
1.069999999999999929e+01,-7.574101919974014774e-02
1.072000000000000064e+01,1.359007407705129788e-01
1.074000000000000021e+01,1.587693376433217396e-01
1.075999999999999979e+01,1.689777689895327895e-01
1.077999999999999936e+01,-1.377503705210980298e-02
1.080000000000000071e+01,-1.947837468997239141e-01
1.082000000000000028e+01,-2.945792205638752062e-02
1.083999999999999986e+01,1.155081001602340923e-01
1.085999999999999943e+01,-1.530978014987535163e-01
1.088000000000000078e+01,-3.450446478199879763e-02
1.090000000000000036e+01,-4.898239217857931066e-02
1.091999999999999993e+01,1.421736860142819477e-02
1.093999999999999950e+01,-1.098651535487054909e-01
1.096000000000000085e+01,-5.319668246708210424e-02
1.098000000000000043e+01,1.553866236321058136e-01
1.100000000000000000e+01,-1.133662885238069656e-01
1.101999999999999957e+01,-1.847708195617256063e-02
1.103999999999999915e+01,-2.575347195965095246e-02
1.106000000000000050e+01,6.189684626333766954e-02
1.108000000000000007e+01,-3.765001939026677014e-02
1.109999999999999964e+01,-6.019033604488766009e-02
1.112000000000000099e+01,1.659998330507827689e-03
1.114000000000000057e+01,1.427168174777290743e-01
1.116000000000000014e+01,2.051021659237043382e-01
1.117999999999999972e+01,-1.587440468430369733e-01
1.119999999999999929e+01,1.767866058300452542e-02
1.122000000000000064e+01,-4.047249721826715052e-02
1.124000000000000021e+01,-1.281288838655569168e-02
1.125999999999999979e+01,-3.631779003975926096e-02
1.127999999999999936e+01,3.596754138803983092e-01
1.130000000000000071e+01,-1.268983487709582081e-01
1.132000000000000028e+01,2.681142471885528469e-02
1.133999999999999986e+01,-8.176920224545550231e-02
1.135999999999999943e+01,3.697954242211252268e-02
1.138000000000000078e+01,1.227683731132525463e-01
1.140000000000000036e+01,4.141989652283810386e-02
1.141999999999999993e+01,7.007662912589486190e-03
1.143999999999999950e+01,3.056456650322293411e-01
1.146000000000000085e+01,7.629377722424713903e-01
1.148000000000000043e+01,5.988686157738706273e-01
1.150000000000000000e+01,1.664080703824444007e-01
1.151999999999999957e+01,-1.237479137321682160e-01
1.153999999999999915e+01,1.093412027722505259e-01
1.156000000000000050e+01,9.640822283029659712e-02
1.158000000000000007e+01,1.132949195737152914e-01
1.159999999999999964e+01,7.754559823779057226e-02
1.162000000000000099e+01,-1.013038322340538561e-01
1.164000000000000057e+01,5.404459778191156999e-02
1.166000000000000014e+01,2.014229104207353460e-01
1.167999999999999972e+01,4.573646214502379188e-03
1.169999999999999929e+01,1.805691412125320361e-01
1.172000000000000064e+01,8.482713433556775262e-02
1.174000000000000021e+01,-1.201236450651523291e-01
1.175999999999999979e+01,5.682749870928792413e-02
1.177999999999999936e+01,-1.907756887786174749e-01
1.180000000000000071e+01,5.057426649283303793e-02
1.182000000000000028e+01,-5.090147229517933032e-03
1.183999999999999986e+01,1.344851456038067272e-01
1.185999999999999943e+01,-4.839150732903544500e-02
1.188000000000000078e+01,-1.963922213594265428e-02
1.190000000000000036e+01,-1.705462085889039026e-01
1.191999999999999993e+01,9.455918817235536844e-02
1.193999999999999950e+01,-4.833106891102990910e-02
1.196000000000000085e+01,9.750811220588083417e-02
1.198000000000000043e+01,-1.300761876061791444e-01
1.200000000000000000e+01,7.267436695231478672e-02
1.201999999999999957e+01,-4.203983493763366677e-03
1.203999999999999915e+01,1.730402979373988140e-02
1.206000000000000050e+01,2.952476084762306607e-01
1.208000000000000007e+01,5.278532600222318044e-02
1.209999999999999964e+01,-7.026414848228304359e-03
1.212000000000000099e+01,-1.268517085180115578e-01
1.214000000000000057e+01,6.116693028794295550e-02
1.216000000000000014e+01,5.597370566769458572e-02
