# 2Theta,Intensity
1.000000000000000000e+01,2.865104000122231653e-01
1.001999999999999957e+01,2.341655497393551888e-01
1.003999999999999915e+01,1.163270156581256293e-01
1.006000000000000050e+01,1.061663345058629915e-01
1.008000000000000007e+01,2.439688006477072069e-01
1.009999999999999964e+01,5.458873109789479788e-02
1.011999999999999922e+01,2.618475979595800696e-01
1.014000000000000057e+01,3.096726491876046483e-02
1.016000000000000014e+01,-6.662148368623221906e-02
1.017999999999999972e+01,-6.362480151183221022e-02
1.019999999999999929e+01,1.772009543580456703e-01
1.022000000000000064e+01,1.072669310691609368e-01
1.024000000000000021e+01,-5.677299254919518368e-02
1.025999999999999979e+01,1.203754960063397328e-01
1.027999999999999936e+01,1.563487968625360269e-01
1.030000000000000071e+01,-8.931491703623477274e-02
1.032000000000000028e+01,5.204881305166928797e-03
1.033999999999999986e+01,8.268457118431696284e-02
1.035999999999999943e+01,6.385455987998182870e-02
1.038000000000000078e+01,5.688296522076723150e-02
1.040000000000000036e+01,1.415778949582344459e-01
1.041999999999999993e+01,-2.168786224692292181e-02
1.043999999999999950e+01,2.365227193574104270e-02
1.046000000000000085e+01,5.741003430462615631e-02
1.048000000000000043e+01,1.348883227487629455e-01
1.050000000000000000e+01,5.059218451851239112e-02
1.051999999999999957e+01,-1.022668900895747773e-01
1.053999999999999915e+01,1.734483006817675310e-01
1.056000000000000050e+01,2.144881953768824345e-01
1.058000000000000007e+01,1.601590462440145579e-01
1.059999999999999964e+01,1.275946160437431698e-01
1.061999999999999922e+01,1.257263974726780253e-01
1.064000000000000057e+01,-1.297168645639990708e-02
1.066000000000000014e+01,3.613312880849763875e-01
1.067999999999999972e+01,1.846342450779232813e-01
1.069999999999999929e+01,2.412584966848516643e-01
1.072000000000000064e+01,2.837355148638064928e-01
1.074000000000000021e+01,8.889844143734723647e-02
1.075999999999999979e+01,1.326610367953754144e-01
1.077999999999999936e+01,1.506417774210687399e-01
1.080000000000000071e+01,1.867007761316394066e-01
1.082000000000000028e+01,-8.767614189710924710e-02
1.083999999999999986e+01,-7.974785978345015972e-03
1.085999999999999943e+01,1.903835578515300844e-02
1.088000000000000078e+01,1.231261542270441905e-01
1.090000000000000036e+01,6.362883055536047716e-02
1.091999999999999993e+01,9.315719329809191152e-02
1.093999999999999950e+01,9.472715503693991679e-02
1.096000000000000085e+01,5.586861685660561572e-02
1.098000000000000043e+01,2.724079889969983626e-01
1.100000000000000000e+01,3.402769942431113637e-02
1.101999999999999957e+01,6.629972196981467891e-02
1.103999999999999915e+01,2.340729650005373141e-01
1.106000000000000050e+01,2.660611554428166659e-01
1.108000000000000007e+01,1.358977699697072883e-01
1.109999999999999964e+01,2.434766565650436365e-01
1.112000000000000099e+01,1.473691575356721184e-01
1.114000000000000057e+01,-1.723494388546570333e-01
