# 2Theta,Intensity
1.000000000000000000e+01,4.201883002732312633e+00
1.001999999999999957e+01,4.321778471167185387e+00
1.003999999999999915e+01,4.153487609376314893e+00
1.006000000000000050e+01,4.813893460509094169e+00
1.008000000000000007e+01,3.721275810662997507e+00
1.009999999999999964e+01,4.097936693030571398e+00
1.011999999999999922e+01,4.509434429718598203e+00
1.014000000000000057e+01,4.302010427559030070e+00
1.016000000000000014e+01,4.071758132977986833e+00
1.017999999999999972e+01,4.038748208518221361e+00
1.019999999999999929e+01,3.956277023966767725e+00
1.022000000000000064e+01,3.698928130000563641e+00
1.024000000000000021e+01,3.833054232723582366e+00
1.025999999999999979e+01,3.810515043981146377e+00
1.027999999999999936e+01,3.994948743411842251e+00
1.030000000000000071e+01,4.242383281061918865e+00
1.032000000000000028e+01,4.102379000266432207e+00
1.033999999999999986e+01,4.020011397949987852e+00
1.035999999999999943e+01,4.820935987969276582e+00
1.038000000000000078e+01,3.797092908509139164e+00
1.040000000000000036e+01,4.302492244480053962e+00
1.041999999999999993e+01,4.883865776993953745e+00
1.043999999999999950e+01,4.658642463152467883e+00
1.046000000000000085e+01,3.695816876843212917e+00
1.048000000000000043e+01,4.711132680354319646e+00
1.050000000000000000e+01,4.155568214577286312e+00
1.051999999999999957e+01,4.478645386323910849e+00
1.053999999999999915e+01,4.588955326447551997e+00
1.056000000000000050e+01,3.860013841601665607e+00
1.058000000000000007e+01,3.795230330243398065e+00
1.059999999999999964e+01,3.939053995893910365e+00
1.061999999999999922e+01,4.472585704863603517e+00
1.064000000000000057e+01,4.201943324768726562e+00
1.066000000000000014e+01,4.605400087013303612e+00
1.067999999999999972e+01,4.119331804685244514e+00
1.069999999999999929e+01,4.078074267172542733e+00
1.072000000000000064e+01,3.881930747211081112e+00
1.074000000000000021e+01,3.978968982560056489e+00
1.075999999999999979e+01,3.755630164762345569e+00
1.077999999999999936e+01,4.306316969971432762e+00
1.080000000000000071e+01,4.041209584708862934e+00
1.082000000000000028e+01,4.833450875889695908e+00
1.083999999999999986e+01,4.002811386200371579e+00
1.085999999999999943e+01,4.184316638654526521e+00
1.088000000000000078e+01,3.994845350639319115e+00
1.090000000000000036e+01,3.955847464164900629e+00
1.091999999999999993e+01,3.897864542200472293e+00
1.093999999999999950e+01,3.845160361824912609e+00
1.096000000000000085e+01,4.083833266887110014e+00
1.098000000000000043e+01,4.422309212243678012e+00
1.100000000000000000e+01,4.447929915639075027e+00
1.101999999999999957e+01,4.150995970140133551e+00
1.103999999999999915e+01,3.753977905265329262e+00
1.106000000000000050e+01,4.109350100232793679e+00
1.108000000000000007e+01,4.263772847548435330e+00
1.109999999999999964e+01,4.144449070876348173e+00
1.112000000000000099e+01,3.760385646538236148e+00
1.114000000000000057e+01,3.813289291609975429e+00
1.116000000000000014e+01,3.850921266937895382e+00
1.117999999999999972e+01,4.663909861905443321e+00
1.119999999999999929e+01,3.919061403194148863e+00
1.122000000000000064e+01,3.908155887431774556e+00
1.124000000000000021e+01,3.708876289958244143e+00
1.125999999999999979e+01,4.828585454528633747e+00
1.127999999999999936e+01,3.944294554031364086e+00
