# 2Theta,Intensity
1.000000000000000000e+01,5.716517934357256969e+00
1.001999999999999957e+01,5.269351124737900349e+00
1.003999999999999915e+01,5.950792871986791965e+00
1.006000000000000050e+01,5.401650067409728528e+00
1.008000000000000007e+01,5.838515831599700334e+00
1.009999999999999964e+01,5.402702493686236451e+00
1.011999999999999922e+01,5.239288384225003981e+00
1.014000000000000057e+01,5.642198525732188941e+00
1.016000000000000014e+01,5.849501218784749490e+00
1.017999999999999972e+01,5.642661085630042983e+00
1.019999999999999929e+01,5.609742944582847279e+00
1.022000000000000064e+01,5.614905963571913183e+00
1.024000000000000021e+01,5.836360876601299097e+00
1.025999999999999979e+01,6.275589249227592425e+00
1.027999999999999936e+01,5.370377014127653226e+00
1.030000000000000071e+01,5.464869350980824159e+00
1.032000000000000028e+01,5.550890902337694222e+00
1.033999999999999986e+01,5.601756127076983560e+00
1.035999999999999943e+01,5.615114750704821134e+00
1.038000000000000078e+01,6.245320734652973549e+00
1.040000000000000036e+01,5.729154344177573854e+00
1.041999999999999993e+01,5.142457817690675448e+00
1.043999999999999950e+01,5.293455460445482430e+00
1.046000000000000085e+01,4.981697999431810686e+00
1.048000000000000043e+01,5.713710446256039077e+00
1.050000000000000000e+01,5.627245244881748931e+00
1.051999999999999957e+01,5.914298702948647346e+00
1.053999999999999915e+01,5.770638254518926757e+00
1.056000000000000050e+01,5.791377564396746003e+00
1.058000000000000007e+01,5.896042598972509374e+00
1.059999999999999964e+01,6.057323565360926310e+00
1.061999999999999922e+01,5.461018815550727545e+00
1.064000000000000057e+01,5.699782038307514398e+00
1.066000000000000014e+01,5.626468655696650778e+00
1.067999999999999972e+01,5.617147659893568346e+00
1.069999999999999929e+01,5.344290343015765110e+00
1.072000000000000064e+01,5.227834632975223883e+00
1.074000000000000021e+01,5.217844294678188000e+00
1.075999999999999979e+01,5.429560167312575736e+00
1.077999999999999936e+01,5.252335909268393443e+00
1.080000000000000071e+01,5.228376128598913652e+00
1.082000000000000028e+01,5.527328566421578770e+00
1.083999999999999986e+01,6.004843663932425635e+00
1.085999999999999943e+01,5.126365140967735101e+00
1.088000000000000078e+01,5.833996860215067137e+00
1.090000000000000036e+01,5.231277114081455792e+00
1.091999999999999993e+01,5.266718086846731595e+00
1.093999999999999950e+01,5.290784973222153020e+00
1.096000000000000085e+01,5.602667731432943832e+00
1.098000000000000043e+01,5.798085022589527959e+00
1.100000000000000000e+01,5.922081549937885825e+00
1.101999999999999957e+01,6.187527919742823457e+00
1.103999999999999915e+01,5.351248157861303589e+00
1.106000000000000050e+01,5.680247160586294086e+00
1.108000000000000007e+01,5.599964095532891761e+00
1.109999999999999964e+01,5.253541486915557890e+00
