# 2Theta,Intensity
1.000000000000000000e+01,1.947023541411102843e-01
1.001999999999999957e+01,-6.809542162279970737e-03
1.003999999999999915e+01,7.508044931041284176e-02
1.006000000000000050e+01,1.255758368018191629e-01
1.008000000000000007e+01,1.851726146714702259e-01
1.009999999999999964e+01,7.573485517683109514e-02
1.011999999999999922e+01,2.204369314390478840e-01
1.014000000000000057e+01,1.486812118356761470e-01
1.016000000000000014e+01,-6.238515684995132177e-02
1.017999999999999972e+01,2.615132791351969521e-01
1.019999999999999929e+01,1.573727199429179324e-01
1.022000000000000064e+01,8.572361604561573589e-02
1.024000000000000021e+01,1.397554106244360272e-01
1.025999999999999979e+01,2.807128068565661883e-01
1.027999999999999936e+01,7.155441446915045134e-02
1.030000000000000071e+01,3.419081228102218567e-02
1.032000000000000028e+01,9.964922034437116716e-02
1.033999999999999986e+01,6.454503289168847524e-02
1.035999999999999943e+01,6.417402471966698885e-02
1.038000000000000078e+01,-9.649170035079883412e-02
1.040000000000000036e+01,1.162833958527187961e-01
1.041999999999999993e+01,1.185260494835712192e-01
1.043999999999999950e+01,1.974865465848509374e-02
1.046000000000000085e+01,2.043042800175532414e-01
1.048000000000000043e+01,7.719884686554830122e-03
1.050000000000000000e+01,6.194974528723678348e-02
1.051999999999999957e+01,3.155026539196816721e-02
1.053999999999999915e+01,3.080549174934634760e-01
1.056000000000000050e+01,-3.069755397262966673e-02
1.058000000000000007e+01,2.032366816593758063e-01
1.059999999999999964e+01,1.323741409966721072e-01
1.061999999999999922e+01,2.075291907375525768e-01
1.064000000000000057e+01,-6.526669211629414213e-02
1.066000000000000014e+01,-7.497990282040913057e-02
1.067999999999999972e+01,2.411322505362115953e-01
1.069999999999999929e+01,-3.236346664872538637e-02
1.072000000000000064e+01,1.652886879346503468e-01
1.074000000000000021e+01,1.129161304961125017e-01
1.075999999999999979e+01,3.115589028130838836e-02
1.077999999999999936e+01,2.491146580838748403e-01
1.080000000000000071e+01,1.765872336433544909e-01
1.082000000000000028e+01,1.481482560995799891e-01
1.083999999999999986e+01,7.715394063473247910e-02
1.085999999999999943e+01,1.051191352056223965e-01
1.088000000000000078e+01,5.357817685403829661e-02
1.090000000000000036e+01,5.779423102626939091e-02
1.091999999999999993e+01,1.584672975062063061e-01
1.093999999999999950e+01,1.851064019326917887e-01
1.096000000000000085e+01,3.842473610739862572e-02
1.098000000000000043e+01,4.105791242319980355e-02
1.100000000000000000e+01,-2.199765347493776724e-01
1.101999999999999957e+01,1.324828050690282366e-01
1.103999999999999915e+01,1.499748937753860312e-01
1.106000000000000050e+01,9.372225354746281656e-02
1.108000000000000007e+01,3.099579863026871718e-02
1.109999999999999964e+01,2.621372069160184115e-02
1.112000000000000099e+01,2.288121805819128274e-01
1.114000000000000057e+01,-3.873041859196835451e-03
1.116000000000000014e+01,1.214039748394390578e-01
1.117999999999999972e+01,8.939475882041565680e-02
1.119999999999999929e+01,1.230068065386317883e-01
1.122000000000000064e+01,3.211038696964348127e-02
1.124000000000000021e+01,-3.436631732863251742e-02
1.125999999999999979e+01,1.158373278700200598e-01
1.127999999999999936e+01,3.458314048122881901e-02
1.130000000000000071e+01,1.959121674667090862e-01
1.132000000000000028e+01,9.932424947475843036e-02
1.133999999999999986e+01,-5.095911018001714546e-03
1.135999999999999943e+01,1.588115109534256608e-01
1.138000000000000078e+01,-1.133031506081927375e-02
1.140000000000000036e+01,9.344606976230285245e-02
1.141999999999999993e+01,1.688852285339897119e-01
1.143999999999999950e+01,4.279381975822654782e-02
1.146000000000000085e+01,-6.742502352968138268e-02
1.148000000000000043e+01,6.141359633419783692e-02
1.150000000000000000e+01,1.742634698888420597e-01
1.151999999999999957e+01,3.107406592862884884e-02
1.153999999999999915e+01,3.762866711825990640e-02
1.156000000000000050e+01,1.647731704250642859e-01
1.158000000000000007e+01,1.989092810543508297e-02
1.159999999999999964e+01,-4.785617107984917878e-02
1.162000000000000099e+01,5.302464759260759608e-02
1.164000000000000057e+01,2.894839075502466524e-02
1.166000000000000014e+01,-3.618306438810058034e-02
