# 2Theta,Intensity
1.000000000000000000e+01,1.820110060479372405e-01
1.001999999999999957e+01,8.966002196131413193e-02
1.003999999999999915e+01,-1.355947993746403346e-01
1.006000000000000050e+01,1.478067309290028164e-01
1.008000000000000007e+01,9.702686574965839472e-02
1.009999999999999964e+01,4.831787347374608826e-02
1.011999999999999922e+01,1.394278986821922972e-01
1.014000000000000057e+01,1.329127347709302409e-01
1.016000000000000014e+01,2.166259690600141896e-01
1.017999999999999972e+01,4.399863674365794147e-02
1.019999999999999929e+01,2.981529619028723890e-02
1.022000000000000064e+01,6.363390984320807520e-02
1.024000000000000021e+01,-1.399088016088593719e-02
1.025999999999999979e+01,1.404073500986702250e-01
1.027999999999999936e+01,3.000759995263844321e-02
1.030000000000000071e+01,1.074600021816226741e-01
1.032000000000000028e+01,-1.462955154385162382e-01
1.033999999999999986e+01,1.628855074477880138e-01
1.035999999999999943e+01,4.568287811790398834e-02
1.038000000000000078e+01,1.067315797266485400e-01
1.040000000000000036e+01,1.631255513476963237e-02
1.041999999999999993e+01,2.416730040883557570e-02
1.043999999999999950e+01,1.298928797385840439e-01
1.046000000000000085e+01,6.660115688853780747e-02
1.048000000000000043e+01,-6.726636252097635549e-02
1.050000000000000000e+01,-2.579625445787838908e-02
1.051999999999999957e+01,-1.302620422011031148e-02
1.053999999999999915e+01,1.013045562513274905e-01
1.056000000000000050e+01,2.413923576361062806e-01
1.058000000000000007e+01,8.335668326549192098e-02
1.059999999999999964e+01,1.530399328095282396e-01
1.061999999999999922e+01,1.076691546611125982e-01
1.064000000000000057e+01,2.519800719750527329e-01
1.066000000000000014e+01,-4.817244604479448827e-02
1.067999999999999972e+01,-1.616055091772392871e-01
1.069999999999999929e+01,1.114951929019755705e-01
1.072000000000000064e+01,1.834351165594590855e-02
1.074000000000000021e+01,1.713881416714607697e-01
1.075999999999999979e+01,7.085341292954534104e-03
1.077999999999999936e+01,-2.301518946908806193e-02
1.080000000000000071e+01,2.535058758972791315e-02
1.082000000000000028e+01,7.032896434333844871e-02
1.083999999999999986e+01,1.379632336640110313e-01
1.085999999999999943e+01,1.624015457409659635e-02
1.088000000000000078e+01,-7.580083030600924532e-02
1.090000000000000036e+01,9.540346458510415295e-02
1.091999999999999993e+01,8.745633215088133294e-02
