# 2Theta,Intensity
1.000000000000000000e+01,2.304642516231658056e-01
1.001999999999999957e+01,-3.896162479036120729e-02
1.003999999999999915e+01,5.461034877612349486e-02
1.006000000000000050e+01,1.267824967317479901e-01
1.008000000000000007e+01,2.440248090958170579e-02
1.009999999999999964e+01,1.439354189412941076e-01
1.011999999999999922e+01,1.432745224237965131e-01
1.014000000000000057e+01,1.776200180205249890e-01
1.016000000000000014e+01,7.629405653895530992e-02
1.017999999999999972e+01,-6.601523968003136789e-02
1.019999999999999929e+01,-1.755484860574799827e-02
1.022000000000000064e+01,-4.195215595300512412e-02
1.024000000000000021e+01,-7.626882734270701292e-02
1.025999999999999979e+01,1.603770453239734828e-01
1.027999999999999936e+01,-3.357489698199097455e-02
1.030000000000000071e+01,4.121019293349897916e-02
1.032000000000000028e+01,-4.972141708284179978e-02
1.033999999999999986e+01,1.436200080308904226e-01
1.035999999999999943e+01,1.463845969191059637e-01
1.038000000000000078e+01,1.703999250443181124e-01
1.040000000000000036e+01,2.719072455569387925e-01
1.041999999999999993e+01,6.155414838290593216e-02
1.043999999999999950e+01,8.939588778480454800e-02
1.046000000000000085e+01,-1.027416624464518313e-01
1.048000000000000043e+01,2.058379958691772954e-02
1.050000000000000000e+01,1.366545179772505614e-01
1.051999999999999957e+01,-5.670237213722906233e-02
1.053999999999999915e+01,7.712449937137244018e-04
1.056000000000000050e+01,-2.067860807109914850e-02
1.058000000000000007e+01,1.192813952141100614e-01
1.059999999999999964e+01,1.899492723641433567e-01
1.061999999999999922e+01,5.418137120738837631e-02
1.064000000000000057e+01,7.764006780719008571e-02
1.066000000000000014e+01,3.683660001315198357e-02
1.067999999999999972e+01,1.345922576004607851e-01
1.069999999999999929e+01,-1.118838968222104352e-01
1.072000000000000064e+01,2.323220001971867954e-02
1.074000000000000021e+01,6.506490134924496072e-02
1.075999999999999979e+01,2.416215891916759784e-01
1.077999999999999936e+01,-1.591772613610787646e-01
1.080000000000000071e+01,1.308796105231685609e-02
1.082000000000000028e+01,6.962234657229229851e-02
1.083999999999999986e+01,1.019696809514213376e-01
1.085999999999999943e+01,1.196364915773775878e-01
1.088000000000000078e+01,-1.431220863994214776e-01
1.090000000000000036e+01,8.999877089327809609e-02
1.091999999999999993e+01,-4.254896899967604436e-04
1.093999999999999950e+01,-2.473826052304020084e-01
1.096000000000000085e+01,6.271630890236094824e-02
1.098000000000000043e+01,1.143848966797751943e-01
1.100000000000000000e+01,4.540975477172189134e-02
1.101999999999999957e+01,-3.664377152256739767e-02
1.103999999999999915e+01,-3.895408351361619864e-02
1.106000000000000050e+01,5.422453606897926354e-02
1.108000000000000007e+01,3.370124715815468047e-02
1.109999999999999964e+01,8.355696366887094273e-02
1.112000000000000099e+01,-1.802853084735205925e-03
1.114000000000000057e+01,1.741578048574422277e-01
1.116000000000000014e+01,6.253476167662601337e-02
1.117999999999999972e+01,1.355046104835091192e-01
1.119999999999999929e+01,2.283838119327912808e-01
1.122000000000000064e+01,1.679798970873929570e-02
1.124000000000000021e+01,1.776572937428869403e-01
1.125999999999999979e+01,-3.446226480494189032e-02
1.127999999999999936e+01,2.782612608821991018e-02
1.130000000000000071e+01,-3.399877908647265523e-02
1.132000000000000028e+01,1.117421861811668665e-01
1.133999999999999986e+01,6.564826190533759598e-02
1.135999999999999943e+01,1.676044977416035753e-02
1.138000000000000078e+01,9.033099218139854780e-02
1.140000000000000036e+01,2.323333455610930576e-02
1.141999999999999993e+01,1.812383467764815126e-01
1.143999999999999950e+01,1.099849956504009851e-01
1.146000000000000085e+01,3.043679734770041168e-01
1.148000000000000043e+01,2.903978454676051091e-02
1.150000000000000000e+01,3.374837241548419436e-02
1.151999999999999957e+01,-2.393132463352846961e-01
1.153999999999999915e+01,-8.020988120293735812e-02
1.156000000000000050e+01,2.556294494695327685e-02
1.158000000000000007e+01,1.225559202839267975e-01
