# 2Theta,Intensity
1.000000000000000000e+01,2.181115599385363424e-01
1.001999999999999957e+01,4.625331872742943773e-01
1.003999999999999915e+01,1.478753888611422374e-01
1.006000000000000050e+01,3.601003436545127667e-01
1.008000000000000007e+01,4.428819978991283546e-01
1.009999999999999964e+01,4.962685534161658807e-01
1.011999999999999922e+01,4.923771194594468437e-01
1.014000000000000057e+01,2.845213567882780015e-01
1.016000000000000014e+01,1.291699376104348540e-01
1.017999999999999972e+01,4.882906024302866577e-01
1.019999999999999929e+01,3.581930741017495534e-01
1.022000000000000064e+01,2.295516830358161620e-01
1.024000000000000021e+01,4.158000262278014891e-01
1.025999999999999979e+01,3.455449129950163845e-01
1.027999999999999936e+01,1.355429654741231171e-01
1.030000000000000071e+01,2.898965941639152777e-01
1.032000000000000028e+01,4.290325273780491444e-01
1.033999999999999986e+01,4.179433474758697531e-01
1.035999999999999943e+01,2.536428766417903602e-01
1.038000000000000078e+01,3.010481769007061770e-01
1.040000000000000036e+01,4.002512404214966790e-01
1.041999999999999993e+01,4.332034283806862063e-01
1.043999999999999950e+01,2.090692353831288264e-01
1.046000000000000085e+01,1.793180162459228344e-01
1.048000000000000043e+01,2.614602982146679300e-01
1.050000000000000000e+01,3.438545758629670268e-01
1.051999999999999957e+01,3.341183596775313958e-01
1.053999999999999915e+01,2.516871075561474824e-01
1.056000000000000050e+01,3.515001935565201796e-01
1.058000000000000007e+01,4.135980827061449538e-01
1.059999999999999964e+01,3.364647093914467368e-01
1.061999999999999922e+01,4.024667226114474472e-01
1.064000000000000057e+01,2.968053622684211357e-01
1.066000000000000014e+01,4.655136553244040853e-01
1.067999999999999972e+01,2.403068843067539262e-01
1.069999999999999929e+01,2.390336367707582843e-01
1.072000000000000064e+01,4.188178960431623854e-01
1.074000000000000021e+01,3.114122895976094707e-01
1.075999999999999979e+01,2.874773400673475976e-01
1.077999999999999936e+01,2.608544654164879351e-01
1.080000000000000071e+01,4.108749393407013506e-01
1.082000000000000028e+01,4.133441498952279414e-01
1.083999999999999986e+01,6.199271916473072519e-01
1.085999999999999943e+01,3.055953481917682568e-01
1.088000000000000078e+01,4.205088088772185873e-01
1.090000000000000036e+01,4.715694803892844233e-01
1.091999999999999993e+01,3.919339336518752326e-01
1.093999999999999950e+01,2.601648760380902980e-01
1.096000000000000085e+01,2.431902925085649980e-01
1.098000000000000043e+01,1.844014790289802419e-01
1.100000000000000000e+01,3.983860515627369314e-01
1.101999999999999957e+01,2.697510610107556328e-01
1.103999999999999915e+01,3.778387044749603185e-01
1.106000000000000050e+01,6.120238342665244857e-02
1.108000000000000007e+01,3.447957129594421688e-01
1.109999999999999964e+01,2.986468416427605632e-01
1.112000000000000099e+01,3.337643794106047723e-01
1.114000000000000057e+01,2.911112772904177470e-01
1.116000000000000014e+01,4.010429660051845202e-01
1.117999999999999972e+01,3.800393297833445372e-01
1.119999999999999929e+01,2.309052238791494960e-01
1.122000000000000064e+01,3.340853506479569135e-01
1.124000000000000021e+01,4.826751426942815087e-02
1.125999999999999979e+01,5.496309558506320414e-01
1.127999999999999936e+01,5.007738255684139883e-01
1.130000000000000071e+01,4.191037023872610234e-01
1.132000000000000028e+01,4.277459845745182343e-01
1.133999999999999986e+01,3.861518098796876686e-01
1.135999999999999943e+01,2.157287666836367190e-01
1.138000000000000078e+01,5.418432463718144687e-01
1.140000000000000036e+01,7.488176570073525884e-01
1.141999999999999993e+01,3.526531047689058229e-01
1.143999999999999950e+01,2.941037630341806763e-01
1.146000000000000085e+01,1.765735737446111064e-01
1.148000000000000043e+01,5.754614876140237145e-01
1.150000000000000000e+01,3.263689443870262941e-01
1.151999999999999957e+01,6.016183060086439660e-01
1.153999999999999915e+01,3.701615640246441186e-01
1.156000000000000050e+01,2.745438880370948964e-01
1.158000000000000007e+01,4.126890086348956044e-01
1.159999999999999964e+01,2.032480987466481481e-01
1.162000000000000099e+01,3.840984893670437161e-01
1.164000000000000057e+01,3.717891462516779710e-01
1.166000000000000014e+01,2.839971933591660114e-01
1.167999999999999972e+01,5.761371513224606833e-01
1.169999999999999929e+01,3.452906666309598083e-01
1.172000000000000064e+01,2.283571912810822835e-01
1.174000000000000021e+01,4.318539605297340711e-01
1.175999999999999979e+01,5.272910470471976474e-01
1.177999999999999936e+01,2.569613708617184966e-01
1.180000000000000071e+01,2.689622203671683254e-01
1.182000000000000028e+01,5.362749726903155434e-01
1.183999999999999986e+01,2.711578444832232204e-01
1.185999999999999943e+01,4.752407354525450822e-01
1.188000000000000078e+01,7.510135872157377435e-01
1.190000000000000036e+01,4.710695628059199946e-01
1.191999999999999993e+01,6.621221877425690350e-01
1.193999999999999950e+01,5.964931802928531424e-01
1.196000000000000085e+01,9.402609939069294098e-01
