# 2Theta,Intensity
1.000000000000000000e+01,4.680579947409441721e-01
1.001999999999999957e+01,2.913144780420731106e-01
1.003999999999999915e+01,4.589527784099204366e-01
1.006000000000000050e+01,3.766971721009501062e-01
1.008000000000000007e+01,3.590397183132376657e-01
1.009999999999999964e+01,4.960083606963241465e-01
1.011999999999999922e+01,3.748565669519072219e-01
1.014000000000000057e+01,4.296625177607510393e-01
1.016000000000000014e+01,4.323954313230007340e-01
1.017999999999999972e+01,2.206175430108848201e-01
1.019999999999999929e+01,3.952366136306593170e-01
1.022000000000000064e+01,1.128552857471156051e-01
1.024000000000000021e+01,4.062586257552546209e-01
1.025999999999999979e+01,3.014048891150292175e-01
1.027999999999999936e+01,3.740850088329926160e-01
1.030000000000000071e+01,4.112366547961120444e-01
1.032000000000000028e+01,2.806433959161603320e-01
1.033999999999999986e+01,3.050759548392426024e-01
1.035999999999999943e+01,2.788082680655199486e-01
1.038000000000000078e+01,3.658051413977493338e-01
1.040000000000000036e+01,4.270895913192724880e-01
1.041999999999999993e+01,2.804951482763688997e-01
1.043999999999999950e+01,1.746536365019925041e-01
1.046000000000000085e+01,3.025674690610322126e-01
1.048000000000000043e+01,5.330190721737172455e-01
1.050000000000000000e+01,2.442545628850770478e-01
1.051999999999999957e+01,3.583993783250921106e-01
1.053999999999999915e+01,4.136883468067868996e-01
1.056000000000000050e+01,2.045792253571239450e-01
1.058000000000000007e+01,5.432235890954570934e-01
1.059999999999999964e+01,1.981642963921922684e-01
1.061999999999999922e+01,2.748807877623312135e-01
1.064000000000000057e+01,7.402814798334552693e-01
1.066000000000000014e+01,4.893812564178346980e-01
1.067999999999999972e+01,3.598817918909147373e-01
1.069999999999999929e+01,1.761985827958188200e-01
1.072000000000000064e+01,3.402486198468027134e-01
1.074000000000000021e+01,4.604466412844483436e-01
1.075999999999999979e+01,3.260506958470976158e-01
1.077999999999999936e+01,3.807136151988003148e-01
1.080000000000000071e+01,3.276691645028577127e-01
1.082000000000000028e+01,4.053754119301445913e-01
1.083999999999999986e+01,2.656834970766672188e-01
1.085999999999999943e+01,2.914015368423720775e-01
1.088000000000000078e+01,3.220383883850356233e-01
1.090000000000000036e+01,2.457424742594511990e-01
1.091999999999999993e+01,2.197589024362311128e-01
1.093999999999999950e+01,1.733539063141792957e-01
1.096000000000000085e+01,4.595762862833253637e-01
1.098000000000000043e+01,5.617301051267107326e-01
1.100000000000000000e+01,3.684676845999572681e-01
1.101999999999999957e+01,1.371791285751434997e-01
1.103999999999999915e+01,2.223419492459225710e-01
1.106000000000000050e+01,4.763770516661411381e-01
1.108000000000000007e+01,2.070419121443840549e-01
1.109999999999999964e+01,6.924771471798601974e-01
1.112000000000000099e+01,2.861745523162961269e-01
1.114000000000000057e+01,6.050721817345644515e-01
1.116000000000000014e+01,5.601466549949165596e-01
1.117999999999999972e+01,2.742971344591926264e-01
1.119999999999999929e+01,2.021127645759387137e-01
1.122000000000000064e+01,3.462076097675839681e-01
1.124000000000000021e+01,2.724719581565812621e-01
1.125999999999999979e+01,5.473058538710957599e-01
1.127999999999999936e+01,2.721737799573101246e-01
1.130000000000000071e+01,3.117290648606776959e-01
1.132000000000000028e+01,4.153068530646027434e-01
1.133999999999999986e+01,3.854249619860570797e-01
1.135999999999999943e+01,4.383640963467360097e-01
1.138000000000000078e+01,1.474453564590540722e-01
1.140000000000000036e+01,2.744817906480440661e-01
1.141999999999999993e+01,5.420460711000463228e-01
1.143999999999999950e+01,4.968698900457487744e-01
1.146000000000000085e+01,2.346906609202814298e-01
1.148000000000000043e+01,3.048792244392903861e-01
1.150000000000000000e+01,2.451958358323092779e-01
1.151999999999999957e+01,5.397927724336213373e-01
1.153999999999999915e+01,1.778766251702529333e-01
1.156000000000000050e+01,3.754519629879946030e-01
1.158000000000000007e+01,2.305700984430346101e-01
1.159999999999999964e+01,5.386923394571540014e-01
1.162000000000000099e+01,4.571484791484939914e-01
1.164000000000000057e+01,1.891851211012671730e-01
1.166000000000000014e+01,5.786198552700749786e-01
1.167999999999999972e+01,5.793445614311112379e-01
1.169999999999999929e+01,4.419260426770326711e-01
1.172000000000000064e+01,6.123022967328635435e-02
1.174000000000000021e+01,2.604639740616144783e-01
1.175999999999999979e+01,4.228107579590498211e-01
1.177999999999999936e+01,5.873603643722627998e-01
1.180000000000000071e+01,1.171792352617717636e-01
1.182000000000000028e+01,5.559001470073826612e-01
1.183999999999999986e+01,5.542092748640055078e-01
1.185999999999999943e+01,5.592686989048775148e-01
1.188000000000000078e+01,5.799537601314890267e-01
1.190000000000000036e+01,1.004051455480517330e+00
1.191999999999999993e+01,2.714131619190873757e+00
1.193999999999999950e+01,7.005753721069822859e+00
1.196000000000000085e+01,1.224354878899147003e+01
1.198000000000000043e+01,1.292510339067351666e+01
1.200000000000000000e+01,7.505429153524858066e+00
1.201999999999999957e+01,2.172698788809104276e+00
1.203999999999999915e+01,8.384546524520596344e-01
1.206000000000000050e+01,5.424431951194894630e-01
1.208000000000000007e+01,7.544371888892721367e-01
1.209999999999999964e+01,4.258374866380226775e-01
1.212000000000000099e+01,6.361995393354773487e-01
1.214000000000000057e+01,4.337477436287777710e-01
1.216000000000000014e+01,4.395230305343326149e-01
1.217999999999999972e+01,4.636418923028028938e-01
1.219999999999999929e+01,3.627451165403253741e-01
1.222000000000000064e+01,6.135044698091230986e-01
1.224000000000000021e+01,3.165328721403670165e-01
1.225999999999999979e+01,2.498582407020565888e-01
1.228000000000000114e+01,2.741616716863282122e-01
1.230000000000000071e+01,6.466159915378362211e-01
1.232000000000000028e+01,6.038561156619098869e-01
1.233999999999999986e+01,2.988825167764316282e-01
1.235999999999999943e+01,3.134333244135432128e-01
1.237999999999999901e+01,2.879753724709018803e-01
1.240000000000000036e+01,1.972971720194454937e-01
1.241999999999999993e+01,2.478946682343849961e-01
1.243999999999999950e+01,3.803179588920166943e-01
1.246000000000000085e+01,5.239480690510127658e-01
1.248000000000000043e+01,4.873886127940163515e-01
1.250000000000000000e+01,4.440355604564402703e-01
1.251999999999999957e+01,2.652741555896792058e-01
1.253999999999999915e+01,1.770942109142207010e-01
1.256000000000000050e+01,5.597840595872322078e-01
1.258000000000000007e+01,5.464930853779437214e-01
1.259999999999999964e+01,3.257531985491058935e-01
1.262000000000000099e+01,4.938176195300346127e-01
1.264000000000000057e+01,3.478337556710032197e-01
1.266000000000000014e+01,4.605479423349885248e-01
1.267999999999999972e+01,3.489777518016994318e-01
1.269999999999999929e+01,4.248704728513411077e-01
1.272000000000000064e+01,4.892769037844911240e-01
1.274000000000000021e+01,6.370215181341432054e-01
1.275999999999999979e+01,4.661978619246284206e-01
1.278000000000000114e+01,5.428433534898776669e-01
1.280000000000000071e+01,3.356917955769193607e-01
1.282000000000000028e+01,4.183677453981270444e-01
1.283999999999999986e+01,4.694868636945841445e-01
1.285999999999999943e+01,3.723861796833809468e-01
1.287999999999999901e+01,5.835954603831016163e-01
1.290000000000000036e+01,4.669791586756515955e-01
1.291999999999999993e+01,3.623980691241793783e-01
1.293999999999999950e+01,3.248855943801008950e-01
1.296000000000000085e+01,5.083195334809648136e-01
1.298000000000000043e+01,3.168347390402174168e-01
1.300000000000000000e+01,2.448078095023531464e-01
1.301999999999999957e+01,5.241576022497416165e-01
1.303999999999999915e+01,2.788106923324931707e-01
1.306000000000000050e+01,3.718445764535612819e-01
1.308000000000000007e+01,3.345768441658253378e-01
1.309999999999999964e+01,3.836086793011490581e-01
1.312000000000000099e+01,5.577616517517294259e-01
1.314000000000000057e+01,4.502232129609336497e-01
1.316000000000000014e+01,1.654811373046096157e-01
1.317999999999999972e+01,2.090152214208425008e-01
1.319999999999999929e+01,3.166235554926751794e-01
1.322000000000000064e+01,5.147713387819738973e-01
1.324000000000000021e+01,5.161755535201832945e-01
1.325999999999999979e+01,2.783190197297142898e-01
1.328000000000000114e+01,1.909180716526002186e-01
1.330000000000000071e+01,2.437947149903845201e-01
1.332000000000000028e+01,3.711792220127010378e-01
1.333999999999999986e+01,2.018405705923475013e-01
1.335999999999999943e+01,2.939536057117619339e-01
1.337999999999999901e+01,5.774255758022126539e-01
1.340000000000000036e+01,4.385739000563575463e-01
1.341999999999999993e+01,4.606834319816877632e-01
1.343999999999999950e+01,5.430548716636438566e-01
1.346000000000000085e+01,4.245700944021648104e-01
1.348000000000000043e+01,1.858398189151821978e-01
1.350000000000000000e+01,4.329805225782201172e-01
1.351999999999999957e+01,2.295556082273512155e-01
1.353999999999999915e+01,3.455045946723013794e-01
1.356000000000000050e+01,2.029371112895033136e-01
1.358000000000000007e+01,3.274710829041614923e-01
1.359999999999999964e+01,3.179433054186223684e-01
1.362000000000000099e+01,5.472891461283586612e-01
1.364000000000000057e+01,8.184812702135048357e-02
1.366000000000000014e+01,2.854921730131362301e-01
1.367999999999999972e+01,5.087459794738647956e-01
1.369999999999999929e+01,2.334617215650666711e-01
1.372000000000000064e+01,2.274070759543617148e-01
1.374000000000000021e+01,3.959425400878377466e-01
1.375999999999999979e+01,3.579113444605827588e-01
1.378000000000000114e+01,3.619049130057887531e-01
1.380000000000000071e+01,3.232913686595968450e-01
1.382000000000000028e+01,4.947474463863747451e-01
1.383999999999999986e+01,3.871925114057097050e-01
1.385999999999999943e+01,1.174888175938499230e-01
1.387999999999999901e+01,4.425234577159050664e-01
1.390000000000000036e+01,5.498916958641513197e-01
1.391999999999999993e+01,3.913492225659706558e-01
1.393999999999999950e+01,3.624257873527872431e-01
1.396000000000000085e+01,3.692306597798538648e-01
1.398000000000000043e+01,4.823195127556942907e-01
1.400000000000000000e+01,3.370753145262371797e-01
1.401999999999999957e+01,1.753184869094262244e-01
1.403999999999999915e+01,4.296177018235940448e-01
1.406000000000000050e+01,4.601871821923959049e-01
1.408000000000000007e+01,1.795576112646297129e-01
1.409999999999999964e+01,3.311463484819267555e-01
1.412000000000000099e+01,3.953575978891682996e-01
1.414000000000000057e+01,3.479507366104653832e-01
1.416000000000000014e+01,3.961104259287391294e-01
1.417999999999999972e+01,3.860074810894428832e-01
1.419999999999999929e+01,3.827168822682672777e-01
1.421999999999999886e+01,5.620055427424598404e-01
1.424000000000000021e+01,3.400630663511337581e-01
1.425999999999999979e+01,4.293325463898167715e-01
1.428000000000000114e+01,3.670198226552428555e-01
1.430000000000000071e+01,2.881107175644910257e-01
1.432000000000000028e+01,2.246603847936367304e-01
1.433999999999999986e+01,4.373626200350647086e-01
1.435999999999999943e+01,4.185819880109690194e-01
1.437999999999999901e+01,3.041131270413904852e-01
1.440000000000000036e+01,2.230295356031546383e-01
1.441999999999999993e+01,4.283991500939389185e-01
1.444000000000000128e+01,1.132879633548483922e-01
1.446000000000000085e+01,5.237459221134674880e-01
1.448000000000000043e+01,2.500705409469857199e-01
1.450000000000000000e+01,3.833021782929748600e-01
1.451999999999999957e+01,3.446617415255066597e-01
1.453999999999999915e+01,3.474572515667695427e-01
1.456000000000000050e+01,3.701184589761788435e-01
1.458000000000000007e+01,3.541003616395505538e-01
1.460000000000000142e+01,4.242315083252082286e-01
1.462000000000000099e+01,3.989929035141991376e-01
1.464000000000000057e+01,1.199083770151960077e-01
1.466000000000000014e+01,4.544493768638503406e-01
1.467999999999999972e+01,3.428290899947443182e-01
1.469999999999999929e+01,4.624365742880125474e-01
1.471999999999999886e+01,1.172691349343212841e-01
1.474000000000000021e+01,1.677726229872285590e-01
1.475999999999999979e+01,1.334527390206405317e-01
1.478000000000000114e+01,3.331612833119125816e-01
1.480000000000000071e+01,3.449679699633442786e-01
1.482000000000000028e+01,6.878871520260484429e-01
1.483999999999999986e+01,3.459003560018563128e-01
1.485999999999999943e+01,2.955493220661252196e-01
1.487999999999999901e+01,4.587790395616410666e-01
1.490000000000000036e+01,5.327389965012043760e-01
1.491999999999999993e+01,5.130018176971913313e-01
1.494000000000000128e+01,1.231924157275631204e-01
1.496000000000000085e+01,2.469280781582940953e-01
1.498000000000000043e+01,4.891863547127144329e-01
1.500000000000000000e+01,2.498180493701619431e-01
1.501999999999999957e+01,1.665786034790942560e-01
1.503999999999999915e+01,6.259370690496618428e-01
1.506000000000000050e+01,4.324421552907852240e-01
1.508000000000000007e+01,4.425574658185677523e-01
1.510000000000000142e+01,3.588581553961318615e-01
1.512000000000000099e+01,2.528619845522880882e-01
1.514000000000000057e+01,4.040580067786410101e-01
1.516000000000000014e+01,3.711845197250907558e-01
1.517999999999999972e+01,4.419447767071223998e-01
1.519999999999999929e+01,4.480872134064883827e-01
1.521999999999999886e+01,1.771588942975788616e-01
1.524000000000000021e+01,3.722142467394702892e-01
1.525999999999999979e+01,3.122232946307598178e-01
1.528000000000000114e+01,3.499724196573075763e-01
1.530000000000000071e+01,3.397305797006791583e-01
1.532000000000000028e+01,4.768942362790021261e-01
1.533999999999999986e+01,1.255335483090130599e-01
1.535999999999999943e+01,4.824394081721297134e-01
1.537999999999999901e+01,1.908752733371414378e-01
1.540000000000000036e+01,2.575842159777363971e-01
1.541999999999999993e+01,4.817280304804906210e-01
1.544000000000000128e+01,2.294456576355187738e-01
1.546000000000000085e+01,4.019858080765570940e-01
1.548000000000000043e+01,3.905413406493702388e-01
1.550000000000000000e+01,2.471605293281119442e-01
1.551999999999999957e+01,3.717825641302599515e-01
1.553999999999999915e+01,2.689813824991530433e-01
1.556000000000000050e+01,2.874493589073305322e-01
1.558000000000000007e+01,3.384519295620476154e-01
1.560000000000000142e+01,3.939872256317756838e-01
1.562000000000000099e+01,2.721378122772659669e-01
1.564000000000000057e+01,2.843400323319727474e-01
1.566000000000000014e+01,4.097048212230507969e-01
1.567999999999999972e+01,4.073192402431110026e-01
1.569999999999999929e+01,4.706483852057932737e-01
1.571999999999999886e+01,2.966029596761655673e-01
1.574000000000000021e+01,3.632525026468909068e-01
1.575999999999999979e+01,2.645042096271972287e-01
1.578000000000000114e+01,3.294208750541424702e-01
1.580000000000000071e+01,3.492534491739444080e-01
1.582000000000000028e+01,6.841771863032704015e-01
1.583999999999999986e+01,3.682703406477925157e-01
1.585999999999999943e+01,1.826993125976385801e-01
1.587999999999999901e+01,4.368821143795365569e-01
1.590000000000000036e+01,5.437534182905079394e-01
1.591999999999999993e+01,3.649666682301520582e-01
1.594000000000000128e+01,4.749807715724551627e-01
1.596000000000000085e+01,4.337343581410106341e-01
1.598000000000000043e+01,3.959727936160098993e-01
1.600000000000000000e+01,1.777930524980317617e-01
1.601999999999999957e+01,3.151659373765889338e-01
1.603999999999999915e+01,3.832450619836882399e-01
1.606000000000000227e+01,2.724297879882663365e-01
1.607999999999999829e+01,3.639539735935814480e-01
1.610000000000000142e+01,3.717203544241320379e-01
1.612000000000000099e+01,3.503683642001561571e-01
1.614000000000000057e+01,3.311747473248459750e-01
1.616000000000000014e+01,5.388991095402374532e-01
1.617999999999999972e+01,4.589405070004952680e-01
1.619999999999999929e+01,2.204009852131762204e-01
1.621999999999999886e+01,3.934364340601391730e-01
1.624000000000000199e+01,3.993636789369319762e-01
1.625999999999999801e+01,3.680996944253668302e-01
1.628000000000000114e+01,5.160155332834127639e-01
1.630000000000000071e+01,4.484331975060426023e-01
1.632000000000000028e+01,2.487025635085822473e-01
1.633999999999999986e+01,2.934715964022176493e-01
1.635999999999999943e+01,3.924140807426330091e-01
1.637999999999999901e+01,6.026695265808081903e-01
1.639999999999999858e+01,7.903443705180833723e-01
1.642000000000000171e+01,4.273860803315446266e-01
1.644000000000000128e+01,3.738329229287074562e-01
1.646000000000000085e+01,4.394343187357960256e-01
1.648000000000000043e+01,5.696211398837739415e-01
1.650000000000000000e+01,2.809803800063849222e-01
1.651999999999999957e+01,3.981638881333399715e-01
1.653999999999999915e+01,3.297049928653762452e-01
1.656000000000000227e+01,4.567485551507833863e-01
1.657999999999999829e+01,6.180767649207972170e-01
1.660000000000000142e+01,4.478780181882495159e-01
1.662000000000000099e+01,2.899099848175882843e-01
1.664000000000000057e+01,3.090769903942314767e-01
1.666000000000000014e+01,2.033818123758331098e-01
1.667999999999999972e+01,2.168496318494922137e-01
1.669999999999999929e+01,4.217094027466181672e-01
1.671999999999999886e+01,4.301503176304606324e-01
1.674000000000000199e+01,2.296669935549327246e-01
1.675999999999999801e+01,3.741784398747424190e-01
1.678000000000000114e+01,3.799832294224506080e-01
1.680000000000000071e+01,4.499213204825962542e-01
1.682000000000000028e+01,2.921647048673158276e-01
1.683999999999999986e+01,3.210861204913278977e-01
1.685999999999999943e+01,3.999856827822806382e-01
1.687999999999999901e+01,3.541264796355030886e-01
1.689999999999999858e+01,1.561035543439968920e-01
1.692000000000000171e+01,3.109947768127883094e-01
1.694000000000000128e+01,5.558113276948369874e-01
1.696000000000000085e+01,4.701918839862182509e-01
1.698000000000000043e+01,4.050808608296368463e-01
1.700000000000000000e+01,2.882895939656766604e-01
1.701999999999999957e+01,2.835339481430180775e-01
1.703999999999999915e+01,2.675665205018147863e-01
1.706000000000000227e+01,2.094596031767204658e-01
1.707999999999999829e+01,3.011246240802157859e-01
1.710000000000000142e+01,3.392350504529415556e-01
1.712000000000000099e+01,5.096850034920267225e-01
1.714000000000000057e+01,3.448057313109127442e-01
1.716000000000000014e+01,3.409164484858240307e-01
1.717999999999999972e+01,5.873735520489585804e-01
1.719999999999999929e+01,5.822584820733507360e-01
1.721999999999999886e+01,2.396707555709400028e-01
1.724000000000000199e+01,1.420984596052049694e-02
1.725999999999999801e+01,4.841494177789369968e-01
1.728000000000000114e+01,2.226630698683932930e-01
1.730000000000000071e+01,2.366278308862681534e-01
1.732000000000000028e+01,2.259941461591161160e-01
1.733999999999999986e+01,4.288551488796371047e-01
1.735999999999999943e+01,6.657553538139997507e-01
1.737999999999999901e+01,5.456644790785459831e-01
1.739999999999999858e+01,3.011910204186141193e-01
1.742000000000000171e+01,1.660104816104174263e-01
1.744000000000000128e+01,1.892090870022235249e-01
1.746000000000000085e+01,1.577098013170570856e-01
1.748000000000000043e+01,3.463388219415940439e-01
1.750000000000000000e+01,4.807310175143533759e-01
1.751999999999999957e+01,5.408239539464387846e-01
1.753999999999999915e+01,2.705442919008338998e-01
1.756000000000000227e+01,4.217750543033967903e-01
1.757999999999999829e+01,4.492803597185208719e-01
1.760000000000000142e+01,6.071104603537905708e-01
1.762000000000000099e+01,5.685318593062109738e-01
1.764000000000000057e+01,3.508563326791496184e-01
1.766000000000000014e+01,2.484021663008862124e-01
1.767999999999999972e+01,6.024592547292680900e-01
1.769999999999999929e+01,5.245667501683105860e-02
1.771999999999999886e+01,3.001748577677760266e-01
1.774000000000000199e+01,4.747948524500963385e-01
1.775999999999999801e+01,4.539976628268006520e-01
1.778000000000000114e+01,5.769949157319295141e-01
1.780000000000000071e+01,4.267758206902192430e-01
1.782000000000000028e+01,3.853596800277055978e-01
1.783999999999999986e+01,4.829050687848847612e-01
1.785999999999999943e+01,1.961312307844783609e-01
1.787999999999999901e+01,2.494466513814780073e-01
1.789999999999999858e+01,3.870633543655716546e-01
1.792000000000000171e+01,3.237729848029128332e-01
1.794000000000000128e+01,2.461433306447647074e-01
1.796000000000000085e+01,7.759987833743978158e-02
1.798000000000000043e+01,1.990677925985959162e-01
1.800000000000000000e+01,5.958368745089135388e-01
1.801999999999999957e+01,5.211179650730457524e-01
1.803999999999999915e+01,3.218206006452595247e-01
1.806000000000000227e+01,4.391731550025354536e-01
1.807999999999999829e+01,4.664341005307317545e-01
1.810000000000000142e+01,3.913658696343631505e-01
1.812000000000000099e+01,2.384246047344052433e-01
1.814000000000000057e+01,3.648274855716356346e-01
1.816000000000000014e+01,5.384301130022270954e-01
1.817999999999999972e+01,4.658550504898620326e-01
1.819999999999999929e+01,3.971350110915565224e-01
1.821999999999999886e+01,4.645106236605403005e-01
1.824000000000000199e+01,4.233221357172639032e-01
1.825999999999999801e+01,2.522291500969713329e-01
1.828000000000000114e+01,3.573468039820432152e-01
1.830000000000000071e+01,2.932088148685605966e-01
1.832000000000000028e+01,3.331311474661786676e-01
1.833999999999999986e+01,4.191283431629476697e-01
1.835999999999999943e+01,2.522323975059438395e-01
1.838000000000000256e+01,5.683883701542429279e-01
1.839999999999999858e+01,5.741147501878547388e-01
1.842000000000000171e+01,5.291073970562266970e-02
1.843999999999999773e+01,2.689663369539618820e-01
1.846000000000000085e+01,4.106422319992935055e-01
1.848000000000000043e+01,4.071655032886108971e-01
1.850000000000000000e+01,3.736728123442048521e-01
1.851999999999999957e+01,4.316499589461054165e-01
1.853999999999999915e+01,4.374733450325238304e-01
1.856000000000000227e+01,2.263436900681128072e-01
1.857999999999999829e+01,2.752024665032040129e-01
1.860000000000000142e+01,3.805282648549725977e-01
1.862000000000000099e+01,4.979138738654527163e-01
1.864000000000000057e+01,2.579265473931722230e-01
1.866000000000000014e+01,3.785025093353963088e-01
1.867999999999999972e+01,2.088475657082022319e-01
1.870000000000000284e+01,1.985835530888377665e-01
1.871999999999999886e+01,4.611106446843741269e-01
1.874000000000000199e+01,4.005760771169908918e-01
1.875999999999999801e+01,3.244273753636803814e-01
1.878000000000000114e+01,1.991521215653924426e-01
1.880000000000000071e+01,3.960708776491561611e-01
1.882000000000000028e+01,1.437932083071211120e-01
1.883999999999999986e+01,4.867172316383163722e-01
1.885999999999999943e+01,2.832539989139299941e-01
1.888000000000000256e+01,3.358782032949418905e-01
1.889999999999999858e+01,4.272695369042516234e-01
1.892000000000000171e+01,1.837646521228398222e-01
1.893999999999999773e+01,2.485660397458985538e-01
1.896000000000000085e+01,1.789900911011606532e-01
1.898000000000000043e+01,2.723375591422594333e-01
1.900000000000000000e+01,3.168163989441106221e-01
1.901999999999999957e+01,2.825602061719586500e-01
1.903999999999999915e+01,9.694443580532668969e-02
1.906000000000000227e+01,4.764099886141217599e-01
1.907999999999999829e+01,3.421857962052321511e-01
1.910000000000000142e+01,3.598455070255122679e-01
1.912000000000000099e+01,3.505438394789565093e-01
1.914000000000000057e+01,5.383808955967664955e-01
1.916000000000000014e+01,3.812623065700284641e-01
1.917999999999999972e+01,3.775343655659604836e-01
1.920000000000000284e+01,2.050080844022211246e-01
1.921999999999999886e+01,3.698860140898898030e-01
1.924000000000000199e+01,2.796756026100961079e-01
1.925999999999999801e+01,5.419296841051920444e-01
1.928000000000000114e+01,2.671954343710261637e-01
1.930000000000000071e+01,1.056623584661405268e-01
1.932000000000000028e+01,4.271608838771585037e-01
1.933999999999999986e+01,3.192857215386676883e-01
1.935999999999999943e+01,3.034499843874482461e-01
1.938000000000000256e+01,3.470005277639379160e-01
1.939999999999999858e+01,3.481328644952064177e-01
1.942000000000000171e+01,2.953641068202629838e-01
1.943999999999999773e+01,3.104817192698310357e-01
1.946000000000000085e+01,3.122763096060304222e-01
1.948000000000000043e+01,4.287862174781475466e-01
1.950000000000000000e+01,2.837783285071536210e-01
1.951999999999999957e+01,4.134720073067827406e-01
1.953999999999999915e+01,4.081092159042896683e-01
1.956000000000000227e+01,4.853129452036203939e-01
1.957999999999999829e+01,2.932387106495005225e-01
1.960000000000000142e+01,1.737172026838093575e-01
1.962000000000000099e+01,4.389427121276582300e-01
1.964000000000000057e+01,2.991095534354160090e-01
1.966000000000000014e+01,2.830284669144370602e-01
1.967999999999999972e+01,7.045958410486835577e-02
1.970000000000000284e+01,3.351905064936412382e-01
1.971999999999999886e+01,3.153109460070080972e-01
1.974000000000000199e+01,3.352626604399245314e-01
1.975999999999999801e+01,2.949729230771503952e-01
1.978000000000000114e+01,2.777690967615965567e-01
1.980000000000000071e+01,3.572548589689376053e-01
1.982000000000000028e+01,4.593844168355577517e-01
1.983999999999999986e+01,3.545940042685861160e-01
1.985999999999999943e+01,2.993729980163059579e-01
1.988000000000000256e+01,3.330273175411758713e-01
1.989999999999999858e+01,3.526851460599592647e-01
1.992000000000000171e+01,3.625281531007941149e-01
1.993999999999999773e+01,3.461273803257103876e-01
1.996000000000000085e+01,2.577585692867034317e-01
1.998000000000000043e+01,5.240641956053526673e-01
2.000000000000000000e+01,2.722187275627641623e-01
2.001999999999999957e+01,3.928972933269771484e-01
2.003999999999999915e+01,2.922572993890714121e-01
2.006000000000000227e+01,-1.994582142001292968e-02
2.007999999999999829e+01,1.877520514587835698e-01
2.010000000000000142e+01,2.018897873410487598e-01
2.012000000000000099e+01,5.072157959971140828e-01
2.014000000000000057e+01,3.917330122436699091e-01
2.016000000000000014e+01,2.205860618794935890e-01
2.017999999999999972e+01,3.074980966166821483e-01
2.020000000000000284e+01,4.047092392185200338e-01
2.021999999999999886e+01,6.204939194918950296e-01
2.024000000000000199e+01,9.514842337517911974e-02
2.025999999999999801e+01,7.468937802958280914e-01
