# 2Theta,Intensity
1.000000000000000000e+01,4.084971139047289257e-01
1.001999999999999957e+01,4.515993059279722055e-01
1.003999999999999915e+01,6.369300417165710826e-01
1.006000000000000050e+01,4.497807935456156203e-01
1.008000000000000007e+01,5.310544406739173828e-01
1.009999999999999964e+01,7.326155062056061151e-01
1.011999999999999922e+01,7.519080553324815064e-01
1.014000000000000057e+01,7.708403729518948921e-01
1.016000000000000014e+01,5.173286962454065607e-01
1.017999999999999972e+01,8.473388759336225595e-01
1.019999999999999929e+01,7.099544592435040880e-01
1.022000000000000064e+01,8.399140185893031463e-01
1.024000000000000021e+01,6.966828629519405958e-01
1.025999999999999979e+01,4.497778755598847433e-01
1.027999999999999936e+01,6.138361215650557368e-01
1.030000000000000071e+01,4.661196609433516103e-01
1.032000000000000028e+01,4.483280419198205080e-01
1.033999999999999986e+01,7.166370905352019705e-01
1.035999999999999943e+01,5.961163558776266802e-01
1.038000000000000078e+01,4.750691293630329715e-01
1.040000000000000036e+01,7.168259604148663477e-01
1.041999999999999993e+01,4.228450144001359434e-01
1.043999999999999950e+01,5.158565455742023520e-01
1.046000000000000085e+01,2.040359116106174875e-01
1.048000000000000043e+01,5.161059554557754225e-01
1.050000000000000000e+01,5.584127631467195041e-01
1.051999999999999957e+01,7.401362146279493182e-01
1.053999999999999915e+01,3.665851000625830469e-01
1.056000000000000050e+01,8.842992887706618843e-01
1.058000000000000007e+01,6.360957784112987179e-01
1.059999999999999964e+01,5.596275342587603285e-01
1.061999999999999922e+01,6.638273790386068907e-01
1.064000000000000057e+01,5.516116291602842781e-01
1.066000000000000014e+01,7.482085741307651361e-01
1.067999999999999972e+01,6.582720732647617812e-01
1.069999999999999929e+01,5.317772388803967409e-01
1.072000000000000064e+01,5.956472336101896747e-01
1.074000000000000021e+01,3.559477098471230394e-01
1.075999999999999979e+01,6.061636750179445476e-01
1.077999999999999936e+01,4.041517860953228736e-01
1.080000000000000071e+01,4.447050223641839661e-01
1.082000000000000028e+01,5.260321206471618716e-01
1.083999999999999986e+01,6.752700539048129835e-01
1.085999999999999943e+01,4.592513673335218427e-01
1.088000000000000078e+01,5.646463766069831358e-01
1.090000000000000036e+01,5.962929032037255217e-01
1.091999999999999993e+01,5.269753470059640454e-01
1.093999999999999950e+01,5.452597835543258054e-01
