# 2Theta,Intensity
1.000000000000000000e+01,-6.292989954393438329e-04
1.001999999999999957e+01,2.897747092470849203e-02
1.003999999999999915e+01,3.946567961777512346e-01
1.006000000000000050e+01,1.660811192510948386e-01
1.008000000000000007e+01,2.402779107193262764e-01
1.009999999999999964e+01,1.112667217672423242e-01
1.011999999999999922e+01,4.494992283676511602e-01
1.014000000000000057e+01,7.263138427870624581e-02
1.016000000000000014e+01,3.430549939107263580e-01
1.017999999999999972e+01,7.031121030824330487e-02
1.019999999999999929e+01,1.423664442455286894e-01
1.022000000000000064e+01,4.212021240818205475e-02
1.024000000000000021e+01,1.102705348157348303e-01
1.025999999999999979e+01,2.281332923077057095e-01
1.027999999999999936e+01,8.808525878174135182e-02
1.030000000000000071e+01,3.358289403499972736e-01
1.032000000000000028e+01,3.011846095897884323e-01
1.033999999999999986e+01,2.836107406946968279e-01
1.035999999999999943e+01,2.044596587234642493e-01
1.038000000000000078e+01,1.431981851757481161e-01
1.040000000000000036e+01,9.447904447848959331e-02
1.041999999999999993e+01,-1.885355501688158741e-02
1.043999999999999950e+01,1.221658128118061071e-01
1.046000000000000085e+01,2.097211305982242535e-01
1.048000000000000043e+01,2.053078375945112943e-01
1.050000000000000000e+01,1.278516413170971422e-01
1.051999999999999957e+01,2.528298901348285943e-01
1.053999999999999915e+01,4.180927448341847930e-01
1.056000000000000050e+01,2.094205515616094082e-01
1.058000000000000007e+01,1.280625979084791255e-01
1.059999999999999964e+01,2.061734558373869985e-01
1.061999999999999922e+01,3.276778374405531213e-01
1.064000000000000057e+01,1.613437760840811808e-01
1.066000000000000014e+01,2.563140479165709751e-01
1.067999999999999972e+01,-1.858779954106885499e-02
1.069999999999999929e+01,4.158597941181353397e-01
1.072000000000000064e+01,3.081581795405904933e-01
1.074000000000000021e+01,1.623624328367618552e-01
1.075999999999999979e+01,2.213910698686046008e-01
1.077999999999999936e+01,3.311333657867924218e-01
1.080000000000000071e+01,2.699143727591831188e-01
1.082000000000000028e+01,4.549882468026120175e-01
1.083999999999999986e+01,1.905775980121701685e-01
1.085999999999999943e+01,2.330484934182443929e-02
1.088000000000000078e+01,1.088767153840338453e-01
1.090000000000000036e+01,2.428017352226215786e-01
1.091999999999999993e+01,5.062545336621583347e-01
1.093999999999999950e+01,8.800659489629471255e-02
1.096000000000000085e+01,1.676051970255023615e-01
1.098000000000000043e+01,1.607487941308189394e-01
1.100000000000000000e+01,1.245595382836186815e-01
1.101999999999999957e+01,3.071806726295818191e-01
1.103999999999999915e+01,3.575883350538495709e-01
1.106000000000000050e+01,2.058409322486831339e-01
1.108000000000000007e+01,1.983786496111631381e-01
1.109999999999999964e+01,5.746623379190295144e-02
1.112000000000000099e+01,1.624430491628497675e-01
1.114000000000000057e+01,1.950047199831714539e-01
1.116000000000000014e+01,3.052170968726647393e-01
1.117999999999999972e+01,3.935777325447699093e-01
1.119999999999999929e+01,1.995819268641520761e-01
1.122000000000000064e+01,2.179592700884820933e-01
1.124000000000000021e+01,-1.931776581784338219e-03
1.125999999999999979e+01,2.918637866667075365e-01
1.127999999999999936e+01,2.315850668662255696e-01
1.130000000000000071e+01,4.030848307092591010e-02
1.132000000000000028e+01,-2.890332444754513397e-02
1.133999999999999986e+01,3.924216071583948029e-01
1.135999999999999943e+01,1.800418771964178433e-01
1.138000000000000078e+01,2.009264631489914854e-01
1.140000000000000036e+01,1.924908365516941611e-01
1.141999999999999993e+01,2.952986716022869551e-01
1.143999999999999950e+01,3.640556048624739027e-01
1.146000000000000085e+01,9.475026296085260757e-02
1.148000000000000043e+01,1.609334222738752762e-01
1.150000000000000000e+01,2.154764980574617461e-01
1.151999999999999957e+01,1.423860803168321421e-01
1.153999999999999915e+01,3.578484915978225600e-01
1.156000000000000050e+01,1.667582630406221345e-01
1.158000000000000007e+01,2.210880917586971472e-01
1.159999999999999964e+01,2.354746064850550824e-01
1.162000000000000099e+01,2.968159622435286860e-01
1.164000000000000057e+01,1.432379832842704814e-01
1.166000000000000014e+01,1.434384181380868872e-01
1.167999999999999972e+01,2.527454801758942660e-01
1.169999999999999929e+01,3.005072450389956185e-01
1.172000000000000064e+01,2.349186289456627885e-01
1.174000000000000021e+01,1.782860680603342851e-01
1.175999999999999979e+01,1.990758544544209974e-01
1.177999999999999936e+01,1.335725662418275617e-01
1.180000000000000071e+01,1.557946930663551277e-01
1.182000000000000028e+01,2.844011666604850386e-01
1.183999999999999986e+01,3.420276014487017013e-01
1.185999999999999943e+01,2.477140852416462036e-01
1.188000000000000078e+01,2.641137107290179586e-01
1.190000000000000036e+01,3.427145161107393867e-01
1.191999999999999993e+01,2.704894411174930124e-01
1.193999999999999950e+01,2.359999741221606995e-01
1.196000000000000085e+01,3.654604655122193346e-01
1.198000000000000043e+01,9.966535965067971348e-02
1.200000000000000000e+01,3.103466119421363634e-01
1.201999999999999957e+01,2.153123628900386055e-01
1.203999999999999915e+01,2.663334163448700664e-01
1.206000000000000050e+01,9.185892321348815281e-02
1.208000000000000007e+01,3.181156910069860011e-01
1.209999999999999964e+01,1.291461048849808224e-01
1.212000000000000099e+01,1.087393058285116842e-01
1.214000000000000057e+01,9.901136998607831807e-02
1.216000000000000014e+01,4.979506417677987407e-01
1.217999999999999972e+01,2.833937945405093362e-01
1.219999999999999929e+01,2.278711903126037497e-01
1.222000000000000064e+01,1.540236897923412951e-01
1.224000000000000021e+01,2.674656384237844575e-01
1.225999999999999979e+01,6.208051677450914241e-01
1.228000000000000114e+01,6.400689753319817321e-02
