# 2Theta,Intensity
1.000000000000000000e+01,3.392477374333174867e-01
1.001999999999999957e+01,4.878833440028483293e-01
1.003999999999999915e+01,4.230280242049682671e-01
1.006000000000000050e+01,6.032835225997180695e-01
1.008000000000000007e+01,7.668003002074246233e-01
1.009999999999999964e+01,7.324076173642822818e-01
1.011999999999999922e+01,1.910971435596494628e-01
1.014000000000000057e+01,6.162802416105108705e-01
1.016000000000000014e+01,4.316240404030680100e-01
1.017999999999999972e+01,5.000153281469400524e-01
1.019999999999999929e+01,4.272780768761299530e-01
1.022000000000000064e+01,5.807361013724584575e-01
1.024000000000000021e+01,5.793545499846455282e-01
1.025999999999999979e+01,6.016313077784929408e-01
1.027999999999999936e+01,6.105521717829293094e-01
1.030000000000000071e+01,3.529198789473765308e-01
1.032000000000000028e+01,7.440667911186049643e-01
1.033999999999999986e+01,5.689634013013664671e-01
1.035999999999999943e+01,8.109047541242636603e-01
1.038000000000000078e+01,6.646213100086687531e-01
1.040000000000000036e+01,7.121412707224721306e-01
1.041999999999999993e+01,5.069525661422319418e-01
1.043999999999999950e+01,4.008193110422659799e-01
1.046000000000000085e+01,4.396991588166202503e-01
1.048000000000000043e+01,6.817467183356793470e-01
1.050000000000000000e+01,3.963051481001634846e-01
1.051999999999999957e+01,5.358218226260708095e-01
1.053999999999999915e+01,3.626551202673415908e-01
1.056000000000000050e+01,4.544159157958359008e-01
1.058000000000000007e+01,5.387278355946290009e-01
1.059999999999999964e+01,4.060422618689220609e-01
1.061999999999999922e+01,5.813522632490158992e-01
1.064000000000000057e+01,3.857168667068149870e-01
1.066000000000000014e+01,5.032101406284669176e-01
1.067999999999999972e+01,5.158714713263026219e-01
1.069999999999999929e+01,2.306728711782045638e-01
1.072000000000000064e+01,4.934231826855253189e-01
1.074000000000000021e+01,4.402844624148811170e-01
1.075999999999999979e+01,5.131120758259037906e-01
1.077999999999999936e+01,5.462591963508063309e-01
1.080000000000000071e+01,5.184898054065263384e-01
1.082000000000000028e+01,6.933146187189400678e-01
1.083999999999999986e+01,3.441428119671021135e-01
1.085999999999999943e+01,5.416491657887421152e-01
1.088000000000000078e+01,4.284533353727919547e-01
1.090000000000000036e+01,5.352827823055602563e-01
1.091999999999999993e+01,5.333697669105719186e-01
1.093999999999999950e+01,2.270434308934859424e-01
1.096000000000000085e+01,5.332642776026959019e-01
1.098000000000000043e+01,2.628302586719069578e-01
1.100000000000000000e+01,3.726618612534312036e-01
1.101999999999999957e+01,5.458888206829746181e-01
1.103999999999999915e+01,3.750824096444786981e-01
1.106000000000000050e+01,5.597914435920777754e-01
1.108000000000000007e+01,2.433198230205287638e-01
1.109999999999999964e+01,3.810328907511445484e-01
1.112000000000000099e+01,3.373254413267465779e-01
1.114000000000000057e+01,6.140277714066694204e-01
1.116000000000000014e+01,4.389398135096452269e-01
1.117999999999999972e+01,3.796888736894742933e-01
1.119999999999999929e+01,5.967221826033922705e-01
1.122000000000000064e+01,5.440606616959747788e-01
1.124000000000000021e+01,4.083285469818050406e-01
1.125999999999999979e+01,4.918391730059754052e-01
1.127999999999999936e+01,5.515450610634881068e-01
1.130000000000000071e+01,6.054517699676308373e-01
1.132000000000000028e+01,4.366784992893965045e-01
1.133999999999999986e+01,4.141679315506047176e-01
1.135999999999999943e+01,6.391711176508028114e-01
1.138000000000000078e+01,3.537206854967555048e-01
1.140000000000000036e+01,5.945371955789026108e-01
1.141999999999999993e+01,2.731540832546284214e-01
1.143999999999999950e+01,4.927499944676902999e-01
1.146000000000000085e+01,5.659569556622351394e-01
1.148000000000000043e+01,2.827697813610083877e-01
1.150000000000000000e+01,4.887268268092592738e-01
1.151999999999999957e+01,4.988396408849096741e-01
1.153999999999999915e+01,5.515541142997404389e-01
1.156000000000000050e+01,3.993896901555435419e-01
1.158000000000000007e+01,6.467298798727991738e-01
1.159999999999999964e+01,5.023613466754367485e-01
1.162000000000000099e+01,4.204641739441194459e-01
1.164000000000000057e+01,5.248686022685853381e-01
1.166000000000000014e+01,4.735331452973811084e-01
1.167999999999999972e+01,3.737011826635121547e-01
1.169999999999999929e+01,5.039169609746356748e-01
1.172000000000000064e+01,1.953819817037492634e-01
1.174000000000000021e+01,4.176990421398579234e-01
1.175999999999999979e+01,5.440352812932931492e-01
1.177999999999999936e+01,5.171698001985153281e-01
1.180000000000000071e+01,6.002125842571559566e-01
1.182000000000000028e+01,6.190533981829475785e-01
1.183999999999999986e+01,5.209828437620910302e-01
1.185999999999999943e+01,6.008672443879705671e-01
1.188000000000000078e+01,6.313925314572687020e-01
1.190000000000000036e+01,3.275793886714676306e-01
1.191999999999999993e+01,4.005038738782225050e-01
1.193999999999999950e+01,5.428944303337044364e-01
1.196000000000000085e+01,5.849592013887008335e-01
1.198000000000000043e+01,3.772722273343770971e-01
1.200000000000000000e+01,5.387274698264649109e-01
1.201999999999999957e+01,5.611715917729163117e-01
1.203999999999999915e+01,5.551511731756328949e-01
1.206000000000000050e+01,5.284323946154455554e-01
1.208000000000000007e+01,4.710637920360580266e-01
1.209999999999999964e+01,5.858237773577088525e-01
1.212000000000000099e+01,7.198453744257817810e-01
1.214000000000000057e+01,3.284142415089832956e-01
1.216000000000000014e+01,5.045610258152911642e-01
1.217999999999999972e+01,5.167070056259817079e-01
1.219999999999999929e+01,5.226587171413227262e-01
1.222000000000000064e+01,3.819528335193123070e-01
1.224000000000000021e+01,4.617275774576620195e-01
1.225999999999999979e+01,3.968953392063432895e-01
1.228000000000000114e+01,7.962702450013305899e-01
1.230000000000000071e+01,4.412104682601358241e-01
1.232000000000000028e+01,5.846882145764094041e-01
1.233999999999999986e+01,5.662039432298708874e-01
1.235999999999999943e+01,5.388565063432868563e-01
1.237999999999999901e+01,7.013372756229441229e-01
1.240000000000000036e+01,4.467824540445292092e-01
1.241999999999999993e+01,2.017915898276840259e-01
1.243999999999999950e+01,4.721975821600403744e-01
1.246000000000000085e+01,3.948840751821327544e-01
1.248000000000000043e+01,3.352950864363622996e-01
1.250000000000000000e+01,3.488445105946981206e-01
1.251999999999999957e+01,4.452036245817748705e-01
1.253999999999999915e+01,5.958966354928099118e-01
1.256000000000000050e+01,2.850426408549394108e-01
1.258000000000000007e+01,5.789234793190601858e-01
1.259999999999999964e+01,6.411856495156030844e-01
1.262000000000000099e+01,2.035695217854499306e-01
1.264000000000000057e+01,4.483480419756823432e-01
1.266000000000000014e+01,4.602878928311262552e-01
1.267999999999999972e+01,3.909363938456079102e-01
1.269999999999999929e+01,5.164269370057081865e-01
1.272000000000000064e+01,4.093415134059714133e-01
1.274000000000000021e+01,3.171663220134006700e-01
1.275999999999999979e+01,4.863508501662374695e-01
1.278000000000000114e+01,5.211323708716327774e-01
1.280000000000000071e+01,2.677941590300447761e-01
1.282000000000000028e+01,4.313473016082969846e-01
1.283999999999999986e+01,4.347025607107443124e-01
1.285999999999999943e+01,7.102970664597002548e-01
1.287999999999999901e+01,7.826928442336227310e-01
1.290000000000000036e+01,4.120987696991389448e-01
1.291999999999999993e+01,6.631979448862911353e-01
1.293999999999999950e+01,8.366428977225833785e-01
1.296000000000000085e+01,4.338283863819115127e-01
1.298000000000000043e+01,4.384082796147876770e-01
1.300000000000000000e+01,3.338295113064467246e-01
1.301999999999999957e+01,6.640289133523314957e-01
1.303999999999999915e+01,7.121104406302204426e-01
1.306000000000000050e+01,2.239181056946501491e-01
1.308000000000000007e+01,4.561797402733117068e-01
1.309999999999999964e+01,3.699057716192374889e-01
1.312000000000000099e+01,3.899503249016404993e-01
1.314000000000000057e+01,4.574992127702254274e-01
1.316000000000000014e+01,7.219054081306359727e-01
1.317999999999999972e+01,4.423910507444925311e-01
1.319999999999999929e+01,4.092778483385675070e-01
1.322000000000000064e+01,5.692509285351637915e-01
1.324000000000000021e+01,6.727965145524414936e-01
1.325999999999999979e+01,4.915804715250359780e-01
1.328000000000000114e+01,4.388455966620949389e-01
1.330000000000000071e+01,5.895670013530313058e-01
1.332000000000000028e+01,5.144258936337881005e-01
1.333999999999999986e+01,1.775225664517264823e-01
1.335999999999999943e+01,5.647926635088151848e-01
1.337999999999999901e+01,5.109774649175105043e-01
1.340000000000000036e+01,6.709899379932844354e-01
1.341999999999999993e+01,4.053038113365867168e-01
1.343999999999999950e+01,3.611031098763564651e-01
1.346000000000000085e+01,4.413678673183375478e-01
1.348000000000000043e+01,4.039857066481057357e-01
1.350000000000000000e+01,4.131401797166211476e-01
1.351999999999999957e+01,4.300443112071511975e-01
1.353999999999999915e+01,3.521278710890082819e-01
1.356000000000000050e+01,4.245667948542373171e-01
1.358000000000000007e+01,6.454243706904103650e-01
1.359999999999999964e+01,6.045381383927396213e-01
1.362000000000000099e+01,4.629001534497187431e-01
1.364000000000000057e+01,6.829406363564388682e-01
1.366000000000000014e+01,3.215241889018646271e-01
1.367999999999999972e+01,5.596595111627722385e-01
1.369999999999999929e+01,4.358524312685250757e-01
1.372000000000000064e+01,5.337032039435138930e-01
1.374000000000000021e+01,5.310897130414682366e-01
1.375999999999999979e+01,3.471875095837099190e-01
1.378000000000000114e+01,5.345269713814467805e-01
1.380000000000000071e+01,3.927991785922072543e-01
1.382000000000000028e+01,5.818094642493660817e-01
1.383999999999999986e+01,7.643601125331970225e-01
1.385999999999999943e+01,3.432209726731360599e-01
1.387999999999999901e+01,2.361772435855904462e-01
1.390000000000000036e+01,2.863647453854130664e-01
1.391999999999999993e+01,3.878348343633776785e-01
1.393999999999999950e+01,3.737124199664884627e-01
1.396000000000000085e+01,3.538712302440240043e-01
1.398000000000000043e+01,6.752784342016032726e-01
1.400000000000000000e+01,5.172979061744866769e-01
1.401999999999999957e+01,4.160266206544070977e-01
1.403999999999999915e+01,3.784578222225435939e-01
1.406000000000000050e+01,3.540327659580967956e-01
1.408000000000000007e+01,4.201577022340089451e-01
1.409999999999999964e+01,6.324554630541017186e-01
1.412000000000000099e+01,4.755398939722058071e-01
1.414000000000000057e+01,5.044488331060543729e-01
1.416000000000000014e+01,6.659462129313423739e-01
1.417999999999999972e+01,4.844112327993495559e-01
1.419999999999999929e+01,3.902266702138993404e-01
1.421999999999999886e+01,2.734009926342169661e-01
1.424000000000000021e+01,1.578372077969284470e-01
1.425999999999999979e+01,6.201194645375692760e-01
1.428000000000000114e+01,5.115897556751278774e-01
1.430000000000000071e+01,5.442606934572219446e-01
1.432000000000000028e+01,6.185945798307584953e-01
1.433999999999999986e+01,5.325087166519354431e-01
1.435999999999999943e+01,4.948918407161851385e-01
1.437999999999999901e+01,7.722940507875344363e-01
1.440000000000000036e+01,3.966917992998323927e-01
1.441999999999999993e+01,5.741347442713543581e-01
1.444000000000000128e+01,3.427634410502732876e-01
1.446000000000000085e+01,3.878458352210673032e-01
1.448000000000000043e+01,4.875926219313542198e-01
1.450000000000000000e+01,5.515262125313707964e-01
1.451999999999999957e+01,4.555929769016665576e-01
1.453999999999999915e+01,6.618160559173685842e-01
1.456000000000000050e+01,2.912192925440217350e-01
1.458000000000000007e+01,3.712366960867708454e-01
1.460000000000000142e+01,6.708865414527153126e-01
1.462000000000000099e+01,4.349666501679700925e-01
1.464000000000000057e+01,6.508962037984560300e-01
1.466000000000000014e+01,4.701651538545007503e-01
1.467999999999999972e+01,6.665436692317576739e-01
1.469999999999999929e+01,5.635509812666432694e-01
1.471999999999999886e+01,5.195924036256153178e-01
1.474000000000000021e+01,2.347491042582713905e-01
1.475999999999999979e+01,5.505356122982963951e-01
1.478000000000000114e+01,4.594853657003215019e-01
1.480000000000000071e+01,3.788147169012810456e-01
