# 2Theta,Intensity
1.000000000000000000e+01,3.253464735725141721e-01
1.001999999999999957e+01,2.597544941941143382e-01
1.003999999999999915e+01,5.239716191753265306e-01
1.006000000000000050e+01,6.944106328007222384e-01
1.008000000000000007e+01,4.952131442842987452e-01
1.009999999999999964e+01,5.661395444961780932e-01
1.011999999999999922e+01,4.357438208608344077e-01
1.014000000000000057e+01,3.030886124557634620e-01
1.016000000000000014e+01,4.367589557349261242e-01
1.017999999999999972e+01,4.950976386557641162e-01
1.019999999999999929e+01,2.758848459755033344e-01
1.022000000000000064e+01,4.078276692828451955e-01
1.024000000000000021e+01,3.288054438289244041e-01
1.025999999999999979e+01,4.502549006931599318e-01
1.027999999999999936e+01,4.264480729807204606e-01
1.030000000000000071e+01,6.865856222438033729e-01
1.032000000000000028e+01,4.427395489605427947e-01
1.033999999999999986e+01,5.656477740990193404e-01
1.035999999999999943e+01,7.331309827601889539e-01
1.038000000000000078e+01,2.464842526333715367e-01
1.040000000000000036e+01,6.512627357985036891e-01
1.041999999999999993e+01,3.327027877577081738e-01
1.043999999999999950e+01,2.564940523454728449e-01
1.046000000000000085e+01,3.179844590334386378e-01
1.048000000000000043e+01,2.721314440904445409e-01
1.050000000000000000e+01,2.822987000410442926e-01
1.051999999999999957e+01,5.217312850295802162e-01
1.053999999999999915e+01,4.259122480421769774e-01
1.056000000000000050e+01,6.497133261752998656e-01
1.058000000000000007e+01,4.479444146962821005e-01
1.059999999999999964e+01,5.719235108572194859e-01
1.061999999999999922e+01,2.761770517826321325e-01
1.064000000000000057e+01,5.979715531621142555e-01
1.066000000000000014e+01,5.732546186032935198e-01
1.067999999999999972e+01,2.293072504199897277e-01
1.069999999999999929e+01,6.912114665256275936e-01
1.072000000000000064e+01,2.139128186719124747e-01
1.074000000000000021e+01,7.226029912766671615e-01
1.075999999999999979e+01,2.301357390677806480e-01
1.077999999999999936e+01,6.266695815262842695e-01
1.080000000000000071e+01,4.093967375674349984e-01
1.082000000000000028e+01,5.794258563260754613e-01
1.083999999999999986e+01,2.398843661191385757e-01
1.085999999999999943e+01,6.327716432682400916e-01
1.088000000000000078e+01,3.459314714891963405e-01
1.090000000000000036e+01,7.525991619919880637e-01
1.091999999999999993e+01,6.043730049813427208e-01
1.093999999999999950e+01,3.728215042997692907e-01
1.096000000000000085e+01,3.205168314625728709e-01
1.098000000000000043e+01,5.506646526665199826e-01
1.100000000000000000e+01,4.937378296393597488e-01
1.101999999999999957e+01,5.311059653648207979e-01
1.103999999999999915e+01,6.257014590555652900e-01
1.106000000000000050e+01,4.450820306789777803e-01
1.108000000000000007e+01,5.512872605711776064e-01
1.109999999999999964e+01,4.144418012126095396e-01
1.112000000000000099e+01,4.517032990849954022e-01
1.114000000000000057e+01,2.098287126338846398e-01
1.116000000000000014e+01,2.941093173965483309e-01
1.117999999999999972e+01,4.253730485435538999e-01
1.119999999999999929e+01,1.854619359790128374e-01
1.122000000000000064e+01,3.125772328670681777e-01
1.124000000000000021e+01,3.700740521083734635e-01
1.125999999999999979e+01,4.584921411588423479e-01
1.127999999999999936e+01,1.389389127629846177e-01
1.130000000000000071e+01,8.546957857605114173e-02
1.132000000000000028e+01,6.316025799762264858e-01
1.133999999999999986e+01,5.464855244478221685e-01
1.135999999999999943e+01,5.662831064941300507e-01
1.138000000000000078e+01,2.430520199359640088e-01
1.140000000000000036e+01,3.862258343874805933e-01
1.141999999999999993e+01,3.094762424333641349e-01
1.143999999999999950e+01,2.382277379447483856e-01
1.146000000000000085e+01,2.642745735562452292e-01
1.148000000000000043e+01,4.748712064070564343e-01
1.150000000000000000e+01,5.495853602698039797e-01
1.151999999999999957e+01,5.289209233196535687e-01
1.153999999999999915e+01,5.437554531861754636e-01
1.156000000000000050e+01,4.458347311627013920e-01
1.158000000000000007e+01,4.227967768975215979e-01
1.159999999999999964e+01,4.861621567560348578e-01
1.162000000000000099e+01,2.253181082673027524e-01
1.164000000000000057e+01,4.406698762198137387e-01
1.166000000000000014e+01,3.845435159981118178e-01
1.167999999999999972e+01,4.655603007381778902e-01
1.169999999999999929e+01,1.665174700655770168e-01
1.172000000000000064e+01,5.746455147026791055e-01
1.174000000000000021e+01,4.416806809713285098e-01
1.175999999999999979e+01,3.911124833411269708e-01
1.177999999999999936e+01,4.498809477904969212e-01
1.180000000000000071e+01,1.882112690073797501e-01
1.182000000000000028e+01,5.071005250653706220e-01
1.183999999999999986e+01,2.347898227235309387e-01
1.185999999999999943e+01,3.609968236448510837e-01
1.188000000000000078e+01,4.863178934110070628e-01
1.190000000000000036e+01,2.468910012549409005e-01
1.191999999999999993e+01,4.626157755792066339e-01
1.193999999999999950e+01,3.943909861387231985e-01
1.196000000000000085e+01,2.739785496027991041e-01
1.198000000000000043e+01,3.980185236903914792e-01
1.200000000000000000e+01,3.917066129054151413e-01
1.201999999999999957e+01,4.710506520803989239e-01
1.203999999999999915e+01,3.302081364937589636e-01
1.206000000000000050e+01,9.756988922254712648e-02
1.208000000000000007e+01,6.074556852492983827e-01
1.209999999999999964e+01,5.435713616482142907e-01
1.212000000000000099e+01,4.237371801731972809e-01
1.214000000000000057e+01,5.065614560578300951e-01
1.216000000000000014e+01,3.054505400985824126e-01
1.217999999999999972e+01,4.448871308826712334e-01
1.219999999999999929e+01,3.736970396014985263e-01
1.222000000000000064e+01,3.468623965207973114e-01
1.224000000000000021e+01,3.425334309020060530e-01
1.225999999999999979e+01,4.804784889602999876e-01
1.228000000000000114e+01,3.776500705292426541e-01
1.230000000000000071e+01,6.222178216406359930e-01
1.232000000000000028e+01,5.391778791874597410e-01
1.233999999999999986e+01,4.444063574880507406e-01
1.235999999999999943e+01,3.265772079524433824e-01
1.237999999999999901e+01,3.190506631414786187e-01
1.240000000000000036e+01,4.715923040481964645e-01
1.241999999999999993e+01,2.470737228895834303e-01
1.243999999999999950e+01,2.940214247959999083e-01
1.246000000000000085e+01,6.760845784950942905e-01
1.248000000000000043e+01,3.766245360837087164e-01
1.250000000000000000e+01,1.774260771456403485e-01
1.251999999999999957e+01,4.834289990494449185e-01
1.253999999999999915e+01,3.221404178016839537e-01
1.256000000000000050e+01,3.228582096791137168e-01
1.258000000000000007e+01,3.807684719813491658e-01
1.259999999999999964e+01,4.699553107108014882e-01
1.262000000000000099e+01,3.962607929029095533e-01
1.264000000000000057e+01,4.204538295600044329e-01
1.266000000000000014e+01,2.848703423983864336e-01
1.267999999999999972e+01,5.662010600412316075e-01
1.269999999999999929e+01,3.795688665321303445e-01
1.272000000000000064e+01,5.582836165604313505e-01
1.274000000000000021e+01,3.710990407654312095e-01
1.275999999999999979e+01,2.651202604451619038e-01
1.278000000000000114e+01,4.775155157128256889e-01
1.280000000000000071e+01,1.339007966819193984e-01
1.282000000000000028e+01,3.749369810674401116e-01
1.283999999999999986e+01,1.932700079274355665e-01
1.285999999999999943e+01,5.270088789827933606e-01
1.287999999999999901e+01,2.800180823140863140e-01
1.290000000000000036e+01,1.723849521060471512e-01
1.291999999999999993e+01,5.190939842905732959e-01
1.293999999999999950e+01,3.085219022986797066e-01
1.296000000000000085e+01,4.789484864452299706e-01
1.298000000000000043e+01,4.565207493361174707e-01
1.300000000000000000e+01,5.661173320195560521e-01
1.301999999999999957e+01,4.527674417771508919e-01
1.303999999999999915e+01,4.990516544025778156e-01
1.306000000000000050e+01,3.989369738612694172e-01
1.308000000000000007e+01,3.481665809310806603e-01
1.309999999999999964e+01,3.094831025646848643e-01
1.312000000000000099e+01,6.140497273526696054e-01
1.314000000000000057e+01,4.090534136606268634e-01
1.316000000000000014e+01,5.061779070581895468e-01
1.317999999999999972e+01,2.942531604843546256e-01
1.319999999999999929e+01,7.703203229552137987e-01
1.322000000000000064e+01,4.156520677398065078e-01
1.324000000000000021e+01,2.496000611529392565e-01
1.325999999999999979e+01,3.154148051821648591e-01
1.328000000000000114e+01,3.110654841570906770e-01
1.330000000000000071e+01,4.978362289627399351e-01
1.332000000000000028e+01,2.553548517691951458e-01
1.333999999999999986e+01,2.509987200182354217e-01
1.335999999999999943e+01,3.125717772548055606e-01
1.337999999999999901e+01,4.481754350916983820e-01
1.340000000000000036e+01,3.326491022195693925e-01
1.341999999999999993e+01,4.591188756939511562e-01
1.343999999999999950e+01,4.019614080389048993e-01
1.346000000000000085e+01,3.391024854738123873e-01
1.348000000000000043e+01,3.913567758720354339e-01
1.350000000000000000e+01,3.066714406692946926e-01
1.351999999999999957e+01,3.122885150619436612e-01
1.353999999999999915e+01,4.408294105728521317e-01
1.356000000000000050e+01,3.654393191833053556e-01
1.358000000000000007e+01,4.557526948364402086e-01
1.359999999999999964e+01,2.547459025936801846e-01
1.362000000000000099e+01,3.937590652847285932e-01
1.364000000000000057e+01,4.917340782299500224e-01
1.366000000000000014e+01,5.262616918155468282e-01
1.367999999999999972e+01,1.882122576693066596e-01
1.369999999999999929e+01,4.571258424386870356e-01
