# 2Theta,Intensity
1.000000000000000000e+01,1.409480916839130016e+00
1.001999999999999957e+01,1.584063556490011848e+00
1.003999999999999915e+01,1.474281746474936705e+00
1.006000000000000050e+01,1.024108028837992235e+00
1.008000000000000007e+01,1.541760938202190179e+00
1.009999999999999964e+01,1.201149562080844113e+00
1.011999999999999922e+01,1.031730249232806873e+00
1.014000000000000057e+01,1.206384503292664334e+00
1.016000000000000014e+01,9.864948493815809405e-01
1.017999999999999972e+01,1.843208667987325855e+00
1.019999999999999929e+01,1.202785914158844394e+00
1.022000000000000064e+01,1.208207974845304511e+00
1.024000000000000021e+01,1.191206254592588998e+00
1.025999999999999979e+01,1.375694250081882952e+00
1.027999999999999936e+01,1.048120102984546831e+00
1.030000000000000071e+01,1.351335530122180328e+00
1.032000000000000028e+01,1.164902729859299768e+00
1.033999999999999986e+01,1.587186377818257110e+00
1.035999999999999943e+01,9.052972523987909970e-01
1.038000000000000078e+01,1.460366481917753756e+00
1.040000000000000036e+01,9.711320905468360243e-01
1.041999999999999993e+01,1.326274263237026796e+00
1.043999999999999950e+01,1.139155457449580577e+00
1.046000000000000085e+01,1.261751616644483986e+00
1.048000000000000043e+01,1.247544060613669625e+00
1.050000000000000000e+01,1.138603798987736448e+00
1.051999999999999957e+01,1.320992328784611258e+00
1.053999999999999915e+01,1.548834627579968259e+00
1.056000000000000050e+01,1.581382679641516908e+00
1.058000000000000007e+01,1.233057499436072346e+00
1.059999999999999964e+01,1.124091488775863734e+00
1.061999999999999922e+01,1.262941837629884212e+00
1.064000000000000057e+01,1.307709331125221031e+00
1.066000000000000014e+01,1.289036552760364662e+00
1.067999999999999972e+01,1.253173759050357550e+00
1.069999999999999929e+01,1.381772734419965287e+00
1.072000000000000064e+01,1.234909731856088655e+00
1.074000000000000021e+01,1.737811582018706336e+00
1.075999999999999979e+01,1.180728196502883520e+00
1.077999999999999936e+01,1.302664062782233234e+00
1.080000000000000071e+01,1.363596799802255788e+00
1.082000000000000028e+01,1.103923620132897243e+00
1.083999999999999986e+01,1.403298521315267999e+00
1.085999999999999943e+01,1.458300772445356053e+00
1.088000000000000078e+01,1.195111803654774763e+00
1.090000000000000036e+01,1.276948020407288942e+00
1.091999999999999993e+01,1.115423961845383394e+00
1.093999999999999950e+01,1.122389081420374968e+00
1.096000000000000085e+01,1.450467544633020855e+00
1.098000000000000043e+01,1.300630280219129853e+00
1.100000000000000000e+01,1.524856453186430594e+00
1.101999999999999957e+01,1.332800277921276422e+00
1.103999999999999915e+01,1.084738155190596576e+00
1.106000000000000050e+01,1.005603841471596871e+00
1.108000000000000007e+01,1.382894227895660189e+00
1.109999999999999964e+01,1.324649912752534631e+00
1.112000000000000099e+01,1.420442120114866480e+00
1.114000000000000057e+01,1.131745313550369669e+00
1.116000000000000014e+01,1.383895507246011736e+00
1.117999999999999972e+01,1.130890614616649303e+00
1.119999999999999929e+01,1.172998045000451350e+00
1.122000000000000064e+01,1.182849993513510167e+00
1.124000000000000021e+01,1.518431163481058777e+00
1.125999999999999979e+01,1.360391335640151356e+00
1.127999999999999936e+01,1.287330546988638913e+00
1.130000000000000071e+01,1.533414836320806218e+00
1.132000000000000028e+01,1.450953031097266033e+00
1.133999999999999986e+01,1.284520639643579987e+00
1.135999999999999943e+01,1.017407585022680250e+00
1.138000000000000078e+01,1.514221514390583501e+00
1.140000000000000036e+01,1.113508515794908726e+00
1.141999999999999993e+01,1.268076429272123606e+00
1.143999999999999950e+01,1.169588697542088829e+00
1.146000000000000085e+01,1.060325397015268400e+00
1.148000000000000043e+01,1.473639481828032283e+00
1.150000000000000000e+01,1.254031511810020261e+00
1.151999999999999957e+01,1.455759888894116338e+00
1.153999999999999915e+01,1.623052554816417192e+00
1.156000000000000050e+01,1.365951009868611399e+00
1.158000000000000007e+01,8.099959021694339567e-01
1.159999999999999964e+01,1.235583544644352605e+00
1.162000000000000099e+01,1.144738646712513130e+00
1.164000000000000057e+01,1.194352914471007443e+00
1.166000000000000014e+01,1.421165471863091501e+00
1.167999999999999972e+01,1.226631499384527091e+00
1.169999999999999929e+01,1.043254908169932937e+00
1.172000000000000064e+01,1.211849290568513648e+00
1.174000000000000021e+01,1.177068245992369588e+00
1.175999999999999979e+01,1.413667299282087786e+00
1.177999999999999936e+01,1.284815589380562395e+00
1.180000000000000071e+01,9.548513264037458148e-01
1.182000000000000028e+01,1.100177971962150725e+00
1.183999999999999986e+01,1.424343180798690600e+00
1.185999999999999943e+01,1.215806027604712014e+00
1.188000000000000078e+01,1.481443748373503899e+00
1.190000000000000036e+01,1.252047186450573335e+00
1.191999999999999993e+01,9.893254873355594725e-01
1.193999999999999950e+01,1.163348618854098460e+00
1.196000000000000085e+01,1.359644176501853652e+00
1.198000000000000043e+01,1.005796415166279933e+00
1.200000000000000000e+01,1.486058411162531012e+00
1.201999999999999957e+01,1.350294808917380296e+00
1.203999999999999915e+01,1.281286403058844892e+00
1.206000000000000050e+01,1.500438293130507583e+00
1.208000000000000007e+01,1.030391820887851528e+00
1.209999999999999964e+01,1.139049231546351404e+00
1.212000000000000099e+01,1.543900702891531251e+00
1.214000000000000057e+01,1.389455638138850979e+00
1.216000000000000014e+01,1.202974337211994982e+00
1.217999999999999972e+01,1.246000681665700993e+00
1.219999999999999929e+01,1.029606501761338055e+00
1.222000000000000064e+01,8.600802383384293925e-01
1.224000000000000021e+01,1.069406699418080864e+00
1.225999999999999979e+01,1.259671004663226679e+00
1.228000000000000114e+01,1.623524739592209887e+00
1.230000000000000071e+01,1.203916045704609639e+00
1.232000000000000028e+01,1.301117110806454757e+00
1.233999999999999986e+01,1.478491899022870593e+00
1.235999999999999943e+01,1.253358807870867953e+00
1.237999999999999901e+01,1.382408751889935727e+00
1.240000000000000036e+01,1.295912181347107506e+00
1.241999999999999993e+01,1.121591737658040877e+00
1.243999999999999950e+01,1.454143406385256521e+00
1.246000000000000085e+01,1.268573766044626350e+00
1.248000000000000043e+01,1.678217149505785821e+00
1.250000000000000000e+01,1.473165877684611047e+00
1.251999999999999957e+01,9.281316655351354861e-01
1.253999999999999915e+01,1.377202847293112598e+00
1.256000000000000050e+01,1.202558779257224986e+00
1.258000000000000007e+01,1.271811863308284218e+00
1.259999999999999964e+01,1.302658283298497199e+00
1.262000000000000099e+01,1.449889834852970960e+00
1.264000000000000057e+01,1.118957619764516576e+00
1.266000000000000014e+01,1.045188580884034435e+00
1.267999999999999972e+01,1.353397002921334025e+00
1.269999999999999929e+01,9.711684871932703134e-01
1.272000000000000064e+01,1.414180075679118742e+00
1.274000000000000021e+01,1.256897286030120409e+00
1.275999999999999979e+01,1.286750614807023352e+00
1.278000000000000114e+01,1.275236458625427893e+00
1.280000000000000071e+01,1.267755623745032922e+00
1.282000000000000028e+01,1.215396765263225154e+00
1.283999999999999986e+01,1.301640543697139218e+00
1.285999999999999943e+01,8.910637031501699168e-01
1.287999999999999901e+01,1.187005315280766471e+00
1.290000000000000036e+01,1.110917765993845174e+00
1.291999999999999993e+01,1.331758530840837729e+00
1.293999999999999950e+01,1.318703113728341592e+00
1.296000000000000085e+01,1.745810952855982645e+00
1.298000000000000043e+01,1.354711308006676163e+00
1.300000000000000000e+01,1.413329654541161551e+00
1.301999999999999957e+01,1.103757846421125954e+00
1.303999999999999915e+01,1.243883140589447711e+00
1.306000000000000050e+01,1.693804306586241593e+00
1.308000000000000007e+01,1.543099416756749998e+00
1.309999999999999964e+01,1.417553961656146777e+00
1.312000000000000099e+01,9.962405116608076261e-01
1.314000000000000057e+01,1.276665520287433297e+00
1.316000000000000014e+01,1.188654899494741901e+00
1.317999999999999972e+01,1.002027927286791575e+00
1.319999999999999929e+01,1.295160367242834898e+00
1.322000000000000064e+01,1.172138358174489969e+00
1.324000000000000021e+01,1.536490006605058412e+00
1.325999999999999979e+01,1.332633186264100988e+00
1.328000000000000114e+01,1.395970246056785546e+00
1.330000000000000071e+01,1.284588163701144481e+00
1.332000000000000028e+01,1.232240582998242795e+00
1.333999999999999986e+01,1.376571177508512100e+00
1.335999999999999943e+01,1.208874842478148803e+00
1.337999999999999901e+01,1.309171395619770806e+00
1.340000000000000036e+01,1.247382385937837013e+00
1.341999999999999993e+01,1.586871660893540037e+00
1.343999999999999950e+01,1.758614023158474371e+00
1.346000000000000085e+01,1.234151622853090435e+00
1.348000000000000043e+01,1.476272303418041609e+00
1.350000000000000000e+01,1.280166613792382835e+00
1.351999999999999957e+01,1.231603825267479468e+00
1.353999999999999915e+01,1.532362273049823420e+00
1.356000000000000050e+01,1.218620527085829019e+00
1.358000000000000007e+01,1.315500918323029067e+00
1.359999999999999964e+01,1.348225583151395401e+00
1.362000000000000099e+01,1.177006777874916921e+00
1.364000000000000057e+01,1.344995244267023216e+00
1.366000000000000014e+01,1.069261416441027901e+00
1.367999999999999972e+01,1.554537708546699593e+00
