# 2Theta,Intensity
1.000000000000000000e+01,1.369359895045539621e-01
1.001999999999999957e+01,5.091462582254505792e-02
1.003999999999999915e+01,1.805376984999241818e-01
1.006000000000000050e+01,4.610668278188168601e-01
1.008000000000000007e+01,2.239364741729341635e-01
1.009999999999999964e+01,2.811109570164830873e-01
1.011999999999999922e+01,6.221101484620159550e-01
1.014000000000000057e+01,3.429658921137253569e-01
1.016000000000000014e+01,1.549531453998996555e-01
1.017999999999999972e+01,1.943064857062546669e-01
1.019999999999999929e+01,1.972292031791344769e-01
1.022000000000000064e+01,1.508239307949095775e-01
1.024000000000000021e+01,1.959386303067324753e-01
1.025999999999999979e+01,1.365048570317964061e-01
1.027999999999999936e+01,-8.393061850050710648e-02
1.030000000000000071e+01,4.229048859273481509e-01
1.032000000000000028e+01,1.393070782816596964e-01
1.033999999999999986e+01,2.528675375599729325e-01
1.035999999999999943e+01,1.049466314035440023e-01
1.038000000000000078e+01,1.157329743095388691e-01
1.040000000000000036e+01,4.455265551722880080e-01
1.041999999999999993e+01,3.842904507082258170e-01
1.043999999999999950e+01,1.291341879231909795e-01
1.046000000000000085e+01,3.445534487445424121e-01
1.048000000000000043e+01,1.977403842055630023e-01
1.050000000000000000e+01,1.506146219434118527e-01
1.051999999999999957e+01,3.225347629675077710e-01
1.053999999999999915e+01,3.535054410207049691e-01
1.056000000000000050e+01,1.684458194243936835e-01
1.058000000000000007e+01,1.796001711529644496e-01
1.059999999999999964e+01,1.348325537894052017e-01
1.061999999999999922e+01,1.699176867359377396e-01
1.064000000000000057e+01,2.546666835355668179e-01
1.066000000000000014e+01,2.590579567661219218e-01
1.067999999999999972e+01,1.802832050703403466e-01
1.069999999999999929e+01,1.435442091701234248e-02
1.072000000000000064e+01,4.133826208886091091e-01
1.074000000000000021e+01,2.953684682538459949e-01
1.075999999999999979e+01,8.713952397020770235e-02
1.077999999999999936e+01,2.909431779004401641e-01
1.080000000000000071e+01,6.835620710719776671e-02
1.082000000000000028e+01,4.655961475365165692e-01
1.083999999999999986e+01,2.798032433777022931e-01
1.085999999999999943e+01,2.036670418361204993e-01
1.088000000000000078e+01,7.469590994747404844e-02
1.090000000000000036e+01,7.725374588418013055e-02
1.091999999999999993e+01,2.523761196014711050e-01
1.093999999999999950e+01,2.362043825173937850e-01
1.096000000000000085e+01,3.041504162650598975e-01
1.098000000000000043e+01,1.677491047528296420e-01
1.100000000000000000e+01,2.275480557671218929e-01
1.101999999999999957e+01,1.599852291385583103e-01
1.103999999999999915e+01,2.100931290635495163e-02
1.106000000000000050e+01,1.106506515922011380e-01
1.108000000000000007e+01,1.594788998284964732e-01
1.109999999999999964e+01,1.339920104967355086e-01
1.112000000000000099e+01,2.446341018544696821e-01
1.114000000000000057e+01,2.993458184266929029e-02
1.116000000000000014e+01,2.774205915873524386e-01
1.117999999999999972e+01,2.352676001268336203e-01
1.119999999999999929e+01,1.987981059164154185e-01
1.122000000000000064e+01,2.425278122034616735e-01
1.124000000000000021e+01,3.456166446318523211e-01
1.125999999999999979e+01,5.965156228093591168e-02
1.127999999999999936e+01,3.018599881783859962e-01
1.130000000000000071e+01,2.190767828638040815e-01
1.132000000000000028e+01,2.806011222277297046e-01
1.133999999999999986e+01,2.941061716837394813e-01
1.135999999999999943e+01,4.072872555602209954e-01
1.138000000000000078e+01,1.108551403996397011e-01
1.140000000000000036e+01,1.332371772612181704e-01
1.141999999999999993e+01,2.628157539394914699e-01
1.143999999999999950e+01,2.716840557471612017e-01
1.146000000000000085e+01,-1.687996504722967875e-02
1.148000000000000043e+01,5.519746916957352090e-02
1.150000000000000000e+01,9.243606965924906771e-02
1.151999999999999957e+01,9.224248974302565185e-02
1.153999999999999915e+01,7.596000514643189150e-02
1.156000000000000050e+01,1.489995434302042454e-01
1.158000000000000007e+01,2.259082737491154569e-01
1.159999999999999964e+01,2.397818949974008240e-01
1.162000000000000099e+01,8.887036420289615157e-02
1.164000000000000057e+01,2.809125464727292854e-01
1.166000000000000014e+01,3.185252150268770843e-01
1.167999999999999972e+01,5.991401445220367883e-01
1.169999999999999929e+01,2.889188894846855260e-01
1.172000000000000064e+01,1.959044180495165266e-01
1.174000000000000021e+01,5.455357715401289859e-02
1.175999999999999979e+01,2.280710232752603261e-01
1.177999999999999936e+01,2.679222166425432872e-01
1.180000000000000071e+01,1.089266879603979915e-01
1.182000000000000028e+01,1.513028311968691031e-01
1.183999999999999986e+01,2.352820576947844688e-01
1.185999999999999943e+01,2.741145984979153072e-01
1.188000000000000078e+01,3.763679424765273285e-01
1.190000000000000036e+01,2.850584720962979768e-01
1.191999999999999993e+01,4.601789751622564761e-02
1.193999999999999950e+01,4.321461345713945024e-01
1.196000000000000085e+01,-2.170896629668816677e-02
1.198000000000000043e+01,1.498429956565408283e-01
1.200000000000000000e+01,3.722343720392362609e-01
1.201999999999999957e+01,2.423837371870325164e-01
1.203999999999999915e+01,3.797110812784565415e-01
1.206000000000000050e+01,2.658943419139042641e-01
1.208000000000000007e+01,1.666437335221248317e-01
1.209999999999999964e+01,2.102803050637438165e-01
1.212000000000000099e+01,2.139978714068775656e-01
1.214000000000000057e+01,2.855042846405393409e-01
1.216000000000000014e+01,1.736074592833764529e-01
1.217999999999999972e+01,4.432267367922554380e-01
1.219999999999999929e+01,5.550714787542208040e-01
1.222000000000000064e+01,1.714034747226815258e-01
1.224000000000000021e+01,2.091430356992903250e-01
1.225999999999999979e+01,1.019426363295511256e-01
1.228000000000000114e+01,2.005507252531335272e-01
1.230000000000000071e+01,2.550475116315755741e-01
1.232000000000000028e+01,1.144198808771763609e-01
1.233999999999999986e+01,2.401285809127939597e-01
1.235999999999999943e+01,1.974358328400561691e-01
1.237999999999999901e+01,3.889704406124588898e-01
1.240000000000000036e+01,3.186016560434510869e-01
1.241999999999999993e+01,1.233397594746330483e-01
1.243999999999999950e+01,2.672403367577870781e-01
1.246000000000000085e+01,3.850523788309393458e-01
1.248000000000000043e+01,3.531141297284827174e-01
1.250000000000000000e+01,8.306885826994851729e-02
1.251999999999999957e+01,1.298040516884408080e-01
1.253999999999999915e+01,9.263432489767628453e-02
1.256000000000000050e+01,2.568181777233289886e-01
1.258000000000000007e+01,2.780700095863636867e-01
1.259999999999999964e+01,1.684677351313879912e-01
1.262000000000000099e+01,5.048558546791529454e-03
1.264000000000000057e+01,2.012092831519778358e-01
1.266000000000000014e+01,2.271676896352053943e-01
1.267999999999999972e+01,1.703326473512660200e-01
1.269999999999999929e+01,2.253058397370041877e-01
1.272000000000000064e+01,1.360799209572922941e-01
1.274000000000000021e+01,2.020206260075224358e-01
1.275999999999999979e+01,1.625368917955416492e-01
1.278000000000000114e+01,4.665549313841843015e-01
1.280000000000000071e+01,2.823651779385700222e-01
1.282000000000000028e+01,-6.529910405835944592e-03
1.283999999999999986e+01,9.942150536196400767e-02
1.285999999999999943e+01,3.982337941738398057e-01
1.287999999999999901e+01,2.827674875828900536e-01
1.290000000000000036e+01,2.203292309960162565e-01
1.291999999999999993e+01,3.446819655900031365e-01
1.293999999999999950e+01,1.492772973436005957e-01
1.296000000000000085e+01,4.846565451866798740e-02
1.298000000000000043e+01,2.525702040033655504e-01
1.300000000000000000e+01,1.481456779706022686e-01
1.301999999999999957e+01,3.300571943490681615e-01
1.303999999999999915e+01,3.677086518900345991e-01
1.306000000000000050e+01,4.418162731088134398e-01
1.308000000000000007e+01,3.578086583841102453e-01
1.309999999999999964e+01,2.850167647189911224e-01
1.312000000000000099e+01,1.326685421579741342e-01
1.314000000000000057e+01,2.627139691040579206e-01
1.316000000000000014e+01,2.697418143983760230e-01
1.317999999999999972e+01,1.490621299249311749e-01
1.319999999999999929e+01,1.230131267585913707e-01
1.322000000000000064e+01,4.135757771684859807e-01
1.324000000000000021e+01,2.698050521810540503e-01
1.325999999999999979e+01,4.059137558433296156e-01
1.328000000000000114e+01,2.229703223830273306e-01
1.330000000000000071e+01,3.120827381436899750e-01
1.332000000000000028e+01,1.485260815646041455e-01
1.333999999999999986e+01,1.601047181306883838e-01
1.335999999999999943e+01,3.886243650891611501e-01
1.337999999999999901e+01,5.498758311042563074e-01
1.340000000000000036e+01,4.038116167803091350e-01
1.341999999999999993e+01,2.405413264539311702e-01
1.343999999999999950e+01,1.303380956624214659e-01
1.346000000000000085e+01,1.236522758469436878e-01
1.348000000000000043e+01,2.400247620463402676e-01
1.350000000000000000e+01,2.054438358801888020e-01
1.351999999999999957e+01,2.036884883519159417e-01
1.353999999999999915e+01,1.268170660932911031e-01
1.356000000000000050e+01,2.612231595002566520e-01
1.358000000000000007e+01,3.007363288956245717e-01
1.359999999999999964e+01,4.398081256443989173e-01
1.362000000000000099e+01,5.887262127293570180e-02
1.364000000000000057e+01,5.218468429651726415e-02
1.366000000000000014e+01,2.506014014312043514e-01
1.367999999999999972e+01,1.885004053644484256e-01
1.369999999999999929e+01,2.360718939554300178e-01
1.372000000000000064e+01,2.862216072518993792e-01
1.374000000000000021e+01,2.870080994468348634e-01
1.375999999999999979e+01,3.158519594087244586e-01
1.378000000000000114e+01,3.176054984140658788e-01
1.380000000000000071e+01,3.712774686524464296e-01
1.382000000000000028e+01,1.771250420026651562e-01
1.383999999999999986e+01,1.462969249448209108e-01
1.385999999999999943e+01,3.580597382863267564e-01
1.387999999999999901e+01,3.453505435962962999e-01
1.390000000000000036e+01,1.288874883447150566e-01
1.391999999999999993e+01,1.299207007549074977e-01
1.393999999999999950e+01,3.649681635819069236e-01
1.396000000000000085e+01,2.015273350445650480e-01
1.398000000000000043e+01,3.107130055302957383e-01
1.400000000000000000e+01,1.952774727507281538e-01
1.401999999999999957e+01,4.585799226057049593e-02
1.403999999999999915e+01,2.672465600187730606e-01
1.406000000000000050e+01,1.479900245308144180e-01
1.408000000000000007e+01,1.947017493863018034e-01
1.409999999999999964e+01,1.778118018041004444e-01
1.412000000000000099e+01,3.634749606518089537e-01
1.414000000000000057e+01,3.491760140854387462e-01
1.416000000000000014e+01,3.074686075420342557e-01
1.417999999999999972e+01,4.065993492300956635e-01
1.419999999999999929e+01,2.865111715935040326e-01
1.421999999999999886e+01,1.177742730695967160e-01
1.424000000000000021e+01,2.450689804701464969e-01
1.425999999999999979e+01,1.185355021812454918e-01
1.428000000000000114e+01,3.676672967801802860e-01
1.430000000000000071e+01,5.321705008255291913e-01
1.432000000000000028e+01,2.685115180062517259e-01
1.433999999999999986e+01,1.602007589895075024e-01
1.435999999999999943e+01,3.450260448510756306e-01
1.437999999999999901e+01,9.849337208652818310e-02
1.440000000000000036e+01,2.484507515926929200e-01
1.441999999999999993e+01,-4.162403283144181648e-02
1.444000000000000128e+01,-1.322652659641071135e-02
1.446000000000000085e+01,3.932730154095649411e-01
1.448000000000000043e+01,8.623544045027096983e-02
1.450000000000000000e+01,3.259684868926216450e-01
1.451999999999999957e+01,3.180593737433657919e-01
1.453999999999999915e+01,2.978743936779852941e-01
1.456000000000000050e+01,4.150670076008019377e-02
1.458000000000000007e+01,4.855872755096806159e-01
1.460000000000000142e+01,1.182707213185368728e-01
1.462000000000000099e+01,2.651456630299082184e-01
1.464000000000000057e+01,4.297243882234570433e-01
1.466000000000000014e+01,2.995089159166411941e-01
1.467999999999999972e+01,1.130646961287760516e-01
1.469999999999999929e+01,1.207356582055075234e-01
1.471999999999999886e+01,3.258845135976889962e-01
1.474000000000000021e+01,2.376351000003234792e-01
1.475999999999999979e+01,3.512732219929032840e-01
1.478000000000000114e+01,3.861932436313701977e-01
1.480000000000000071e+01,3.181575524564938529e-01
1.482000000000000028e+01,-5.551007270170308164e-03
1.483999999999999986e+01,1.870298398279683638e-01
1.485999999999999943e+01,4.268186267698255154e-01
1.487999999999999901e+01,2.260364320119003234e-01
1.490000000000000036e+01,2.009814866385258580e-01
1.491999999999999993e+01,3.516233190300900591e-02
1.494000000000000128e+01,2.659881351516827364e-01
1.496000000000000085e+01,2.036885826875190209e-01
1.498000000000000043e+01,3.803727645651280853e-02
1.500000000000000000e+01,-5.808612414355643350e-02
1.501999999999999957e+01,1.949113841605663033e-01
1.503999999999999915e+01,9.058239573636678310e-02
1.506000000000000050e+01,3.360966127573243867e-01
1.508000000000000007e+01,2.949268595373429336e-01
1.510000000000000142e+01,3.222245842128222959e-01
1.512000000000000099e+01,2.617997613669800772e-01
1.514000000000000057e+01,2.322660168538404069e-01
1.516000000000000014e+01,2.134296836511585527e-01
1.517999999999999972e+01,1.618545988933941526e-01
1.519999999999999929e+01,2.849651144581484830e-01
1.521999999999999886e+01,2.645343175185904117e-01
1.524000000000000021e+01,3.622069096873854477e-01
1.525999999999999979e+01,1.588262685734751489e-01
1.528000000000000114e+01,1.460275470294842282e-01
1.530000000000000071e+01,1.963943558414788515e-01
1.532000000000000028e+01,1.479261123239667408e-01
1.533999999999999986e+01,1.636015401319609597e-01
1.535999999999999943e+01,2.904286610728367690e-01
1.537999999999999901e+01,2.687891045000581625e-02
1.540000000000000036e+01,2.782063643147328347e-01
1.541999999999999993e+01,1.456540320976106029e-01
1.544000000000000128e+01,3.062627878629017308e-01
1.546000000000000085e+01,2.966014928301104470e-01
1.548000000000000043e+01,3.507430121503526399e-01
1.550000000000000000e+01,4.769644130069441990e-01
1.551999999999999957e+01,1.734214501905588512e-02
1.553999999999999915e+01,3.363629947635585760e-01
1.556000000000000050e+01,9.544350074151825014e-02
1.558000000000000007e+01,3.212346514490649896e-01
1.560000000000000142e+01,3.622940001913499408e-01
1.562000000000000099e+01,3.305842898589006484e-01
1.564000000000000057e+01,4.641964301903953732e-02
1.566000000000000014e+01,-6.955545153486905607e-02
1.567999999999999972e+01,3.305332298840087391e-01
1.569999999999999929e+01,2.078486844188636995e-01
1.571999999999999886e+01,2.104524549759382024e-01
1.574000000000000021e+01,1.685904980606030557e-01
1.575999999999999979e+01,4.271155090882700067e-01
1.578000000000000114e+01,1.857353984425662574e-01
1.580000000000000071e+01,3.371788847819109924e-01
1.582000000000000028e+01,1.918416142523962087e-01
1.583999999999999986e+01,2.355940278243775499e-01
1.585999999999999943e+01,1.122106650444274767e-01
1.587999999999999901e+01,2.293439450655587186e-01
1.590000000000000036e+01,1.696334108516548145e-01
1.591999999999999993e+01,5.418509654622417210e-02
1.594000000000000128e+01,3.767289374079050290e-01
1.596000000000000085e+01,1.507896627796083688e-01
1.598000000000000043e+01,2.077074543203667190e-01
1.600000000000000000e+01,3.513718175023401447e-01
1.601999999999999957e+01,2.542726734324728954e-01
1.603999999999999915e+01,2.493239711171743866e-01
1.606000000000000227e+01,2.695305656816613382e-01
1.607999999999999829e+01,3.833322136789819035e-01
1.610000000000000142e+01,-2.454574062155417263e-03
1.612000000000000099e+01,8.750215791364251983e-02
1.614000000000000057e+01,5.032504428166356680e-01
1.616000000000000014e+01,3.209804614303234938e-01
