# 2Theta,Intensity
1.000000000000000000e+01,5.407964337926562948e-01
1.001999999999999957e+01,4.893389637068977227e-01
1.003999999999999915e+01,2.864912328254909935e-01
1.006000000000000050e+01,7.004645301774747868e-01
1.008000000000000007e+01,1.306958773227642201e+00
1.009999999999999964e+01,3.455676383722282363e+00
1.011999999999999922e+01,8.256215128979549789e+00
1.014000000000000057e+01,1.092465233747316411e+01
1.016000000000000014e+01,8.141868871122838414e+00
1.017999999999999972e+01,3.125429707730668305e+00
1.019999999999999929e+01,1.107489845420839059e+00
1.022000000000000064e+01,6.264333710685763279e-01
1.024000000000000021e+01,7.213718040841747836e-01
1.025999999999999979e+01,5.481667139112421649e-01
1.027999999999999936e+01,1.856497911598401218e-01
1.030000000000000071e+01,4.382436864595705694e-01
1.032000000000000028e+01,3.772863299127282577e-01
1.033999999999999986e+01,2.854285762959966610e-01
1.035999999999999943e+01,2.718253115364894779e-01
1.038000000000000078e+01,3.674139875574998215e-01
1.040000000000000036e+01,3.176118088421696628e-01
1.041999999999999993e+01,3.362802078314405807e-01
1.043999999999999950e+01,1.957951632351505322e-01
1.046000000000000085e+01,3.696251918900435585e-01
1.048000000000000043e+01,3.928976014125454275e-01
1.050000000000000000e+01,3.710599513252779702e-01
1.051999999999999957e+01,3.613461916009553798e-01
1.053999999999999915e+01,2.070797288042907636e-01
1.056000000000000050e+01,2.307670439425237585e-01
1.058000000000000007e+01,3.013472236055151909e-01
1.059999999999999964e+01,3.372593167804966430e-01
1.061999999999999922e+01,3.096289966792299952e-01
1.064000000000000057e+01,2.223412912391069529e-01
1.066000000000000014e+01,3.029158109668618204e-01
1.067999999999999972e+01,3.246946441680498840e-01
1.069999999999999929e+01,5.227123057935053607e-01
1.072000000000000064e+01,1.858114060050145011e-01
1.074000000000000021e+01,3.038580127236680806e-01
1.075999999999999979e+01,3.166354013323935956e-01
1.077999999999999936e+01,2.405985966454320391e-01
1.080000000000000071e+01,4.728527808478659722e-01
1.082000000000000028e+01,3.162054298984685596e-01
1.083999999999999986e+01,1.446309571998946886e-01
1.085999999999999943e+01,9.990805253838749844e-02
1.088000000000000078e+01,2.839267681591495784e-01
1.090000000000000036e+01,4.107426633357862400e-01
1.091999999999999993e+01,3.421270174300690692e-01
1.093999999999999950e+01,3.884406878821634601e-01
1.096000000000000085e+01,2.790707232591696507e-01
1.098000000000000043e+01,3.882774200437341672e-01
1.100000000000000000e+01,4.613229616053428073e-01
1.101999999999999957e+01,2.942281234758900021e-01
1.103999999999999915e+01,2.377083727315804640e-01
1.106000000000000050e+01,6.619436364715476362e-01
1.108000000000000007e+01,4.009237556946558256e-01
1.109999999999999964e+01,4.798708919252817617e-01
1.112000000000000099e+01,2.608643911782019820e-01
1.114000000000000057e+01,2.792050068890989944e-01
1.116000000000000014e+01,4.178366258021497526e-01
1.117999999999999972e+01,3.017312232790337889e-01
1.119999999999999929e+01,4.186170537082571363e-01
1.122000000000000064e+01,2.943862547371442484e-01
1.124000000000000021e+01,2.502749685844553595e-01
1.125999999999999979e+01,3.668868108846384812e-01
1.127999999999999936e+01,1.975676783809493797e-01
1.130000000000000071e+01,1.587652058472685812e-01
1.132000000000000028e+01,3.041322413417654191e-01
1.133999999999999986e+01,2.321457973070476521e-01
1.135999999999999943e+01,2.549933007267707330e-01
1.138000000000000078e+01,2.757313394916578453e-01
1.140000000000000036e+01,2.525718782819716401e-01
1.141999999999999993e+01,3.721825287228660017e-01
1.143999999999999950e+01,3.998027085381152812e-01
1.146000000000000085e+01,5.241897297514851450e-01
1.148000000000000043e+01,5.619231502764781006e-01
1.150000000000000000e+01,2.763149906248655308e-01
1.151999999999999957e+01,5.606807851149896438e-01
1.153999999999999915e+01,3.606949150443801710e-01
1.156000000000000050e+01,1.601107124803254900e-01
1.158000000000000007e+01,5.453156359034027068e-01
1.159999999999999964e+01,4.537558046344511986e-01
1.162000000000000099e+01,1.266094567678251182e-01
1.164000000000000057e+01,4.072801246074905235e-01
1.166000000000000014e+01,1.430130246590256005e-01
